issuekey,title,description,storypoint
APSTUD-3707,add copy url actions rightclick context menu remote view files,able connect appcelerator bucket drag drog copy image files wanted refer remotely desktop packaging release links webpage easy way tell various urls could use refer resulting objectsfiles cyberduck lets right click choose copy url signed url expiring one hour one day one week one hour torrent url,5
APSTUD-23,aptana tries open new instance opening files via windows explorer,divpassigned href tender issue reported tenderp blockquote pos win xpp pwhen aptana running try open files windows explorer double click enter aptana displays workspace use cannot created choose different one showing splash screen secondsp pdragging files running instance wont cause behavior opening files project view causes problems except htaccess files temp solution chose open htaccess files notepadp pthis already luckp limy installation folder workspace folder writableli lii several complete reinstallsli lii removed lock file workspace folderli lii created new workspace folders switched itli lii administrator rightsli pcreating new workspace fix problem temporary problem back within weekp pin aptana never saw splash screen aptana running opened another file files loaded running instance caused eclipse pthis quite annoying cause every time splash screen shows either takes seconds file wont open due locked workspacep blockquotediv,8
APSTUD-99,content assist popup shown outside screen boundaries,see image javascript content assist popup displays outside screen boundary right,8
APSTUD-190,php autocompletion parent methods,overwrite parent method often need call new method example code php class parent public function dosomethinghard class child public function dosomethinghard thisbla foo return parent content assist dosomethinghard code aptana autocomplete methods parent suggested fix attempt replicate check see item fixed newer version parsers code cant fixed link pdt issue referencing problem,13
APSTUD-246,dragging image html editor create image tag,dragging image editor create img tag view behavior textmate dropping image onto html editor inserts image tag relative path image html file hight width alt text initialcapitalized version filename dragging notespng gives code img srcimagesnotespng width height altnotes code,8
APSTUD-350,singleton scriptdoc code completion,given pattern code var myobject function var self var priv blubb selfget function return priv return self code aptana studio able recognise pattern correctly wonder possible tell aptana scriptdoc yes ive seen comments classes additionally var self could replaced super constructor working either expect supported naturally aptana soon really searching good javascript ide also supports kind writing javascript objectoriented way,13
APSTUD-378,aptana studio ship debugger sample,trying get started aptana studio debugger standalone install aptana studio mac intel following online help walkthrough instruct install aptana javascript debugger add breakpoint code display current values variables import debugging sample project samples view expand aptana studio samples node samples view dont specified node samples related plugins installed get aptana studio samples node,8
APSTUD-612,redraw error using snippet,divpthis may actually issue posted case indicative issuep liopen editorbrli litype forbrli litype tabbrli liallow enough time pass popup appears next two snippets availablebrli litype pat point two popups away see trash screen trash moves addremove linespdiv,8
APSTUD-769,php debugger,something shipped skipped dont know dont know planned product page ive seen debugging coming soon yet would great found aptana goes ability run script php parser get output ive found debugger one main aptana features use lectures lecturer technical university helping students understand whats going inside php process,40
APSTUD-796,project explorer showing duplicate files folders,attached image project explorerpng see current improper behavior attached image projectspng see expected behavior view proper project explorer web projects new install eclipse helios cdt aptana studio arch linux also appears circumstances see linked issues,13
APSTUD-814,option remove trailing whitespace file save,eclipse pdt provides option trailing whitespace automatically removed files save end line impact possible could add useful feature,13
APSTUD-832,find dialog cause text selection invert colors,happens select text open findreplace dialog press ctrlf click magnifier icon search bar point selection gone like inverted something similar option findreplace selected line useless latest build win never experienced error log clean,8
APSTUD-865,add ability shiftctrlarrow select word via camel case,old aptana pdt selection width shiftctrlarrow selected single segment camelcaseword current version whole word selected possible change behaviour somehow maybe option,8
APSTUD-994,php error updating php error markers,code entry comaptanaeditorphpepl message error updating markers stack orgeclipsecoreinternalresourcesresourceexception marker found orgeclipsecoreinternalresourcesmarkercheckinfomarkerjava orgeclipsecoreinternalresourcesmarkersetattributemarkerjava orgeclipsecoreinternalresourcesmarkersetattributemarkerjava comaptanaeditorphpinternalcorebuilderbuildproblemreporterflushbuildproblemreporterjava orgeclipsephpinternalcoreastnodesastflusherrorsastjava comaptanaeditorphpinternalindexerpdtphpmoduleindexerindexmodulepdtphpmoduleindexerjava comaptanaeditorphpindexerphpglobalindexerwrapindexerindexmodulephpglobalindexerjava comaptanaeditorphpindexerphpglobalindexerrunphpglobalindexerjava orgeclipsecoreinternaljobsworkerrunworkerjava subentry orgeclipsecoreresources message marker found code,5
APSTUD-1313,autoconfigure python interpreter possible,divpmy project indicated didnt python interpreter configured managed eventually find dialog clicked autoconfigure everything appears finep psuggest two steps clicking error icon project brings dialog asking youd like configure interpreter would first try autoconfigure interpreter alert fails could direct people normal preference page could fix problem manually necessarypdiv,1
APSTUD-1378,updating latest rcp dev installs jdt plugins,divpi noticed seeing content app explorer something ingo seen digging looks like java filters got applied especially surprising since shouldnt dug see jdt plugins installation yet dont see belonging features sure got installedpdiv,13
APSTUD-1469,terminal process cannot killed ctrlc ctrlbreak,divpassigned href tender discussion reported tenderp blockquote pwhen start long time process terminal window neither press ctrlc break press ctrlz pause itp blockquotediv,13
APSTUD-1609,inferencer honor memberof sdoc tag,currently inferencer process memberof sdoc tags may even case likely sdoc parserscannermodel need extended support tag well,20
APSTUD-1698,file system defined scheme,log file code entry orgeclipsecorefilesystem message file system defined scheme reference code,5
APSTUD-1839,allow open closed project doubleclicking project explorer,divpi latest aptana installed preference selected open projects double click doesnt work switched single click result didnt workp plet know need informationp pthanksbr jasonpdiv,5
APSTUD-1889,editor find toolbar interrupts certain keyboard shortcuts,scenario several tabs open cursorfocus somewhere within find toolbar appears bottom screen shortcut cmdf steps reproduce open file studio editor open find toolbar cmdf focus toolbar press cmdtab expected behavior user able use keyboard shortcuts studio actual behavior keyboard shortcuts work focus find toolbar note also happens open resource shortcut cmdt close window shortcut cmdw,5
APSTUD-1978,error deleting project attached git,divwhen tried delete test project used got exception caught processing refactoring delete resource problems encountered deleting resourcesbr could delete aptanagitp pproblems encountered deleting resourcesbr problems encountered deleting filesp pre codecould delete esrdocumentseclipseaptanagitrefs could delete esrdocumentseclipseaptanagitcode pre pcould delete esrdocumentseclipseaptanap pproblems encountered deleting filesbr could delete esrdocumentseclipseaptanagitrefs could delete esrdocumentseclipseaptanagit could delete esrdocumentseclipseaptana could delete esrdocumentseclipseaptanapdiv,8
APSTUD-2120,menus arent visible ubuntu unity window manager,aptana doesnt show menu bar unity window manager ubuntu,8
APSTUD-2129,select tag area feature,divpassigned href tender discussion see tender request suggestion allow oneclick shortcut access select content tag pair suggest modifying html ruble command select tag pair content select tag contentp blockquote pon october made feature requestp href pselect tag areap pthis feature every text editor designed edit html xhtml syntax envelopes content matched tagsbr available significantly cuts time spent editing complex markupp punfortunately one tool know quanta plus old buggy tired editor cant live withoutp pthis feature becomes indispensible familair itp pso logged request back october much earlier version aptana circulationbr occaisonally fire aptana remind potential make sure havent overlooked kiler features make stick itp pbut afraid dissapointed basic feature still unavailable cant justify using aptana future projectsp pat moment using quanta heavily customized emacs environment allows code freely html css php python frameworks choice dislike use one text editor love use aptana without feature analogous select tag area afraid game overp blockquotediv,5
APSTUD-2134,add location property file templates,divpfrom current systemp pre code classrubytemplate custom template tfiletype html tinvoke context envtmdate timenowstrftimeymd rawcontents ioreadfiledirnameenvtmbundlesupporttemplateshtmlhtml rawcontentsgsub match envmatch end endcode pre pbringing inline something like project templatesp pre code classrubyprojecttemplate basic web template ttype web tlocation templatesbasicwebtemplatezip tdescription basic template includes default indexhtml file endcode pre piep pre code classrubytemplate custom template tfiletype html tlocation templateshtmlhtml endcode pre pby default would environment substitutionpdiv also add replaceparameters setting allow turning onoff parameter substitution identical project templates,1
APSTUD-2252,warn user creating project area preexisting files,divpthis change apply emallem new project wizards supportp pif user unchecks use default location checkbox provide warning message right location field indicating location question already preexisting files since path long make sure easy see full path user saving projectpdiv,1
APSTUD-2286,implement improved terminal hyperlink detection,terminal windows long history output couple pages scrolling mouse wheel jump back reaches certain point however manually drag scroll bar see history beyond jumping point ive seen reproducible allens machine tail rails logs see similar symptoms attached movie short investigation showed issue relates implementation hyperlink detection terminal disabling hyperlink detection eliminates issue suggested fix reimplement hyperlink detection code make free scrollingdrawing issues,8
APSTUD-2345,add color preview support sass editor,sass editor doesnt support color preview way css editor build aptana studio build build date may,5
APSTUD-2430,find bar autoselect search text opened,divpcurrently open find bar ctrlf text selected places cursor beginning input think automatically select contents input start typing immediately replace whatever last search waspdiv,5
APSTUD-2451,support coffeescript syntax coloring,divpwe support syntax highlightingcoloring coffeescript files href,1
APSTUD-2573,pydev local import quick fix condense imports file,divpto reproducep pre code classpythonclass eggsobject def spam string import template return template digits press ctrl line hold ctrl selecting string stringdigitscode pre presultbrp pre code classpythonclass eggsobject def spam string import template string import digits return template digitscode pre pexpectedbrp pre code classpythonclass eggsobject def spam string import template digits return template digitscode prediv,1
APSTUD-2691,add support content assist hover,pop content assist tooltip hovering content provide focus,20
APSTUD-2705,expand collapse icons project explorer drawn borders,please see attached screenshot icons expand collapse rendered white border surrounding making look bit ugly,13
APSTUD-2708,allow colorization foldingline number area editor gutter,studio could custom color area line numbers folding markers site see image seem lost ability studio,1
APSTUD-2710,allow set flag parsenodes filter outline include children,sometimes ast nodes want denote structure something internally make sense outline field code common easily skipflatten node types rubys blocks want vars inside dont want show block ifforelseswitch case meaning dont show node show relevant children,1
APSTUD-2712,allow perproject formatter settings,rather formatter settings apply projects globally allow perproject settings,1
APSTUD-2715,code assist explanation overlays top code assist dropdown overlay,code assist dropdown selector overlays code overlay explaining selector lays top selector instead side cannot see possible choices overlay way,1
APSTUD-2717,code assist cancels using quotations javascript opener tags,typing script language code assist overlay pops however use quotations equals sign code assist fails appear aptana studio allows format code please,1
APSTUD-2727,add support javascript whitespace code formatting,add formatting options control spaces elements,1
APSTUD-2728,add warning adding theme rule duplicates existing rule,adding new rule theme possible user may add rule duplicates existing one trying color scope user confused new rule generally wont work suggest popping warning dialog indicating another rule exactly matches current definition ask would like edit rule instead rule rule exactly matches definition would like edit rule instead options yes delete rule could possibly done warning well experimentation might necessary see intuitive,8
APSTUD-2733,separation php element colouring,separation php element colouring public private abstract static etc etc,1
APSTUD-2752,support ruby watch expressions,support watch expressions ruby looks like port rdt impl easily single class couple nested classes gets registered via debugcore extension point,8
APSTUD-2758,display helpful error message selfclosing nonvoid html tag,two different related scenarios steps reproduce enter video html edit window actual result errors window shows video recognized expected result errors window shows something like selfclosing syntax used nonvoid html element steps reproduce enter div html edit window actual result result error displayed expected result errors window shows something like selfclosing syntax used nonvoid html element,1
APSTUD-2771,change default url add remote git dialog box,currently adding remote default gitgithubcomusernameprojectgit readonly suggest instead default gitgithubcomusernameprojectgit readwrite alternately might ask user contributor project observer perhaps offer switch betwen two optons,1
APSTUD-2772,add new push new branch remote command git menu,sharing local project new github repo user instructed following git remote add origin gitgithubcomusernameprojectgit git push origin master first one done inside studio add remote second one user forced terminal chris suggested push new branch remote menu option help step,1
APSTUD-2775,slightly rearrange existing project creation template selection,attached dialog seems tiny bit confusing order use template leave create project using box checked choose template suggest two options leave checkbox dont check user actually selected template list remove checkbox instead add template top option list selected default,1
APSTUD-2782,create type view projects,currently sort mix type info lexical info outline create separate view shows type information index currently active project would separate outline view,1
APSTUD-2789,nicer default name theme copy,steps open preferences studio themes page press button make copy existing theme note default name new theme suggest name copy themename copy themename follows duplicate naming conventions eclipse,1
APSTUD-2798,add deploy menuentry merge results context menu,using subclipse merge revisions theres view merge results merged files listed aptana possible upload files directly view using ftp connections aptana theres menu entry upload files view search merged files directories project explorer app explorer upload deploy menu entry context menu merge resultsview,1
APSTUD-2809,add editor debug items properties view,debugging studio useful see information current position cursor suggest updating properties view following information depending current cursor position would show following content type textjavascript scope sourcejs text appendpoints offset start offset end length characters,1
APSTUD-2811,automatically sync changes remote site syncs one way,deployment settings automatically sync changes remote site selected automatically sync directions chosen opening file remote connection making change saving file initiate sync local copy file local copy remains unchanged opening file locally saving initiate sync updates remote copy expected,8
APSTUD-2816,convert new template menu create untitled files default,currently file new template menu creates new projectbased file new file filesystem depending active selection project explorer defaulting projectbased behavior many users want ability create new untitled file possible user would preselect type file html css etc order achieve studio selection wizards activated deactivated based current selection worked clumsy solution different proposal default make new template menu adopt following behavior file new template creates new untitled file specified type new behavior rightclick project project explorer view creates new projectbased file current behavior rightclick file system node project explorer creates new file file system current behavior links another ticket make easier save file project file depending users preference,1
APSTUD-2817,add dialog allow user choose saving new untitled file project file system,saving new untitled file default mechanism bring save file system dialog allowing save file somewhere drive becomes confusing instead want save project unfortunately universally add option possible untitled files derived editor classes propose following override default behavior abstractdecoratedtexteditorperformsaveas untitled files pop dialog asking user wishes save file system project radio button selection depending choice pop correct subsequent save dialog extra points somehow embed save dialogs choice dialog preventing user answer two subsequent dialogs also suggest could user remember choice almost always want one,1
APSTUD-2820,handle common metaprogramming idioms define methods ruby indexing,rails uses number classlevel methods attach methods delegate cattraccessor cattrwriter cattrreader classattribute dont currently handle well need look calls manually expand types method list include generated methods result calling,1
APSTUD-2821,allow declaration ruby requireload strings,support declaration things like type names method calls variables support opening related file loadpath paths mentioned requireload calls,1
APSTUD-2823,allow spacing customization css formatter,dont currently format spacing words various syntax like etc,1
APSTUD-2843,add xml parselevel validation,enter syntax errors xml document warning icons left gutter steps replicate open aptana studio select xml file template file new template xml xml template open new file xml editor select text enter following file content nosyntaxvalidation invalid tag mismatchedending actual results syntax errors reported left gray sidebar expected results left gray sidebar report invalid syntax,8
APSTUD-2853,create wrapper instancescope defaultscope code,instancescope defaultscope constructors deprecated eclipse however replacement methods instancescopeinstance available eclipse cannot universally switch yet adding suppresswarningsdeprecation usages problematic since display unused annotation eclipse suggest making wrapper methods items adding single suppresswarnings instances thus two warnings problems view rather hundred,1
APSTUD-2854,new template list possible file types provide template option,file types yaml instance dont really default template basically consists empty document make sure entry new menu suggest instead scanning bundles file type template attached suggest creating entry file type blank file also make easier convert file new template create untitled files cut number unnecessary templates created,1
APSTUD-2901,create aptana studio start page,would crib titanium studio start page differences page show first startup update page would contain following content link documentation link install svn plugins link install library link iframe release notes latest released version linkiframe stack overflow questions,1
APSTUD-2902,php chaining code hinting,using classes chain desing pattern code hinting breakes function chain parameter example doctrinequery class doctrinequerycreate qfromselect list available function displayed doctrinequerycreate qfrommodelname code hinting,5
APSTUD-2941,notify studio users upgrade studio,probably something home page views also perhaps popup tell new features direct install new version show migration guide,1
APSTUD-2971,use regular expressions improve scope selector matching performance,current implementation matching require roughly comparisons worst case wondering could convert selector regex perform regex match instead using nested loops would lot faster example simplifying things bit selector could look like following regex whitespace ignored code btextazb bsourceazb code,13
APSTUD-2983,app explorer constantly refreshingresorting contents gitbound projects,steps reproduce check project git suggest using file import git repository switch using app explorer expand templates folder edit xhtml save note order filesfolders reshuffles repeat new file edited see beforeafter screen shorts,8
APSTUD-2998,stage hunksselected lines git aptana studio,ive got aptana working nicely git theres one thing keeps opening git gui staging part file git gui select lines either stage lines stage hunk theyre aptana seems allow stage edits file important support staging individual groups hunks lines,20
APSTUD-2999,cant set breakpoint haml ruby templates,editor allow setting ruby breakpoints haml view templates lines ruby code starting ruby code lines breakpointable like erb templates workaround please describe detail thanks,1
APSTUD-3014,support ftp scheme using efs filesystem extension,support using ftp uris efs filesystem api using existing infrastructure forget handling passwordsprefs assume uri contains info needed connect loginpasswordporthost users able seeuse html editor trying get content assist public anonymous ftp site enter code hrefftpdftpcoma code hitting ctrlspace cursor something user actually types getting back folders pub incoming conf options,1
APSTUD-3053,support mac lion full screen view,mac lion full screen feature lot native apps would great aptana feature like,8
APSTUD-3061,copycutpaste intermittently fails editor,strange issue happening since started using aptana studio version sometimes copy cut text editor paste somewhere else different file aptana paste last thing second last depending look instead recent thing copied thought maybe keyboard wasnt working since never experienced something like coworker also using aptana asked experiencing copypaste issues thats knew wasnt one noticed times cant copypaste aptana using cpu sure another bug sideafect bug isolated dont know replicate know happening seemingly random times update people reported relief unbinding shortcut command copy preferencesgeneralkeys unbinding shortcut resolved issue copypaste randomly working also appears longstanding eclipse issue suggests investigation,13
APSTUD-3100,create findbugs profile appropriate validating code correctness,default findbugs profile strict current code base need create limited profile use validate committed code possible errors please create profile run current source code see reports expected pass around developers confirmation,1
APSTUD-3101,create pmd profile validate studio code,default pmd profile strict purposes create default pmd profile developers use validate code correctness checkin please create profile run current source code see reports expected pass around developers confirmation,1
APSTUD-3130,upgrade unit test coverage,current unit test coverage hovers around class method block line need get higher classes need test please create subtask class want test edit document indicate youve claimed test already task created particular class means someone else claimed one choose another bunch related classes group one task coverage goals classes minimum class method block line default emma values jenkins comaptanacoreutil keepaliveobjectpool objectpool reapingobjectpool streamutil uriutil,20
APSTUD-3133,javascript auto format code block typing closing brace formatting option aptana,aptana great feature javascript formatting auto format code block typing closing brace setting accessible aptana window preferences aptana editors javascript typing formatting would nice feature presented aptana attached screenshot preferences screen aptana another screenshot showing formatting behavior suggested solution add preference default setting find relevant nodes astconvert selection perform format add lots unit tests,20
APSTUD-3149,convert cygwin paths windows paths env executing process outside terminal consoleprocessprocessbuilder,ran issue path holding cygwin paths windows breaking git clones added method convert two need make sure convert anywhere executing inside terminalbash,1
APSTUD-3189,support javascript definition hyperlinks,comes trying close apstud must studio ticket support ctrlclicking definition javascript functions variables properties,1
APSTUD-3228,allow creation new project dragging folder root project explorer onto dock icon,simple create project dragging existing folder finderfilesystem explorer either project explorer root onto dock icon studio basic function although done filesystem tree project explorer tedious dig entire hierarchy access folder thats already filesystem browser view first feature implemented eclipse still lacking please implement valuable firsttime users experienced users alike,13
APSTUD-3250,shrink remove errant indexing messages,file scheduled indexing disappears following message gets printed log file code entry orgeclipsecoreresources message resource uatestbuildandroidbinassetsresourcesappjs exist entry comaptanaeditorjs message build error file found cusersingo muschenetzdocumentstitanium studio workspaceuatestbuildandroidbinassetsresourcesappjs stack orgeclipsecoreruntimecoreexception file found cusersingo muschenetzdocumentstitanium studio workspaceuatestbuildandroidbinassetsresourcesappjs orgeclipsecoreinternalfilesystempolicyerrorpolicyjava orgeclipsecoreinternalfilesystemlocallocalfileopeninputstreamlocalfilejava comaptanaeditorjscontentassistindexjsfileindexingparticipantindexfilestorejsfileindexingparticipantjava comaptanaindexcoreabstractfileindexingparticipantindexabstractfileindexingparticipantjava comaptanaindexcoreindexrequestjobindexfilestoresindexrequestjobjava comaptanaindexcoreindexcontainerjobrunindexcontainerjobjava orgeclipsecoreinternaljobsworkerrunworkerjava caused javaiofilenotfoundexception cusersingo muschenetzdocumentstitanium studio workspaceuatestbuildandroidbinassetsresourcesappjs system cannot find path specified javaiofileinputstreamopennative method javaiofileinputstreaminitunknown source orgeclipsecoreinternalfilesystemlocallocalfileopeninputstreamlocalfilejava subentry orgeclipsecorefilesystem message file found cusersingo muschenetzdocumentstitanium studio workspaceuatestbuildandroidbinassetsresourcesappjs stack javaiofilenotfoundexception cusersingo muschenetzdocumentstitanium studio workspaceuatestbuildandroidbinassetsresourcesappjs system cannot find path specified javaiofileinputstreamopennative method javaiofileinputstreaminitunknown source orgeclipsecoreinternalfilesystemlocallocalfileopeninputstreamlocalfilejava comaptanaeditorjscontentassistindexjsfileindexingparticipantindexfilestorejsfileindexingparticipantjava comaptanaindexcoreabstractfileindexingparticipantindexabstractfileindexingparticipantjava comaptanaindexcoreindexrequestjobindexfilestoresindexrequestjobjava comaptanaindexcoreindexcontainerjobrunindexcontainerjobjava orgeclipsecoreinternaljobsworkerrunworkerjava code seems bit overkill need print message perhaps print modification top one wout stack trace display stack trace viewing info severity,8
APSTUD-3307,aptana studio wrong documents path,aptana studio uses wrong paths causing errors initial start started aptana studio presents error periodic workspace save encountered problem see attached path given error wrong somehow aptana studio thinks main profile located drive wrong documents folder located drive wrong documents folder named documents wrong drive lot space store stuff wrong items easily queried windows item would nonissue aptana used correct paths due bug drive full mysterious files created aptana far tell either drives addition installation portablegit fails probably due attempting install incorrect path,13
APSTUD-3316,support nodejs editing,code assist support requires imported modules autoattaching documentation sources see example possible workflow,20
APSTUD-3322,find new location aptana rubles folder create demand,appears users upset creation empty aptana rubles folder userhome startup given user rubles created directly inworkspace toplevel projects current aptana rubles location may antiquated users rarely interact folder directly viewing suggests possible better location would osgiconfigurationarea alternately could create aptana rubles folder user chooses actually download install new rubles,8
APSTUD-3343,synchronize option rightclick menu,create new local project create connection remote server right click file local project synchronize option may synchronize encapsulated deploy app though deploy suggests deploying root suggest really need sync option ftpsftp type sites,8
APSTUD-3376,php add open typemethod php feature,one feature sorely missed open type eclipse php pdt attached screenshot feature eclipse pdt,5
APSTUD-3380,upgrade packaged jruby,currently use jruby least one bug causing issues turkish users,1
APSTUD-3381,upgrade jrubyparser plugin latest github,syntax fixes int latest jrubyparser source ill need clone compile put new binaries plugin perform fixes afterwards result api changes,1
APSTUD-3402,update ftp library,edt released new update ftppro library,1
APSTUD-3422,show differences synchronize window extremely slow,synchronize files bring synchronize window list files show preview window right click file needs updating show differences software hang long time bringing text differences window exact steps used produce issue click project explorer tab click project right click deploy app synchronize window shows showing list files right click file need updating click show differences hangs files work range anywhere files takes seconds compare files takes longer mins gave minutes,8
APSTUD-3427,add cherrypick support git,currently actioncommandui support cherrypicks git resort command line itd nice add,1
APSTUD-3430,improve php outline display true nesting html nodes,display php nodes nested correctly inside html nodes viceverse,1
APSTUD-3431,remove dependency comaptanacore plugin comaptanaindexcore,dependency causing lot inconvenience comaptanaindexcore could depend removed,1
APSTUD-3435,show better error messages invoking command without proper ruby gem installed,end user invokes command convert html haml without appropriate ruby gem installed aptana returns error via scripting console steps replicate open aptana studio open saved haml file invoke command commands haml convert html haml actual results editor returns message scripting console noformat error occurred processing invoke block command convert html haml homeqatesterdesktopnewestconfigurationorgeclipseosgibundlescpbundleshamlrublecommandsconverthtmltohamlrb errnoepipe broken pipe orgjrubyexceptionsraiseexception errnoepipe broken pipe orgjrubyrubyiowriteorgjrubyrubyiojava orgjrubyrubyioorgjrubyrubyiojava classxebdefinecommandhomeqatesterdesktopnewestconfigurationorgeclipseosgibundlescpbundleshamlrublecommandsconverthtmltohamlrb orgjrubyrubyiopopenorgjrubyrubyiojava classxebdefinecommandhomeqatesterdesktopnewestconfigurationorgeclipseosgibundlescpbundleshamlrublecommandsconverthtmltohamlrb orgjrubyrubyproccallorgjrubyrubyprocjava orgjrubyrubyproccallorgjrubyrubyprocjava noformat expected result editor could return concise error message suggested approach add function called running ruby command check existence specified gem gem missing alert user ideally directions install gem would need update existing commands appropriate approximately,13
APSTUD-3456,tistudio git clone http address instead git,customer requesting add http git access tistudio sometimes behind firewall git inaccessible way code git clone gitgithubcomappceleratorkitchensinkgit code still use http code git clone code http currently working studio feature request add,1
APSTUD-3482,confirm token scanners updated handle multiple queries token,related bug apstud need confirm token scanners updated querying scanner multiple times token results returned length offset,1
APSTUD-3483,pdtwst editors available aptana php project,set project natures phpweb select fileright clickopen php editor pdt php files though aptana one shows wst editorhtml editorcss editor jshtmlcss file users unable select pdtwst editor others menu,8
APSTUD-3492,use aptana theme aptana editors,originally posted use aptana eclipse like cobalt theme javascript however theme ends making svn diffing nearly impossible java files background dark blue text black compare editor ive look preferences eclipse cant figure way use aptana cobalt theme editing javascript files things ive tried ive made aptana javascript editor default files ive made default txt java normal editors nonaptana whatever ive tried setting theme making sure general appearance colors fonts still defaults ive verified changed theme something white background diffing editor gets changed becomes readable else want use aptana javascript default diff theme,8
APSTUD-3521,button toolbar option show white space characters,create quick button toolbar aptana option show white space characters please easy menu every time showhide white space characters,1
APSTUD-3537,content assist may unreadable dark aptana themes,editing ruby html files dark aptana theme content assist window still white background unfortunately white text content assist choices current one stays even invasive themes happen pydev background content assist white text black despite dark theme,8
APSTUD-3541,changing selection project explorer causes redrawselection issue,annoying one looks like based project selection new buttons getting addedremoved project explorer toolbar specifically sync buttons result see two issues bar goes right view nametab underneath messes ability select projects intermittently clicking mouse forced use keyboard select mobile project local filesystem web project selected draws toolbar underneath disabled updown updown blue arrows mobile project selected dont show sync options deploy menu toolbar mobile connections set syncing,5
APSTUD-3552,drop files remote view local folder,would usefull could drag files folders remote view local folder desktop folder fiel browser way local folder remote view already works fine would usefull download files without configure ftp connection filezilla ftp client searched already reported tickets dont found anythink missed sorry greetings leo,5
APSTUD-3559,editor scrolling far left viewport typing long lines code,type long line code usually string variables big sql queries editor keep cursor position get confused scroll back left exactly pushed home key keeping cursor current location ive attached screen shot show big hbar variables look like ive noticed happens often inline ifs var true false injected isnt always case,40
APSTUD-3560,content assist content wraps short popup edge,methods long parameter descriptions sometimes auto complete popup hard read shown attached screenshot code zend framework content wrap according width popup appears break early,13
APSTUD-3562,jquery missing deferred,jquery menu propose deferred steps replicate open aptana studio open javascript file web project verify project context menu properties project build path jquery enabled jquery ruble installed enter code noformat documentreadyfunction jquery noformat invoke ctrlspace pipe actual results include deferred expected results include deferred,21
APSTUD-3563,jquery missing promise,jquery menu propose promise steps replicate open aptana studio open javascript file web project verify project context menu properties project build path jquery enabled jquery ruble installed enter code noformat documentreadyfunction noformat invoke ctrlspace pipe actual results include promise expected results include promise,21
APSTUD-3565,create subfolder temp temporary files,work lot ftp connections hours tmp directory getting nasty tools work directly tmp dont find files anymore see screenshot think would nice feature could determain custom path files normaly linux tmpaptanavfs see tools like pulse orbit ssh always using subdirectory,8
APSTUD-3567,selectedtext snippet doesnt work expected,assume following snippet code snippet tiapidebug strigger sexpansion tiapidebugtmselectedtext end code type dtab inserts code tiapidebug note extra code instead select text select snippet menu item type select fred select tiapidebug menu insert code fredtiapidebug code expected code tiapidebugfred code,13
APSTUD-3569,aptana freeze ftp name conflict,related apstud pasting file remote view ftp connection selecting parent folder manually name conflict window popping correct window causing memory peak complete aptana ide freezing death takes secounds one letter show input field quite sure think something aptana waiting ftp list command greetings leo,13
APSTUD-3580,improve build time unit test build,unit test build development takes way long typically minutes need investigate see help speed since actual text execution appears take less minutes,1
APSTUD-3586,php code assist classgetinstance methods,code php class democlass private instance public static function getinstance selfinstance selfinstance new self return selfinstance public function hello echo hello public function world echo world code context locations code assist may popup automatically suggest available options example available list functions variables constants appear typing php arrow string call class methods work code assist used like code democlassgetinstance cant tips likehello worldmethods code,13
APSTUD-3595,php context information fails string parameter list,projects one core project two related projects added core project project references php buildpath context information static php functions core project doesnt show file related project context information popup functions project able open declaration even classes current project stopped showing context information popup aptana gets unusable considering move back eclipse pdt problem always appears want open context information popup string function call see comments php test strreplace open context information see search replace subject null later popup closed test strreplacetest open context information see nothing,20
