issuekey,title,description,storypoint
BAM-65,allows cvs repo timeout report locking issues,sometimes perform cvs action get something like noformat cvs update waiting mchais lock cvsrootatlassianmaventestbamboo noformat bamboo would probably hang become happy allow bamboo timeout conditionally stop tell user dix problem,3
BAM-3476,result saved checkout fails,happened yesterday hosted bamboo bamboo upgraded build log messages like noformat jan build inttst started building agent default agent jan updating source code revision jan source found optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttst updating source jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginidea jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassiantheplugin jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassian jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacom jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctest jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrcmainjavacomatlassianthepluginideajira jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrcmainjavacomatlassianthepluginideacrucibletree jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrcmainjavacomatlassianthepluginideacrucibleeditoropendifftoolactionjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrcmainjavacomatlassianthepluginideacrucibleeditorcrucibleeditorfactorylistenerjava jan error occurred executing build inttst unable retrieve source code inttst jan change detection found changes jan build inttst started building agent default agent noformat noformat jan build inttst started building agent default agent jan updating source code latest jan working directory optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttst empty checking svn url jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstlicense jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstatlassianideapluginipr jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstdoc jan error occurred executing build inttst failed checkout source code revision head jan manual build triggered wseliga jan build inttst started building agent default agent jan updating source code latest jan source found optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttst updating source jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstdoc jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrc jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctest jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavadocs jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacom jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassian jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassiantheplugin jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginbamboo jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginbambooapi jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginidea jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginideagenericserverconfigurationformtestjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirinttstsrctestjavacomatlassianthepluginideabamboo jan error occurred executing build inttst unable retrieve source code null inttst noformat noformat optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacruciblecruciblerevisionsnumberjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacrucibletreereviewitemtreepaneljava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacrucibletree jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacruciblecruciblecreatepostcommitreviewformjava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacrucibleeditoreditordiffactionimpljava jan optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcssrcmainjavacomatlassianthepluginideacrucibleeditoreditorupdatediffactionimpljava jan error occurred executing build intcs unable retrieve source code intcs jan purging checked code optjeedomainsbambooatlassiancomgdanskwebappsdatabambooattemptxmldatabuilddirintcs jan manual build triggered wseliga jan build intcs started building agent default agent jan updating source code revision noformat however executing svn command line exactly host bamboo installed credentials even worked fine two problems bamboo bump build number build failed nowhere really shown dashboard via remote api still got last build successful although build number logs greater bamboo claimed dashboard via api last build happened last one problems started cleaning working dir full checkout help solved problem full clean using anonymous svn access private account bamboo finally showed new build dashboard number real status suspect problem may also somehow connected svn server could applied security policies avoid dos attacks bamboo bamboo every minutes hundred times trying checkout svn sources without success,2
BAM-3612,talkback elastic agent bamboo server include ebs volume mount results,elastic instanceagent configured mount ebs volume containing snapshot startup progresssuccessfail fed back bamboo server display log tmpsetupebssnapshotlog could used process progress results,2
BAM-3616,users see maven module groupid artifactid version plan,respect subworking directory look poms subworking directory read top level pom modules pom read building read plan may multiple artifacts,5
BAM-3620,postbuildprocessor plugin kick maven pomxml parsing,consider running remote agents functional test postbuilderprocessor plugin behavior,2
BAM-3626,allow gadget server plugin incorporated bamboo,include oauth sal read details,5
BAM-3631,implement sal part,goal goal get compatible sal compatibility kit however tackling subset sal implementation figure much compatibility kit targeting note changed storypoints given tackling sal,5
BAM-3633,implement sal part,remaining work sal see bam part,8
BAM-3634,alert users builds built agents,bamboo alert user plan built period time set default overridden removed user necessary avoid following,1
BAM-3679,patch activemq fix code problem fix hanging agent problem,relies bam minimal patch could ship customers imply creating activemq branch atlassian maintain etc etc,3
BAM-3681,reproduce bam extreme cpu spike beac,little idea could much success reproing,12
