issuekey,title,description,storypoint
DURACLOUD-4,document logging framework,storeclient whenever used creates directory several directories underneath store log files sending logs stdout default andor documented way changes would good,1
DURACLOUD-10,allow simple updating project version numbers,easysimple update version number parts baseline release,3
DURACLOUD-21,jpegk image conversion service,service wrapper service perform conversion images tiff jpegk,8
DURACLOUD-22,jpegk image server service,service wrapper service serve jpegk images,5
DURACLOUD-23,jpegk image viewer service,service wrapper service display jpegk images,3
DURACLOUD-25,messaging add support durastore methods,add messaging support methods available durastore rest api define appropriate topic heirarchy example uses allows greater degree replication filtering allows replication updatedelete allows creation provenance service,3
DURACLOUD-29,replication bulk existing store newempty store,handles replication content existing storespace new storespace allows starting new replicated store,7
DURACLOUD-39,indexing service spacecontent propertiestags search,includes listening changes spacescontent making calls information included search engine index note needs search engine started available work prior working task choice need made indexing tools used likely candidates aws cloudsearch apache solr various comparisons found assist selection task include updates rest api support users querying index,8
DURACLOUD-41,integrity check demand rely duracloud generated hashes,allow afteringest checksum validation test case use validate replicated content store,13
DURACLOUD-60,allow expected checksum value included adding content item,update durastore rest api call storing content item allow including checksum value compared stored files checksum ensure file received correctly,2
DURACLOUD-61,handle files larger,amazon limits files size many customers want store files larger durastore facilitate handling chunking large files smaller files transfer files need stitched back together download well ideally transparent user even far multiple files appearing one space listing proper total file size,3
DURACLOUD-62,enable paxlogging,use osgi container paxtooling increases important container enables configuration bundlelevel logging resources,2
DURACLOUD-63,production ami continuous integration testing,suite automated tests created run schedule start instances production amis check tabsfieldsbuttons duradmin startverify service verify content actions,5
DURACLOUD-64,update development ami,update tomcat user development ami allow calling aptget via sudo password steps call visudo add line end file tomcat allnopasswdusrbinaptget also add necessary systemproperties enabling servicesutil initialize bundlehome,1
DURACLOUD-66,initialize servicesadmin bundlehome runtime,currently bundlehome buildtime configuration item since deployment machine likely different setup particular build machine would useful allow bundlehome set runtime note avoided past building deployed projects deployment machine solutions may potentially initialize rest call initialize file baked ami initialize system property tempting,1
DURACLOUD-68,integrate viewer duradmin content browse,although viewer currently enabled needs tied duradmin content browse order useful jpeg content,3
DURACLOUD-69,modularize project builds,attempt isolate fundamental aspects baseline terms building testing task create three toplevel pomxml separate storage services infrastructure bamboo builds created run,1
DURACLOUD-70,cannot upload empty content,testing akubraduracloud duracloud trunk noticed anytime attempt send empty stream contentstoreaddcontent behaves though request succeeded exception thrown content item never actually gets created heres ive verified far supports uploading empty items verified via sfox contentstore supports listing getting deleting empty items tested uploading empty item test space using sfox duradmin reports error attempting upload empty file able successfully list get delete empty files,1
DURACLOUD-71,filesystem checksum verifier,utility needs walk directory downloaded books generate checksums file read iamanifest provided checksums bookfilesxml compare generated provided checksums,1
DURACLOUD-74,create emc accounts pilot partner,order allow partners use emc storage pilot need create emc account partner add emc credentials durastore initialization partner,1
DURACLOUD-75,largefile chunking durastore,feature accept large streams coming durastorerestapi chunk duracloud,3
DURACLOUD-76,largefile stitching durastore,feature accept requests large streams coming durastorerestapi stitch duracloudchunks single response stream,3
DURACLOUD-81,update rackspace java library,issues resolved rackspace java library based submitted support tickets current library needs added rackspacestorageprovider needs updated account fixes,1
DURACLOUD-86,limit count space items space metadata,current call get space metadata performs count number items space requires getting list entire set content counting included items large number item space take quite around minutes objects rather performing count every time metadata requested space count capped value returned indicates large number objects example cap counting items value could returned cap reached along cap needs way get actual content count would likely work best clientside count since client would able update display indicate count proceeding,1
DURACLOUD-91,memory error uploading large files duradmin,try uploading three files tomcat throw oom error,2
DURACLOUD-93,convert use slfj consistently logging,currently mix logj commonslogging slfj baseline logj commonslogging dependencies including transitive dependencies need pulled favor slfj good reference point chris wilpers completed task thing fedora baseline,3
DURACLOUD-94,conversion service cleanup always happening,conversion service call add converted file storage fails neither converted file original removed work directory cleanup occur regardless whether conversion upload succeed additionally would good idea add retry upload call,1
DURACLOUD-95,service jars kept service work directory,servicesutil specifically serviceinstallerimplexplodeandinstall service package zip unpacked jars found already deployed placed services work directory instead jar count incremented done already jar ignored,1
DURACLOUD-96,unable add metadata content item metadata name includes space,attempting add metadata content item name metadata includes space add fails failure message metadata added content metadata list issue show adding metadata space update issue resolved amazon rackspace similar problem still exists rackspace metadata added content item metadata name includes space appears work properly refresh item disappear,2
DURACLOUD-97,updating mime type content item invalid mime value causes errors,update mime type content item invalid value imagejpeg exception thrown javalangillegalargumentexception error parsing media type imagejpg item accessed via rest api consequently validation check durastore duradmin make sure value provided mime type acceptable,1
DURACLOUD-98,progress bar uploading content items duradmin,right adding content item,1
DURACLOUD-101,create utility sync duracloud filesystem,used sync arbitrary file system directories duracloud storing new updated files one use case direct backup fedora dspace file content duracloud archive duracloud without needing talk directly see detail,16
DURACLOUD-102,add option set color space image conversion service,nypl images prorgb format need converted srgb part process converting tiff images task include option indicate preferred target colorspace call perform image conversion option need included config item deploying service,2
DURACLOUD-103,ability accountadmin add imagemarkup duradmin home page,goal feature allow duradmin include branding organization using duracloud,1
DURACLOUD-104,handle access control duracloud level rather depending storage providers,access control exists version duracloud handled using acl access mechanisms underlying storage providers allow disallow direct access content items provider stores decided duracloud always mediate content access access control managed within duracloud open space allow anonymous read access content duracloud interfaces whereas closed space allow access authorized users,2
DURACLOUD-106,security add application support transport security ssltls,issue enable baseline handle http requests,8
DURACLOUD-111,video streaming service amazon impl,service expose video content amazons cloudfront streaming server,8
DURACLOUD-114,multithread image conversion service,update image conversion service able spin set threads handle conversion process,2
DURACLOUD-115,image conversion service write output frequently,process reporting image conversion results updated output file created continually updated conversion activity progresses makes possible review results even service running makes results available even service complete properly,2
DURACLOUD-118,stylize logout button,addition security duradmin logout button added baseheaderjsp needs properly formattedstylized,1
DURACLOUD-126,create content retrieval tool,tool complement sync tool command line utility would used pull content duracloud space local file system part activity reconstituting chunked files,4
DURACLOUD-128,anonymous storeclient,contentstoremanagerimpl needs updated allow anonymous users read access content notes skype bill branan primary store queried contentstoreimpl created storageprovidertype storeid could pass storageprovidertypeunknown storeid null addstoreidqueryparameter method would need check null adding query param null param included durastore reads use primary store andrew woods entry point bill branan new public method contentstoremanagerimpl getcontentstoreasanonymous something,1
DURACLOUD-130,investigate sojo dependency,hello danny noticed couple build failures due new dependency duradmin apparently always available hosting maven repository namely netsfsojosojooptionaljar looks like transitive dependency pulled recently netsfspringjsonspringjsonjar would able testing see duradmin actually needs dependency need pull duraspace maven repository since probably runtime dependency ajax tooling could remove local maven repository place exclude element duradmin pomxml run application see actually used anywhere naturally double check local repository make sure slip back thanks andrew planning putting new pageform duradmin allows showingaddingremovingupdating security users initial page baseline could make usable presentable talk length later,1
