issuekey,title,description,storypoint
GHS-1681,generic webwork aliases may clash plugins,web work actions commands generic aliases update move synch etc aliases good chance clash action name aliases used plugins aliases given name specific plugin updategreenhopperdropboard alternatively bang syntax used place command aliases dropboardactionupdate case need define aliases commands however still need define alias empty string otherwise npe thrown parsing xml,5
JSW-1681,generic webwork aliases may clash plugins,web work actions commands generic aliases update move synch etc aliases good chance clash action name aliases used plugins aliases given name specific plugin updategreenhopperdropboard alternatively bang syntax used place command aliases dropboardactionupdate case need define aliases commands however still need define alias empty string otherwise npe thrown parsing xml,5
GHS-1819,add text agile gadget invalid project message,error invalid project add details project configured use greenhopper invalid project configured use greenhopper,2
JSW-1819,add text agile gadget invalid project message,error invalid project add details project configured use greenhopper invalid project configured use greenhopper,2
GHS-1882,greenhopper ranking field displayed correctly using confluence jira issues macro,using greenhopper ranking field conjunction jiraissues macro actual database field value reported xml rather sanitized version,20
JSW-1882,greenhopper ranking field displayed correctly using confluence jira issues macro,using greenhopper ranking field conjunction jiraissues macro actual database field value reported xml rather sanitized version,20
GHS-2047,version set create issue screen jira greenhopper,costumer project users dont schedule permission means cannot manage project backlog however need ability raise new defects inside specific version testing sprintversion via jira create new issue screen cannot via greenhopper user interface using button new card version fixed unscheduled case user ability set version jira create issue greenhopper new card screens,5
JSW-2047,version set create issue screen jira greenhopper,costumer project users dont schedule permission means cannot manage project backlog however need ability raise new defects inside specific version testing sprintversion via jira create new issue screen cannot via greenhopper user interface using button new card version fixed unscheduled case user ability set version jira create issue greenhopper new card screens,5
GHS-2478,user would like ability see horizontal swimlane rapid board,cos based issue priority blocker show swimlane necessary warning swimlane exceeds max amount jql longer term order implement kanban concepts like service class etc need able create horizontal swimlanes limited wip example might want standard limit expedite limit fixed delivery date limit leankit kanban feature actually far advanced describing,13
JSW-2478,user would like ability see horizontal swimlane rapid board,cos based issue priority blocker show swimlane necessary warning swimlane exceeds max amount jql longer term order implement kanban concepts like service class etc need able create horizontal swimlanes limited wip example might want standard limit expedite limit fixed delivery date limit leankit kanban feature actually far advanced describing,13
GHS-2863,greenhopper appends project ids url adding list enabled projects causes http error,per ticket adding select projects allowed projects listing administration greenhopper enabled projects adding project allowed list creates request url like response temporarily moved post content size zero listvalue entry keeps getting longer eventually list gets long page load due http request entity large error screenshots dev console chrome attached,3
JSW-2863,greenhopper appends project ids url adding list enabled projects causes http error,per ticket adding select projects allowed projects listing administration greenhopper enabled projects adding project allowed list creates request url like response temporarily moved post content size zero listvalue entry keeps getting longer eventually list gets long page load due http request entity large error screenshots dev console chrome attached,3
GHS-2881,investigate log work operation task task board redirect page assignee,steps reproduce click agile tab navigate chart board task board choose assignee display cards user assignee log work expected result work succesfully logged card make assignee unchanged maintaining assignee actual result work logged successfully card set assignee,2
JSW-2881,investigate log work operation task task board redirect page assignee,steps reproduce click agile tab navigate chart board task board choose assignee display cards user assignee log work expected result work succesfully logged card make assignee unchanged maintaining assignee actual result work logged successfully card set assignee,2
GHS-2882,changing fixversion card fixversion outside parent results page refresh change fixversion filter unexpected inconsistent behaviour,quote bug appeared update task board select version developer change version task version filter changes version developer selected filter assignees working fine least behaviour flter stayed place little message said something cant view message working filter current behavior really annoying get back version working using planning board option cannot filter developer quote,5
JSW-2882,changing fixversion card fixversion outside parent results page refresh change fixversion filter unexpected inconsistent behaviour,quote bug appeared update task board select version developer change version task version filter changes version developer selected filter assignees working fine least behaviour flter stayed place little message said something cant view message working filter current behavior really annoying get back version working using planning board option cannot filter developer quote,5
GHS-2923,workloghistorycacheimpl doesnt remove cache registration disposal,jst possible disable reenable plugin upm atm problem comatlassiangreenhopperservicetimetrackingworkloghistorycacheimpl doesnt clean registered cache disposal implement orgspringframeworkbeansfactorydisposablebean call cachemanagerremovecachecachename watch ise check netsfehcachecachemanagercacheexistsstring afterpropertiesset,2
JSW-2923,workloghistorycacheimpl doesnt remove cache registration disposal,jst possible disable reenable plugin upm atm problem comatlassiangreenhopperservicetimetrackingworkloghistorycacheimpl doesnt clean registered cache disposal implement orgspringframeworkbeansfactorydisposablebean call cachemanagerremovecachecachename watch ise check netsfehcachecachemanagercacheexistsstring afterpropertiesset,2
GHS-2987,user would like ability edit remaining estimate without using jira log work dialog,acceptance criteria clicking remaining estimate field allow inline edit similar behaviour new inline text edit behaviour,8
JSW-2987,user would like ability edit remaining estimate without using jira log work dialog,acceptance criteria clicking remaining estimate field allow inline edit similar behaviour new inline text edit behaviour,8
GHS-2989,ability print standard index cards,process migrating another system jira currently using bubblejet printer print stories directly onto index cards current greenhopper printing functionality cant print one card per page therefore cant print directly onto cards would like ability print one card per page card layout sized fit well index card,2
JSW-2989,ability print standard index cards,process migrating another system jira currently using bubblejet printer print stories directly onto index cards current greenhopper printing functionality cant print one card per page therefore cant print directly onto cards would like ability print one card per page card layout sized fit well index card,2
GHS-2994,user would like days remaining gadget cascade select release date exist even within child version,instance present selects parent version release date set cause dont yet know release instead select child version release date,3
JSW-2994,user would like days remaining gadget cascade select release date exist even within child version,instance present selects parent version release date set cause dont yet know release instead select child version release date,3
GHS-2998,user would like rapid board available via labs,cos labs option general configuration enabledisable rapid board rapid board displayed agile drop enabled feedback button using andreas jira plugin header manage option rapid board current,5
JSW-2998,user would like rapid board available via labs,cos labs option general configuration enabledisable rapid board rapid board displayed agile drop enabled feedback button using andreas jira plugin header manage option rapid board current,5
GHS-3003,user would like past three comments space permitting issue displayed detailed card view rapid board,cos link show next comments left link show remaining comments left details total number comments tools edit index twixy expanded default,5
JSW-3003,user would like past three comments space permitting issue displayed detailed card view rapid board,cos link show next comments left link show remaining comments left details total number comments tools edit index twixy expanded default,5
GHS-3006,rapid board user would like return last viewed rapid view click agile tab,cos rapid board user remembered rapid view last visit would like taken click agile instead taken planning board,5
JSW-3006,rapid board user would like return last viewed rapid view click agile tab,cos rapid board user remembered rapid view last visit would like taken click agile instead taken planning board,5
