issuekey,title,description,storypoint
MESOS-313,report executor terminations framework schedulers,scheduler interface callback executorlost currently never called,2
MESOS-336,mesos slave cache executors,slave smarter handles pulling executors environment executors rarely change slave always pull regardless hdfs puts undue stress hdfs clusters resilient reduced hdfs availability,5
MESOS-343,expose taskfailed reason frameworks,message string inside taskstatus provides human readable information taskfailed would good add structure failure reasons framework schedulers act programmatically enum taskfailure executoroom executoroutofdisk executorterminated slavelost etc,8
MESOS-487,balloon framework fails run due bad flags,suspect latest flags refactor vinodsmfdbkqsr build sudo glogv binmesostestssh gtestfilterballoon verbose warning logging initgooglelogging written stderr processcpp libprocess initialized cpus loggingcpp logging stderr source directory homevinodmesos build directory homevinodmesosbuild cannot run cgroups tests require mounting hierarchies following hierarchies mounted cgroup well disable cgroupsnohierarchytest test fixture note google test filter ballooncgroupsnohierarchytestrootcgroupsnohierarchymountunmounthierarchy running test test case global test environment setup test cgroupsisolatortest run cgroupsisolatortestrootcgroupsballoonframework using temporary directory tmpcgroupsisolatortestrootcgroupsballoonframeworkpwwde launched master failed load unknown flag builddir usage ltmesosmaster supported options allocationintervalvalue amount time wait performing batch allocations sec etc default secs clustervalue human readable name cluster displayed webui frameworksortervalue policy use allocating resources given users frameworks options userallocator default drf nohelp prints help message default false ipvalue address listen logdirvalue location put log files default nothing written disk unless specified affect logging stderr logbufsecsvalue many seconds buffer log messages default portvalue port listen default noquiet disable logging stderr default false norootsubmissions root submit frameworks default true slavesvalue initial slaves considered part cluster using zookeeper url default usersortervalue policy use allocating resources users may one dominantresourcefairness drf default drf webuidirvalue location webui filesassets default usrlocalsharemesoswebui whitelistvalue path file list slaves one per line advertise offers form filepathtofile default zkvalue zookeeper url used leader election amongst masters may one zkhostporthostportpath zkusernamepasswordhostporthostportpath filepathtofile file contains one default redmaster crashed failing test homevinodmesossrctestsballoonframeworktestsh line kill process srctestsscriptcpp failure failed balloonframeworktestsh exited status failed cgroupsisolatortestrootcgroupsballoonframework test cgroupsisolatortest total global test environment teardown test test case ran total passed tests failed test listed failed cgroupsisolatortestrootcgroupsballoonframework failed test,1
MESOS-598,also check git diff shortstat staged postreviewspy,current check changes run postreviewspy dont check staged changes iiuc could get lost,1
MESOS-708,static files missing lastmodified http headers,static assets served mesos master dont return lastmodified http headers means clients receive status code redownload assets every page request even assets havent changed angular work downloading happens navigate mesos master browser use browsers refresh example header mesoscss http date thu sep gmt contentlength contenttype textcss clients sometimes use date header effect lastmodified date always time response server changes every request makes assets look new every time lastmodified header added last modified time file subsequent requests files master return responses content rather full files could save clients lot download time since mesos assets rather heavyweight,2
MESOS-723,expose total number resources allocated slave endpoint,could useful information bugs masterslave causes slaves overcommit resources,2
MESOS-752,slaverecoverytestreconciletasksmissingfromslave test flaky,run slaverecoverytestreconciletasksmissingfromslave checkpointing executors forked pid tmpslaverecoverytestreconciletasksmissingfromslaventbtbmetaslavesframeworksexecutorsbfceebacarunsceccceeaaaaedfeddcbpidsforkedpid fetching resources tmpslaverecoverytestreconciletasksmissingfromslaventbtbslavesframeworksexecutorsbfceebacarunsceccceeaaaaedfeddcb registered executor localhostlocaldomain starting task bfceebaca forked command sleep testsslaverecoverytestscpp failure mock function called times expected returning directly function call statusupdatexfffaeeb xfa byte object expected called actual called twice oversaturated active command exited status pid,1
MESOS-786,update semantics framework registeredreregistered get called,current semantics framework connects master first time registered framework reconnects master blip reregistered framework reconnects failed master registered failed framework connects master registered failed framework connects failed master registered updated semantics everything except framework reconnects failed master reregistered,3
MESOS-830,examplestestjavaframework flaky,identify cause following test failure run examplestestjavaframework using temporary directory tmpexamplestestjavaframeworkwscu enabling authentication framework mastercpp master started mastercpp master mastercpp master allowing authenticated frameworks register slavecpp slave started slavecpp slave resources cpus mem disk ports slavecpp slave started slavecpp slave resources cpus mem disk ports mastercpp newly elected leader master mastercpp elected leading master statecpp recovering state tmpexamplestestjavaframeworkwscumeta statusupdatemanagercpp recovering status update manager processisolatorcpp recovering isolator slavecpp finished recovery statecpp recovering state tmpexamplestestjavaframeworkwscumeta slavecpp slave started statusupdatemanagercpp recovering status update manager schedcpp authenticating master master slavecpp slave resources cpus mem disk ports slavecpp new master detected master processisolatorcpp recovering isolator schedcpp detecting new master authenticateehpp initializing client sasl statecpp recovering state tmpexamplestestjavaframeworkwscumeta statusupdatemanagercpp new master detected master slavecpp detecting new master slavecpp finished recovery mastercpp attempting register slave vkonelocal slave statusupdatemanagercpp recovering status update manager slavecpp new master detected master mastercpp adding slave vkonelocal cpus mem disk ports processisolatorcpp recovering isolator slavecpp detecting new master statusupdatemanagercpp new master detected master slavecpp registered master master given slave mastercpp attempting register slave vkonelocal slave mastercpp adding slave vkonelocal cpus mem disk ports slavecpp checkpointing slaveinfo tmpexamplestestjavaframeworkwscumetaslavesslaveinfo hierarchicalallocatorprocesshpp added slave vkonelocal cpus mem disk ports cpus mem disk ports available slavecpp registered master master given slave slavecpp finished recovery slavecpp checkpointing slaveinfo tmpexamplestestjavaframeworkwscumetaslavesslaveinfo hierarchicalallocatorprocesshpp added slave vkonelocal cpus mem disk ports cpus mem disk ports available slavecpp new master detected master statusupdatemanagercpp new master detected master slavecpp detecting new master mastercpp attempting register slave vkonelocal slave mastercpp adding slave vkonelocal cpus mem disk ports slavecpp registered master master given slave slavecpp checkpointing slaveinfo tmpexamplestestjavaframeworkwscumetaslavesslaveinfo hierarchicalallocatorprocesshpp added slave vkonelocal cpus mem disk ports cpus mem disk ports available authenticateehpp creating new client sasl connection mastercpp authenticating framework scheduler authenticatorhpp initializing server sasl authenticatorhpp creating new server sasl connection authenticateehpp received sasl authentication mechanisms crammd authenticateehpp attempting authenticate mechanism crammd authenticatorhpp received sasl authentication start authenticatorhpp authentication requires steps authenticateehpp received sasl authentication step authenticatorhpp received sasl authentication step authenticatorhpp authentication success authenticateehpp authentication success mastercpp successfully authenticated framework scheduler schedcpp successfully authenticated master master mastercpp received registration request scheduler mastercpp registering framework scheduler hierarchicalallocatorprocesshpp added framework mastercpp sending offers framework registered launching task launching task launching task mastercpp processing reply offer slave vkonelocal framework masterhpp adding task resources cpus mem slave vkonelocal mastercpp launching task framework resources cpus mem slave vkonelocal mastercpp processing reply offer slave vkonelocal framework masterhpp adding task resources cpus mem slave vkonelocal mastercpp launching task framework resources cpus mem slave vkonelocal mastercpp processing reply offer slave vkonelocal framework masterhpp adding task resources cpus mem slave vkonelocal mastercpp launching task framework resources cpus mem slave vkonelocal slavecpp got assigned task framework slavecpp launching task framework slavecpp got assigned task framework slavecpp got assigned task framework hierarchicalallocatorprocesshpp framework filtered slave secs slavecpp launching task framework hierarchicalallocatorprocesshpp framework filtered slave secs hierarchicalallocatorprocesshpp framework filtered slave secs slavecpp launching task framework slavecpp queuing task executor default framework processisolatorcpp launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsbadbdebbeb resources framework processisolatorcpp forked executor slavecpp monitoring executor default framework forked pid slavecpp queuing task executor default framework processisolatorcpp launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsbdedabaebea resources framework processisolatorcpp forked executor slavecpp monitoring executor default framework forked pid slavecpp failed watch executor default framework already watched slavecpp queuing task executor default framework processisolatorcpp launching default usersvinodworkspaceapachemesosbuildsrcexamplesjavatestexecutor tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsddadacbabab resources framework processisolatorcpp forked executor slavecpp monitoring executor default framework forked pid slavecpp failed watch executor default framework already watched fetching resources tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsbdedabaebea fetching resources tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsbadbdebbeb fetching resources tmpexamplestestjavaframeworkwscuslavesframeworksexecutorsdefaultrunsddadacbabab slavecpp got registration executor default framework slavecpp flushing queued task executor default framework slavecpp got registration executor default framework slavecpp flushing queued task executor default framework slavecpp got registration executor default framework slavecpp flushing queued task executor default framework registered executor vkonelocal slavecpp handling status update taskrunning uuid fbaffcf task framework executor statusupdatemanagercpp received status update taskrunning uuid fbaffcf task framework statusupdatemanagercpp forwarding status update taskrunning uuid fbaffcf task framework master registered executor vkonelocal mastercpp status update taskrunning uuid fbaffcf task framework slave slavecpp sending acknowledgement status update taskrunning uuid fbaffcf task framework executor status update task state taskrunning statusupdatemanagercpp received status update acknowledgement uuid fbaffcf task framework registered executor vkonelocal slavecpp handling status update taskrunning uuid cbaaceaafeffc task framework executor statusupdatemanagercpp received status update taskrunning uuid cbaaceaafeffc task framework statusupdatemanagercpp forwarding status update taskrunning uuid cbaaceaafeffc task framework master slavecpp sending acknowledgement status update taskrunning uuid cbaaceaafeffc task framework executor mastercpp status update taskrunning uuid cbaaceaafeffc task framework slave status update task state taskrunning statusupdatemanagercpp received status update acknowledgement uuid cbaaceaafeffc task framework slavecpp handling status update taskrunning uuid cbcdccba task framework executor statusupdatemanagercpp received status update taskrunning uuid cbcdccba task framework statusupdatemanagercpp forwarding status update taskrunning uuid cbcdccba task framework master mastercpp status update taskrunning uuid cbcdccba task framework slave slavecpp sending acknowledgement status update taskrunning uuid cbcdccba task framework executor status update task state taskrunning statusupdatemanagercpp received status update acknowledgement uuid cbcdccba task,8
