issuekey,title,description,storypoint
MDL-1626,forum perdiscussion subscription,finding inbox absolutely flooded unwanted moodle mails forum script annoying know similarly annoy users fact put system problem arises unlike discussion boards moodle messages emailed entire forum thread started responded overwhelming peoples inboxes serious business could said moodle generating spam email feature unfocused chance going improved please,100
MDL-3714,forum reply email,ability post forums via email,100
MDL-5583,allow teachers specify certain fields database activity required,creating database allow teacher specify whether field must filled,20
MDL-8501,forum proceed next thread link,please put link jump next thread forum interface forums cool evaluation process time consuming teacher time everything evaluating students,20
MDL-10115,use profiles course list arbitarily limited way seeing complete list,viewing users profile list courses exceeds think ellipsis displayed seems bit useless cant click ellipsis see rest courses list isnt even alphabetic order becomes even arbitrary ellipsis easy miss may realise list truncated suggest either making work properly ellipsis clickable list considered important put many courses show exceeds certain amount would seem sensible display alphabetic order without difficult administrator see courses user example checking role assignments,13
MDL-12403,backup import single quiz includes questions database,making backup individual quizzes matter many quizzes back backup includes questions question bank used quiz backing extreme case back single quiz restore another course unintentionally transfer hundreds questions along quiz happens importing quiz another course,100
MDL-13114,include bulk course create remove moodle use csv files,looking moodle replacement blackboard enterprise order moodle viable replacement need way bulk create delete courses based csv files bulk create courses handled use party module uploadcoursephp created rory allford however import say courses theres way bulk remove end semester removing would time consuming would really prefer functionality included within moodle relying party modules matter good inherits risk module stops getting updated,100
MDL-16073,add test database setup external database enrollment authentication plugins,hard test whether administrative panel external database authentication external database enrollment configured correctly currently create fake user accounts similar try authenticate enroll see receive email etc least thats tested someone better way woule nice test connection button page goes makes sure info username password connection etc data mapping correct prints stuff screen easytoread report thank,4
MDL-16474,allow singleitem scales,singleitem scale useful used moodleorg demand see currently scales items may created,8
MDL-16982,adding data mapping custom user fields,like possibility add data mapping custom user fields use ldap auth modules,40
MDL-17081,implement importexport permissions settings manage roles tab,suggest implement import export settings role permissions see two proposed solutions probably one need implemented particularly useful larger enterpriselevel moodle implementation often staging testing development moodle installations customized role settings pain butt manually change one one long list permissions newly deployed moodle instances thanks,20
MDL-18014,automatically periodically save wysiwyg editor content draftconcept,emerged discussion mdl shortly use ajax automatically periodically every minute save content wysiwyg editor concepts drafts space see gmail working example seems could use table mdlpost therefore changes required flag rich text field definitions enables feature every wysiwyg uniq identifier concepts accessible owners admins maybe via card profiles lifetime subject configuration couple hours default,40
MDL-18229,add grade item student grades quick edit feature grader report,add grade item student grades quick edit feature grader report enable editing grade item student grades feedback grade overrides excluded grades thanks developers lsu feature see details,100
MDL-18375,displaying selecting dates throughout moodle allow use multiple calendars,implemented patch add capability working calendar systems gregorian ill provide instructions apply patch following post,100
MDL-18633,user profile add last field user view,similar mdl request add last address could useful site administrator trying track user last access moodle patch attach ill come one head well peace anthony,2
MDL-18770,nongraded assignment quizzes appear gradebook max grade assigned,nongraded assignment quizzes getting displayed gradebook look like included aggregation catitems interface since max grade value set activities behave definitely forum graded appear gradebook column expected behavior add assignment set grade column still appear gradebook catitems interface display max grade column points though actually included calculation add assignment set graded scale scales included aggregation maximum grade catitems interface display number items scale confusing since one would expect calculated toward coursecategory total add quiz add questions make quiz worth points maximum grade catitems interface still points interestingly enough manually delete gradebook column kind quiz delete column way add back even though make quiz gradable think mdl related,13
MDL-20045,add unofficial support custom context levels,issue reference brief one moodle extensions would benefit greatly able use moodles roles contexts system would need define context levels however would like able without differ core unmaintainable ways believe would helpful many moodle partners plugin developers proposed changes may help improve maintainability readability core moodle code,40
MDL-20250,add admin settings disabling particular gradebook calculations category overriding grade minimum grader report,admin setting selecting aggregation types available added moodle admin settings disabling gradebook features multiplicator offset calculations see mdl details exactly features added moodle,40
MDL-21180,category children default extra credit category agg switched weighted simple,category set weighted mean grades children weights assigned category agg method switched simple weighted mean grades chlldren extra credit kinda supposedly fixed mdl took account item moved category swm entire category switched common parts,40
MDL-21415,course participation report doesnt abide separate groups,havent tested versions participation report shows students nonediting teacher group courses set separate groups permissions nonediting teacher showallgroups set prevent log nonediting teacher set course reports click participation report choose activity set show student student show shouldnt participation report also respect separate groups,20
MDL-21469,chat window uses browser language rather preferred language set profile,steps reproduce set browser language say dutch login demomoodlenet demo accounts access click enter chat expected result text chat window english preferred language set profile actual result text chat window dutch,3
MDL-22236,design way send files web service upload,find way send files draft file area moodle use web service calls original issue description quote sending files hub currently works design refused petr uses token post request files talking dongsheng petr conclusion sending files web service probably called cron script file big biggest files chunked order sent implies write new file web service design downloading files could need follow design quote,40
MDL-22669,moodle bug course restore section count,course importrestore source course sections create increase numsections modules nonexistant sections sent section,8
MDL-23646,tinymce cant resized doesnt scroll wide content especially small screens,editing html page netbook think one saw eeepc screen small dragging handle tinymce gets cut whole thing pretty well useless see example idea something fixable setting default width editor based width browser thought mention anyway replication steps log admin navigate site admin appearance site selector choose theme blocks right binarus navigate course create page resource reduce size browser window note effect html editor expected result html editor resizes covered blocks right actual result right edge html editor disappears blocks,20
MDL-24120,allow admin remain logged login procedure,log admin moodle course home page enough participants block select student login himher something least nothing return personal account end process always logged,20
MDL-24287,convert group members selector shifted yui module,working mdl think good idea convert groupuser selectors object orientated yui modules arguments passed rather set globals within page make code clearer help improve sandboxing cheers sam,13
MDL-24343,properly deprecate unzipfilezipfile,sam related recent commit mdl grep code base found couple instances deprecated unzipfilezipfile used questionformatblackboardsixformatphp libcomponentlibphp peace anthony perhaps create meta issue grep deprecated functions part code clean,3
MDL-24380,chat autoscroll help popup incorrect doesnt display fully concerns alternative chat methods,autoscroll help popup gives info using chat rather autoscroll feature,3
MDL-24775,pagedown key press tinymce editor destroys entire page layout,page tinymce editor kill layout maybe almost page moodle,20
MDL-25473,embedded videos via linking course file loops finished playing,embed quicktime video like code href code loops automatically finished playing doesnt happen flv videos went moodle folder filter multimediaplugin find every occurrence word loop change true false went back video embedded added tag embedded link code param nameloop valuefalse code video stopped playing,5
MDL-25544,improve grader report user interface,issue large one focussed improving usability accessibility teachers using moodle gradebook grader report browsers including touch screens screen readers moodle gradebook working group met june determined number key required features detailed specification still finished nutshell expect full screen spreadsheetlike display scrolls well static headers footers filters quickly reduce information dealt links rowcolumn editors speed affordances,100
MDL-26170,deleted forum blog posts rss block,moodle even deleting forumblog post continues show rss block even cron run spammers exploit,8
MDL-26244,choose link database url field gives confusing message,going addedit record modules plugins database user founds lot choose link button problem buttons completely useless file picker page call displays spiacente nessuno dei repostory disponibili restituire file esterni english sound like sorry none available repository may return external files please take buttons,8
MDL-26408,ims enterprise admin notifications fail messagesend,error coding error detected must fixed programmer could load preference messageproviderimsenterpriseimsenterpriseenrolmentloggedoff component name supplied messagesend match row messageproviders message providers must appear database users configure notified receive messages blah stack trace line libmessagelibphp codingexception thrown line enrolimsenterpriselibphp call messagesend line libcronlibphp call enrolimsenterpriseplugingtcron line admincronphp call cronrun look like dbmessagesphp,2
MDL-27158,default timezone incorrect set php configuration,datetimezone set php server configuration moodle sets base timezone phps default asiajayapura set timezone administration area say australiaadelaide time half hour fast datetimezone set php server configuration issue problem seems php still thinking asiajayapura base timezone gmt hours moodle stores timestamp subtracts hours current time storing utc timestamp value moodle goes display time assignment conditional access times adds hours timestamp gives incorrect time using servers local time works fine issue either however moodle set use servers local time user manually sets timezone incorrect might related mdl seems little different,20
MDL-27339,link create file system instance work,admin defined user add repository instances user context user sees create file system instance link dont get permission screen shows left left side admin settings parts middle right side users view,5
MDL-27953,upload users option allow following authentication options manual account login,uploading csv file users choose authentication dropdown gives following options manual account login get following authentication options manual account login ldap server emailbased selfregistration,8
MDL-28162,error automated backup status,using automated backup continue receive errors summary courses skipped error unfinished courses werent saved see courses save others skipped unfinished errors look like course time taken statusnext backup ashs vle jul jul jul gcse ict unit jul may unfinished may student council jul may unfinished may staff room may may skipped may resources jul may error may gcse ict chap may may skipped may gcse ict unit jul may error may functional skil jul jul jul ict group jan jan skipped jan year jul jul jul year ict jul jul jul year ict jul jul jul gcse french jul jan error jan gcse german jul jul jul gcse maths jul jul jul try look detailed backup logs course get message detailed execution log course ashs vle logs found,100
MDL-28448,teachers cannot delete user submissions advanced uploading files,teachers ability delete submitted files well revert status draft teacher deletion files possible,20
MDL-28631,forbid use cookies especially javascript,developers theme designers keep smuggling cookies compatible cfgcookie privacy laws simply stop relying cookies necessary use user preferences offenders admin roles libcookiesjs scorm data model repository anomaly theme solution educate integrators developers see mdl ajax user preferences fix code fix dev docs,40
MDL-29070,clean enrolimsenterprise following coding guidelines,reviewing mdl detected enrolimsenterpriselibphp one worst files ive seen pov moodle coding guidelines spaces comments ifloop think would great perform general cleanup consideration dev stable branches note right file master sending stable backlog initially ciao,3
MDL-29441,chat window pop separate groups,using separate groups click enter chat nothing select groups enter chat replication steps setup groups chat group mode separate groups upper left corner select group try enter chat,4
MDL-30195,export forum discussion without attachments google docs portfolio,weve got google docs portfolio enabled moodle site want export forum discussion google docs forum post within discussion contains attachments export works flawlessly soon forum post within discussion contains attachment mainly image exporting whole discussion nice meaningless error message saying common formats available portfolio plugin calling location forumportfoliocaller exporting single post google docs available anymore portfolio would possible improve export forum discussion google docs regardless attachment user gets least discussion text,20
