issuekey,title,description,storypoint
TDQ-249,sql server single sign support doesnt work data profiler repository connections,data profiler perspective cant use single sign libraries connect sql server even library loaded weve used single sign capabilities job designer havent issues running jobs using data viewer etc however switch data profiler connection returns library isnt loaded check javalibrarypath system property values appropriate library everyone installed dll jtds project library paths,3
TDQ-309,remove two columns frequency tables,bcolumnbasicjrxml report frequency tables must following columns indicator indicator perc see screenshot todo remove columns kind frequency table,8
TDQ-2018,connection analysis informationschema,create connection analysis mysql retrieve informations databases except informationschema data nan tables data schema,5
TDQ-2699,multiple analysis indicators grayed cannot used,attempting analyze table columns analysis indicators available,3
TDQ-1816,view invalid rows menu display table analysis rule,rule join condition impossible view invalid rows analysis results option displayed see screen captures,8
TDQ-2350,hide mdm connection data explorer perspective,mdm connection repository mysql connection switch data explorer perspective try open new sql editor got exception shown screen capture mdm connection hide mdm connection data explorer perspective,3
TDQ-2045,reload database list mdm connection doesnt work,reload database list action mdm connection doesnt work,20
TDQ-616,list patterns display folders,see bug working correctly working,3
TDQ-655,improve error message declare data profiler reporting,declare preferences data profiler reporting error message grant access user possible add better message picture,5
TDQ-1901,import oracle synonyms metadata,request include feature import synonyms oracle database along tables views metadata tree connections able create run analysis synonym thanks chandana busetty,40
TDQ-785,time correlation analysis running studio got stuck,create new time correlation analysis use tbi database customer table birthday dateaccntopened columnwhich contains null value run analysis want operation studio slowly sure reason mzhao told perhaps column contains null value,8
TDQ-854,analysis run right click summary section right,open analysis run right click run summary information right number execution run toolbar button editor area take look testlink case,3
