issuekey,title,description,storypoint
TESB-33,common setup esb runtime code repositories github,code repository expected setup new git github code repository new talend esb development tasks goal repository contains artefacts later part new esb higher code base,3
TESB-34,initial build system setup,concept within wiki internal build system structures focus using maven tyco use nexus parties maven repo potentially repos might away snapshots fully versioned artefacts even within development repo parties evaluate pros cons continue cruise control get significant featurews hudson,3
TESB-35,get familar cxf,team mebers worked cxf asked get familar cxf using exporing bit documentation examples apache cxf website also documented examples provided talend release,8
TESB-36,service locator install,get familar install zookeeper apache hadoop subproject get used distributed setup webui provided zookeeper,2
TESB-37,service locator provider registration,create cxf interceptor way could register current provider via standard zookeeper client,3
TESB-39,agreed policy handling cxf,item intended deliver concept deal agreed policies general cxf environment define configure cxf processing chain based agreed policy current agreed polices like proofof concept implementation,5
TESB-40,webui mockup,create initial specification new service registry runtime registry based featues api defined tesb tesb look feel aligned tis admindistration center,2
TESB-53,proxy settings web service schema mandatory userpassword,proxy settings web service schema userpassword mandatory optional fields,1
TESB-54,xml mapping dialog doesnt support namespaces imported xml tree,import importedxmltreexml xml tree configure xml tree dialog twritexmlfield produced output codexml soapenvenvelope soapenvheader soapenvbody vgetresource typeservicedescription namespace nametestservicename vgetresource soapenvbody soapenvenvelope code expected codexml soapenvenvelope xmlnssoapenv soapenvheader soapenvbody vgetresource xmlnsv typeservicedescription namespace nametestservicename vgetresource soapenvbody soapenvenvelope code namespaces ignored importing xml tree achive desired output manually add namespaces xml tree configure xml tree dialog,1
TESB-55,xml mapping dialog doesnt support namespaces correctly imported xml schema,import importedxmlschemaxsd xml tree configure xml tree dialog twritexmlfield produced output codexml xmlns typeservicedescription namespace nametestservicename code expected codexml comid xmlnscom typeservicedescription namespace nametestservicename comid code nested elements default empty namespace achive desired output manually reconfigure namespaces xml tree configure xml tree dialog,1
TESB-56,xml mapping dialog doesnt allow choose type imported xml schema,import multipletypesxsd xml tree configure xml tree dialog twritexmlfield possibility choose schema type use xml mapping also reproducable via creating file xml metadata output xml type using schema file,1
TESB-139,create service locator mockup,create specification service locator remark even though apache zookeeper project provides really inuitive visualize appearance removal service providers technical remark web implementation made gwt,3
TESB-141,specification updated talend esb registry,provide specification new talend esb registry stronger focus pure runtime part specification expected describe detail use cases support new registry also longer support asf registry service api data model relationships maintain implementation technology content repository final decision using jackrabbit base spec please use,5
TESB-144,define deployment package structure examples,definition structure zip file allow deploy within wsdl policies etc structure intented implemented later deploy operation,2
TESB-151,sts provider implementation servlet api dummy issue operation implementation,implement new cxf provider based wstrust api primary deployment sts provider tomcat war file provider also expectred run later osgi environment equinox karaf wsdl spec wstrust sts see additionally implement issue operation service way given usernametoken andor token return dummy saml token spec created using latest version opensaml far always return example saml token within issue operation implementation,3
TESB-158,documented example rentacar service talend esb osgi,rebuild rentacar service cxf jaxws consumer provider similar provided swordfish tutorial helios also swing client migrated work within example new talend esb service consumers providers within osgi container equinox karaf expected consumer switch static local configpolicies dynamic policies even though initial needs work local configurationpolicies,3
TESB-205,new components tesbproviderrequest tesbproviderresponse,develop test document two new components tesbproviderrequest tesbproviderresponse components work similar twebservicerequest provider side code generated components use esb service factory aka cxf,3
TESB-274,rtc policy resolver impl,implementation initial policy resolver able configure processing chain cxf effective policy document get outside could local file limited demonstrated existing cxf policies authentication assumptions endpoint consumerprovider user decide chain dynamically provided policy config static configured local configpolicies least initially support mixed mode far policy negotiation done within local policy resolver expected chain reconfigured cache invaliation,5
TESB-278,provider registration impl,cxf provider registration service locator startup implementation based results incl heardbeat provider availablility check,3
TESB-279,endpoint resolver,consumer service locator able retieve list available provider endpoints given service uses inital random selection strategy select single endpoint provider list one exists client also able use different instances switch automatically another instance one used disappeared workflow supported consumer given service get list existing providers instances select list endpoint used using simple startegy randomly pick one entry list design keep selected endpoint also fro subsequent requests refresh reload list list endpoints current selected endpoint results connection refused error use new endpoint remark also try useleveragetake account fail feature available cxf remark mainly leverage zookeeper client features,3
TESB-280,installation user manual draft,installation configuration manual draft,3
TESB-281,sts issue standard samltoken saml,implement issue operation sts framework service support following inboundoutbound tokens inbound usernametoken token outbound saml holderofkey bearer subject confirmation methods verify incoming usernametoken would use local file tomcatusersxml validation certificate would use local keystore jks configured location user pwd access store target runtime environment tomcat optional osgi container purpose intended apache cxf example implementation demonstrate sts frameweok service could used,2
TESB-282,rtc specification effective policy format xml concrete policy definition samltoken usernametoken authorization compression,define new agreed policy format detail expect send created future also provide concrete definition policy document authentication samltoken usernametoken remark goal get sclose possible standard wspolicy wssecurity policy definitations remark effectivew policy new name use future named agreed policy,3
TESB-369,develop additional tujs testing tesbconsumer components,information tujs find testing results,5
TESB-475,sts issue standard samltoken saml,extentionalternative tesb also like issue saml token request demo new feature cxf based updated wssj version implement issue operation sts framework service support following inboundoutbound tokens inbound usernametoken token outbound saml holderofkey bearer subject confirmation methods verify incoming usernametoken would use local file tomcatusersxml validation certificate would use local keystore jks configured location user pwd access store target runtime environment tomcat optional osgi container purpose intended apache cxf example implementation demonstrate sts frameweok service could used also demonstrate new saml suppport cxf based new wssj lib,1
TESB-476,rtc authentication interceptor using sts client,implementation authentication interceptor actually use sts client request saml toke set soap header using custom part make sure duplicate things already available exsiting authentication interceptor request saml token usernametoken andor certificate user provide usernamepassword username token certificate authentication callback handler provided tesb transfer exsiting authentication callback handler talend esb allow certificate provided saml token request interceptor defined tesb also document callbacks handled general talend esb product using cxf bus context properties,3
TESB-478,integration provider registration endpoint lookup cxf,place provider registration cxf provider side endpoint lookup cxf consumer side cxf expeceted could installed standard cxf installation talend esb feature also static failover feature currently use seems sufficient needs clarified likely also changed also concider make sure feature works standard osgi container additional also need finally discuss aggree support jms endpoint yes allow consumer business user limit endpoint used consumer certain transport currently jms,3
TESB-481,tesb provider components compatible txmlmap,scope backlog item correct output input flows tesb components use document instead strings test given structure works txmlmap,2
