,issuekey,title,description,storypoint
0,TIMOB-8075,android debugger running cannot back back app,debug android app cant back app back hangs splash screen shows bad socket connection refused errors logcat logcat screencast,2
1,TIMOB-559,android appversion never taken tiappxml,found bug created new release android market appversion never changed tiappxml file version tag send patch correct apply androidandroidpy,3
2,TIMOB-684,android border properties broken imageview,code android border around image visible tried removing borderradius property issue still remains works iphone though var imageview titaniumuicreateimageview url pathtoimage width height borderwidth bordercolor ccc borderradius titaniumuicurrentwindowaddimageview workaround wrap image view another view set border properties set width height pixels width height image view var wrapperview titaniumuicreateview width height borderwidth bordercolor ccc borderradius var imageview titaniumuicreateimageview url pathtoimage width height wrapperviewaddimageview titaniumuicurrentwindowaddwrapperview code,2
3,TIMOB-1097,android titlebar displayed fullscreen splash screen used,divpthere couple possibly related problems trying run fullscreen application android first splash screen way splash screen display whole screen case despite tiappxml configuration screenshot shows emulator codep href palso app launches able open window fullscreen title would necessary app totally fullscreenp href test code code themexml xml version encodingutf resources style namethemetitanium parentandroidthemenotitlebarfullscreen item nameandroidwindowbackgrounddrawablebackgrounditem style resources code expected behavior splash screen displayed full screen title bar actual behavior title bar displayed build themexml gets reset causing title bar displayed workaround workaround posted community one way resolve problem create folders projectplatformandroidresvalues see kitchensink folder structure put folder values file themexml modifyed,2
4,TIMOB-1242,ios drag drop map pin annotations,divpmkannotationview support allowing map annotation draggable ios boolean property annotation object draggabletruefalsebr add associated events dragstart amp dragend etcpdiv,5
5,TIMOB-1800,ios analytics causes app crash network available iphone,divpa customer reports analytics enabled network cell wifi causes crash cannot reproduce request customer logging ticket investigate furtherpdiv,2
6,TIMOB-1872,android fix avd naming scheme,divpthe current script naming avds based download order emulators instance download api api run api emulator later download google api emulator launch api emulatorp pif possible also try detect problem exists environment fix avds name new solution based contents avd configuration filepdiv,2
7,TIMOB-1902,ios scrollview scroll much ipad keyboard,divpthis recreated controlsgttext fieldgtborder stylepdiv,1
8,TIMOB-2017,android webview longer fires click event,divpbill triaged problemp pin april added code disallow registering touch webviewp href pim going mark regression since didnt comment commit well enough know disabled purpose need check interference clickable items webview scrollingpdiv,1
9,TIMOB-2099,android border properties broken label,divpadding border bordercolorblack label works fine ios android android entire label blacked instead border placed around labelpdiv,1
10,TIMOB-2122,android implement video recording,,3
11,TIMOB-2209,android reenable incremental build,new changes stylesheet rajava code generation knew new java code generated could skip javac dex parts apk building process need back make sure dexjavac necessary,3
