issuekey,doc2vec,storypoint
TISTUD-6,"[ 9.10954177e-02  9.73872170e-02  3.61124612e-03 -4.69051413e-02
 -1.29757687e-01  8.32379386e-02  6.25546724e-02  2.80823447e-02
 -5.23489788e-02 -3.86718698e-02 -2.14457065e-02  2.94536985e-02
 -5.60862161e-02 -3.94794717e-02 -9.24817175e-02 -6.59790784e-02
  5.61785065e-02  6.69862181e-02 -7.09473416e-02  3.44347246e-02
  3.06139495e-02 -7.59928301e-02  1.01980239e-01 -2.14194823e-02
 -2.43865121e-02  2.49707531e-02  3.71733084e-02 -7.27037787e-02
 -5.72359934e-03  1.13633601e-02 -3.56348753e-02  8.02800879e-02
 -1.85569301e-01  2.29109800e-03  2.89925784e-02  1.23958908e-01
  1.23025412e-02 -1.06494203e-01 -5.98751269e-02 -7.24245086e-02
  3.07587124e-02  1.41598657e-01 -4.51600663e-02 -2.57234015e-02
 -1.70397025e-03 -8.95866603e-02  1.14284962e-01  4.66998760e-03
 -8.32087696e-02  1.58018712e-03 -3.72936688e-02  1.51433706e-01
  1.67095587e-02  6.32803068e-02  1.16848825e-02  1.36689946e-01
 -7.73381367e-02 -1.43362377e-02 -3.01366635e-02 -5.88428304e-02
 -4.71607037e-03  6.92626014e-02 -4.39863726e-02 -6.83607459e-02
  2.40639690e-02 -2.38497058e-04  2.88557969e-02  7.61213824e-02
  1.24614621e-02 -3.10713295e-02 -2.62513403e-02  3.43783163e-02
 -2.86886208e-02 -8.41196254e-02  2.87544411e-02  1.75061089e-03
  5.65973073e-02 -1.26617728e-02 -5.19426502e-02  4.81795333e-02
  6.62446320e-02 -8.21471214e-02  6.28305301e-02 -2.07720578e-01
 -6.40752539e-02  1.14373110e-01 -3.84872444e-02 -1.01314530e-01
 -2.27021277e-02  1.09321676e-01 -1.25070736e-01  2.54590809e-02
 -6.94345459e-02  7.46611059e-02 -5.94452918e-02  3.76254842e-02
  1.68374836e-01 -7.88091645e-02 -2.64509041e-02  4.47418690e-02
 -3.39343362e-02  6.65933713e-02  6.97207451e-02  5.38653806e-02
 -2.43537515e-01 -4.71715555e-02  9.32680443e-02 -3.98983173e-02
 -3.59063111e-02 -5.77772260e-02 -5.76883927e-02 -4.99392636e-02
  6.11636490e-02  1.13181444e-02 -8.81353840e-02  1.00851402e-01
 -3.12242266e-02  1.19443715e-01  5.13781197e-02  5.82897291e-02
  2.87681702e-03 -2.74242144e-02  4.58214134e-02 -7.93278217e-02
  1.10261999e-01 -5.84472306e-02  5.56435809e-03 -2.19586845e-02]",1
TISTUD-9,"[ 0.03235056 -0.04458762 -0.00544335  0.03503145 -0.04616821 -0.00087657
 -0.05485229  0.03190576 -0.04735895  0.00086506 -0.04091109 -0.00614586
  0.04598202 -0.03081197 -0.02604793  0.05564305 -0.02163747 -0.01616184
 -0.04411011  0.04376475  0.02449254 -0.00865173 -0.05046296 -0.01916932
  0.02998256 -0.01776999 -0.05810249 -0.02775145 -0.01461471  0.09579453
 -0.02552241  0.015499    0.02112471 -0.00420989 -0.0165141  -0.02239612
  0.03412227 -0.00848782 -0.00630145  0.01914705 -0.00075597 -0.04026914
  0.02286374 -0.03254     0.03893208  0.01022285 -0.03490945  0.02079163
 -0.00563445 -0.0231885   0.03024947  0.00106616 -0.04315129 -0.039758
  0.00748183 -0.01679073 -0.01047271  0.00587053 -0.03334609  0.04008561
 -0.0686843  -0.08954652  0.04056333  0.06660816  0.02774642 -0.02292462
 -0.01318011  0.00152869 -0.04841541 -0.03194673 -0.0446993  -0.03575133
  0.01805093 -0.02162196 -0.06082842  0.05311409 -0.03659606 -0.00284432
  0.06158306  0.02029766 -0.05005238  0.05157845  0.04406821  0.03751606
 -0.01343445 -0.01525375 -0.06174689 -0.00876116 -0.00351648 -0.08271572
 -0.00518566  0.00237054 -0.01309503  0.09315533  0.02184901  0.0355334
 -0.04177743 -0.0660128  -0.04856006 -0.04781459  0.0941869   0.04066247
  0.03705156 -0.03317463  0.03162776  0.04896564 -0.01381775  0.00338274
  0.04754335  0.01749338  0.07576963 -0.03900258 -0.02959274 -0.02309613
  0.0099731  -0.00150639 -0.02234989 -0.03215091  0.02701239 -0.06761816
  0.04903427  0.00976409  0.00809514 -0.01936149  0.03408181  0.08494752
 -0.02737538 -0.01455034]",1
TISTUD-11,"[ 0.11373334 -0.08388586 -0.1402325  -0.06188343 -0.09560428  0.00754518
  0.01661028  0.05960674 -0.03700724 -0.00988349 -0.15450662  0.0511671
 -0.00126518 -0.08421996 -0.08544435 -0.11080677  0.00366161  0.23677908
 -0.11170444 -0.04986004  0.14218038 -0.01487568 -0.12772718  0.01867641
  0.16725105  0.07802723  0.07430829 -0.09641968 -0.11505446  0.00641916
 -0.0872604  -0.01593326 -0.15666531 -0.06528033  0.02865098  0.05812068
 -0.06491312 -0.06933891 -0.03975702  0.05167086  0.03501102  0.03055081
 -0.02730104 -0.02237586  0.05196226  0.08283399  0.03972466  0.05018762
 -0.09244934 -0.07003945  0.08709785  0.1266437  -0.01951893 -0.13183232
 -0.06213703  0.06952335  0.05219004  0.06416681  0.04415522 -0.02574905
 -0.14758271 -0.12582867 -0.01949703 -0.03205188  0.12331728 -0.07728913
  0.06701402  0.08317339  0.12362604 -0.0393893  -0.1046004  -0.10324687
 -0.05774465  0.13575193 -0.09538283  0.04914299  0.11723975  0.01700486
  0.10271732  0.05308527 -0.04111541  0.01775653  0.1606371   0.01844815
 -0.08254645  0.12349499 -0.11190408  0.00782886  0.02660981 -0.11888552
  0.05072949  0.01932928 -0.07825131  0.01604139  0.07921288  0.02779988
  0.0703272  -0.136227   -0.06934214 -0.02118184  0.0674101   0.04610413
  0.12746081 -0.01180639 -0.09829163 -0.04799709 -0.15507029 -0.14413293
  0.04273399 -0.03134147 -0.03116619 -0.08802798 -0.07705061 -0.04068556
 -0.00962413  0.06772728 -0.1296721   0.11113775 -0.03198744  0.00330803
  0.18044081  0.09817655  0.00939777 -0.08121105  0.04531408  0.06705501
 -0.00709985 -0.01480241]",1
TISTUD-13,"[ 0.17201398 -0.04115669 -0.04164302  0.04241702 -0.02404329  0.06413089
  0.0680339   0.0698496  -0.03038095 -0.03576986 -0.06830022 -0.02660156
 -0.0181061  -0.14736727 -0.00633256 -0.01614881 -0.00748615  0.08592119
  0.03992048 -0.02270418 -0.01290357  0.13064238 -0.28007573  0.06425458
  0.12923472  0.13722974  0.0679213  -0.07897967 -0.1520688   0.01134699
  0.03138133 -0.05286045 -0.04274672 -0.07049315 -0.02679375  0.07378626
 -0.11100832  0.01949799  0.03083534  0.02318743  0.09589425 -0.05368501
  0.0556249   0.11316773 -0.00365243  0.06695059  0.0794167   0.11572774
 -0.09913682 -0.13060854 -0.03370546 -0.02619689 -0.0522795  -0.08064749
  0.03673821 -0.02793729 -0.01034221  0.09775288 -0.00277872  0.04162473
 -0.20222354 -0.16564365  0.01581683 -0.00200611  0.00212857 -0.13085173
 -0.0551878   0.03523918  0.05376364 -0.08333887 -0.0200424  -0.1322668
 -0.00472576  0.14453302 -0.1088974   0.17419271  0.1224735   0.0658199
  0.12283514  0.10811237 -0.11384296  0.11983766  0.15726714  0.03182641
 -0.173799    0.07799877 -0.10419683 -0.02865523  0.10113272 -0.11564862
  0.0877667   0.04965838 -0.03426561 -0.00043216  0.03596082 -0.09805522
 -0.01277176 -0.07289352 -0.10689103 -0.11317194  0.05086623  0.09861849
  0.06677878  0.03067423  0.09279654  0.03675856 -0.10158437 -0.10966995
  0.11811579  0.01715466 -0.0403242  -0.03488243 -0.06291654 -0.03544318
  0.14251322 -0.02066493 -0.15974548  0.03350676  0.05008984 -0.02792874
  0.09588058  0.00615071  0.05996983 -0.08948252  0.06472389  0.09938691
 -0.04439137  0.0073772 ]",1
TISTUD-16,"[ 0.01085614 -0.00282862  0.00444585 -0.01009639  0.02469227  0.01070826
 -0.00116064  0.01314116 -0.02534606  0.04127227 -0.07672275 -0.01600072
  0.00945157 -0.01874616 -0.01223458  0.02559111 -0.04629676 -0.02306717
 -0.00399657 -0.05817898  0.03658742  0.02517841 -0.0143169  -0.00012166
  0.02740951  0.01018385  0.04635258 -0.04022484  0.01602234  0.04494589
  0.00627416 -0.00974328 -0.02430015 -0.04734084  0.00831784  0.009759
 -0.08492912 -0.00870995  0.00323895  0.06039457  0.05549792  0.02983122
 -0.02874324  0.06430046  0.02090817  0.01488736  0.05769696  0.01618065
 -0.02376221 -0.01044642 -0.05178104  0.05405971  0.01398278 -0.00957272
  0.02242291 -0.04811023  0.00884054  0.02694019 -0.06518953 -0.02792072
 -0.05875647 -0.03941941 -0.03395878 -0.02995188 -0.00277242 -0.00169658
 -0.04009337  0.05334939 -0.01523049 -0.01123472 -0.04176642  0.01754327
  0.03269013  0.02258696  0.02694635  0.0065428  -0.00683837  0.00436283
  0.03077067 -0.04129738  0.01233092 -0.02638949  0.06487034 -0.10248254
 -0.07611711 -0.00715001 -0.01614647  0.03969811  0.00263439 -0.01888307
  0.04566052 -0.02912389 -0.05171075  0.00127352  0.02513064 -0.023947
  0.01515247 -0.05036159  0.00902886 -0.01344843  0.00553417 -0.00333145
  0.10315868 -0.01513021  0.00311105  0.02256942  0.00205063 -0.00860371
  0.02387932  0.01335054  0.0017683  -0.03401432 -0.02757103 -0.01418999
  0.09023769 -0.01633406 -0.01143681  0.07505798  0.07818033  0.00064543
  0.00138626  0.00592558  0.02974777  0.0314878   0.00878296  0.02310553
 -0.04570351 -0.00442806]",1
TISTUD-21,"[ 0.06646372 -0.07951721 -0.11688971 -0.05863047 -0.13249065  0.01142216
  0.02332372  0.07576068 -0.01992106 -0.06844287 -0.0673064   0.07960285
  0.00439813 -0.10621054 -0.03151843  0.01964911 -0.02498588  0.03285681
 -0.03408481  0.04409458  0.08972509  0.06558147 -0.15704727  0.076519
  0.09883544  0.03297978 -0.04766717 -0.09866832 -0.03108723  0.10184059
 -0.00353784  0.00908873  0.02998409 -0.05533596 -0.10575264  0.04519037
 -0.06722374 -0.04131882 -0.09281904  0.01271922 -0.0189218  -0.02150414
 -0.01729275 -0.04980298  0.01797201  0.00348649  0.05434434 -0.01628572
 -0.08424451 -0.04943319  0.08341296  0.05044697  0.00617141 -0.07427789
 -0.00039096 -0.00265402  0.01091367 -0.07243044  0.03705109  0.00508737
 -0.11292514 -0.02789668 -0.04771468  0.09159604  0.00693701 -0.0008096
  0.02597565 -0.01582603  0.01104056 -0.11339039 -0.06556302 -0.04018876
 -0.05384399  0.05978463 -0.00160372  0.07123708  0.02979433  0.08074588
 -0.02380477  0.0433551  -0.07772499  0.06926303  0.11619866  0.00126484
 -0.15380889  0.04409516 -0.0894909   0.08290859  0.05927852 -0.04115556
 -0.09076704  0.08000194 -0.00067295  0.00326148  0.00021559  0.01557897
 -0.06871906 -0.05340184 -0.09018567 -0.04653916  0.0226574   0.03736633
  0.01552762  0.04446929 -0.05444651  0.01704388  0.00047713  0.00817257
  0.05579959  0.03633451  0.06177329 -0.05693233 -0.02993668 -0.08773501
  0.00999095 -0.01358701 -0.07239929 -0.02267124  0.00214864 -0.04089423
  0.12999272 -0.0089021   0.00580236 -0.10178193  0.03497129  0.02235871
 -0.06265478  0.02451125]",1
TISTUD-22,"[ 0.02385085 -0.02879904 -0.03959345  0.00570541 -0.08580671  0.03597419
 -0.00727813  0.04619473 -0.03985199 -0.0475303  -0.02960039  0.03568932
  0.00205733 -0.0543028  -0.02728022  0.01870191  0.00531192  0.03922549
 -0.01847092  0.02178183  0.06225497  0.04116206 -0.09265465  0.03917332
  0.0543819   0.04450734 -0.00302268 -0.06792262 -0.05140438  0.0665113
 -0.00297011  0.05410551  0.02654645  0.01181444 -0.0410822   0.05414421
 -0.02851433 -0.02090972 -0.02004454  0.02405638 -0.03421916 -0.00111039
  0.01659468  0.00635279 -0.0017216   0.00309811  0.04987343 -0.02329914
 -0.05237383 -0.03871547  0.07189287  0.04413629 -0.01944708 -0.070337
  0.00160118  0.03046878  0.01814922 -0.04019679  0.01072565  0.00696311
 -0.06415886 -0.04124128 -0.0016453   0.02859144 -0.00586359 -0.01410828
  0.01326976  0.02554764  0.01146382 -0.05221161 -0.03124645 -0.02815796
 -0.01296909  0.03065956 -0.04799461  0.05348478 -0.01078324  0.0336364
 -0.03192533  0.0302361  -0.0656281   0.02878972  0.06133668  0.01121398
 -0.07415393 -0.00290736 -0.08346929 -0.00921598  0.03633643  0.00589861
 -0.0278997   0.01058371 -0.02977357  0.01687139  0.01684047 -0.00291507
 -0.03197208 -0.06556895 -0.01555633 -0.04964251  0.06796027  0.00035171
  0.00720315 -0.01739915 -0.06765219 -0.00030025 -0.01293409  0.00767933
  0.02131039  0.03838747  0.0565593  -0.04985841 -0.00123815 -0.01814298
  0.0030936   0.01881842 -0.03506463  0.00671878 -0.00469163 -0.00060152
  0.06052466  0.00308748  0.04118431 -0.07586953  0.02884885  0.05105956
 -0.00098883 -0.02879031]",1
TISTUD-23,"[ 0.03373304 -0.01087585 -0.02651399  0.0094533  -0.01623808  0.01537423
 -0.00086359  0.02461789 -0.00170227  0.00426385 -0.00496683  0.00597569
 -0.02606242 -0.01403137  0.05141555 -0.00500997  0.00303926  0.03445065
  0.02758768 -0.02554975  0.0191944   0.06494629 -0.07879951  0.03190557
  0.01566152  0.05544619  0.03456372 -0.0526924  -0.04116495  0.00919454
  0.03871019  0.00730537 -0.00305138  0.00243958 -0.00535265  0.03098842
 -0.01157505  0.00128201  0.00143309  0.0120976  -0.0072754  -0.00308674
  0.0276488   0.01838232 -0.02411409  0.01445608  0.03096001 -0.00717352
 -0.03403287 -0.02220844  0.01726541 -0.0225319  -0.02092959 -0.03894537
 -0.00629392  0.0009518   0.02708864 -0.0274652   0.07175861  0.02163734
 -0.02473456 -0.00387687  0.01445683  0.02753807 -0.03301759  0.01226233
  0.03073263 -0.01587413  0.01519923  0.03159619  0.01414621 -0.03906395
 -0.02758511  0.00341837 -0.01139805  0.01228917  0.00639403  0.01559713
 -0.0132262   0.0528917  -0.04748507 -0.01208152  0.034922    0.00027527
 -0.04129877  0.03577906 -0.07025437 -0.02400393  0.03586433  0.02654496
 -0.00667661  0.0100987  -0.01444686 -0.00822562  0.03662773 -0.03504767
  0.01190462 -0.02081955 -0.01792735 -0.02250455  0.01800062 -0.02847109
 -0.01496606 -0.0040953  -0.03134574 -0.01573399 -0.01268411 -0.01653984
  0.0244128   0.01456611 -0.01184158 -0.01164611  0.01852295 -0.00753554
 -0.02278512  0.0042336  -0.00820715 -0.01895647 -0.01853244  0.01051364
  0.02845269  0.01058465  0.03553454 -0.02801398  0.01739817 -0.00697291
 -0.01254432 -0.02083852]",1
TISTUD-24,"[ 0.0159931  -0.09252734 -0.08129615  0.12532085  0.03167424 -0.03097069
 -0.07241431  0.01932289  0.03114997  0.01771489 -0.07128481 -0.0039711
  0.06317979 -0.1056557  -0.0080211   0.08418845  0.08944452 -0.04272741
 -0.00488564  0.05457918 -0.00616862  0.0483816  -0.10436004  0.01550789
  0.02735741  0.04536182 -0.04666213 -0.02210282  0.01931874  0.00420561
  0.08119272 -0.03480257  0.1181109  -0.05003407 -0.10460163 -0.08861098
  0.0659088  -0.06173974 -0.10909199 -0.00325314  0.03648245 -0.04003133
  0.0477602   0.0271793   0.03290592 -0.02701986 -0.01435623  0.03251967
 -0.02618706  0.02889106  0.09381263 -0.0569085   0.00069503  0.03998443
 -0.00657891 -0.06465254 -0.0013191   0.07506975 -0.01195318  0.00709834
 -0.07218826 -0.01090001  0.05439105  0.09201027 -0.02397746 -0.01099387
 -0.04514741 -0.09845439 -0.071153   -0.04655042  0.09676692 -0.006664
  0.03905073  0.0392205  -0.01697517  0.00325399  0.00077226  0.07581069
  0.03466075 -0.00292886 -0.05003639  0.00996133 -0.03721366  0.0565299
 -0.00383022 -0.05551762 -0.07853021 -0.06223236  0.02130564 -0.1098849
 -0.05531603  0.06158843  0.15704174  0.08214179 -0.04775659 -0.02927759
 -0.08650728 -0.0369103  -0.11770348 -0.08167572  0.08547751  0.03001233
 -0.05442642  0.07740177  0.16328403  0.00208713  0.01218708  0.02394284
  0.04983507 -0.01058009  0.03070134  0.05952387 -0.07574416 -0.0160767
  0.00333491 -0.01359056 -0.0438045  -0.09138685  0.05640468  0.03369424
  0.02612472 -0.03546635 -0.07948934  0.01042463 -0.05503922  0.01737573
 -0.03153886 -0.02494847]",1
TISTUD-25,"[ 4.6326448e-03 -5.3671699e-02 -3.2457661e-02 -1.0012569e-02
 -8.2196936e-02  4.7024260e-03  6.0606319e-03  2.8557004e-02
 -2.5668459e-02 -5.5779200e-02 -4.9839951e-02  2.4890639e-02
 -2.4606358e-02 -4.0820062e-02 -4.6394344e-02  1.6553178e-02
  8.9536915e-03  2.7565310e-02 -2.1989446e-02  6.2137963e-03
  7.1681522e-02  5.6586936e-02 -9.5228471e-02  2.4057001e-02
  4.6388187e-02  5.6919805e-03  7.3510008e-03 -4.7538504e-02
 -5.2152943e-02  8.9246407e-02 -1.9077515e-02  4.9790051e-02
  2.8541287e-02 -4.3118722e-03 -5.7684492e-02  5.1909383e-02
 -5.3457379e-02 -1.9746367e-02 -1.0999477e-02  3.4665432e-02
 -3.0081488e-02 -3.5186503e-02  1.1183130e-02  6.5177761e-04
 -2.8399916e-03  4.0970976e-03  3.8307805e-02  7.8758876e-07
 -3.8709361e-02 -5.8192369e-02  5.9497803e-02  3.0140877e-02
 -1.4755303e-02 -4.7285847e-02  9.2845084e-03 -1.0943211e-02
  1.2695067e-02 -3.7115946e-02 -1.7634215e-02  1.2475310e-02
 -6.6688403e-02 -5.4588802e-02 -2.3437671e-02  4.5205299e-02
  2.5359767e-02 -1.5677126e-02  1.1289107e-03  1.7166164e-02
  2.4762070e-02 -5.1295996e-02 -2.9742830e-02 -2.1631485e-02
 -3.7718333e-02  3.8912535e-02 -4.2625245e-02  1.4410797e-02
 -3.2093227e-02  4.9487781e-02 -1.3713365e-02  2.9266015e-02
 -8.6181797e-02  2.9693637e-02  5.6858279e-02  2.6992371e-02
 -7.0676565e-02  3.4804001e-02 -5.4554764e-02  3.7977344e-03
  2.0747555e-02 -2.1334209e-02 -1.1719286e-03  8.4902598e-03
 -1.2462245e-02  3.3416897e-02  2.5763456e-02  1.5113927e-02
 -5.4724988e-02 -5.5109624e-02 -5.9254365e-03 -5.6712810e-02
  7.5598486e-02  1.6622281e-02  2.9029990e-02  1.3168796e-02
 -4.0870674e-02  2.9771326e-02 -2.4341157e-02  1.7774830e-02
  1.5822560e-02  4.2874340e-02  7.1573846e-02 -3.9373964e-02
 -1.4737093e-02 -6.2863916e-02  1.5829887e-02  9.4487630e-03
 -3.4057882e-02 -2.2789059e-02  8.0048363e-04 -8.7732356e-03
  5.6002036e-02 -1.1114030e-02  3.2533169e-02 -7.8309856e-02
  1.4173524e-02  6.2592827e-02 -1.9342693e-02 -1.6467230e-02]",1
