issuekey,doc2vec,storypoint
APSTUD-3707,"[ 0.09369054 -0.1764148  -0.17433907  0.07584852 -0.16213973  0.09645668
 -0.1645261   0.1399925  -0.11320888  0.03770427 -0.1687707   0.13556367
 -0.01272012 -0.2087338  -0.17892    -0.02669589 -0.03564931  0.09813172
  0.00880508  0.02663527  0.00658495  0.01124492 -0.19085002  0.02500533
  0.07863148  0.00845263 -0.01713638 -0.03953781 -0.15813044 -0.03458056
 -0.08451479 -0.0195008   0.01362261  0.02160841 -0.04227292  0.08687712
  0.03922215 -0.0757302   0.10954987 -0.00650266 -0.04189964 -0.02991083
  0.01073754  0.02715161 -0.02698063  0.02478496 -0.1448882  -0.07292443
 -0.17163669 -0.13391596  0.20958756  0.15626334  0.04863857 -0.04073875
  0.06002526 -0.16063423  0.17413822 -0.01009874  0.11492678 -0.05613547
 -0.05471598  0.01124371 -0.05482171  0.22354595  0.13697413 -0.11123742
  0.03719379  0.00501633  0.17339146  0.0008574  -0.00068214 -0.11371871
 -0.17921175  0.1280104   0.05394966 -0.04738998  0.02283043 -0.07120436
 -0.02633308  0.1594156  -0.10014284  0.13342844 -0.02721436  0.23431733
 -0.0477316   0.0416212  -0.08246528 -0.06060613  0.20581262 -0.05802571
 -0.0602012  -0.08602821 -0.06782711  0.03784179  0.09390716  0.1141196
 -0.05710054 -0.07727506  0.09354923 -0.11005189  0.07571849 -0.09443554
  0.00270099  0.05864351 -0.04281183 -0.03743274 -0.067053   -0.08568885
  0.13204394  0.00838288  0.08626781 -0.19556674 -0.00464082 -0.01448388
  0.03331622  0.10004541 -0.22127555  0.01003259 -0.21913739 -0.06852692
  0.04276561  0.05586774  0.14116193 -0.22681016  0.03237642  0.08110357
  0.03502445  0.03866054]",5
APSTUD-23,"[ 0.09069604 -0.23026574 -0.28499797  0.12474479 -0.19394593  0.21658568
 -0.27811766  0.30388528 -0.09348676  0.07739513 -0.29090452  0.13836893
  0.04249857 -0.33557    -0.29686868 -0.01167751 -0.07749945  0.21517336
  0.02443443  0.07686913 -0.03493819  0.06710736 -0.2733631   0.09073958
  0.08648892 -0.00232348 -0.04759178 -0.1171721  -0.24984175 -0.09434348
 -0.15096442  0.06419099  0.06778619  0.05034871 -0.06251566  0.14830214
  0.07098904 -0.20289677  0.19353028 -0.04369324 -0.07321721 -0.00895923
  0.09566303 -0.01664476 -0.08562712 -0.01957678 -0.25389796 -0.09053112
 -0.26884416 -0.17683448  0.31898627  0.22271928  0.07466108  0.01008176
  0.10538042 -0.25399244  0.28067765 -0.0455351   0.19354336 -0.10110093
 -0.11546221 -0.0013945  -0.0665414   0.45887667  0.20023185 -0.28628442
  0.06242594  0.06144961  0.24965368 -0.00709778 -0.06239151 -0.14958633
 -0.27899304  0.20921536  0.12080138 -0.13115364  0.055563   -0.10813048
 -0.12451125  0.25928473 -0.17355162  0.2407531  -0.11741928  0.34040847
 -0.0473957   0.00129571 -0.14885433 -0.06006131  0.3038373   0.02721623
 -0.04714621 -0.07831369 -0.20225903 -0.0817938   0.10830487  0.21201392
  0.01746183 -0.10116044  0.16416109 -0.13901627  0.20290522 -0.12604219
 -0.02800456  0.20191534 -0.05853735 -0.13991392 -0.08074207 -0.1540617
  0.23376402 -0.02754822  0.040829   -0.2806352  -0.06493533 -0.05167942
  0.13205695  0.12493541 -0.37449896  0.04305666 -0.36437514 -0.09091632
 -0.03002183 -0.00587022  0.1467409  -0.3715359   0.04552276  0.00682941
  0.04826488  0.06785504]",8
APSTUD-99,"[ 0.0039378  -0.04290931 -0.04620343  0.03766631 -0.04094865  0.0250787
 -0.02909678  0.02122507 -0.02753666  0.00341736 -0.01358615  0.03556252
 -0.00840038 -0.0737346  -0.05560717  0.00399877  0.01131469  0.02020501
  0.00219701 -0.0091064   0.00563542 -0.00778616 -0.03218582  0.00441799
  0.0209149  -0.01101766 -0.01151405 -0.01720517 -0.04030079 -0.00221492
 -0.03742575 -0.01377633  0.01162232  0.00512028  0.00275585  0.01955344
  0.02751917 -0.01533498  0.01881129  0.01922574 -0.01216392 -0.01275526
  0.00476917  0.01080905  0.01324545  0.00309353 -0.04327472 -0.01514754
 -0.03938626 -0.0460163   0.04301061  0.03750189  0.02457649 -0.01781026
  0.01301106 -0.01126839  0.0400057  -0.012285    0.01469968  0.00596309
 -0.0042729   0.0081163  -0.00550418  0.04644669  0.02994972 -0.0210288
  0.0038541  -0.01154411  0.04648762 -0.00565573  0.00355129 -0.02633509
 -0.02908787  0.00257325  0.0153877  -0.0116908   0.00967946 -0.03045794
  0.00144618  0.03930448 -0.01212848  0.01779381 -0.01175653  0.06803523
 -0.02479771  0.02381889 -0.00379287 -0.02730585  0.04219436 -0.01763551
 -0.02013734 -0.02893793 -0.00692987  0.01059857  0.03541293  0.02838259
 -0.0098562  -0.02037089  0.04775587 -0.01718684  0.02406028 -0.03577302
  0.00164644  0.00708802 -0.0103712   0.01950717 -0.03087947 -0.00591245
  0.0481758   0.01471702  0.02102429 -0.04826711  0.00080523  0.00089194
 -0.01896117  0.02318001 -0.05563343 -0.0108829  -0.0391437  -0.01750184
  0.03182635  0.02252732  0.05104308 -0.04511503  0.00540298  0.04384516
  0.03125815  0.00042413]",8
APSTUD-190,"[ 0.03741464 -0.16230029 -0.1275754   0.09212584 -0.13184246  0.0589405
 -0.11984529  0.10194661 -0.12287956  0.03043896 -0.07404877  0.12041751
 -0.00315744 -0.18098025 -0.15636377 -0.02269669  0.02383046  0.05960216
  0.01414774  0.01743585  0.00700566 -0.01698946 -0.16600113  0.01121788
  0.09254002 -0.01652942 -0.02596496 -0.01909723 -0.1361289   0.01964677
 -0.08789644 -0.03275037  0.02558871  0.01866427 -0.02673644  0.05955813
  0.05672953 -0.0309365   0.0716896   0.02079497 -0.03673951 -0.05022742
 -0.0078757   0.00273357  0.0149807   0.04103629 -0.1267501  -0.07856126
 -0.12468813 -0.1411564   0.15647893  0.08629381  0.0699051  -0.07219712
  0.03527334 -0.09211527  0.11816748 -0.03143608  0.06176169  0.02145243
 -0.01844755  0.04015221 -0.03172139  0.14697179  0.09041671 -0.05621355
  0.03453517 -0.03062872  0.1450448  -0.00730913 -0.00923058 -0.07462443
 -0.13381073  0.05096293  0.02116861 -0.03781056  0.01240494 -0.05525734
  0.00281777  0.1206338  -0.05718093  0.06508372 -0.01898406  0.20835267
 -0.08466503  0.04830934 -0.04153087 -0.08269373  0.16459389 -0.07827587
 -0.05196508 -0.06591116 -0.00181464  0.0836438   0.10277011  0.07663547
 -0.0527015  -0.06863867  0.10060926 -0.09800763  0.04110781 -0.05391916
 -0.00265836  0.0278398  -0.02245179  0.04016113 -0.08358372 -0.02744873
  0.10332334  0.04209796  0.08404513 -0.15999609  0.0269416  -0.00611458
 -0.02129437  0.08678389 -0.18531808 -0.04140273 -0.16530055 -0.09897245
  0.10426665  0.08620922  0.15355116 -0.18154082  0.02008231  0.16187258
  0.06011588  0.00385098]",13
APSTUD-246,"[ 0.03437594 -0.08410733 -0.10414046  0.07595126 -0.09091426  0.04207561
 -0.06792522  0.04309981 -0.03237031  0.00929831 -0.03556496  0.07903623
 -0.0145894  -0.1554542  -0.14108102  0.0039228   0.02961275  0.05757074
  0.01142511 -0.00584404  0.00166496 -0.00894571 -0.06594416  0.03704043
  0.0538842  -0.00353538 -0.00918009 -0.06008172 -0.06230187  0.00861815
 -0.08407981 -0.02470104  0.00312074  0.00516162 -0.00750291  0.04432501
  0.06750944 -0.01583469  0.054935    0.02632989 -0.01164731 -0.03167568
  0.01629661  0.02293408  0.03465018  0.00194928 -0.0785082  -0.05880525
 -0.08812106 -0.11528593  0.09960587  0.07322603  0.05259103 -0.0195652
  0.00210676 -0.03494196  0.10281083 -0.05917129  0.03440201  0.03828236
 -0.00659026  0.02169776  0.01313263  0.12940368  0.05108869 -0.04972952
  0.02211426 -0.04334076  0.08684825 -0.01655527 -0.00346198 -0.04604317
 -0.0642719   0.02024664  0.02787847 -0.04198864  0.00480613 -0.04732079
 -0.02521348  0.08105006 -0.00911057  0.0353746   0.01620184  0.13428408
 -0.03047916  0.04161813 -0.01012632 -0.04102934  0.08902047 -0.0540521
 -0.04036658 -0.04681285 -0.03835109  0.00739896  0.07431977  0.07924009
 -0.04196724 -0.04148042  0.11503088 -0.0390033   0.07382853 -0.06052715
 -0.01737804  0.03577282 -0.02421793  0.01637242 -0.04751681 -0.00536223
  0.10186753  0.06447311  0.05347634 -0.08624337 -0.00172517 -0.01742471
 -0.04013937  0.04996843 -0.08999889 -0.03997459 -0.07700135 -0.04318906
  0.04392766  0.03734035  0.09532911 -0.08643808  0.00398186  0.0506548
  0.06136456  0.01679691]",8
APSTUD-350,"[ 0.07854362 -0.17806908 -0.20116584  0.05153682 -0.15439022  0.07286303
 -0.17957291  0.14207292 -0.10150271  0.05510229 -0.16354674  0.15537086
 -0.02670654 -0.21467318 -0.17553176 -0.02962556 -0.01391904  0.10761299
  0.01656999  0.03787747 -0.01261102 -0.00493022 -0.21893758  0.01408223
  0.083689   -0.0046827  -0.02396334 -0.01384407 -0.1418673  -0.01468137
 -0.09284616 -0.0123114   0.00576303  0.02495815 -0.01205549  0.08851395
  0.06912977 -0.08645365  0.1195904   0.00938177 -0.04596371 -0.05108714
  0.01663304  0.04019183 -0.04448399  0.05854243 -0.1474041  -0.05295314
 -0.1557265  -0.13661084  0.21737212  0.18164858  0.07770257 -0.03687474
  0.09110212 -0.1805725   0.19218461 -0.01052674  0.12361404 -0.05282105
 -0.07920036  0.04881595 -0.07499967  0.24945505  0.14613931 -0.11259198
  0.02079636  0.02641294  0.15046893  0.0193926   0.03662236 -0.1370622
 -0.18151031  0.1215669   0.0495456  -0.0498819   0.02743369 -0.10041443
 -0.01033255  0.14638034 -0.10058302  0.16245641 -0.015339    0.2439086
 -0.04778805  0.01940995 -0.06977921 -0.08267624  0.19072692 -0.05252828
 -0.08631285 -0.11818181 -0.03143855  0.04633826  0.11750296  0.13558845
 -0.0531373  -0.08882853  0.10870726 -0.11984628  0.0512624  -0.08749096
  0.01733551  0.03462096 -0.06866471 -0.02517569 -0.07777309 -0.10854784
  0.13068779 -0.00638344  0.0868528  -0.19729267 -0.01279387 -0.02522432
  0.05141442  0.10844908 -0.23854811 -0.02769724 -0.22206092 -0.06466252
  0.06481714  0.0574137   0.14047831 -0.23534063  0.03717343  0.07749538
  0.04075995  0.03455892]",13
APSTUD-378,"[-5.97091578e-03 -1.08412020e-02 -8.80973786e-02  5.41589828e-03
  1.41070811e-02  7.06785992e-02 -8.80639255e-02  1.29967332e-01
  5.53322285e-02  4.30505462e-02 -8.02953541e-02  1.52619777e-03
  1.85606834e-02 -5.93318827e-02 -6.84720427e-02  1.11294370e-02
 -4.26175632e-02  6.87785670e-02  5.42029552e-03  4.12958227e-02
 -2.56220698e-02  2.17747595e-02 -3.74369435e-02  3.80529165e-02
 -2.27459669e-02 -1.10578304e-02 -4.61898139e-03 -4.58957888e-02
 -4.35969234e-02 -4.75380756e-02 -4.41319160e-02  7.77446255e-02
  2.48512402e-02  5.52403927e-03 -4.71100182e-04  3.16427462e-02
  4.21874970e-02 -1.04314715e-01  4.37504612e-02 -1.03583578e-02
 -1.50495088e-02  1.69316754e-02  5.01373895e-02 -2.43270639e-02
 -6.52796254e-02 -3.10220476e-02 -7.19526634e-02  1.18666850e-02
 -5.33767045e-02 -5.88803319e-03  7.05811903e-02  7.91673735e-02
  1.40051983e-04  6.32036254e-02  4.26198393e-02 -6.46759719e-02
  7.90394768e-02 -3.59863043e-02  5.28929047e-02 -4.93796058e-02
 -4.91333343e-02  8.76998622e-03 -2.71314513e-02  1.76996514e-01
  3.50292102e-02 -1.29462525e-01 -4.21404652e-03  7.42054731e-02
  2.77286731e-02 -6.50751451e-03 -2.77558789e-02 -5.15151471e-02
 -6.01288602e-02  7.55260140e-02  6.20073080e-02 -5.44888079e-02
  4.20859717e-02 -4.29911800e-02 -6.81887567e-02  6.00839891e-02
 -4.49100509e-02  8.65256265e-02 -5.05627058e-02  3.25184241e-02
  3.39730899e-03 -2.26910319e-02 -3.48679721e-02  2.75937258e-03
  3.74243483e-02  7.83875957e-02  5.67705231e-03  3.78004089e-03
 -9.97355431e-02 -1.02722332e-01 -8.75679485e-04  8.72402638e-02
  6.31899163e-02 -1.96701381e-02  4.66369055e-02 -1.08874999e-02
  7.49693885e-02 -3.11263353e-02 -4.04858105e-02  1.08562872e-01
 -1.51310749e-02 -8.20510909e-02 -1.30677316e-02 -6.07096143e-02
  3.86442393e-02 -5.20723797e-02 -2.13533007e-02 -4.44833152e-02
 -5.56733347e-02 -1.19481534e-02  9.03392360e-02  4.78059473e-03
 -1.02636889e-01  3.23886499e-02 -9.66706946e-02 -2.54298095e-03
 -4.98283245e-02 -5.32810092e-02 -2.57243458e-02 -8.15331563e-02
 -2.36790231e-03 -8.74636322e-02  7.90709071e-03  2.84932069e-02]",8
APSTUD-612,"[ 0.08209433 -0.11831268 -0.12278689  0.03284672 -0.10766015  0.0545393
 -0.10783456  0.10589212 -0.08809502  0.02909681 -0.14507927  0.10648775
 -0.01755998 -0.13744493 -0.10561129 -0.03913189 -0.04373185  0.06328654
 -0.00063012  0.02166127  0.00029273  0.00555775 -0.1550357  -0.00024658
  0.05685946  0.0008553  -0.01856659 -0.00091344 -0.12050841 -0.03198575
 -0.04216573 -0.0051163   0.01001313  0.0222728  -0.03054115  0.06245051
  0.01431785 -0.04720356  0.08907294 -0.01119884 -0.02083327 -0.02588983
  0.0172326   0.03542547 -0.03686844  0.03927356 -0.10657902 -0.03450822
 -0.11673122 -0.08573376  0.14957489  0.12035278  0.02790356 -0.03846375
  0.0563195  -0.14147842  0.13988703  0.02129586  0.08736143 -0.06272537
 -0.03923552  0.01641394 -0.05500112  0.1519248   0.10289682 -0.08054366
  0.02343099  0.02321303  0.11525321  0.01807225  0.02356862 -0.09163528
 -0.12782893  0.11475173  0.04823802 -0.02491218  0.0231499  -0.05684753
 -0.01030334  0.11159743 -0.09204332  0.11928467 -0.00989874  0.18257535
 -0.00968188  0.01221457 -0.05934191 -0.03045435  0.15300179 -0.02589881
 -0.04806272 -0.0878242  -0.03382117  0.03237323  0.06841614  0.08344764
 -0.04320722 -0.04989087  0.05254263 -0.08487016  0.04401429 -0.05996637
  0.01640381  0.02117746 -0.05255429 -0.02869115 -0.05284868 -0.08820004
  0.08843075 -0.01398042  0.0693153  -0.15085019 -0.00205439 -0.01644707
  0.03674556  0.08683724 -0.17678888  0.00643909 -0.1728694  -0.02806961
  0.03350609  0.03032075  0.09345373 -0.17530482  0.02962599  0.059981
  0.00846215  0.03161023]",8
APSTUD-769,"[ 0.05843285 -0.11168395 -0.1133256   0.03043894 -0.09470306  0.05037696
 -0.10529771  0.09578519 -0.06998046  0.03210987 -0.12658252  0.09712024
 -0.01073487 -0.13312031 -0.09594017 -0.02503349 -0.02940098  0.05962042
  0.00227553  0.02024516 -0.01137315  0.0101709  -0.12902273  0.00691646
  0.04400667 -0.00235555 -0.01645874 -0.00877789 -0.10080815 -0.0223834
 -0.04669577  0.00395949  0.00741195  0.02205508 -0.02451037  0.06083545
  0.0228998  -0.05726899  0.07422745 -0.00488717 -0.0228602  -0.01370866
  0.01803887  0.03805518 -0.0373527   0.0274043  -0.09654314 -0.02730023
 -0.10696331 -0.07760931  0.13924366  0.10867555  0.0316824  -0.01697833
  0.05981094 -0.11968548  0.12015031  0.01090709  0.07473435 -0.05733939
 -0.05159593  0.02082148 -0.05235594  0.15828937  0.09918494 -0.08430136
  0.01463573  0.02981506  0.09798563  0.01253363  0.01666499 -0.09666962
 -0.11852197  0.09941847  0.0479674  -0.02365569  0.02480303 -0.05188143
 -0.00590084  0.10390757 -0.07232784  0.1167702  -0.01593436  0.15912153
 -0.00899835  0.01325062 -0.05497913 -0.039653    0.12720306 -0.01665905
 -0.04917683 -0.07027909 -0.03983247  0.01655641  0.06874982  0.080176
 -0.03387171 -0.05347699  0.05039912 -0.07591907  0.04233861 -0.0526381
  0.01083396  0.02359709 -0.04396484 -0.03236153 -0.04042071 -0.07874498
  0.08690794 -0.01946939  0.05073291 -0.13638465 -0.00958536 -0.00855374
  0.03656739  0.07110266 -0.15386304  0.00781294 -0.15175588 -0.02282998
  0.02503821  0.02310521  0.07841235 -0.14869246  0.0296249   0.04436979
  0.01015615  0.02362975]",40
APSTUD-796,"[-1.3172997e-02 -3.3591960e-02 -7.0461161e-02  8.9184664e-02
 -4.6210118e-02  6.2493242e-02 -4.2595889e-02  2.3043931e-02
  3.4482755e-02  5.0901780e-03  2.7786406e-02  1.4221428e-02
  1.2318439e-02 -1.2955135e-01 -1.3983074e-01  4.7516938e-02
  4.8303999e-02  5.9076231e-02  1.6942427e-02 -9.0768272e-03
 -4.8107577e-05  1.0691427e-02  1.8380955e-02  6.6317268e-02
  3.0441802e-02 -5.0446331e-03  3.4217143e-03 -9.3496330e-02
 -1.5229324e-02 -2.8169046e-03 -7.4019909e-02 -2.8986300e-03
  1.4583684e-02 -5.4949843e-03 -6.9124000e-03  1.6055308e-02
  8.1105359e-02 -1.1880950e-02  1.4931096e-03  1.4657554e-02
 -1.5190171e-02 -1.3693157e-02  3.2881673e-02 -8.9812707e-03
  4.5491595e-02 -6.2581562e-02 -4.1501407e-02 -5.0360851e-02
 -4.7850005e-02 -7.8998037e-02  3.8959432e-02  4.7692182e-03
  5.2557323e-02 -2.5553934e-04 -3.7123971e-02  2.9287122e-02
  5.6071710e-02 -1.0187763e-01 -3.3902279e-03  7.2167411e-02
  7.8342576e-03 -1.2626617e-02  4.7740020e-02  9.7660869e-02
 -2.8741648e-03 -4.3753635e-02  1.7521432e-02 -6.5532923e-02
  4.8560951e-02 -3.8966972e-02 -4.2367700e-02  7.2911424e-03
 -5.0961440e-03 -3.6776680e-02  3.4200620e-02 -4.7373045e-02
 -4.8962114e-03 -2.1396384e-02 -4.2822823e-02  3.8739666e-02
  3.0455040e-02 -9.3427962e-03  1.0398017e-03  5.5321146e-02
 -4.2963184e-02  3.0893339e-02  3.7474406e-03 -2.6244102e-02
  2.6870476e-02 -2.3062306e-02 -2.3152111e-02  2.0206086e-02
 -6.3091911e-02 -4.5799717e-02  3.5250038e-02  5.8314763e-02
 -3.3627085e-03 -1.4157922e-02  1.1575393e-01  2.5427623e-02
  1.0721075e-01 -3.3649858e-02 -3.6679611e-02  7.5865939e-02
  1.6552940e-02 -2.4648511e-04 -6.4370697e-03  4.5469750e-02
  9.5262624e-02  8.0615155e-02 -1.6468175e-02 -7.5004401e-04
 -2.9717010e-02 -2.3666743e-02 -5.7194181e-02 -2.0416211e-03
 -1.5519554e-02 -4.6083067e-02 -7.9809390e-03 -2.8914515e-02
 -5.6897504e-03  3.5119755e-03  4.6549264e-02 -1.7593920e-02
 -1.5523551e-02  7.3410468e-03  6.3187011e-02  9.5208166e-03]",13
