issuekey,doc2vec,storypoint
BAM-65,"[ 9.66086090e-02 -5.41729741e-02 -4.87508997e-02  2.94316299e-02
 -4.53402400e-02  1.00651294e-01 -7.71411881e-02 -2.40517333e-02
 -1.20113000e-01  3.25324684e-02 -1.23758316e-01  7.44504482e-02
 -4.24173474e-02 -1.23488672e-01 -9.38341171e-02 -1.30436104e-02
  3.93752903e-02  5.02041467e-02 -6.51520938e-02  1.30103547e-02
  4.41260524e-02 -1.53534245e-02 -1.12083040e-01  1.60161760e-02
  6.30541965e-02  1.51615543e-02 -3.19516920e-02 -9.90291759e-02
 -1.62255764e-01  4.32064682e-02 -9.93310213e-02 -1.89173908e-03
  2.45750081e-02 -4.35833633e-02 -3.68550308e-02  5.37300529e-03
 -4.20921370e-02 -7.36200716e-03  8.70730542e-03 -1.42783462e-03
 -6.11337200e-02 -4.71566953e-02  6.15458898e-02 -1.21971162e-03
  8.61180276e-02  4.75197248e-02 -2.86872182e-02 -3.16846259e-02
 -5.71077839e-02 -6.19128719e-02  1.28350973e-01 -6.68645324e-03
  7.28562921e-02 -7.24261031e-02  2.10272297e-02  4.35707271e-02
  9.50979218e-02 -6.48581684e-02  1.00594684e-01  1.00303590e-01
 -1.53366957e-04  1.60988029e-02 -2.93867663e-02  1.25794411e-01
  6.13207966e-02 -2.63806097e-02  1.17976248e-01 -1.99544467e-02
  2.41708178e-02  2.57137306e-02 -8.13519955e-02 -4.53345999e-02
 -3.99231091e-02  4.76772562e-02 -3.13694663e-02 -2.41024382e-02
 -6.88319728e-02 -2.20592599e-02 -8.28467160e-02  8.44815969e-02
 -1.46804182e-02  4.57790941e-02 -3.26229967e-02  8.99503604e-02
 -3.32460180e-02  6.78000599e-02 -3.62764336e-02 -2.62665581e-02
  1.00300446e-01 -6.09101020e-02 -6.09945022e-02 -6.52216822e-02
  3.60308178e-02  4.77010570e-02  1.36242688e-01  4.23452854e-02
 -4.34207767e-02 -5.18984050e-02  8.34973752e-02 -8.08309689e-02
  6.15289360e-02 -2.71016564e-02 -9.03856009e-03 -5.44748679e-02
 -4.65584658e-02 -3.62363160e-02 -3.50743756e-02 -1.38202151e-02
  4.66632769e-02  5.74275590e-02  3.65324765e-02 -9.59822908e-02
  7.59815425e-02 -7.27967247e-02 -7.85422996e-02  3.63101959e-02
 -7.19635710e-02 -3.78620960e-02 -1.11373045e-01 -2.27176119e-02
  7.18293786e-02 -2.35345773e-02  3.74963395e-02 -8.86313692e-02
 -2.59542130e-02 -1.83154643e-03  3.97668779e-02  8.69484898e-03]",3
BAM-3476,"[ 0.5656395  -0.25198138 -0.06424308  0.35777798 -0.33396146  0.7555971
 -0.32227197 -0.43264484 -0.77355045  0.13570821 -0.5153943   0.08861132
 -0.13273856 -0.6169884  -0.48518398  0.11390198  0.12227426  0.09695622
 -0.44750366  0.07429909  0.36580697  0.06927439 -0.20864226  0.43274558
  0.24354357  0.07090696 -0.14499426 -0.47341955 -0.7636733  -0.06876411
 -0.52681357 -0.10370538  0.19420195  0.14451271 -0.31355003 -0.13441987
 -0.19339734  0.30960312  0.18170382  0.26408255 -0.46798453  0.00888795
  0.1069764  -0.1774307   0.21539861  0.10939655 -0.14060892 -0.48820907
 -0.424216    0.04676526  0.37725282  0.05876133  0.10496464 -0.6146012
  0.7317734   0.38552165  0.17333686 -0.19973122  0.5140466   0.5282821
 -0.16333237  0.06923918  0.01396971  0.5854478   0.5557227  -0.20366974
  0.33152372 -0.19919173 -0.00444357 -0.19173568 -0.6066473  -0.08530892
 -0.11754885  0.06990923 -0.08638369 -0.39875576 -0.27702382 -0.03511137
 -0.58323497  0.10398895 -0.0855794  -0.01986884 -0.02895017  0.5466168
 -0.00948249  0.30384842 -0.25999194 -0.18038043  0.27083242 -0.30783617
 -0.7333866  -0.10686115  0.00989638  0.040512    0.7125645   0.29089186
 -0.01549318 -0.16584608  0.5351408  -0.56031847  0.4993835  -0.2720135
 -0.23964421 -0.27939603 -0.3998665  -0.2980938   0.09858448  0.05106283
  0.8069871   0.13531604 -0.12780973 -0.68334556  0.61992675 -0.34760293
 -0.33400214  0.29353642 -0.32043627 -0.01458337 -0.62654954 -0.04281278
  0.4603379   0.07988857  0.23374729 -0.77769935  0.15543912 -0.21763907
  0.07464346 -0.29123524]",2
BAM-3612,"[ 0.09441753 -0.05579602 -0.04690133  0.03324573 -0.04354581  0.09827114
 -0.07349717 -0.02461202 -0.11470806  0.03436191 -0.1272994   0.07228557
 -0.0363636  -0.12256628 -0.09971888 -0.01312514  0.04211107  0.05066011
 -0.05940035  0.01755572  0.03984388 -0.02166222 -0.10505119  0.01859022
  0.06382871  0.0152219  -0.04218816 -0.0949655  -0.16534962  0.0452504
 -0.10128559 -0.00596941  0.02099329 -0.04573299 -0.0344471   0.00534032
 -0.03446685 -0.0077382   0.01427282  0.00407727 -0.06744725 -0.04330347
  0.06301964 -0.00045529  0.08238642  0.04728446 -0.03241214 -0.02760369
 -0.05449079 -0.06518155  0.1228883  -0.01020605  0.07710289 -0.07045127
  0.01701924  0.04158919  0.09400123 -0.06084157  0.09783443  0.09531404
  0.00179255  0.01790832 -0.0222319   0.11926689  0.06776486 -0.03362417
  0.11108872 -0.02500604  0.02661503  0.01855585 -0.07870159 -0.04069266
 -0.03684819  0.04149943 -0.02785905 -0.03087081 -0.06833713 -0.02276498
 -0.08199187  0.07515453 -0.01637273  0.04326304 -0.03392491  0.09460495
 -0.03402735  0.07348444 -0.04037808 -0.0319486   0.10254677 -0.05965799
 -0.06716378 -0.06061133  0.03419907  0.04507742  0.1317346   0.03901507
 -0.04197546 -0.05409507  0.08970771 -0.08535913  0.0623013  -0.03165318
 -0.00428228 -0.05984074 -0.04701436 -0.0346894  -0.02722762 -0.00600301
  0.05618768  0.05296005  0.02702699 -0.09557779  0.0716253  -0.07561081
 -0.07472492  0.03845456 -0.07443012 -0.0359724  -0.1070621  -0.01630752
  0.06779797 -0.02468964  0.03414357 -0.09295432 -0.02874323 -0.0049378
  0.04116388  0.00739478]",2
BAM-3616,"[ 0.13452071 -0.074257   -0.05991521  0.04252141 -0.06026499  0.13526174
 -0.10023831 -0.02398178 -0.16426405  0.05074118 -0.17312443  0.09972129
 -0.05144763 -0.17364869 -0.13112852 -0.02158304  0.05542324  0.07063837
 -0.08401594  0.01740161  0.05524629 -0.0252561  -0.15144773  0.02444538
  0.07853591  0.01770532 -0.04579908 -0.14221755 -0.2224994   0.06421554
 -0.13156956 -0.00232755  0.02952754 -0.05897286 -0.04855952  0.01025572
 -0.06015871 -0.01889768  0.01942408  0.00477717 -0.08844046 -0.06525663
  0.08712967  0.00550246  0.1172879   0.0640239  -0.0333257  -0.04375219
 -0.07516634 -0.09714328  0.1771052  -0.01590511  0.10408624 -0.10054683
  0.01976962  0.05456115  0.12767886 -0.08933967  0.13529685  0.13963123
  0.00780242  0.02229822 -0.0354129   0.16413666  0.08170632 -0.03688991
  0.16280854 -0.02380292  0.0359002   0.03371264 -0.1074321  -0.06373776
 -0.0554941   0.06253358 -0.04476846 -0.03169736 -0.10436621 -0.02550617
 -0.11904016  0.10884357 -0.0136615   0.06638556 -0.05339405  0.1219167
 -0.05007261  0.09420234 -0.0534651  -0.03720401  0.13928375 -0.07633749
 -0.08766027 -0.08282746  0.04954879  0.06527793  0.18381728  0.05407472
 -0.05604017 -0.07123075  0.12202427 -0.11870795  0.08262473 -0.03806921
 -0.007331   -0.0845091  -0.06034102 -0.05148089 -0.052194   -0.0150361
  0.06119791  0.07484174  0.05026078 -0.13413928  0.1027208  -0.09902689
 -0.1083675   0.04916763 -0.09516526 -0.04740668 -0.14914162 -0.03167916
  0.09817678 -0.03765447  0.04082674 -0.12131543 -0.03867484 -0.00542953
  0.05944132  0.00400825]",5
BAM-3620,"[ 0.03567558 -0.01468473 -0.01822862  0.00878836 -0.01991597  0.03921362
 -0.02418181 -0.00043098 -0.04368147  0.01080651 -0.04560589  0.02724379
 -0.02024726 -0.05629061 -0.03032885 -0.01297925  0.02489634  0.02487286
 -0.0190586  -0.00159139  0.01257415 -0.0119115  -0.04664807  0.00578163
  0.01699612 -0.00429604 -0.00649972 -0.04367502 -0.05141695  0.02293324
 -0.03430913 -0.00923885  0.01192569 -0.01511695 -0.01666001  0.00719389
 -0.02508909 -0.00282919 -0.00198793  0.00019489 -0.02991467 -0.02007878
  0.01832541  0.00201512  0.03654506  0.02080954 -0.00080933 -0.00669007
 -0.01754954 -0.02861567  0.04585903 -0.00473485  0.03402026 -0.02848377
  0.0076321   0.01203161  0.0352005  -0.01611395  0.05184495  0.04453281
 -0.00451732  0.01151593 -0.02106702  0.02591826  0.02482972 -0.00460073
  0.04479023 -0.01338071  0.01053754  0.01376768 -0.02698924 -0.01826178
 -0.00819842  0.02018974 -0.01497521 -0.00543179 -0.02794721  0.00025394
 -0.02543266  0.03608886 -0.00100708  0.02508884 -0.01027774  0.03297112
 -0.01310227  0.03035479 -0.01610153 -0.01280856  0.03530078 -0.01487327
 -0.02005302 -0.02939173  0.02388476  0.02988958  0.04713868  0.01472942
 -0.01545489 -0.00919831  0.02752616 -0.03631421  0.02245617 -0.01348948
  0.00414643 -0.02455536 -0.01646863 -0.01749554 -0.01578305 -0.00920691
  0.01092913  0.02585758  0.01047055 -0.02395083  0.03198728 -0.03236079
 -0.04178768  0.01837136 -0.01765611 -0.01064027 -0.04477896 -0.00279684
  0.03224875 -0.00835668  0.00105418 -0.02968107 -0.00885582 -0.01526528
  0.0176711   0.00359726]",2
BAM-3626,"[ 0.03089903 -0.01600365 -0.01009082  0.01163976 -0.01455039  0.03024473
 -0.01933136 -0.00420551 -0.03587077  0.00619224 -0.03390493  0.01841178
 -0.01157883 -0.03564997 -0.02992864 -0.00609764  0.01599996  0.01381786
 -0.017085    0.00091286  0.0097712  -0.00945099 -0.02990791  0.00270246
  0.02003599  0.00249596 -0.00764136 -0.02938418 -0.04774486  0.01312891
 -0.02979993  0.00036794  0.0059954  -0.01142231 -0.01105155  0.00540011
 -0.0163877  -0.00491546  0.00637745 -0.00309381 -0.01709377 -0.01688384
  0.01724021  0.00454018  0.02884736  0.01170194 -0.0074946  -0.0124215
 -0.01048826 -0.02009412  0.03622563 -0.00581606  0.02481129 -0.02251664
  0.00895304  0.01470677  0.02765095 -0.01470703  0.03356854  0.03021172
  0.0003108   0.00625092 -0.00790576  0.03228463  0.01613008 -0.00984594
  0.03782526 -0.00693865  0.00818058  0.00933989 -0.02188057 -0.01093803
 -0.00822421  0.01093199 -0.00575142 -0.01037178 -0.02151805 -0.00837321
 -0.02677647  0.01969409 -0.00532746  0.01551443 -0.01117903  0.02664898
 -0.00800903  0.01928261 -0.0134552  -0.00952997  0.02840643 -0.01753206
 -0.01844022 -0.02163921  0.01213468  0.0139829   0.03592824  0.00990126
 -0.01445846 -0.01265514  0.02166273 -0.02713051  0.02035066 -0.01318388
 -0.00165433 -0.01952808 -0.01604896 -0.01388861 -0.00934377 -0.002496
  0.01079083  0.01847962  0.01324047 -0.02711864  0.02270352 -0.02205836
 -0.02536867  0.0148715  -0.02242593 -0.01344661 -0.02746878 -0.00187318
  0.02518223 -0.00842005  0.00734125 -0.02620463 -0.00720287 -0.00825919
  0.00940857  0.00125598]",5
BAM-3631,"[ 0.17884035 -0.11636253 -0.10197148  0.05208082 -0.06864382  0.16763024
 -0.13882087 -0.03587056 -0.21171802  0.07713336 -0.24623498  0.15303905
 -0.0763431  -0.22644512 -0.19811942 -0.03381358  0.08383111  0.10799168
 -0.11295559  0.02843872  0.05948909 -0.03877173 -0.22662842  0.01394142
  0.12146302  0.0279146  -0.07722487 -0.20307674 -0.32002673  0.08855749
 -0.17772704  0.01425463  0.03652579 -0.09972406 -0.06819075  0.02134377
 -0.07577105 -0.04042619  0.03615056 -0.01310376 -0.10880339 -0.09702957
  0.14165981  0.00871443  0.15593684  0.10463206 -0.06560927 -0.04232521
 -0.09040003 -0.14570665  0.25471592 -0.0198026   0.16098674 -0.13069418
  0.00449186  0.07217813  0.19581772 -0.15962325  0.1680466   0.1981984
  0.0205924   0.04079983 -0.05284049  0.2525488   0.11103589 -0.07039748
  0.23223476 -0.01884274  0.05269819  0.03962893 -0.1535599  -0.09101737
 -0.08784959  0.08695139 -0.05751865 -0.04617991 -0.14970623 -0.034075
 -0.15803401  0.16143921 -0.02747055  0.09759529 -0.0788279   0.16692623
 -0.0700869   0.13111153 -0.07129396 -0.05643139  0.2097015  -0.11800055
 -0.08566644 -0.11528485  0.06557597  0.08341753  0.25182322  0.05895733
 -0.0735423  -0.09634047  0.16357082 -0.1447746   0.11088077 -0.04556924
 -0.00937171 -0.11669206 -0.07438608 -0.07217271 -0.07165086 -0.00875264
  0.06373101  0.11289732  0.08591964 -0.18602629  0.12008636 -0.12703493
 -0.14988162  0.06814098 -0.14307658 -0.07800624 -0.18510716 -0.04117136
  0.13330638 -0.04142142  0.08575343 -0.16006498 -0.07935668  0.02665657
  0.08744916  0.01969685]",5
BAM-3633,"[ 2.00060867e-02 -1.36239966e-02 -1.12375664e-02  4.00142744e-03
 -9.52871516e-03  1.92366131e-02 -1.21855829e-02 -3.70545848e-03
 -2.89886445e-02  7.59308692e-03 -2.92173866e-02  1.33751389e-02
 -1.17331268e-02 -2.81721577e-02 -2.10710652e-02 -2.14970601e-03
  1.48974573e-02  1.01255290e-02 -1.19706467e-02  3.06206709e-03
  7.08075333e-03 -3.29583697e-03 -3.01269442e-02 -1.99164660e-03
  9.12218913e-03  8.15005973e-04 -9.94845945e-03 -2.60902941e-02
 -3.48159894e-02  7.24669779e-03 -2.58990899e-02 -1.16037787e-03
  4.65714023e-04 -1.06092775e-02 -1.11568011e-02 -1.15166279e-03
 -6.98425388e-03 -6.64629228e-03  4.21677064e-03  2.08003941e-04
 -1.30264228e-02 -8.91890191e-03  1.61217880e-02 -1.33967842e-03
  2.14279704e-02  1.14412671e-02 -2.63301819e-03 -8.78113229e-03
 -6.86558755e-03 -1.77489873e-02  3.28826346e-02 -2.64670770e-03
  2.19384786e-02 -1.31871002e-02  3.04103887e-04  4.23323410e-03
  2.71861553e-02 -1.59466267e-02  1.82806626e-02  2.07206421e-02
  3.39788548e-03  1.40390522e-03 -9.08549596e-03  2.47941483e-02
  1.64812524e-02 -8.86036735e-03  3.30455303e-02 -5.87874325e-03
  7.67672248e-03  4.84026177e-03 -1.60182696e-02 -7.90395867e-03
 -9.78078227e-03  8.90336372e-03 -4.25981730e-03 -6.71267370e-03
 -1.62312128e-02 -3.70079279e-03 -1.81166269e-02  1.79216173e-02
  1.61536993e-03  1.01451417e-02 -1.22325253e-02  2.07692869e-02
 -9.32802074e-03  1.34821841e-02 -1.01840915e-02 -4.43662796e-03
  2.28258967e-02 -1.26691461e-02 -1.39442813e-02 -1.20139336e-02
  5.97154303e-03  8.47722031e-03  2.75339093e-02  1.20282620e-02
 -9.85420309e-03 -1.09107764e-02  2.20698193e-02 -2.16166638e-02
  1.34659642e-02 -8.08918476e-03  1.24397804e-03 -1.62210763e-02
 -1.02875484e-02 -6.19896920e-03 -1.19347498e-02 -9.42197730e-05
  1.14592975e-02  1.04989195e-02  1.06470846e-02 -1.84146408e-02
  1.76689699e-02 -1.49989268e-02 -1.39162596e-02  1.18787112e-02
 -1.65766254e-02 -8.97166692e-03 -2.11800560e-02 -6.56925049e-03
  1.22025870e-02 -5.81113715e-03  2.85507669e-03 -2.10558884e-02
 -6.79281075e-03 -7.80722010e-04  9.94295441e-03  3.95840267e-03]",8
BAM-3634,"[ 0.06607138 -0.02918658 -0.02805708  0.02038965 -0.03726379  0.06843298
 -0.05070747 -0.01015005 -0.08584987  0.01774248 -0.08796799  0.04953735
 -0.03119094 -0.10357127 -0.06868564 -0.01981077  0.03510395  0.04461758
 -0.03748935  0.00251374  0.02450233 -0.02158796 -0.08797733  0.01133642
  0.04147824  0.00532704 -0.02363209 -0.08288109 -0.11601798  0.04477375
 -0.07153131 -0.01325149  0.01217776 -0.03239736 -0.03093633  0.01571971
 -0.03305976 -0.00606594  0.00582543  0.00189418 -0.04835965 -0.03490072
  0.0467284   0.00478374  0.07140498  0.03425734 -0.00587261 -0.01901328
 -0.04673469 -0.04667186  0.09262926 -0.01023876  0.06198712 -0.05270336
  0.01225253  0.03246384  0.06050844 -0.03746794  0.08687245  0.08065387
 -0.00660154  0.01796405 -0.03098357  0.07005457  0.04229716 -0.01146869
  0.09026435 -0.01958104  0.0248595   0.02544908 -0.05646085 -0.03057983
 -0.02407959  0.0402653  -0.02699878 -0.00981953 -0.04942655 -0.01266623
 -0.05731233  0.06444439 -0.0055998   0.04427957 -0.02449855  0.06765713
 -0.03092682  0.05344005 -0.03282756 -0.01927474  0.06892975 -0.03542246
 -0.04634167 -0.05131426  0.03372078  0.04771757  0.09568585  0.03749749
 -0.03113926 -0.02387116  0.06116963 -0.06427142  0.040364   -0.0262409
  0.00522646 -0.04063899 -0.03579789 -0.02270732 -0.02967492 -0.00983133
  0.02951876  0.05317679  0.02437251 -0.05807965  0.05554165 -0.0580086
 -0.07292581  0.02871597 -0.03894567 -0.02374141 -0.07624844 -0.00949479
  0.06063771 -0.01915531  0.012167   -0.05761626 -0.02721213 -0.019516
  0.02733202  0.00889206]",1
BAM-3679,"[ 0.1282415  -0.08476598 -0.07080542  0.04537551 -0.0496325   0.12046075
 -0.10167155 -0.02628828 -0.15243804  0.05059835 -0.17280884  0.09909246
 -0.04934061 -0.15197341 -0.13600239 -0.01498827  0.04983644  0.06862144
 -0.08393757  0.01924568  0.05222166 -0.02277288 -0.14515226  0.01192742
  0.08617868  0.02437393 -0.04887311 -0.13724864 -0.22510608  0.05150991
 -0.11974361  0.0085722   0.02777602 -0.05834478 -0.04634969  0.00910668
 -0.04455902 -0.02047157  0.02631263 -0.00157363 -0.07548    -0.06854498
  0.0909989   0.00401947  0.09918604  0.06582613 -0.04347854 -0.03527936
 -0.06560542 -0.09287823  0.16859466 -0.00869842  0.1004196  -0.09122325
  0.0183707   0.04926979  0.13141115 -0.10322165  0.11443581  0.12590158
  0.01387715  0.02409913 -0.02794618  0.18030022  0.07889142 -0.05061631
  0.15554343 -0.01589998  0.03795729  0.02082114 -0.10712921 -0.05581146
 -0.05711     0.05644371 -0.04014953 -0.04115367 -0.09960505 -0.02503388
 -0.11143131  0.10158695 -0.02055604  0.06032649 -0.04571477  0.11525425
 -0.03920328  0.09478641 -0.05029339 -0.04053302  0.14329399 -0.08498864
 -0.0668755  -0.07610627  0.04428845  0.04942127  0.17651331  0.03601582
 -0.04534519 -0.06939588  0.11295732 -0.10478712  0.0798804  -0.02960158
 -0.01066066 -0.08278027 -0.05165606 -0.05441408 -0.04877718 -0.00868584
  0.05797939  0.06539012  0.05402177 -0.13564868  0.08306094 -0.08615603
 -0.09328841  0.05347877 -0.10156351 -0.05296279 -0.12797429 -0.03209398
  0.09284715 -0.02894291  0.05533317 -0.11318864 -0.04857052  0.0163599
  0.05926877  0.00755336]",3
