issuekey,doc2vec,storypoint
CLOV-1086,"[ 6.84503764e-02 -2.97478307e-02 -5.32337204e-02 -8.33378639e-03
 -2.71020662e-02  2.17376724e-02 -1.23688290e-02 -2.72945464e-02
 -2.32023057e-02  2.20384467e-02 -5.19563630e-02  6.39703870e-02
 -1.25906672e-02 -2.84107123e-02 -4.19481061e-02  1.29492152e-02
  1.04254996e-02  1.32716754e-02 -1.53104933e-02  1.20678302e-02
 -7.30775157e-03 -3.39482985e-02 -5.81599884e-02  7.31593044e-03
  3.32000777e-02 -2.00432492e-03 -1.74775813e-02 -9.53137968e-03
 -6.30520657e-02 -1.41078820e-02 -6.83507696e-02  9.00295377e-03
 -1.62751731e-02 -1.48870954e-02 -1.09283188e-02  4.09199111e-02
  3.83590767e-03  6.00418402e-03  1.92891359e-02 -1.53414123e-02
 -2.71945465e-02 -2.70815417e-02  2.30381768e-02  4.50043455e-02
  2.18900535e-02  2.89647859e-02 -1.23801809e-02  7.66549143e-04
 -1.37364427e-02 -6.26605898e-02  6.44376203e-02  4.10683677e-02
  6.32787645e-02 -4.09004204e-02  1.02843754e-02 -3.03232595e-02
  7.58876577e-02 -2.76104640e-02 -6.15292834e-03  4.58641425e-02
 -1.20647885e-02  1.24875847e-02  3.82598788e-02  6.65406212e-02
  4.05138433e-02 -3.78587656e-02  1.95329618e-02  1.07645271e-02
  1.33200865e-02 -5.22227865e-03 -9.45217209e-04 -3.04459408e-02
 -2.01655291e-02  5.49071431e-02 -1.57648940e-02 -2.58674156e-02
 -4.61711995e-02  1.63638592e-02 -2.18685307e-02  2.97278594e-02
  1.02827121e-02  3.98507565e-02 -9.46756825e-03  7.76850581e-02
 -3.62196192e-02  9.90438275e-03  3.33407009e-03 -6.19672984e-03
  6.18033893e-02 -4.64796163e-02 -1.44130755e-02  7.43825547e-03
 -9.98273585e-03  1.90498885e-02  4.86597009e-02  2.73345783e-02
 -1.59799736e-02 -4.23456170e-02  6.10940084e-02 -5.03704473e-02
  1.18105952e-02 -1.37252007e-02  5.16669825e-03  1.17002903e-02
  2.74074753e-03 -2.50041205e-02  3.34427156e-03  5.86219970e-03
  8.81867949e-03  2.36060992e-02  2.52402071e-02 -2.77606230e-02
  3.78815383e-02 -3.71182337e-02 -3.72875519e-02  2.36342270e-02
 -1.54769253e-02 -3.93506363e-02 -2.22084150e-02  1.05952868e-05
  2.23436654e-02  5.41444460e-04  4.48549651e-02 -4.55004610e-02
 -8.78849346e-03  2.50937473e-02  2.69913580e-02 -1.20027340e-03]",2
CLOV-379,"[ 0.11846703  0.42338383 -0.24697888 -0.21606724  0.11591568 -0.5867454
 -0.17112948 -0.6491791  -1.208017    0.69299704 -1.2644901  -0.0247802
  0.04538459 -0.3722827  -1.1234764  -0.51658446 -0.5721997  -0.1821914
  0.7709899   0.7937347  -1.0444921   0.04897361  0.45652595 -1.0180831
 -0.12612605 -1.37842    -1.5756767  -0.4043931  -1.2691439  -0.400839
 -0.86525947 -0.12969752 -0.6963376  -0.5417662   0.40156186  0.24766794
  0.13186587 -0.151365    0.37082908 -0.3014409   0.32863966  1.5213093
 -0.07370695  0.23626725  1.8083951   0.8401834  -0.99561006  0.00810368
 -0.24409345 -1.7563295   1.5794      1.6779691   0.9783748  -0.22032003
  1.0625087  -1.56413     1.8224221  -1.1523466  -0.5142246   1.8867728
  0.07734733  0.0538271  -0.2863346   1.6201364   0.77510816 -0.19551733
  0.55166775 -0.53377396  0.45918494  0.21345566 -0.22198798  0.02383191
 -0.60300136  0.3627776   0.57129246 -1.3920081  -0.6537145   0.55739444
 -1.4889696   0.9898016   1.7806263   0.13524082 -0.30054685  1.4080637
 -0.6904509  -0.1671393  -0.6219655  -0.75472933  0.8752899  -1.0502893
  0.029514    1.2176329  -0.8247983   0.9950668   0.99436355  0.06343266
 -0.04787821  0.49965397  1.264822   -1.1958487  -0.13517275 -0.57314503
 -0.02901457 -0.0296648   0.19642957 -0.78726363  0.48888242  1.271233
  1.1132883   0.73476344  0.41868412 -0.69515055  0.5745882  -0.41779494
 -0.5342196  -0.15076554 -0.29092515  0.04606082  0.46034238  0.31970274
 -0.12436005  0.8033152   0.87991184  0.3612346  -1.0423018   0.20463572
  0.42323992  0.38667992]",2
CLOV-1085,"[ 0.1702477  -0.07990808 -0.12820882 -0.01908959 -0.05702204  0.03822864
 -0.03689791 -0.06894068 -0.07260886  0.05603551 -0.12816799  0.16109146
 -0.03193543 -0.06590925 -0.10596775  0.01853091  0.02767895  0.0246318
 -0.02349566  0.02960776 -0.02335283 -0.08327558 -0.14580995  0.01165061
  0.08770194 -0.02535118 -0.05658814 -0.00758311 -0.1529596  -0.04977089
 -0.16768365  0.01334335 -0.03799203 -0.04156309 -0.02759404  0.09918057
  0.00483775  0.01722246  0.04887604 -0.02785642 -0.06166409 -0.05616849
  0.06081954  0.12198227  0.07309341  0.06322912 -0.03509958 -0.00604284
 -0.03582134 -0.15991141  0.15487376  0.11695307  0.15066382 -0.11041133
  0.02773208 -0.07636004  0.19791275 -0.07127357 -0.00971562  0.10872161
 -0.03981065  0.04062659  0.08073436  0.17435417  0.10395731 -0.09783855
  0.04526221  0.03008928  0.0453899  -0.01259024 -0.01400561 -0.07208115
 -0.05086183  0.14664187 -0.03075026 -0.07595585 -0.11774518  0.03403434
 -0.05715018  0.08124219  0.02430717  0.10519983 -0.02317172  0.19695094
 -0.08848859  0.02929568  0.00583701 -0.0168017   0.14986746 -0.12349543
 -0.0325279   0.01082591 -0.02868574  0.05629813  0.12506986  0.06852473
 -0.04586635 -0.10698321  0.15715472 -0.13362983  0.03153671 -0.0302764
  0.01008816  0.0251006   0.01348492 -0.0679449   0.00901083  0.02846116
  0.02598389  0.05258569  0.05948254 -0.08167603  0.09939072 -0.098796
 -0.09037364  0.05799282 -0.03384227 -0.09467721 -0.04712018  0.00866203
  0.05060006  0.00047571  0.10429876 -0.1068617  -0.02997633  0.06128956
  0.06941503 -0.00102006]",2
CLOV-1084,"[ 0.3442577  -0.1844098  -0.28663173 -0.07280731 -0.13644567  0.06442518
 -0.09306708 -0.15750825 -0.12122646  0.11392677 -0.25912127  0.34979892
 -0.06689465 -0.1479183  -0.2159377   0.07220119  0.07764012  0.06257574
 -0.08335965  0.05634489 -0.07311877 -0.1729223  -0.32303444  0.03153735
  0.19383092 -0.05646421 -0.10384995  0.00284684 -0.3136807  -0.09402323
 -0.3609724   0.04692372 -0.08045851 -0.07306601 -0.06972762  0.17439693
  0.01422288  0.07041489  0.10967279 -0.04695435 -0.13056713 -0.13551344
  0.1245259   0.27524596  0.14817676  0.09426393 -0.05836165  0.00198455
 -0.04926763 -0.33314088  0.32286775  0.20278162  0.31975612 -0.20929448
  0.04988963 -0.15717031  0.39234698 -0.1259449  -0.00364266  0.20223694
 -0.07687401  0.07826306  0.18191381  0.31916282  0.2006761  -0.21033399
  0.07477551  0.08674224  0.10321554 -0.01712732 -0.05529786 -0.15307459
 -0.08567978  0.3129574  -0.06011069 -0.15315169 -0.22300585  0.03602203
 -0.10483485  0.13791855  0.04952334  0.22418432 -0.03946788  0.4242475
 -0.19098228  0.08010969  0.02540895 -0.03270931  0.3144164  -0.25269762
 -0.06440002  0.02001793 -0.05572811  0.11357282  0.23800573  0.14476663
 -0.08402052 -0.20986502  0.30365485 -0.25666428  0.05478437 -0.06911978
  0.02371779  0.05446191  0.02555446 -0.14307414  0.00936698  0.06631494
  0.06110439  0.09376518  0.11466243 -0.14988142  0.22256652 -0.18868555
 -0.18012285  0.11271747 -0.06623874 -0.17164229 -0.09286776  0.01756357
  0.10221893 -0.00288928  0.191342   -0.2128029  -0.04956271  0.14178543
  0.15127145 -0.00753971]",1
CLOV-701,"[ 9.81539786e-02 -3.68721634e-02 -6.98206797e-02 -1.10967061e-03
 -2.71276031e-02  3.58026326e-02 -1.27180126e-02 -4.77154888e-02
 -4.32771407e-02  2.48974133e-02 -7.64218345e-02  8.77857953e-02
 -1.34406509e-02 -3.77555750e-02 -6.80725127e-02  3.73956375e-03
  1.06455237e-02  1.10508222e-02 -5.46435779e-03  2.09821761e-02
 -1.73789747e-02 -4.69169207e-02 -8.54517668e-02  2.96729128e-03
  4.83267680e-02 -6.21959241e-03 -3.04912273e-02 -2.02635210e-02
 -9.11873505e-02 -2.46135332e-02 -8.54587033e-02  3.79017787e-03
 -1.35199316e-02 -2.43086647e-02 -1.05862683e-02  6.59299940e-02
  5.49195611e-05  2.82011839e-04  1.88733544e-02 -2.30100956e-02
 -3.29750367e-02 -3.50385234e-02  3.60051021e-02  6.46923557e-02
  4.28582504e-02  4.57045473e-02 -2.73743235e-02 -1.16021140e-02
 -2.69421116e-02 -8.86588246e-02  9.23252031e-02  7.71817788e-02
  8.31280872e-02 -6.50410652e-02  1.98495258e-02 -4.95985448e-02
  1.17889225e-01 -4.78524119e-02 -2.44346205e-02  7.18203187e-02
 -2.07576584e-02  2.61311773e-02  4.43102904e-02  1.03106052e-01
  6.24989420e-02 -5.83452582e-02  3.58747132e-02  4.06257622e-03
  2.75896527e-02 -1.69625208e-02 -3.98884341e-03 -3.92910764e-02
 -3.55563611e-02  7.59953335e-02 -2.07970347e-02 -4.54889573e-02
 -7.69690722e-02  3.46748494e-02 -3.73367295e-02  5.70329092e-02
  2.20755991e-02  6.16301373e-02 -1.22006508e-02  1.18346862e-01
 -4.76329811e-02  1.63136572e-02 -6.15326129e-03 -1.20630227e-02
  8.66371691e-02 -7.16183931e-02 -1.74170285e-02  7.02243857e-03
 -2.16428470e-02  4.01782282e-02  6.81329519e-02  2.73727290e-02
 -2.51948889e-02 -5.72102591e-02  9.52159613e-02 -9.13165212e-02
  1.51782613e-02 -1.65518951e-02  3.02454503e-03  1.84306260e-02
  7.36844819e-03 -5.10762259e-02  1.09464827e-03  2.06435919e-02
  2.20900681e-02  3.26737016e-02  4.02414799e-02 -5.48330545e-02
  5.54307625e-02 -5.78810684e-02 -4.83094975e-02  3.60589661e-02
 -2.37119645e-02 -5.95899969e-02 -2.89035104e-02  7.77266547e-03
  2.49787793e-02  4.38314630e-03  7.29909614e-02 -7.09171891e-02
 -2.57926360e-02  3.90774421e-02  3.97743918e-02 -1.25140408e-02]",2
CLOV-906,"[ 1.099831   -0.45609415 -0.8022634  -0.09236619 -0.3878507   0.36158383
 -0.2340867  -0.51427835 -0.42677042  0.32749766 -0.810073    0.99824196
 -0.21057576 -0.43969268 -0.75150484  0.10981694  0.22176181  0.08492827
 -0.1426376   0.24487802 -0.16523735 -0.5562491  -0.9270796   0.10843014
  0.551522   -0.0741692  -0.30226406 -0.13789849 -0.96317005 -0.29842213
 -1.0468414   0.11469852 -0.1890341  -0.22001854 -0.15238488  0.67492765
  0.03363539  0.08553399  0.270993   -0.17765796 -0.36714137 -0.41222802
  0.3843956   0.78207666  0.39126226  0.46535787 -0.2602531  -0.07001715
 -0.24353425 -0.95872176  0.9810125   0.7613113   0.94025964 -0.64361334
  0.19909146 -0.510879    1.2303114  -0.52212244 -0.19508743  0.75290185
 -0.25548124  0.296702    0.5498717   1.1048049   0.7180397  -0.6560719
  0.34001917  0.08813594  0.24492711 -0.1788188  -0.02096251 -0.44460967
 -0.37517035  0.9072981  -0.2435899  -0.49492165 -0.8117775   0.2909554
 -0.35429594  0.5562749   0.17764749  0.66197264 -0.08964576  1.3355081
 -0.5379181   0.17141461  0.01144361 -0.09101338  0.9652104  -0.7789267
 -0.15789326  0.09025947 -0.16804282  0.40199792  0.74854803  0.33938622
 -0.25602934 -0.6267454   0.9691707  -0.9458769   0.15914561 -0.1700148
  0.0568599   0.24788597  0.06976195 -0.49883556  0.03642841  0.24017505
  0.16407824  0.29163355  0.402794   -0.51978993  0.58584064 -0.6002225
 -0.5477338   0.4004034  -0.29958338 -0.63826406 -0.31237188  0.0456211
  0.35242286 -0.02140778  0.7648496  -0.7563153  -0.22016889  0.38473982
  0.4927098  -0.12473274]",1
CLOV-930,"[ 0.10555147 -0.05247664 -0.08271074 -0.01859062 -0.0471647   0.01685769
 -0.03222066 -0.04116412 -0.04285633  0.03884486 -0.08385622  0.10369371
 -0.0143473  -0.04765316 -0.06690451  0.01669516  0.02433941  0.01803821
 -0.01763742  0.02067737 -0.01771656 -0.05313956 -0.08668575  0.01262268
  0.05620877 -0.01246559 -0.03319922 -0.00101384 -0.09783679 -0.02476748
 -0.10984001  0.00652851 -0.02567426 -0.01624914 -0.0264857   0.05016536
  0.00557443  0.02138862  0.02677318 -0.01491226 -0.04258636 -0.02842921
  0.03781502  0.07876001  0.04351281  0.03910584 -0.00972358 -0.00070873
 -0.01285123 -0.09745888  0.09626801  0.06436305  0.0937586  -0.06672321
  0.01392832 -0.04819604  0.12141802 -0.03878084  0.00381194  0.05661458
 -0.0232586   0.02517713  0.04941403  0.10103168  0.05892827 -0.06573056
  0.0193161   0.02716845  0.0297016  -0.0079883  -0.01374717 -0.03738118
 -0.0236188   0.0989311  -0.02054392 -0.03974435 -0.06746139  0.01139089
 -0.03481474  0.03937767  0.01401479  0.06229706 -0.00896609  0.12190775
 -0.06007816  0.01954025  0.01148435 -0.01122551  0.09315652 -0.07653125
 -0.02422732  0.01550289 -0.02286284  0.03527164  0.07039526  0.0438941
 -0.02655005 -0.05951883  0.09018816 -0.07180101  0.0121837  -0.01863084
  0.01011478  0.01273959  0.00119716 -0.03703509  0.00857489  0.01015658
  0.01543949  0.0309006   0.03475598 -0.04244993  0.06672923 -0.05885667
 -0.05735592  0.04104719 -0.01476089 -0.0523704  -0.02874367  0.00110027
  0.03367217 -0.00598776  0.0460289  -0.05406482 -0.019788    0.04190227
  0.03799841  0.00682062]",2
CLOV-940,"[ 0.41311467 -0.1708485  -0.3060375  -0.03181009 -0.13125491  0.11705963
 -0.07997042 -0.1855349  -0.1829383   0.12878676 -0.32620677  0.37035424
 -0.07052653 -0.16672212 -0.29138055  0.0324949   0.05967596  0.04614743
 -0.02891083  0.08785427 -0.06445521 -0.21129031 -0.3446393   0.02643136
  0.20648764 -0.04287074 -0.14045195 -0.06818575 -0.3846193  -0.12077316
 -0.39209467  0.02368131 -0.07845605 -0.09597117 -0.054493    0.26252207
  0.0048218   0.02029464  0.10217055 -0.08635605 -0.13238049 -0.12758909
  0.14387652  0.29038662  0.18068178  0.19384085 -0.11133087 -0.02531564
 -0.10643739 -0.3843183   0.39467496  0.312848    0.37080857 -0.25726166
  0.08354975 -0.20765692  0.48782936 -0.20686503 -0.07071947  0.29871908
 -0.08730182  0.09889244  0.19320789  0.44329408  0.26794738 -0.24442072
  0.13895456  0.03752261  0.1017081  -0.06188473 -0.02487085 -0.1597667
 -0.14846326  0.33149037 -0.08640794 -0.19609122 -0.3140949   0.11928981
 -0.16158107  0.22958027  0.08538441  0.24886069 -0.04683607  0.49695554
 -0.21283959  0.06754629 -0.01610938 -0.0580147   0.37712035 -0.30370483
 -0.06590458  0.03722584 -0.07655271  0.16269428  0.2966889   0.13385469
 -0.1100942  -0.23823488  0.39226133 -0.35843402  0.07365331 -0.07166144
  0.01871623  0.07730349  0.03306924 -0.19159915  0.0150898   0.08758924
  0.07394001  0.13700935  0.15032011 -0.20543896  0.22905494 -0.23294058
 -0.22055227  0.15325183 -0.10151834 -0.2445357  -0.12105374  0.01900383
  0.12623633  0.00905896  0.2892041  -0.27491468 -0.10358008  0.15254614
  0.18407738 -0.03206188]",3
CLOV-951,"[ 5.74108779e-01 -2.42082238e-01 -4.28559095e-01 -3.93856987e-02
 -1.79425687e-01  1.70594543e-01 -1.02379791e-01 -2.59526461e-01
 -2.49516547e-01  1.84810609e-01 -4.39412862e-01  5.14955461e-01
 -1.05667472e-01 -2.25874946e-01 -3.87952536e-01  4.73517142e-02
  8.91891345e-02  5.15310988e-02 -6.21934198e-02  1.22783773e-01
 -8.30405205e-02 -2.85020918e-01 -4.85333174e-01  2.84278765e-02
  2.84474581e-01 -5.98096550e-02 -1.96345612e-01 -8.25915486e-02
 -5.30387044e-01 -1.63517222e-01 -5.47207117e-01  4.04477455e-02
 -1.10773981e-01 -1.41515747e-01 -7.26278722e-02  3.65847290e-01
 -3.52494477e-04  2.49557160e-02  1.37641534e-01 -1.21684857e-01
 -1.88219890e-01 -1.79598093e-01  1.93753019e-01  4.01963592e-01
  2.36324474e-01  2.57958651e-01 -1.53866231e-01 -3.45309228e-02
 -1.51517943e-01 -5.23611784e-01  5.40735960e-01  4.29762423e-01
  5.05130768e-01 -3.60410511e-01  1.13492191e-01 -2.75288820e-01
  6.58107340e-01 -2.74202436e-01 -1.01710521e-01  4.00858819e-01
 -1.19862691e-01  1.37391299e-01  2.62692600e-01  6.01767838e-01
  3.68692011e-01 -3.35351497e-01  1.87856242e-01  5.38332798e-02
  1.40825793e-01 -7.52797350e-02 -2.85447370e-02 -2.28300884e-01
 -2.17647970e-01  4.49205667e-01 -1.26814708e-01 -2.65334576e-01
 -4.35269684e-01  1.65724412e-01 -2.14736268e-01  3.09836447e-01
  1.05748460e-01  3.46282601e-01 -7.16085956e-02  6.80893362e-01
 -2.86979765e-01  8.69280249e-02 -1.97793506e-02 -6.78847730e-02
  5.07024705e-01 -4.13286150e-01 -9.39877033e-02  4.33612429e-02
 -1.00921087e-01  2.11475790e-01  4.11043942e-01  1.79437950e-01
 -1.55804202e-01 -3.44845682e-01  5.36941648e-01 -5.03583908e-01
  9.82064381e-02 -9.56457332e-02  1.94103196e-02  1.14446178e-01
  4.96951677e-02 -2.61451781e-01  8.67722277e-03  1.20492585e-01
  1.07787326e-01  1.83348551e-01  2.04986662e-01 -2.85891324e-01
  3.18238765e-01 -3.20692658e-01 -2.97383875e-01  2.09372774e-01
 -1.43383652e-01 -3.36380869e-01 -1.80510432e-01  2.75624506e-02
  1.67562217e-01  6.04637945e-03  3.96671414e-01 -3.87518734e-01
 -1.33252233e-01  2.01552540e-01  2.47805163e-01 -4.34476472e-02]",2
CLOV-953,"[ 0.5685563  -0.23511384 -0.41272086 -0.04989096 -0.17630918  0.17407957
 -0.10385253 -0.24382807 -0.22922656  0.1595924  -0.41727048  0.5035141
 -0.10113666 -0.22169949 -0.39067394  0.0544628   0.08442584  0.06457556
 -0.05196238  0.11639809 -0.07854144 -0.2905045  -0.4844309   0.05107122
  0.28866905 -0.03997071 -0.1626388  -0.07931824 -0.5092276  -0.15924719
 -0.52698255  0.0360736  -0.10881143 -0.1288884  -0.08035813  0.36974022
  0.00468862  0.02548417  0.12359563 -0.11028218 -0.19244628 -0.19516613
  0.18229242  0.38879538  0.21872306  0.2539208  -0.14655595 -0.02864915
 -0.13673128 -0.5050373   0.52642244  0.40124977  0.4917827  -0.3581649
  0.1052241  -0.26421624  0.64958876 -0.26766706 -0.10291716  0.38708767
 -0.13424051  0.1415836   0.27433234  0.5809687   0.35045683 -0.33600903
  0.17665212  0.05086164  0.12940784 -0.09370491 -0.01371489 -0.21937089
 -0.19915006  0.45960516 -0.13401954 -0.25358698 -0.42447025  0.16050225
 -0.20004652  0.30159307  0.10002982  0.33870897 -0.05365445  0.66994447
 -0.2808837   0.09653261 -0.01232863 -0.05253258  0.49920902 -0.40668038
 -0.08931348  0.04716611 -0.09196619  0.20664234  0.400683    0.17854778
 -0.15280077 -0.32729837  0.51003504 -0.49396175  0.08930119 -0.091685
  0.03105921  0.11681358  0.04079876 -0.25577503  0.0123384   0.1047949
  0.08624323  0.1718772   0.20039898 -0.28040525  0.30770692 -0.31456354
 -0.2916467   0.2088281  -0.14481378 -0.34174538 -0.168745    0.01721619
  0.1889186   0.0068728   0.384693   -0.38730448 -0.1267531   0.20585594
  0.25009182 -0.0480697 ]",3
