issuekey,doc2vec,storypoint
DURACLOUD-4,"[ 0.05990408 -0.09274949 -0.01888332  0.03313214 -0.06464989  0.04526158
 -0.06470075 -0.00413481 -0.0492419   0.00850035 -0.02364718  0.11290955
  0.01755101 -0.07464793 -0.0558309  -0.05060622  0.01539246  0.06370351
 -0.01939051 -0.04248744  0.04876449 -0.00302421 -0.10044737  0.02218818
  0.04210838  0.02324933  0.00157615 -0.08504484 -0.07971562  0.04742032
 -0.04945234 -0.0419529   0.03468712 -0.00131169  0.01242461  0.07030557
  0.01885382  0.0118913   0.00330874 -0.05323812 -0.02886372 -0.0306611
  0.06904057  0.01042806  0.00849748  0.07790159 -0.03424627 -0.01522484
 -0.02025274 -0.14328559  0.05853511  0.0556787   0.03658772 -0.04004753
 -0.0005722  -0.00033916  0.0740557  -0.00127401  0.00451566  0.02387151
 -0.01304176  0.01814579 -0.03889719  0.12156088  0.07551322 -0.02523339
  0.08779949 -0.02033909  0.06698116 -0.03014648 -0.00290848 -0.02335756
 -0.08001235  0.0922464  -0.06543445 -0.04044769 -0.07519868  0.03516643
 -0.02034958  0.08476011 -0.03546977  0.06226087 -0.02259446  0.09610186
  0.0149282   0.07479737 -0.01280662  0.01062217  0.07594607 -0.05999914
 -0.02033837 -0.0158896  -0.01640428  0.05517474  0.08123778  0.04840492
 -0.03973203  0.02720707  0.03537175 -0.06615503  0.06208972 -0.02230646
 -0.00133175  0.01480071 -0.06537648 -0.00134202 -0.03504465 -0.00673913
  0.02253807  0.08680379  0.02419941 -0.05830709 -0.02615018 -0.0271811
 -0.03809449  0.0319315  -0.08243209 -0.09695422 -0.06720024 -0.00116098
  0.03767575 -0.04269946  0.07049645 -0.13999389 -0.03067551  0.05636019
  0.04093638 -0.01589932]",1
DURACLOUD-10,"[ 0.02278025 -0.03025898 -0.00614195  0.00809394 -0.0186721   0.01659628
 -0.02041979 -0.00679083 -0.01686882  0.00120917 -0.01002548  0.03353357
  0.00615911 -0.02285984 -0.01338261 -0.01695119  0.00872918  0.0150074
 -0.00383888 -0.01444474  0.01711682 -0.00173441 -0.0332574   0.00453692
  0.0163506   0.01039059  0.00152671 -0.02507879 -0.02141622  0.01534416
 -0.02001526 -0.01576304  0.00791348  0.00021975  0.00402484  0.02009095
  0.00918899  0.00308962  0.00388718 -0.02014665 -0.01436256 -0.0083378
  0.02443819  0.00035538  0.00576715  0.02162784 -0.01105388 -0.00759149
 -0.00437743 -0.04979853  0.0230264   0.01705957  0.01148648 -0.01447185
 -0.00156701 -0.00224531  0.02116977  0.00084645 -0.0017639   0.00848019
 -0.00224972  0.00444675 -0.00816576  0.0386086   0.02204301 -0.00926872
  0.02659193 -0.0094626   0.02312549 -0.01123611 -0.00082361 -0.0080256
 -0.02733232  0.03156483 -0.02272839 -0.01682785 -0.02257158  0.00761202
 -0.00784423  0.03193787 -0.01098985  0.02285864 -0.00360776  0.02870066
  0.00420426  0.02400018 -0.00118579  0.00634468  0.02377458 -0.02250134
 -0.00930011 -0.00801036 -0.00777294  0.01644062  0.02592924  0.01261995
 -0.01429061  0.00715194  0.01472605 -0.01931262  0.02130576 -0.00654372
  0.00168988  0.00595451 -0.01784599 -0.00143751 -0.01261389 -0.00098478
  0.00352333  0.02540655  0.00601035 -0.01661048 -0.00407227 -0.01322294
 -0.01010656  0.01068879 -0.02267973 -0.03385882 -0.02446581  0.00269765
  0.01689401 -0.01282713  0.02331465 -0.04376575 -0.01225429  0.02146108
  0.00971735 -0.00567002]",3
DURACLOUD-21,"[ 0.03219186 -0.0461411  -0.00561329  0.01726462 -0.03308554  0.02095302
 -0.027335   -0.00333804 -0.01435109  0.00742206 -0.01483191  0.05283618
  0.00733231 -0.03685614 -0.02870594 -0.02249139  0.00677551  0.02943601
 -0.01057249 -0.02285192  0.0237417   0.00254195 -0.05575773  0.01416728
  0.02116369  0.02045068 -0.00017359 -0.03638294 -0.03508232  0.02633478
 -0.02534527 -0.0173322   0.01585694  0.00446762  0.00869858  0.03041496
  0.01317573  0.0022226   0.00523813 -0.01957247 -0.0170548  -0.01795205
  0.03640054  0.00769561  0.00762069  0.03832212 -0.01638442 -0.01307138
 -0.01318971 -0.06816438  0.02775829  0.02268231  0.01859134 -0.02209567
 -0.00575836 -0.00049282  0.04005256 -0.00398518 -0.00523772  0.01229873
  0.00131206  0.0113035  -0.01128004  0.05940291  0.04050044 -0.01063651
  0.04301104 -0.00829757  0.03270092 -0.01228447  0.00233314 -0.0149804
 -0.04015622  0.0407389  -0.0271504  -0.01865065 -0.03567026  0.01365403
 -0.00699126  0.04919901 -0.02005783  0.02999385 -0.0098802   0.04846469
  0.00651788  0.03075938 -0.00359142  0.00760769  0.03712101 -0.03304866
 -0.00381236 -0.00876531 -0.01288673  0.0229659   0.0383306   0.02157999
 -0.01432141  0.00904734  0.01421397 -0.03036734  0.03084232 -0.0118829
  0.00207327  0.00701276 -0.02985245  0.00031555 -0.01819396 -0.0038592
  0.00731128  0.04239743  0.01091664 -0.0327247  -0.00847557 -0.01250706
 -0.01551297  0.01682203 -0.03799662 -0.04691844 -0.03319297 -0.00206326
  0.01944669 -0.01928089  0.03736209 -0.0691864  -0.01314635  0.02897771
  0.02723219 -0.00600918]",8
DURACLOUD-22,"[ 2.45813150e-02 -3.37012671e-02 -3.01578129e-03  1.33896992e-02
 -2.38017738e-02  1.24003990e-02 -2.05691103e-02 -1.71220617e-03
 -1.48017453e-02  7.53584318e-03 -9.72368568e-03  3.02021317e-02
 -6.53781171e-05 -2.44581215e-02 -1.66922268e-02 -1.48881935e-02
  2.29856279e-03  2.05714889e-02 -4.60376823e-03 -1.49812689e-02
  1.76065415e-02  4.80827177e-03 -3.84294055e-02  4.23781341e-03
  1.04046743e-02  1.00902449e-02 -4.40856355e-04 -2.78750770e-02
 -2.21240073e-02  1.56263914e-02 -1.29051544e-02 -1.59929097e-02
  1.29474755e-02 -9.69471119e-04  1.84508506e-03  2.51783170e-02
  6.88081002e-03 -2.07013823e-03  3.59350722e-03 -1.51264211e-02
 -7.60717457e-03 -8.49076826e-03  1.94746200e-02  2.31077336e-03
 -1.00595551e-03  2.61136945e-02 -1.36557436e-02 -8.40342324e-03
 -6.80077821e-03 -4.34340052e-02  2.12907121e-02  1.82396956e-02
  1.33143421e-02 -1.52364103e-02 -3.02296225e-03  3.70933861e-03
  2.97928229e-02 -2.26428499e-03  1.87328749e-03  9.61013604e-03
  1.31067657e-03  2.61136587e-03 -6.51514158e-03  4.14853133e-02
  2.45151687e-02 -7.86379725e-03  2.93069854e-02 -4.61418787e-03
  1.93514600e-02 -9.95922368e-03 -1.97428907e-03 -8.59050546e-03
 -2.18817629e-02  3.03824805e-02 -2.15214361e-02 -1.77223887e-02
 -1.93751398e-02  1.07537936e-02 -4.87567997e-03  3.37692536e-02
 -1.33573990e-02  1.77490301e-02 -1.04333526e-02  3.44858728e-02
  3.91032174e-03  1.91233028e-02 -5.58309862e-03  2.42377166e-03
  2.46794671e-02 -2.42847987e-02 -6.63713552e-03 -6.63035410e-03
 -8.71270522e-03  1.74251888e-02  2.90383771e-02  1.22937029e-02
 -1.29924035e-02  9.20640957e-03  1.17635410e-02 -2.25100722e-02
  1.54751604e-02 -5.82416309e-03  4.82821185e-03  4.86179581e-03
 -2.24546995e-02  2.82976805e-04 -1.65479742e-02 -1.70888880e-03
  4.65976680e-03  2.77059153e-02  8.82231258e-03 -1.86426174e-02
 -8.89687613e-03 -1.14173759e-02 -1.05176773e-02  1.42718935e-02
 -3.00456043e-02 -3.26805413e-02 -2.48992313e-02 -1.79891195e-03
  1.57546662e-02 -1.41079267e-02  2.10958719e-02 -4.66267914e-02
 -1.44088212e-02  1.91429276e-02  1.89414527e-02 -3.65850097e-03]",5
DURACLOUD-23,"[ 0.02519749 -0.0333763  -0.00746609  0.01412706 -0.02128548  0.01735509
 -0.02299386 -0.00451651 -0.01285882  0.00381914 -0.01211544  0.03244794
  0.00524924 -0.0208059  -0.01924425 -0.01707185  0.00514448  0.017604
 -0.01016513 -0.01280243  0.01951823 -0.00180789 -0.03248224  0.00354535
  0.01416465  0.01096464  0.00184056 -0.02690999 -0.02542678  0.01291571
 -0.0158457  -0.01694551  0.01196722 -0.00176404  0.00410848  0.02313432
  0.00862762  0.00103628  0.00424381 -0.0184653  -0.01406445 -0.00714801
  0.02209784  0.00296017 -0.00089076  0.02432468 -0.01340261 -0.00659734
 -0.00514032 -0.0448129   0.02315289  0.01768574  0.01572856 -0.01169794
 -0.00445433  0.00021715  0.02717399 -0.00072298  0.00036811  0.00974452
 -0.00263979  0.00418622 -0.01135751  0.03806922  0.02354289 -0.01169633
  0.02484221 -0.00878425  0.02013423 -0.00662356 -0.00296337 -0.00847553
 -0.02199478  0.03005397 -0.01674521 -0.01647177 -0.0203204   0.00946598
 -0.00773803  0.02693252 -0.01261411  0.02344544 -0.01070365  0.0314809
  0.00354833  0.02304872 -0.00286189  0.00701503  0.02848289 -0.02427968
 -0.00597808 -0.00102483 -0.00393345  0.02010997  0.02567506  0.00859819
 -0.00971206  0.00636922  0.01520882 -0.02318989  0.02097372 -0.0063348
 -0.00067186  0.00651836 -0.01876379  0.00196424 -0.01593672 -0.00281445
  0.00528158  0.02819783  0.0089462  -0.02202232 -0.0085953  -0.00663294
 -0.01396334  0.01371948 -0.02967175 -0.0300776  -0.02662272 -0.00284336
  0.01093133 -0.01659402  0.02545833 -0.04692687 -0.01132868  0.02236336
  0.01478088 -0.00976519]",3
DURACLOUD-25,"[ 0.05853002 -0.08665062 -0.01396837  0.03519839 -0.06132343  0.0383153
 -0.06330557 -0.0086941  -0.04422796  0.0117007  -0.02287818  0.10470558
  0.01397107 -0.07341956 -0.05005166 -0.04846282  0.01852077  0.05945006
 -0.0174919  -0.0494192   0.04246365 -0.00474212 -0.0977565   0.01969008
  0.04185298  0.02739227  0.00511643 -0.08457394 -0.076634    0.04752966
 -0.05157597 -0.04157111  0.03224107  0.00129396  0.00812135  0.06169623
  0.02358339  0.0112211   0.00327447 -0.05326018 -0.03656451 -0.0312409
  0.06579885  0.01572101  0.01000922  0.07805115 -0.03191645 -0.02117718
 -0.01904223 -0.14060481  0.05851731  0.04876618  0.02718768 -0.04103935
 -0.00325303  0.00076904  0.07403519  0.00042096  0.00637735  0.02344389
 -0.00735466  0.01603341 -0.03234524  0.11557896  0.07052144 -0.02667399
  0.07825345 -0.02150108  0.0663567  -0.02332826 -0.00086559 -0.02418437
 -0.08434128  0.08392786 -0.05874742 -0.03676201 -0.07511413  0.03311334
 -0.01796844  0.08499634 -0.03290034  0.06296476 -0.01558855  0.09415372
  0.01171519  0.07213875 -0.00358663  0.0082767   0.06782121 -0.05211155
 -0.01988848 -0.01131349 -0.01696476  0.04966921  0.0782353   0.04613471
 -0.03618149  0.02588535  0.03954898 -0.06574439  0.05536282 -0.01747
  0.00580009  0.0118017  -0.06150423 -0.00762991 -0.03678339 -0.01272595
  0.02017423  0.08142807  0.02669416 -0.05410661 -0.02382086 -0.02873528
 -0.03848737  0.02656569 -0.07865482 -0.09758044 -0.06178391 -0.00472455
  0.03788628 -0.05236283  0.07419796 -0.13150164 -0.0293923   0.05400945
  0.03817111 -0.01872029]",3
DURACLOUD-29,"[ 0.06604826 -0.09770672 -0.01847794  0.03556432 -0.0686259   0.04209441
 -0.0655142  -0.00888066 -0.04726991  0.01251488 -0.0284661   0.11113714
  0.01775859 -0.07493626 -0.05431512 -0.05422577  0.01446903  0.06023496
 -0.02202883 -0.04665028  0.04872717 -0.00121192 -0.10746873  0.02373136
  0.03852859  0.028       0.00382379 -0.08538453 -0.07968567  0.05090582
 -0.05178799 -0.04871193  0.02988047  0.00127207  0.00584221  0.07324702
  0.02668616  0.00696376  0.00945605 -0.05558324 -0.03057906 -0.03419349
  0.07087981  0.01032768  0.0070922   0.08218596 -0.03759811 -0.01880068
 -0.01830946 -0.14229594  0.06108868  0.05055018  0.03780405 -0.034537
 -0.00394065 -0.00041427  0.07892938  0.0017533   0.00522964  0.03134675
 -0.0033141   0.01695372 -0.03635152  0.12017987  0.07986414 -0.02804439
  0.08823314 -0.01765739  0.06345259 -0.03320403 -0.00111718 -0.0207523
 -0.0816369   0.09591741 -0.06244602 -0.037073   -0.07168204  0.03428495
 -0.0157955   0.09322368 -0.034595    0.06243489 -0.01870401  0.10131866
  0.01123835  0.07431342 -0.00940692  0.01430916  0.07693704 -0.06755992
 -0.02203982 -0.01212069 -0.02232008  0.05222633  0.08631067  0.05114027
 -0.03487806  0.03038349  0.03712073 -0.06532354  0.06263664 -0.02309244
 -0.00089375  0.01294129 -0.06604674 -0.0022184  -0.04274164 -0.00961223
  0.01939426  0.09220497  0.02765892 -0.05969461 -0.02011102 -0.03121035
 -0.03620761  0.03743257 -0.08338817 -0.09945913 -0.07389111 -0.00212696
  0.04408306 -0.04385692  0.06859051 -0.14576693 -0.03687292  0.06286484
  0.04142816 -0.01500036]",7
DURACLOUD-39,"[ 0.1333046  -0.20100076 -0.03143188  0.07382017 -0.15121001  0.0929538
 -0.1375301  -0.01762311 -0.09852818  0.02997942 -0.05754584  0.2401233
  0.03665608 -0.16733645 -0.12118203 -0.11826426  0.03305838  0.13093004
 -0.04334565 -0.09793398  0.09711339 -0.00499844 -0.23120938  0.05224023
  0.08979757  0.05978334  0.00612278 -0.18438657 -0.16577022  0.11293654
 -0.1086802  -0.09608273  0.07105196 -0.00157134  0.02175218  0.14487872
  0.04939609  0.02277113  0.01466012 -0.12303187 -0.07693695 -0.07084112
  0.15359598  0.0306793   0.02765414  0.16855313 -0.07023712 -0.04060821
 -0.04926327 -0.31116912  0.13663474  0.11201785  0.07653406 -0.08151532
 -0.0119739  -0.00765751  0.16946553 -0.00343158  0.00711833  0.05613631
 -0.01625005  0.04308262 -0.08078766  0.2583532   0.17098933 -0.06304987
  0.18089783 -0.04273084  0.14276254 -0.05971403 -0.00776996 -0.04949504
 -0.17603825  0.1942912  -0.13502978 -0.09238499 -0.16056196  0.06836177
 -0.03484398  0.19371073 -0.07333791  0.14359723 -0.04039864  0.2130461
  0.02730007  0.15741174 -0.0252688   0.02194235  0.15954211 -0.13930453
 -0.03827574 -0.0268647  -0.0427976   0.11473362  0.18619147  0.10677674
 -0.08321005  0.0645734   0.08353699 -0.14981034  0.1315054  -0.04219896
  0.00288859  0.02813602 -0.13466199 -0.01074938 -0.08627121 -0.02299167
  0.04019351  0.19438228  0.05683792 -0.12716803 -0.04846991 -0.06376482
 -0.08624122  0.07098316 -0.17607631 -0.21513975 -0.15332004 -0.00446277
  0.08512454 -0.10335927  0.15422142 -0.30947164 -0.07338174  0.12879819
  0.08735111 -0.03741338]",8
DURACLOUD-41,"[ 0.04010337 -0.06216167 -0.01033613  0.02423715 -0.05034241  0.0280771
 -0.04046948 -0.00466757 -0.02962146  0.01067799 -0.01724944  0.07450936
  0.01276217 -0.05052753 -0.03476258 -0.03108441  0.01380454  0.03780562
 -0.01212745 -0.029521    0.03321378 -0.00280341 -0.07492158  0.0157576
  0.02493399  0.01961213  0.00197454 -0.06197473 -0.04919744  0.03014599
 -0.03230206 -0.03477688  0.01836058 -0.00260783  0.0098407   0.04799904
  0.01824498  0.01028888  0.00481932 -0.03307489 -0.02066507 -0.02463158
  0.04490069  0.00879903  0.00875355  0.05152664 -0.01989848 -0.00979837
 -0.01298355 -0.0926557   0.04756242  0.03335813  0.02297796 -0.02494
 -0.00367123 -0.00139608  0.05639793 -0.00273815 -0.00130505  0.01806417
 -0.00139789  0.01206586 -0.02484458  0.08428515  0.05786206 -0.01439084
  0.05563429 -0.01589572  0.04577043 -0.02099541 -0.00205495 -0.01628289
 -0.05892996  0.06460825 -0.04561805 -0.02384465 -0.04830694  0.02228403
 -0.01310952  0.06045469 -0.02189611  0.04616106 -0.0142012   0.0660137
  0.01229772  0.05312093 -0.00793576  0.00540776  0.04559544 -0.0399157
 -0.01220886 -0.00516956 -0.01083731  0.0371739   0.0589734   0.03461957
 -0.02826157  0.01771683  0.02890256 -0.04608679  0.04132746 -0.01438373
  0.00434428  0.00762995 -0.04123755 -0.00614035 -0.02448642 -0.00252827
  0.00946309  0.05958597  0.02250282 -0.04165009 -0.01154518 -0.02208582
 -0.02367962  0.02590128 -0.05683506 -0.07331324 -0.0521214   0.00279621
  0.02769136 -0.0313667   0.04458195 -0.09828644 -0.02521922  0.03840823
  0.02912861 -0.01057179]",13
DURACLOUD-60,"[ 0.0010657  -0.00731615 -0.00368698 -0.00022718 -0.0015402   0.00469593
 -0.00756101 -0.00180225 -0.00235077  0.00156812 -0.0001435   0.0028278
  0.00335433 -0.00405117 -0.00670374 -0.00493262  0.00504326  0.00369732
 -0.00339205 -0.00342907  0.0008227  -0.00978105 -0.00341086  0.00459437
  0.00368938  0.00201645  0.00241474 -0.00522062 -0.004001    0.00552615
 -0.00320929 -0.0056544  -0.00224569 -0.00161809 -0.00344844  0.00627893
  0.0018483   0.00233172 -0.00014705 -0.01059455 -0.00433331  0.00105131
  0.00580909  0.00010365  0.00077928  0.0047708  -0.00672418  0.0010335
 -0.00304331 -0.01736317  0.00281089  0.00452997 -0.00212469 -0.00265314
 -0.00110527 -0.00088398  0.00931859 -0.00181724 -0.00460334  0.0031477
  0.00386554  0.00348312 -0.00347411  0.01096795  0.00186486  0.0027554
  0.00344055 -0.00162525  0.00715557 -0.00793043 -0.00058786 -0.00173549
 -0.00440703  0.01358666 -0.00240584 -0.00227136 -0.00422764  0.00549184
  0.00236285  0.01260212  0.00230356  0.00256281  0.00459252  0.0048347
  0.00439232  0.00805781  0.00152328  0.00338703  0.00375191 -0.0008242
 -0.0006493   0.00393837  0.00046855  0.00777099  0.00070117  0.00470628
  0.00438051  0.00565173 -0.0007374  -0.00448771  0.00168251 -0.00122585
 -0.00084826  0.00306068 -0.00565712  0.00122487  0.0026709   0.00022288
 -0.00776711  0.0051555   0.00286895 -0.00548973 -0.00379043  0.00488014
 -0.0088229  -0.00018369 -0.00953887 -0.00756727  0.00140241 -0.00145712
  0.00357816 -0.01231374  0.00798579 -0.00526946 -0.00467525  0.00583726
 -0.00025199 -0.00408612]",2
