issuekey,doc2vec,storypoint
GHS-1681,"[ 0.16120039 -0.2226163  -0.21953233  0.20600562 -0.22097127  0.18480301
 -0.08632441 -0.06326579 -0.07941528 -0.05002982 -0.22021113  0.26890588
 -0.11869765 -0.3704461  -0.25891334 -0.10985395  0.04578228  0.07637958
  0.04846432 -0.01668137  0.21339358 -0.07470867 -0.34320107  0.02299626
  0.21893461 -0.01367092 -0.06493069 -0.31932002 -0.19123438  0.04296061
 -0.2964015  -0.11300955  0.15987259 -0.01859654 -0.18030746  0.22082284
  0.22491232  0.01402041  0.00428206 -0.09939557 -0.08956123 -0.03702577
  0.16621499  0.18634273  0.05722011  0.2501894  -0.2684507  -0.14785129
 -0.08854534 -0.40454143  0.32514793  0.19881372  0.30520496 -0.28170565
 -0.02860194  0.04388461  0.31483033 -0.05893177  0.06402272  0.16454135
 -0.07998124  0.18154435  0.06871461  0.4116856   0.25777632 -0.23219357
  0.1810503  -0.12924922  0.15189001 -0.25651047  0.01754991 -0.04369953
 -0.17242998  0.07165007  0.12946542 -0.11939494 -0.24167325  0.0596049
 -0.19072646  0.27200598 -0.13630721  0.31668884 -0.14994597  0.37736872
 -0.22817646  0.2694412   0.0239068   0.03457278  0.4008566  -0.15712783
  0.09766017 -0.11190442 -0.01663431  0.17155887  0.16880107  0.09579767
 -0.2678242   0.00551938  0.1972671  -0.26334327  0.26909187 -0.13549659
 -0.1602696   0.09343663 -0.06772847 -0.11512096 -0.02605602 -0.02593973
  0.0980848   0.29645663  0.07366911 -0.250913    0.04070312 -0.14049253
 -0.10942064  0.04293603 -0.26853952 -0.20674178 -0.33125195 -0.08353399
  0.11071     0.08874921  0.22936708 -0.39354596 -0.09131621  0.18497305
  0.0965327  -0.0005456 ]",5
JSW-1681,"[ 0.16344656 -0.22504084 -0.22211802  0.20873104 -0.22351468  0.18690895
 -0.08714072 -0.06349682 -0.08031113 -0.05105401 -0.22280002  0.27275816
 -0.12053888 -0.37522113 -0.26247057 -0.11101863  0.04639153  0.07666174
  0.04849946 -0.01730393  0.21612526 -0.07585508 -0.3479039   0.02281756
  0.22136225 -0.01395561 -0.06593897 -0.32400194 -0.19329435  0.04256737
 -0.30048537 -0.11373724  0.16211793 -0.01897985 -0.18287225  0.22344713
  0.22899967  0.01411701  0.00381997 -0.10101838 -0.09057734 -0.03782187
  0.16830057  0.18912481  0.05786179  0.25326207 -0.2717692  -0.14997612
 -0.09030391 -0.40935737  0.3295296   0.2011846   0.30885544 -0.2850294
 -0.0289944   0.04462348  0.31837028 -0.06021783  0.0649731   0.1664658
 -0.08043933  0.18418312  0.0695256   0.41723764  0.2613737  -0.23530729
  0.18352492 -0.13041677  0.15318342 -0.2603629   0.01745364 -0.04436295
 -0.17488222  0.07328054  0.13126893 -0.12127835 -0.24519393  0.0606012
 -0.19350944  0.27589265 -0.13830824  0.32077393 -0.15226619  0.3820748
 -0.23172905  0.27274626  0.02420815  0.03480858  0.40592098 -0.1591167
  0.09938658 -0.11280898 -0.01623151  0.17308408  0.17091773  0.09751249
 -0.2713634   0.00543232  0.19963801 -0.26666054  0.27281055 -0.13728839
 -0.16254094  0.09451556 -0.06899196 -0.11638197 -0.02661    -0.02638362
  0.09893392  0.30114055  0.07542204 -0.25446612  0.04168474 -0.14205849
 -0.11062321  0.04315757 -0.27217332 -0.20998909 -0.33562773 -0.08495115
  0.11204248  0.09005041  0.23283094 -0.39869264 -0.09261537  0.18758807
  0.09761932 -0.00105076]",5
GHS-1819,"[ 1.51034072e-02 -1.95202734e-02 -1.69156753e-02  1.10088978e-02
 -1.02011170e-02  1.68635100e-02 -1.26853609e-03 -8.62229615e-03
 -2.84173083e-03 -9.23213782e-04 -1.14396187e-02  1.09291244e-02
 -7.53038097e-03 -2.26152092e-02 -1.52552836e-02 -8.37947056e-03
  3.47631634e-03  9.14843380e-03  3.91255645e-03 -2.51070852e-03
  1.32300723e-02 -6.95414282e-03 -2.38444172e-02  4.32772748e-03
  9.12862550e-03  1.02669699e-03 -7.70091196e-04 -1.85102783e-02
 -1.48255508e-02 -6.65344007e-04 -2.06064917e-02 -3.98245221e-03
  8.86033475e-03 -6.64954074e-04 -8.48956220e-03  1.42162647e-02
  1.07044829e-02 -1.78454688e-03  9.69173620e-04 -8.68331268e-03
 -6.46866718e-03 -5.46448957e-03  6.92894403e-03  9.44104232e-03
  7.70590222e-03  1.41556952e-02 -1.43211316e-02 -7.49861263e-03
 -1.85952522e-03 -2.74097547e-02  2.44029872e-02  1.07120154e-02
  1.95481181e-02 -1.78403631e-02  1.93706842e-03 -7.86784862e-04
  1.81046911e-02 -1.14991609e-03  2.54180224e-04  8.78185220e-03
 -5.88781899e-03  7.48801557e-03  6.81022648e-04  2.38665100e-02
  1.59134995e-02 -1.71654988e-02  6.99864514e-03 -5.56895183e-03
  1.53404064e-02 -1.95584707e-02  1.72384747e-03 -8.54468625e-03
 -1.28509086e-02  5.80455083e-03  4.59342822e-03 -8.33945256e-03
 -1.75010338e-02 -8.20485002e-05 -1.39870048e-02  1.74750909e-02
 -5.34567842e-03  2.01085936e-02 -9.09414887e-03  2.27942374e-02
 -1.23824794e-02  2.01644078e-02  4.49329522e-03  2.39084102e-03
  2.46559009e-02 -1.17321061e-02  1.03797503e-02 -8.70448351e-03
 -3.49191204e-03  1.09162051e-02  1.07834283e-02  7.77465664e-03
 -1.43675748e-02 -1.17771118e-03  7.44944066e-03 -1.61667001e-02
  1.37041062e-02 -6.73202798e-03 -7.16055185e-03  7.69990310e-03
 -3.23715061e-03 -5.40628377e-03 -8.18838133e-04  4.53610392e-03
  3.87823861e-03  1.54917417e-02  3.40706599e-03 -1.81994624e-02
  7.97245372e-03 -1.33282365e-02 -8.07581656e-03  7.37379817e-03
 -1.62577890e-02 -1.20868934e-02 -2.23995093e-02 -2.12375214e-03
  6.94960775e-03  3.88369546e-03  1.22281937e-02 -2.37930026e-02
 -8.30144715e-03  1.09676775e-02  3.54980933e-03  4.79663862e-03]",2
JSW-1819,"[ 0.01768152 -0.02360466 -0.02119289  0.01538968 -0.01446315  0.02044617
 -0.0032196  -0.00997282 -0.00410467 -0.00212848 -0.01568155  0.01562831
 -0.01014467 -0.02964655 -0.01999283 -0.0103689   0.00439761  0.01036383
  0.00470427 -0.00290053  0.01702094 -0.00806841 -0.03020263  0.0047487
  0.01346972  0.00099527 -0.00230917 -0.02417812 -0.01854962  0.00048996
 -0.02626327 -0.00640146  0.01175229 -0.0013157  -0.01196562  0.01839752
  0.01486964 -0.00181948  0.00115349 -0.01032591 -0.00836287 -0.00593624
  0.00993672  0.01285933  0.0087875   0.01920248 -0.01958745 -0.00983042
 -0.00369228 -0.03496854  0.03014545  0.01455343  0.02574496 -0.02324146
  0.00123445 -0.00042352  0.02415005 -0.00232034  0.00142448  0.01176973
 -0.00773648  0.01054349  0.00184712  0.03143706  0.0205857  -0.02170742
  0.0102977  -0.00771502  0.0180725  -0.02446722  0.00163922 -0.00898458
 -0.01638939  0.00698064  0.00716239 -0.01048708 -0.02187467  0.00109536
 -0.01806715  0.02258937 -0.00787948  0.02675083 -0.0118159   0.02968182
 -0.01672688  0.02563709  0.004203    0.00320594  0.03201791 -0.01466334
  0.01200166 -0.01099339 -0.0046546   0.01410236  0.01390795  0.00943475
 -0.01925508 -0.00149059  0.01121125 -0.02113162  0.018873   -0.00910892
 -0.01034334  0.00943697 -0.00476447 -0.00760604 -0.00132066  0.00375096
  0.0055758   0.02085408  0.00458949 -0.0228417   0.00869458 -0.01585722
 -0.01084235  0.00783839 -0.02176445 -0.01581839 -0.02838541 -0.00370555
  0.00935918  0.00539928  0.01671775 -0.03198737 -0.01040465  0.01430342
  0.00599429  0.00480722]",2
GHS-1882,"[ 0.07113292 -0.09688482 -0.09668589  0.09345423 -0.09835573  0.08087606
 -0.03539791 -0.02603367 -0.02972541 -0.02479036 -0.09574638  0.11111689
 -0.05239175 -0.15395321 -0.10860133 -0.04646141  0.01684203  0.03473919
  0.01977967 -0.01159749  0.09306248 -0.02892477 -0.14957348  0.01056063
  0.0971516  -0.0095231  -0.02837766 -0.13461402 -0.08200892  0.01779556
 -0.12443465 -0.0499267   0.06638647 -0.00702187 -0.07522809  0.09391983
  0.09874678  0.00799357 -0.001898   -0.0400603  -0.03846313 -0.02230128
  0.07024563  0.07716028  0.02262332  0.10323133 -0.11242569 -0.06012833
 -0.04041311 -0.17186083  0.14017041  0.08002584  0.13450432 -0.12191796
 -0.01275293  0.02083268  0.1374947  -0.02297159  0.02750789  0.07120954
 -0.04022734  0.07435443  0.02688277  0.17080621  0.10714386 -0.09837294
  0.08325224 -0.05273178  0.0650474  -0.10556185  0.00827821 -0.01986826
 -0.08001917  0.02964412  0.05455572 -0.04827471 -0.10268371  0.02507312
 -0.08479475  0.11767108 -0.06206923  0.14044726 -0.06916938  0.16502213
 -0.09864517  0.11904233  0.01014999  0.01704496  0.17572214 -0.06542748
  0.03888223 -0.04779956 -0.00375678  0.07491156  0.07073022  0.04060715
 -0.11649295  0.00037929  0.08602154 -0.11048814  0.10996465 -0.05563752
 -0.0708399   0.04232579 -0.03181845 -0.05308591 -0.01396525 -0.00825434
  0.03777009  0.12887567  0.03737929 -0.1031305   0.02019927 -0.06026623
 -0.04715174  0.02014773 -0.11537915 -0.08936808 -0.14494324 -0.03898249
  0.04745761  0.04002499  0.09920677 -0.17336048 -0.03913037  0.07723509
  0.04477209 -0.00113658]",20
JSW-1882,"[ 0.06817969 -0.09339256 -0.09262794  0.08946009 -0.09426013  0.07798446
 -0.0336657  -0.02501572 -0.02875656 -0.023264   -0.09141484  0.10644585
 -0.05016441 -0.14746806 -0.10424498 -0.04382911  0.01640612  0.03373554
  0.01921119 -0.01080895  0.08898894 -0.02778271 -0.14250167  0.01091804
  0.09309746 -0.00949348 -0.02706548 -0.12874031 -0.07818585  0.01681018
 -0.11938706 -0.04741116  0.06351284 -0.00617749 -0.07187933  0.08975362
  0.09407207  0.00793884 -0.00154679 -0.03813454 -0.03713425 -0.02184668
  0.06698889  0.07337425  0.02168047  0.09831302 -0.10768982 -0.05730488
 -0.03869719 -0.16457632  0.13414904  0.07549018  0.12844922 -0.11677627
 -0.01172513  0.02012292  0.13183273 -0.02186472  0.02577069  0.0683328
 -0.03848433  0.0711487   0.0255188   0.16329874  0.10235412 -0.09413409
  0.08005977 -0.05005072  0.0627636  -0.10089301  0.00758609 -0.01937947
 -0.07667645  0.02820996  0.05216196 -0.04597208 -0.09804891  0.02378983
 -0.08092943  0.11298785 -0.06015817  0.13434114 -0.06657875  0.15818058
 -0.09465729  0.11349554  0.01014502  0.01630118  0.16821402 -0.06278937
  0.03751251 -0.04548146 -0.0031967   0.07143144  0.06810687  0.03927419
 -0.11221486  0.00046167  0.08214281 -0.10564028  0.10447865 -0.0533811
 -0.06795876  0.0407581  -0.03030078 -0.0511312  -0.01318989 -0.00764518
  0.03574761  0.12351599  0.03602244 -0.09840523  0.0201304  -0.05829744
 -0.04507196  0.01995256 -0.11028904 -0.0856211  -0.13873294 -0.03752958
  0.04535812  0.03786554  0.09451379 -0.16604415 -0.0376425   0.07369867
  0.04229516 -0.00107006]",20
GHS-2047,"[ 4.00350839e-02 -6.29600286e-02 -5.60367182e-02  6.04095869e-02
 -6.01073429e-02  5.25996350e-02 -2.42567267e-02 -2.13855039e-02
 -1.79121923e-02 -7.77040981e-03 -6.14484027e-02  6.74353316e-02
 -3.27426158e-02 -9.64853764e-02 -7.13806227e-02 -3.04303933e-02
  1.04368981e-02  1.61183141e-02  1.20294103e-02 -1.16535574e-02
  5.87114356e-02 -1.68618206e-02 -8.94263312e-02  9.16540436e-03
  5.93645275e-02 -5.02960710e-03 -1.51118264e-02 -8.25963169e-02
 -5.35270646e-02  9.35609080e-03 -8.00682604e-02 -2.72456892e-02
  4.61553223e-02 -4.57127485e-03 -4.67293970e-02  5.70984967e-02
  5.91286533e-02  5.89731848e-03  1.16202782e-03 -2.19399817e-02
 -2.70530973e-02 -1.18683549e-02  3.79898399e-02  5.46875037e-02
  1.35164540e-02  6.16604686e-02 -6.74360022e-02 -4.15884964e-02
 -2.48769782e-02 -1.04853451e-01  9.30502191e-02  5.25102802e-02
  8.32433254e-02 -7.12207109e-02 -4.07234952e-03  1.08676730e-02
  9.05516744e-02 -1.53965969e-02  1.49744553e-02  4.84711044e-02
 -2.46797204e-02  4.72531766e-02  1.50548434e-02  1.10323846e-01
  6.69954717e-02 -6.05988353e-02  5.10311797e-02 -3.33339795e-02
  4.21992764e-02 -6.88935816e-02  8.55576806e-03 -9.92969237e-03
 -4.58466709e-02  1.51811093e-02  3.23313810e-02 -3.02626882e-02
 -6.15892857e-02  2.40631737e-02 -5.38281910e-02  6.66245297e-02
 -3.66191082e-02  8.47184137e-02 -4.37351801e-02  1.01591609e-01
 -6.07215613e-02  6.97507337e-02  5.20861149e-03  5.00629377e-03
  1.10047676e-01 -4.22125645e-02  2.89031081e-02 -2.74849869e-02
 -5.17039234e-03  4.56736945e-02  4.11864296e-02  2.37164535e-02
 -7.58894384e-02  4.20425022e-05  5.40216900e-02 -7.08949268e-02
  6.80993795e-02 -4.10703048e-02 -4.29005027e-02  1.83677394e-02
 -1.79843307e-02 -3.24672423e-02 -8.52961000e-03 -4.93836962e-03
  2.47292276e-02  7.57265314e-02  2.63618138e-02 -6.56680167e-02
  1.49538238e-02 -3.16750556e-02 -3.11543960e-02  1.34767173e-02
 -7.06317127e-02 -5.21515198e-02 -8.55482817e-02 -2.53858510e-02
  3.33933942e-02  2.25493629e-02  6.10989034e-02 -1.09396122e-01
 -2.36050915e-02  5.18214628e-02  2.56452169e-02  3.12213344e-03]",5
JSW-2047,"[ 0.0395151  -0.06139764 -0.0546731   0.05883313 -0.05847724  0.05120321
 -0.02388285 -0.02074349 -0.01723196 -0.00741848 -0.06023249  0.06533085
 -0.03222264 -0.09439953 -0.06936014 -0.02973755  0.01034143  0.01602288
  0.01239381 -0.01142818  0.05736699 -0.01654998 -0.08702596  0.00932903
  0.05772815 -0.00476706 -0.01498866 -0.08030599 -0.05223819  0.00953218
 -0.07808448 -0.02697305  0.04492974 -0.00457681 -0.045728    0.05553515
  0.05789709  0.00561448  0.000901   -0.021474   -0.02657178 -0.01144561
  0.03712154  0.05360945  0.01290791  0.05995635 -0.06512863 -0.04081484
 -0.02446391 -0.10230398  0.09043331  0.05176828  0.08122951 -0.06922359
 -0.0040254   0.00967428  0.08798832 -0.01485931  0.0145311   0.04736071
 -0.02392666  0.04540342  0.0146707   0.10812811  0.06506188 -0.05870692
  0.0493887  -0.03222163  0.04157272 -0.06650855  0.00793863 -0.009753
 -0.04473339  0.01501156  0.03137892 -0.02960049 -0.05963584  0.0234734
 -0.05216852  0.06495839 -0.03535194  0.08221262 -0.0423153   0.09883762
 -0.05864961  0.0682509   0.00458365  0.00476013  0.10729721 -0.04141185
  0.02752325 -0.0267261  -0.00553497  0.04447553  0.03999889  0.02332717
 -0.0740207  -0.00030045  0.05309474 -0.06870557  0.06616212 -0.03931262
 -0.04205982  0.0175596  -0.01743829 -0.03222483 -0.00812136 -0.00491893
  0.02438177  0.07361868  0.02550678 -0.06423183  0.01443975 -0.03076225
 -0.02971932  0.01304623 -0.06923179 -0.0506464  -0.08289062 -0.02450666
  0.0321832   0.02125633  0.06021177 -0.10670622 -0.02279664  0.04992895
  0.02506251  0.00307241]",5
GHS-2478,"[ 0.12651457 -0.17459711 -0.16918452  0.16407213 -0.1699695   0.13807514
 -0.06945695 -0.05504366 -0.05071076 -0.03960953 -0.17083587  0.20540503
 -0.09743032 -0.28488204 -0.19798285 -0.08627554  0.02817049  0.05970034
  0.03603136 -0.01884123  0.1637123  -0.05098325 -0.2656055   0.02058769
  0.16338183 -0.01339317 -0.04955014 -0.25041026 -0.15017349  0.03515496
 -0.23299345 -0.08615277  0.12419245 -0.01553928 -0.13486993  0.16781917
  0.17851588  0.00804507 -0.00545701 -0.08261783 -0.06793187 -0.03463627
  0.12940449  0.14725646  0.04416739  0.19407734 -0.20449524 -0.10988199
 -0.07266437 -0.31096578  0.2499603   0.14732665  0.23770404 -0.21451978
 -0.02628022  0.03574267  0.24534287 -0.04934026  0.04951729  0.12579873
 -0.06454875  0.14351411  0.04805713  0.32090914  0.19763719 -0.17948297
  0.14333181 -0.09602208  0.11876489 -0.20185043  0.00876283 -0.03371457
 -0.13816264  0.05918568  0.10385698 -0.0902034  -0.19436143  0.05179828
 -0.14572218  0.203583   -0.10405294  0.2468915  -0.12428467  0.29791358
 -0.174251    0.2060443   0.02313909  0.03149795  0.3062408  -0.11894286
  0.07508484 -0.08697852 -0.0155756   0.13747723  0.12827963  0.07084613
 -0.20858611 -0.00219628  0.14848867 -0.20343892  0.2033335  -0.09958702
 -0.12901552  0.0690316  -0.05639584 -0.09169821 -0.02321071 -0.01812539
  0.0743053   0.23097199  0.06042354 -0.18768306  0.03437817 -0.10600594
 -0.08559866  0.03245352 -0.20968226 -0.16486079 -0.26298898 -0.06966832
  0.08142064  0.07342257  0.17482044 -0.3119306  -0.06967727  0.14519964
  0.07786522 -0.00234599]",13
JSW-2478,"[ 0.1322929  -0.18238552 -0.17622098  0.17110743 -0.17746376  0.14348479
 -0.07218624 -0.0572627  -0.05299592 -0.04063589 -0.17810014  0.21449243
 -0.10122984 -0.2969487  -0.20700897 -0.08991875  0.02931664  0.06203559
  0.03778298 -0.01973968  0.17116743 -0.05324196 -0.27702346  0.02114397
  0.1705241  -0.0142212  -0.05181663 -0.26085976 -0.15713198  0.03712652
 -0.24294242 -0.08961696  0.12918194 -0.01640449 -0.14097734  0.17450249
  0.1867585   0.00868094 -0.00574045 -0.08579133 -0.07089575 -0.03626288
  0.13535924  0.1534427   0.04565683  0.20186345 -0.2136643  -0.11472736
 -0.07541833 -0.32452413  0.2598735   0.15288712  0.2478505  -0.2237673
 -0.02750279  0.0372767   0.25546116 -0.0522296   0.05160632  0.13100003
 -0.06690308  0.15018837  0.0506188   0.33468914  0.2058786  -0.1869967
  0.14920266 -0.09982025  0.12379882 -0.2103219   0.00913186 -0.03508253
 -0.14412616  0.06172824  0.10832478 -0.09433317 -0.20283782  0.05390446
 -0.15245903  0.21223009 -0.10857289  0.2569622  -0.13035965  0.31088492
 -0.18073238  0.21450621  0.02339796  0.03251155  0.31946594 -0.12403382
  0.07791853 -0.09013391 -0.01649938  0.1431153   0.13406663  0.07405189
 -0.21762645 -0.00199395  0.1551369  -0.21163698  0.21241927 -0.10469263
 -0.13522524  0.07200486 -0.05854092 -0.09532782 -0.02447691 -0.01901517
  0.07723016  0.2413708   0.06348305 -0.19578929  0.03605586 -0.11052638
 -0.08924501  0.03355581 -0.21850842 -0.17129289 -0.27416125 -0.07234841
  0.08505513  0.07628211  0.1821725  -0.32528654 -0.07303025  0.15127268
  0.08129461 -0.00255175]",13
