issuekey,doc2vec,storypoint
MESOS-313,"[ 6.21894337e-02 -3.87624986e-02 -1.26934787e-02 -3.38381790e-02
  1.40141463e-02  1.50890555e-03  3.11633609e-02 -1.40018845e-02
 -4.32379581e-02  3.39547871e-03 -2.87587084e-02 -1.74368154e-02
 -2.37926608e-04  4.06265967e-02 -4.95592467e-02  1.96641590e-03
 -5.91984801e-02  6.43966570e-02 -2.19917633e-02 -2.43681353e-02
  1.96923427e-02 -1.64033547e-02  2.66913185e-03  2.61448603e-02
 -9.47950408e-03  3.33744511e-02  3.62765901e-02  3.58940251e-02
 -4.76469984e-03 -5.67151941e-02  1.92678422e-02 -2.63415668e-02
  2.43449286e-02  1.62361823e-02  2.73911394e-02  3.13214362e-02
  3.51359397e-02  3.26743983e-02 -1.24936057e-02  3.22642177e-02
 -3.16491425e-02 -4.21160534e-02  2.79059410e-02  1.28578376e-02
  2.76309960e-02  3.09930500e-02 -3.79155464e-02 -3.40266712e-02
 -3.40532623e-02 -3.32346559e-02  3.79391417e-06  1.89553443e-02
 -5.66032948e-03 -9.84789804e-03  5.14638759e-02  6.17516041e-03
 -1.08500868e-02 -7.03061074e-02 -3.52523848e-02 -1.43294446e-02
 -1.37695633e-02  5.92212798e-03  2.98056621e-02  4.77363355e-03
 -8.15736875e-03 -3.01126987e-02  5.37373200e-02 -2.81581320e-02
 -2.44216854e-03  1.68484058e-02  9.95720038e-04 -2.59913895e-02
  1.19627854e-02  1.96701218e-03 -3.70422713e-02 -5.07431477e-02
  3.48607451e-02 -1.26019539e-02  1.77581273e-02  5.42486645e-02
  3.99853848e-02  4.03794311e-02 -1.93735939e-02  9.86484997e-03
  4.47686948e-03 -4.08375403e-03 -2.29789456e-03 -4.53880522e-03
 -3.72387003e-03  7.68626109e-03 -2.94692181e-02 -1.77774224e-02
  5.05718365e-02  7.97417983e-02  4.45498154e-02  2.28616428e-02
 -1.78100895e-02  5.68165593e-02  6.30145073e-02 -3.16050835e-04
 -1.96864456e-02 -3.23694237e-02 -1.63373426e-02 -1.31486990e-02
  5.87957464e-02 -3.81528176e-02 -1.55595997e-02  2.73301508e-02
  2.88485992e-03 -1.28247552e-02  2.42455713e-02 -2.32850965e-02
  3.33639383e-02  1.14671523e-02 -2.32866723e-02 -4.55712713e-03
 -1.06050111e-02 -5.69660123e-03 -4.74689975e-02  1.12723756e-04
 -1.02618113e-02 -4.97438526e-03  3.27603407e-02 -5.56218671e-03
  7.19606457e-03  4.50972244e-02  2.26629619e-02 -3.07095014e-02]",2
MESOS-336,"[ 0.13470258 -0.10164859 -0.06767187 -0.02875985 -0.01506582  0.0301738
  0.01326372 -0.06582365 -0.05978324  0.01956874 -0.01357788  0.03975679
 -0.04811741  0.04279069 -0.08817887 -0.01259295 -0.12647773  0.22344789
 -0.05330129 -0.01052277  0.05430823 -0.16190629 -0.02582599  0.05991995
 -0.01490085  0.03554949  0.06019052  0.04256218 -0.15788674 -0.11256115
  0.0330219   0.02212834  0.07013808  0.07024471  0.01925671  0.0933126
  0.05982682  0.0407749   0.05076078  0.04710152 -0.10919087 -0.09430959
  0.12222563 -0.02281352  0.08997739  0.11834263 -0.17350857 -0.14421816
 -0.09769036  0.00180282  0.04438235  0.05092744 -0.04525771 -0.10896853
  0.08802945 -0.04317519  0.04319846 -0.13865885 -0.10152741  0.02083454
 -0.10443819 -0.0220114   0.00449226  0.01562259 -0.01972188 -0.11741513
  0.13331756  0.00708693  0.02308796  0.01318806 -0.00575556 -0.1283851
  0.06215274  0.06864928 -0.08418415 -0.05575658  0.05764706 -0.01202436
  0.02262825  0.14808236  0.01729392  0.12002508 -0.10672962  0.07629929
 -0.02472566  0.0082115  -0.03888385  0.01799476  0.05833293 -0.0080243
 -0.04627739 -0.07467069  0.10973173  0.08595062  0.1629802   0.04609913
 -0.04184618  0.08942083  0.14145456 -0.05284167  0.01441812 -0.08728997
 -0.03549916  0.06196891  0.08413563 -0.09520283 -0.07085367  0.02670278
  0.07231234 -0.00780131  0.01593452 -0.04322638  0.06060455  0.02123922
 -0.06201706 -0.04983294  0.02952918 -0.01658897 -0.04875886 -0.0395807
  0.00192348  0.03531982  0.12371728 -0.02885286  0.02764995  0.0669087
  0.11454417 -0.03951641]",5
MESOS-343,"[ 0.10311533 -0.0734551  -0.05406355  0.01990498 -0.01129538  0.0111444
 -0.01229862  0.021031    0.00657582 -0.03286152 -0.08610813  0.02649807
 -0.0544764  -0.0257133  -0.00428654  0.02146978 -0.07588165  0.09230474
  0.03263248 -0.0403166   0.02150275 -0.00905774 -0.02194358  0.05729676
  0.01496543  0.0656367   0.05012831  0.08268302 -0.06809008 -0.07798962
  0.00588576  0.03827632  0.03241     0.05348022 -0.00925822  0.09631469
 -0.01160718  0.04007357 -0.00091378  0.05389414 -0.02017823 -0.0298267
 -0.04211546 -0.02226133  0.11437157  0.06171101 -0.1301173  -0.09886427
 -0.11441766  0.04922086 -0.00550069 -0.00577854  0.03558975 -0.12111457
  0.13603061 -0.03898483  0.06049799 -0.1236173  -0.01580702 -0.01263743
 -0.09434474 -0.01734636  0.00298928 -0.05155976 -0.00305181 -0.0163158
  0.06459327 -0.01504561  0.03277161 -0.0096924   0.07396796 -0.02856052
  0.02296087  0.02690522 -0.04965011 -0.07856762  0.09628516 -0.0097994
  0.0176112   0.10186744  0.05414003  0.05156153 -0.14151993  0.08463142
  0.04482275  0.03912069 -0.04935546  0.07596049  0.03021874  0.00333306
  0.02104273 -0.01019059  0.08316571  0.02646368  0.10831033  0.01197611
 -0.0485683   0.09418534  0.02530722 -0.10584852  0.01826346 -0.08473127
 -0.01486189  0.03485642  0.07717855 -0.00985906 -0.02195006  0.04056957
 -0.00293599  0.05509064  0.01516287 -0.01601906  0.03960811  0.03238921
 -0.08870204 -0.07429807 -0.04311195 -0.02837461 -0.07705808 -0.01375621
 -0.00859704  0.02480972  0.06213806 -0.05118104 -0.03479792  0.02878273
  0.05567361 -0.0038266 ]",8
MESOS-487,"[ 0.57192147 -0.25251836 -0.38884968  0.01425736  0.06005441 -0.28449968
  0.07553113 -0.06582607  0.21039243  0.04907425 -0.07928712  0.05060328
 -0.1901691  -0.38067755 -0.1171073   0.62301487 -0.00960664  0.03267214
  0.23842333 -0.1504823   0.19410834 -0.14248028 -0.17915359  0.33417293
  0.1204793   0.14832748  0.24513167 -0.07111529 -0.09831198 -0.30108353
  0.13110383 -0.00773171 -0.00287404  0.1309965  -0.22158223  0.2072529
  0.02062634  0.15328334  0.00590588  0.17699583 -0.17789951 -0.19648685
 -0.15301684  0.18265766 -0.20577426 -0.06856958 -0.0955504  -0.2278089
 -0.5582008   0.02424218  0.07559392  0.03584258  0.03211173 -0.4810934
  0.31654757  0.07865275  0.31499898 -0.11842201  0.25912103  0.08639058
 -0.30882043 -0.06951939  0.16666852  0.0790809  -0.20420146 -0.07873406
  0.10394201  0.1016436   0.09541997 -0.29583848 -0.47477388 -0.20960955
  0.17085984  0.40541562 -0.01101284 -0.6551261   0.25985432 -0.15049717
 -0.20462616  0.01528799  0.10270096  0.07049654 -0.12997653 -0.11903552
  0.08557998 -0.07257608 -0.33939806 -0.3754659   0.51668596 -0.1483295
  0.26332095  0.0973213  -0.27286473  0.12491216 -0.00933934  0.29985926
 -0.11744825  0.22235595 -0.03170165 -0.24732691 -0.06989776 -0.27963188
 -0.21050239  0.02506791 -0.00241731 -0.18003024  0.00287867  0.28812397
 -0.07542317 -0.09429582 -0.5150749   0.06091159  0.14282958  0.29552937
 -0.05858875 -0.2867176  -0.00541221 -0.21592642 -0.05111206  0.07391548
  0.31056955  0.15788952  0.03335563 -0.00757533 -0.361612    0.07715939
 -0.11460964 -0.22209595]",1
MESOS-598,"[ 0.09914001 -0.08417704 -0.06899879  0.00695922 -0.00971306 -0.00553197
  0.00390365 -0.08625318  0.02423148 -0.00418177 -0.07315832  0.03996896
 -0.05655792 -0.01848414 -0.03280671  0.02263744 -0.06304911  0.08742905
 -0.04663941  0.01142847  0.09065693 -0.08606207 -0.02599176  0.0490997
 -0.0117448  -0.01773118 -0.00372362  0.02001162 -0.09463824 -0.0247179
  0.06118766  0.02102759  0.03476707  0.07845723  0.00675346  0.06421542
  0.01983772 -0.02372361  0.00294124  0.03115009 -0.06588033  0.0027082
  0.06030902  0.03610958  0.03660857  0.0880124  -0.11650123 -0.13126634
 -0.06660356 -0.01611076  0.0211811  -0.00545763 -0.02976392 -0.1265916
  0.10567398 -0.00078372  0.09428284 -0.11820994 -0.03767277  0.0003641
 -0.03016752  0.03096883  0.02072426  0.03618214  0.03412691 -0.05343721
  0.05689356 -0.00654056  0.0504131  -0.00753269 -0.00939132 -0.06752332
  0.05233908  0.05778255 -0.00913588 -0.07590774  0.07804614 -0.06788123
  0.01025648  0.17899813  0.05259528  0.07830326 -0.1001245   0.08652888
  0.02919866  0.0195524   0.0102334  -0.01627853  0.04457068 -0.01111105
 -0.03351786 -0.01036325  0.07798855  0.09909294  0.10930101 -0.02437695
 -0.04733857  0.06831587  0.09281454 -0.0068933  -0.02425843 -0.05945849
 -0.01345031  0.04927341  0.07476673 -0.02728257 -0.03528601  0.04956727
  0.01618748  0.00712508 -0.00156887 -0.05363747  0.06107477  0.04148471
 -0.04627068 -0.0232868   0.00567939 -0.00988669 -0.04852886  0.04525539
  0.01473689 -0.0026901   0.07396182 -0.01827081 -0.02951638  0.10451215
  0.07572551 -0.02665034]",1
MESOS-708,"[ 1.70948401e-01 -1.47646204e-01 -1.98016077e-01  2.17332065e-01
 -8.17431062e-02 -7.27038309e-02  4.82610501e-02  1.27766788e-01
  6.25207648e-02 -1.68948956e-02 -1.35739669e-01  1.45357296e-01
  1.32470333e-03  2.29509339e-01 -1.73037440e-01 -1.04825981e-01
 -1.07028469e-01 -1.02049271e-02 -6.18556067e-02 -8.87416825e-02
  3.55896167e-02 -3.81159149e-02 -1.99908867e-01  1.23556323e-01
  3.63443121e-02  1.83770314e-01 -7.11684749e-02  4.12340239e-02
  5.62806576e-02 -1.41133770e-01  9.44992378e-02  1.57619361e-02
  7.75921717e-02  2.98904888e-02 -4.49204072e-02  3.17773998e-01
 -3.86225656e-02  1.52312055e-01 -2.27254063e-01  3.83223742e-01
 -2.95364559e-01  2.00820741e-05 -2.99435500e-02  7.00929016e-02
  1.10365473e-01 -1.01871550e-01 -6.48012608e-02  3.00513785e-02
 -2.85741568e-01 -2.67798513e-01  1.82556078e-01  1.08600527e-01
 -8.90225247e-02  1.94238961e-01  4.49899852e-01  9.20760632e-03
 -1.75648835e-02 -3.12719315e-01  3.58341634e-02  3.53246145e-02
  1.03158817e-01  8.62539001e-03  8.59826207e-02  9.21694264e-02
  3.35830897e-01 -2.58874446e-01 -1.68584272e-01 -1.41778141e-01
  8.85798335e-02 -3.63657959e-02 -2.04079196e-01 -8.34383294e-02
  2.25981995e-01 -1.97951391e-01 -3.19270790e-03 -2.52605110e-01
  1.98329911e-01 -1.53551862e-01  2.25322917e-01  1.26408815e-01
  1.75012991e-01 -9.56932232e-02  2.95433588e-02  2.48502031e-01
 -4.26867977e-02  1.62603945e-01 -1.36990994e-01 -1.44490659e-01
 -2.31249407e-02 -8.59458372e-02 -2.68815905e-01  2.11817533e-01
  1.40776455e-01  2.69609183e-01  2.29292288e-02 -2.17545945e-02
  1.33165382e-02  2.71828979e-01 -2.35601030e-02  2.32173383e-01
 -1.70528218e-01  2.99553084e-03 -2.56209433e-01 -3.90385911e-02
  3.04682523e-01 -9.75228548e-02 -2.38121152e-01  1.65179864e-01
 -6.08434640e-02  1.51542515e-01  1.57340094e-01 -1.53375976e-02
  1.74704090e-01 -8.56672078e-02  8.94594640e-02  2.84002423e-02
  1.33560613e-01  8.96987841e-02 -5.28456151e-01  2.05409691e-01
 -1.12227105e-01  2.67495005e-03  3.66710454e-01 -5.92334643e-02
 -3.54593731e-02  1.71735942e-01  1.09625801e-01 -2.84612507e-01]",2
MESOS-723,"[ 0.00715764  0.00553079 -0.0114649   0.00881683 -0.02021868  0.02032467
  0.00097175 -0.0077516   0.07545659 -0.02139607 -0.06563611 -0.01102703
 -0.02125821 -0.08093027  0.09264059  0.0397724   0.0565609  -0.01948191
  0.07048924  0.03889991  0.00210909  0.03364197  0.05166608  0.04057693
 -0.01499885 -0.01062851  0.0226888  -0.0151172  -0.01788833  0.05556669
 -0.00044099  0.01133772  0.00792022  0.01027333 -0.01887114  0.01943464
 -0.02632205 -0.04490113  0.01724051 -0.01573223  0.08598395  0.01898139
 -0.04253563 -0.0500476   0.04161102  0.06429916 -0.01618363 -0.05484042
  0.01781702  0.03700582 -0.04735295 -0.04602183  0.0481392  -0.07430524
  0.03321148 -0.06635415  0.05009354 -0.02601023  0.0473433  -0.01621594
 -0.03013487 -0.02262815 -0.05653357 -0.01634454  0.0370149   0.07642833
 -0.00566559 -0.0064859   0.04410655 -0.07517306  0.09508426  0.01394649
 -0.02082005  0.01343526  0.00800643  0.01490076  0.03526072 -0.00677523
 -0.06776652  0.07514712  0.06487738  0.00459537 -0.06839336  0.01057055
  0.02911621 -0.0004258  -0.0089874   0.04721635  0.01461671  0.04857325
  0.06788024 -0.01405444 -0.00589107 -0.06792474  0.05407659 -0.05444177
 -0.00847184  0.03085108 -0.00610978 -0.05661509  0.06841905 -0.0531081
  0.05614923 -0.00369106 -0.05144097  0.05354286  0.04124441 -0.01270708
 -0.03426967  0.03363243 -0.04422531 -0.02773413 -0.03481613  0.01137802
 -0.0406425  -0.02402838 -0.01508757  0.00673253  0.03065025 -0.01051669
  0.03535966 -0.01420633 -0.05823372 -0.06555441 -0.03993039 -0.02689389
  0.00544489  0.09114937]",2
MESOS-752,"[ 0.26275444 -0.04273153 -0.12673323 -0.04872098  0.1161463  -0.04336003
  0.06852568 -0.03519019 -0.12451559  0.04364766 -0.11582512 -0.04535749
 -0.00863261  0.04062634 -0.24234104  0.07670563 -0.13653763  0.23168576
 -0.14674366 -0.06125753  0.10336241 -0.09616867 -0.12143135  0.00310552
  0.03515064 -0.0119809   0.0477851   0.15047292 -0.14972052 -0.21326546
  0.12512435 -0.03722616  0.14372076  0.0049182   0.02379212  0.08854808
  0.16666882  0.08564008  0.02916985  0.00967048 -0.06716185 -0.13465625
  0.16062419  0.17466505 -0.01485723  0.08103894 -0.17214878 -0.08990002
 -0.05434948 -0.11623728  0.032154    0.08871752  0.03740317 -0.07916601
  0.1529102   0.0959281   0.01312626 -0.17392603 -0.18866822 -0.01163021
 -0.16986193  0.07075282  0.06300014  0.10732778 -0.14120893 -0.20823282
  0.19955063  0.02966423  0.03790809 -0.01118627 -0.11668621 -0.13772762
  0.06892041  0.12364548 -0.11549729 -0.1647734   0.0740599  -0.03340717
  0.11790092  0.2402466   0.0491007   0.20831671 -0.10225767 -0.00660318
  0.07238916  0.07071777  0.03113434 -0.10725974  0.03626354 -0.10647482
 -0.02964451  0.01388643  0.04987248  0.235673    0.17093962  0.02106413
 -0.10471031  0.15845789  0.1520627   0.0617849  -0.06296659  0.04893892
 -0.06455164 -0.00937278  0.13394241 -0.13002232 -0.09618165  0.15607342
  0.15377998 -0.00256755  0.08550986 -0.09746689 -0.04479803  0.04722653
 -0.04191662 -0.09482159  0.0136893   0.04029046 -0.0427975  -0.0031347
  0.03910827  0.06270709  0.16956063  0.02031058 -0.05113777  0.25899544
  0.07604051 -0.2094667 ]",1
MESOS-786,"[ 2.23410726e-01  6.26259521e-02  3.30212340e-02 -1.89902037e-01
  2.30181403e-02 -2.74662860e-02  3.56665812e-02 -1.31232455e-01
  3.59411724e-02 -1.83847751e-02 -8.20055306e-02 -2.74989605e-01
 -2.66731959e-02 -4.24582046e-03 -7.01895058e-02  1.34472266e-01
 -1.62608293e-03  4.37790677e-02 -7.20135346e-02  9.69086587e-02
  1.71003893e-01 -4.44772206e-02  7.56092668e-02  1.02838196e-01
 -1.33661598e-01 -6.01574928e-02  1.11152641e-01  8.59693363e-02
 -7.32143817e-04 -7.80880228e-02  4.74214070e-02 -1.54204041e-01
  1.53886026e-03 -4.47598360e-02  4.42818142e-02 -7.38842562e-02
  2.14812264e-01 -6.81432635e-02  7.63696581e-02 -4.25117537e-02
  1.10932356e-02 -1.11241005e-01 -2.65779048e-02 -4.47307751e-02
 -1.11492403e-01  8.26299191e-02 -2.31619249e-03 -8.40209797e-02
  4.86891121e-02 -5.47020463e-05 -5.63071482e-02 -2.83206012e-02
  2.13400908e-02 -9.95523930e-02 -9.27714724e-03  3.82758752e-02
 -5.75690567e-02 -6.58347979e-02  3.79805043e-02 -1.20172858e-01
  5.52918129e-02  6.56477064e-02  4.05468643e-02  3.18100560e-03
 -1.42591938e-01  2.47734506e-02  1.21867836e-01 -2.46318821e-02
 -1.22807227e-01  1.74921174e-02  3.36928517e-02  3.90402712e-02
 -3.53481285e-02  1.46146789e-01  2.06326302e-02 -7.33572245e-02
  6.38067052e-02 -8.05660803e-03 -1.82083443e-01  1.13379255e-01
  2.90294196e-02  1.01324558e-01 -8.85250419e-02 -2.17708200e-01
  8.60430449e-02 -1.10798113e-01  1.35836899e-01 -4.66577746e-02
 -2.43871491e-02 -3.89688164e-02 -1.42459692e-02 -1.27439126e-01
  2.26019137e-02  1.50691032e-01 -1.97743345e-02 -7.61766220e-03
 -4.24428917e-02  8.83396342e-02  1.99957475e-01  1.06249437e-01
  8.66996869e-02 -8.42100978e-02  8.76029581e-02  1.30268738e-01
  6.47541732e-02 -3.32075693e-02  9.09626409e-02  5.17429151e-02
 -1.32315516e-01 -1.50071666e-01 -1.33780345e-01  7.27381511e-03
 -2.70696846e-03  5.69519848e-02 -9.03479233e-02 -8.24896712e-03
  1.75348036e-02 -4.76601906e-02  1.32314786e-01  7.47052506e-02
  8.62642154e-02 -3.80925350e-02 -2.19111174e-01 -4.19560708e-02
 -1.31709471e-01  8.00741687e-02  9.38928779e-03 -3.51508558e-02]",3
MESOS-830,"[ 1.17788565e+00 -3.76803696e-01 -3.24505538e-01 -1.43433774e+00
 -4.94131923e-01 -2.47837111e-01  4.00744408e-01 -7.27059484e-01
  2.94874251e-01 -1.00254476e-01  8.87072459e-02 -5.70201993e-01
 -4.66019772e-02  1.87290177e-01 -9.84872460e-01  4.07133162e-01
 -7.94675887e-01  1.09973431e+00 -5.54453373e-01  1.90103456e-01
  5.88473499e-01 -5.77954113e-01 -3.11413258e-01  1.91078976e-01
 -5.10330617e-01 -7.47142211e-02  5.45076728e-01  3.99803013e-01
 -6.37414932e-01 -1.74148038e-01 -5.60742080e-01 -2.19019502e-01
  6.13097191e-01  1.22607008e-01  2.04092309e-01  8.40073824e-01
  1.21448350e+00  4.56483126e-01  4.56979901e-01 -1.23928338e-01
 -2.52542406e-01 -1.11661160e+00  6.55188739e-01 -8.04700255e-01
  4.12289381e-01  8.52389038e-01 -9.80258048e-01 -1.07088768e+00
 -2.17984632e-01 -2.24635690e-01  1.66309044e-01  2.73293376e-01
  5.99643052e-01 -8.07171524e-01  6.10452257e-02 -4.12514299e-01
 -5.23778439e-01 -7.91714787e-01 -9.25104097e-02 -9.34003890e-02
 -8.61412380e-03  1.94161937e-01 -3.20136458e-01 -4.94201988e-01
 -1.12421954e+00 -1.09761727e+00  2.47431421e+00  1.22067481e-01
 -6.21900320e-01  8.78235325e-02  1.07097022e-01 -2.69533336e-01
  2.44452596e-01  2.74279177e-01 -1.70971081e-01 -7.13914514e-01
  2.95152128e-01 -1.48184985e-01  1.08485907e-01  5.27477622e-01
 -3.36956561e-01  1.40009677e+00 -1.06255449e-01 -3.54322881e-01
  6.01198785e-02 -1.65138960e-01  4.84745771e-01 -1.31280720e-01
 -7.81046525e-02 -2.18172550e-01  6.24458604e-02  7.13393383e-05
  1.04153383e+00  6.30505502e-01  4.48694050e-01  2.68363178e-01
 -8.23626518e-01  3.26648921e-01  1.22934818e+00 -3.21930014e-02
  2.20874488e-01  3.23351264e-01 -3.03814709e-01  7.76125729e-01
  7.69359767e-01 -4.80226465e-02 -3.89383614e-01  2.41087019e-01
  3.40527296e-01 -3.59989703e-01 -3.78518775e-02 -1.10004866e+00
  2.33844459e-01  3.02247196e-01 -1.65491804e-01 -8.27516794e-01
 -4.31284845e-01 -1.25465262e+00  1.81173891e-01 -1.72599182e-01
  4.15004641e-01  3.45715582e-01  1.30956352e-01  7.78374448e-02
 -9.91809964e-01  5.36219478e-01  5.82063079e-01 -7.89751232e-01]",8
