issuekey,doc2vec,storypoint
MDL-1626,"[ 0.11071175 -0.15805636 -0.11484029  0.02367949 -0.15912123  0.00729435
 -0.05993051 -0.02259672 -0.09666359 -0.00688754 -0.13132697  0.16078977
 -0.05118677 -0.15794618 -0.08150778 -0.05796661  0.0242731   0.07866263
  0.00185256  0.03166096  0.02833874 -0.04717565 -0.18979067 -0.00333536
  0.09254676  0.01858905 -0.01389718 -0.01271218 -0.0631378   0.02235716
 -0.1364564  -0.02820056 -0.02433813 -0.03233479 -0.00115418  0.08002845
  0.03614586  0.01341415  0.05837862 -0.01214298 -0.08204623 -0.00387035
  0.07884639  0.04108446 -0.00475748  0.09741475 -0.05678545 -0.00782173
 -0.06164958 -0.09483035  0.15592755  0.05576222  0.08901653 -0.03593039
 -0.0359841  -0.05710737  0.12250645  0.02432411  0.01192068  0.08786362
 -0.05966641  0.01098764  0.0026312   0.15519255  0.11651438 -0.08091228
  0.10987315 -0.04338711  0.04598763 -0.03309374 -0.0123593  -0.0728583
 -0.0789205   0.08322343 -0.0526427  -0.03827522  0.01055881  0.02884759
 -0.06280617  0.14124532 -0.1022902   0.12165385 -0.07958728  0.18952446
 -0.02073515  0.07390404  0.00487619  0.04135068  0.13131277 -0.08417076
  0.01855495 -0.01652029 -0.01624016  0.06019399  0.14900821  0.02996399
 -0.08226112 -0.01531279  0.04293762 -0.05849466  0.0457969  -0.04686524
  0.05592405  0.03643285 -0.00230548 -0.03944268 -0.1021767  -0.00124798
  0.03622108  0.12083066  0.06262993 -0.07935558  0.0121666  -0.06443554
 -0.03452848  0.08940448 -0.06708219 -0.06513932 -0.10626737 -0.05782118
  0.03161389 -0.00445641  0.09173647 -0.14131571  0.03372972  0.11239392
  0.07642459  0.04086134]",100
MDL-3714,"[ 3.69088650e-02 -5.33084124e-02 -3.10030133e-02  1.50472457e-02
 -5.36418073e-02  2.96120089e-03 -1.44960117e-02 -1.54885063e-02
 -3.45214121e-02 -5.12736477e-03 -4.64321189e-02  5.59539758e-02
 -2.00539920e-02 -4.87579405e-02 -3.84769961e-02 -1.56093026e-02
  9.82768275e-03  2.22000536e-02 -3.47017171e-03  1.10321837e-02
  1.21412454e-02 -1.16201816e-02 -5.84684946e-02 -5.84296230e-03
  3.41776460e-02  6.22487068e-03 -7.36787915e-03 -3.75744142e-03
 -1.52445389e-02  2.63288443e-04 -4.39039879e-02 -6.25382317e-03
 -4.88843303e-03 -1.55379856e-02 -9.34563763e-03  3.81402411e-02
  5.04211849e-03  2.48177163e-03  1.39837535e-02 -1.47773763e-02
 -2.05655880e-02 -3.50790593e-04  2.11507864e-02  2.07622778e-02
  1.74478373e-06  2.80986391e-02 -2.09980309e-02 -8.52827076e-03
 -2.81566493e-02 -3.62184271e-02  6.14440739e-02  2.79148780e-02
  2.71008518e-02 -6.63045375e-03 -8.27058032e-03 -2.48991493e-02
  4.50353846e-02  1.52338771e-02  1.05294865e-03  2.97754370e-02
 -3.02588940e-02 -7.05764862e-04  2.59082369e-03  5.04847765e-02
  3.89809683e-02 -2.35310979e-02  3.34756188e-02 -1.88902654e-02
  1.39188850e-02 -1.27896741e-02 -3.75283347e-03 -2.00160779e-02
 -3.15620787e-02  3.29491198e-02 -1.58162490e-02 -1.78763010e-02
  4.06722305e-03  4.75463457e-03 -2.96185259e-02  4.60101180e-02
 -4.53832075e-02  4.87854555e-02 -2.60266550e-02  5.73489033e-02
 -7.80763105e-03  2.37087738e-02 -2.59942818e-03  1.79183166e-02
  4.42037173e-02 -2.75919773e-02  1.39279885e-03 -1.24372039e-02
 -1.20550971e-02  2.38563437e-02  4.88272905e-02  5.55923907e-03
 -2.67691929e-02 -1.16490107e-02  1.47441402e-02 -1.94281228e-02
  1.48352468e-02 -2.16458328e-02  1.51732545e-02  1.43224467e-02
 -2.47826800e-04 -1.98934954e-02 -4.45315428e-02  1.32286465e-02
  2.08555851e-02  4.09836359e-02  2.61863042e-02 -2.42633559e-02
  7.52462773e-03 -2.14371569e-02 -4.10163822e-03  3.18032168e-02
 -2.47275811e-02 -1.54842455e-02 -2.91686039e-02 -1.54517991e-02
  4.03907709e-03 -2.81538838e-03  2.43960004e-02 -4.14836854e-02
  1.40221659e-02  3.55758294e-02  2.74837855e-02  1.08471140e-02]",100
MDL-5583,"[ 8.41757189e-03 -4.65198681e-02 -4.53099534e-02  1.81842390e-02
 -4.39213589e-02  1.08717736e-02 -4.17552404e-02 -4.82490007e-03
 -3.04765832e-02 -7.54399589e-05 -4.04340662e-02  6.82794973e-02
 -2.19144206e-02 -4.41211052e-02 -2.21195724e-02 -2.30471957e-02
  2.40934286e-02  2.54285280e-02  2.61337520e-03  1.32102321e-03
 -5.83265256e-03 -2.48010200e-03 -6.81519136e-02  9.71214008e-03
  2.93384716e-02 -3.81481647e-03 -4.10397165e-03  6.87028607e-03
 -2.49955617e-02  5.96369291e-03 -4.38583642e-02 -1.02018686e-02
 -1.95828881e-02 -1.11261969e-02  5.01587754e-03 -2.21009552e-03
  2.63364557e-02  1.35164345e-02  3.26686949e-02  6.24475814e-03
 -2.96917390e-02  6.45302609e-03  2.64023915e-02  1.42308436e-02
 -1.32911596e-02  4.60228957e-02 -6.70055114e-03  3.62744182e-02
 -4.14690701e-03 -2.00316291e-02  3.79432403e-02 -8.95625353e-03
  4.36915532e-02 -1.45568801e-02 -2.99367197e-02 -2.86338385e-02
  4.12563421e-02  1.89927872e-02 -1.20898271e-02  2.49218754e-02
  1.97363226e-03  1.11056603e-02  1.14091961e-02  4.98511568e-02
  2.97735333e-02 -3.89347449e-02  3.20680849e-02 -9.68402065e-03
  1.64157897e-02 -2.68658530e-02 -3.55272065e-03 -4.75016758e-02
 -1.87325533e-02 -2.41511429e-04 -1.95419155e-02 -1.12090092e-02
  1.45880226e-02 -1.27306802e-03 -5.16707124e-03  5.02396859e-02
 -3.00253481e-02  3.96825969e-02 -1.95246711e-02  6.04244955e-02
 -6.15050597e-03  2.08474137e-02  5.48622943e-03  1.30403126e-02
  3.27804759e-02 -2.66257115e-02 -2.00329861e-03  1.15850018e-02
 -2.09960714e-03 -6.74981799e-04  4.40490693e-02  3.65017983e-03
 -3.29960771e-02 -6.32694643e-03  1.37990257e-02 -2.58841123e-02
  9.63541213e-03  3.25260009e-03  1.04577020e-02  2.66981171e-03
  4.35439125e-03 -8.35317932e-03 -1.78667177e-02  5.56693180e-03
  3.44958529e-03  2.28946954e-02 -1.76453125e-03  6.82534650e-03
 -7.70817371e-03 -1.87362842e-02 -1.15319844e-02  2.73304414e-02
 -3.42834182e-02 -3.90742682e-02 -2.02603601e-02 -2.27793455e-02
  1.80048365e-02 -8.57822318e-03  2.63981987e-02 -4.21144664e-02
  6.72748825e-03  3.59380767e-02  2.27791853e-02  1.48065547e-02]",20
MDL-8501,"[ 0.08763453 -0.12032744 -0.08115257  0.0258633  -0.1306616   0.01224121
 -0.0458672  -0.03257266 -0.09320872 -0.003127   -0.10958657  0.12858783
 -0.03937443 -0.13095173 -0.08312018 -0.03904282  0.04066483  0.0617776
 -0.0007339   0.01301078  0.03431317 -0.02598065 -0.11662367 -0.01542036
  0.07347447  0.00988312 -0.01596696 -0.00040269 -0.05815091  0.00089804
 -0.0850003  -0.00309576 -0.01818028 -0.02534452 -0.027586    0.08562452
  0.00864064  0.00876685  0.04021537 -0.02898868 -0.04596828 -0.01002285
  0.06612796  0.05026269  0.0026477   0.06354523 -0.04363437 -0.01846479
 -0.06340002 -0.08292484  0.12482673  0.04162126  0.06682268 -0.01698058
 -0.01953288 -0.05050685  0.09652636  0.05578018  0.0072959   0.07294861
 -0.06099266 -0.01442143  0.00454998  0.10260207  0.08297562 -0.05419288
  0.08210302 -0.04569981  0.0330685  -0.03280877  0.00067534 -0.03945868
 -0.06951001  0.08207896 -0.04958068 -0.03106442  0.00966944  0.01481778
 -0.0548334   0.09658939 -0.10066554  0.11227761 -0.05193624  0.12670663
 -0.02173107  0.04370065  0.01419903  0.03777951  0.08931303 -0.05593924
  0.00531173 -0.02604457 -0.02342837  0.03778175  0.10628421  0.02658046
 -0.04627308 -0.02817974  0.02448729 -0.04076331  0.03427239 -0.02417778
  0.03899289  0.02863623 -0.01349595 -0.04147145 -0.07589968  0.01551472
  0.04759395  0.08280277  0.05051406 -0.05752414  0.01710426 -0.04199103
 -0.00809531  0.07299777 -0.05675512 -0.03450387 -0.07249675 -0.0334675
  0.01583938 -0.02589728  0.06610125 -0.09763451  0.03382381  0.08388893
  0.04417161  0.01887385]",20
MDL-10115,"[ 1.70220599e-01 -2.40655676e-01 -2.02261642e-01  5.37202843e-02
 -2.74953157e-01  5.55609614e-02 -1.16123892e-01 -7.96610191e-02
 -1.71844512e-01  2.04034504e-02 -2.15117767e-01  2.70956039e-01
 -1.06018245e-01 -3.10821682e-01 -1.24833643e-01 -8.88268948e-02
  1.06356978e-01  8.60480741e-02 -1.70532186e-02 -2.90684693e-04
  4.57042269e-02 -7.70643800e-02 -2.90900320e-01  5.05800080e-03
  1.40797004e-01  2.75744833e-02 -1.81987081e-02  4.08570282e-03
 -1.27047375e-01 -1.38164712e-02 -2.11659357e-01 -5.85249551e-02
 -2.60292217e-02 -3.34566757e-02 -6.57809526e-02  1.07282184e-01
  4.44090962e-02  2.66109724e-02  1.30150735e-01 -3.90492640e-02
 -1.08632550e-01 -4.08188552e-02  1.57722607e-01  1.22754477e-01
 -2.43311990e-02  1.30831897e-01 -8.60105529e-02 -7.73451338e-03
 -1.18400544e-01 -1.61628947e-01  2.29237825e-01  6.40076995e-02
  1.73984841e-01 -4.75419536e-02 -5.77226914e-02 -9.05572921e-02
  1.97546437e-01  9.22943950e-02  2.78354287e-02  1.23786047e-01
 -4.64334302e-02  3.71969212e-03 -4.49398393e-03  2.16704100e-01
  1.59020022e-01 -1.34147406e-01  1.65682122e-01 -6.70532212e-02
  6.24235831e-02 -8.21659416e-02 -1.75438169e-02 -1.32849932e-01
 -1.44111961e-01  1.42560080e-01 -9.86871868e-02 -7.12212771e-02
  7.04001496e-03  1.32227335e-02 -8.10434297e-02  1.94146201e-01
 -1.97836891e-01  1.95916012e-01 -7.80843943e-02  2.77018398e-01
 -2.47822721e-02  1.00309946e-01  3.71184126e-02  7.75283650e-02
  1.85228243e-01 -1.33788958e-01  1.42509406e-02 -5.87882027e-02
 -1.88867878e-02  4.82633375e-02  2.32812002e-01  8.63754302e-02
 -9.59460884e-02 -5.33165634e-02  4.30090018e-02 -9.36338082e-02
  8.40958729e-02 -3.02054733e-02  4.06612419e-02  1.02852173e-01
 -6.46073595e-02 -8.94393250e-02 -1.35512605e-01 -2.11276859e-02
  4.84664664e-02  1.73281953e-01  9.14292336e-02 -1.24740697e-01
  8.88097286e-03 -8.94880667e-02 -6.93244040e-02  1.42902479e-01
 -9.58769545e-02 -9.70801115e-02 -2.01336145e-01 -6.39023185e-02
  8.12179595e-02 -5.58106750e-02  1.76611111e-01 -2.37554833e-01
  6.05829023e-02  1.76070631e-01  8.07885230e-02  4.87802029e-02]",13
MDL-12403,"[ 9.07896906e-02 -1.31409138e-01 -7.80166239e-02  2.54572835e-02
 -1.31317243e-01  1.85617115e-02 -3.98741141e-02 -3.36672477e-02
 -8.90078917e-02 -4.17445274e-03 -1.07244842e-01  1.16199531e-01
 -5.09425998e-02 -1.38482034e-01 -7.64323175e-02 -3.81799601e-02
  3.67455482e-02  5.07660098e-02 -1.12463990e-02  1.19947735e-02
  3.76286879e-02 -2.86483187e-02 -1.28790706e-01 -9.15389392e-04
  6.68253452e-02  1.03989718e-02 -1.03750499e-02 -7.77962478e-03
 -5.18534407e-02 -1.06326668e-02 -1.00731596e-01 -1.79115161e-02
 -3.05314083e-03 -2.12604981e-02 -2.86774058e-02  8.60024616e-02
  9.75869410e-03  8.66015535e-03  4.26722653e-02 -2.43597720e-02
 -4.48415615e-02 -6.60820957e-03  7.22887069e-02  5.01211882e-02
  5.80643630e-03  6.23365752e-02 -4.50383499e-02 -2.76235510e-02
 -5.22625186e-02 -8.35192204e-02  1.23485737e-01  5.38533553e-02
  7.02099279e-02 -2.43963134e-02 -1.49629870e-02 -4.39348295e-02
  9.93467718e-02  3.17471288e-02  1.59136970e-02  6.85538799e-02
 -5.34618199e-02 -4.02211864e-03 -6.23500068e-03  1.20417915e-01
  8.18495676e-02 -5.87643199e-02  8.10123384e-02 -4.23169099e-02
  3.67242396e-02 -3.25827859e-02  6.35948824e-03 -4.04938385e-02
 -7.18973428e-02  9.40950215e-02 -3.49779390e-02 -2.69177202e-02
  1.08289292e-04  2.34673601e-02 -6.23242520e-02  1.05921440e-01
 -1.04192749e-01  9.95615646e-02 -5.35573848e-02  1.32439733e-01
 -3.04128267e-02  4.22962122e-02  3.18209734e-03  3.74477170e-02
  8.81059468e-02 -6.74100220e-02  8.93327233e-04 -3.54884081e-02
 -2.44939122e-02  3.95204872e-02  1.14249356e-01  3.36649157e-02
 -5.64830005e-02 -3.30816619e-02  2.17012465e-02 -3.53924669e-02
  3.29531878e-02 -4.42363359e-02  3.62535045e-02  3.59018445e-02
 -9.81719047e-03 -4.69782464e-02 -8.25019628e-02  6.98042568e-03
  5.13241701e-02  8.41911957e-02  6.10308759e-02 -6.48789778e-02
  1.92631129e-02 -4.75054830e-02 -1.51176071e-02  7.10988194e-02
 -4.31628078e-02 -4.48015779e-02 -8.27867910e-02 -3.39820944e-02
  2.23045740e-02 -2.05018539e-02  7.55365565e-02 -1.16568312e-01
  3.02178878e-02  7.57124722e-02  4.84064706e-02  2.72815041e-02]",100
MDL-13114,"[ 0.11552157 -0.14571801 -0.10926852  0.01032904 -0.17054228  0.03099597
 -0.06406674 -0.03831362 -0.09531616  0.00161795 -0.12450784  0.14871411
 -0.07068112 -0.19657263 -0.06295362 -0.05681564  0.04221042  0.04734142
 -0.02344057 -0.0044765   0.03647363 -0.0676394  -0.18436782  0.00586003
  0.09278312  0.03515223 -0.01633585 -0.02400743 -0.06015265  0.00249165
 -0.13877577 -0.04502127  0.01168919 -0.01750614 -0.04273031  0.06950577
  0.02902789  0.00877995  0.07329094 -0.01617601 -0.06631991 -0.02611059
  0.0811443   0.05466196 -0.02578623  0.07294884 -0.05374973 -0.03854826
 -0.0698235  -0.09812094  0.13741331  0.04934591  0.09386127 -0.02708211
 -0.03169561 -0.02037848  0.12867196  0.02447389  0.04041376  0.07615191
 -0.03403097  0.01291828 -0.02126217  0.12787278  0.09870459 -0.06944813
  0.11673447 -0.03505313  0.03340057 -0.03335898 -0.02301296 -0.07065091
 -0.08367684  0.10146397 -0.05955194 -0.03473294 -0.00977922  0.02379078
 -0.05527456  0.12050201 -0.11448497  0.09462887 -0.0554807   0.17012872
 -0.0133665   0.07141375  0.0237154   0.04486953  0.13137117 -0.07606402
  0.0248434  -0.04972949 -0.01210568  0.0500301   0.13746643  0.07089143
 -0.0429153  -0.03715743  0.02555384 -0.04765976  0.05781153 -0.04262222
  0.03980689  0.07435695 -0.04407968 -0.05188242 -0.0887059  -0.0449222
  0.02016243  0.12155569  0.06803582 -0.11500812  0.00638517 -0.04105155
 -0.06708374  0.07547408 -0.03456907 -0.05900794 -0.15138662 -0.05089506
  0.0604043  -0.02661512  0.11579201 -0.1628709   0.01617593  0.10264434
  0.05675173  0.02788484]",100
MDL-16073,"[ 0.08875813 -0.13286099 -0.10872468  0.03444993 -0.15473871  0.02471827
 -0.06589999 -0.04186326 -0.10530949  0.01259826 -0.11490332  0.15777422
 -0.0509104  -0.16254625 -0.09129751 -0.05132313  0.07318007  0.06873217
 -0.00188948  0.01539446  0.01978681 -0.03800669 -0.14552197 -0.00670741
  0.08752839  0.00756925 -0.01994513  0.00437804 -0.0797834  -0.00767995
 -0.09724481 -0.02261405 -0.02503927 -0.02756184 -0.03452552  0.07849678
  0.01649744  0.00731045  0.06313263 -0.02509479 -0.05545155 -0.013101
  0.09040783  0.06852788 -0.00224848  0.07420684 -0.03836296  0.00831152
 -0.06029916 -0.09498151  0.12731117  0.0187109   0.08860861 -0.01216481
 -0.04350921 -0.05999612  0.11933902  0.08261745 -0.00131931  0.07936043
 -0.04118973 -0.00064586  0.00762595  0.11285083  0.09568641 -0.07473125
  0.09455295 -0.04027373  0.0334301  -0.04785642  0.00665599 -0.06616893
 -0.07484955  0.07670621 -0.0625849  -0.03998423  0.01908507  0.00195572
 -0.04665915  0.10800233 -0.11385635  0.1285481  -0.04461306  0.15382046
 -0.01920902  0.0536578   0.0236492   0.04231268  0.09748022 -0.06708671
  0.01198357 -0.01894939 -0.01315681  0.02982242  0.12363886  0.04121899
 -0.05039877 -0.02296145  0.02739182 -0.05574232  0.05049118 -0.00799108
  0.03637028  0.04303302 -0.02759576 -0.05085636 -0.07566471  0.00369978
  0.02818573  0.09208327  0.03951443 -0.05523926  0.00453413 -0.05608183
 -0.02238997  0.08104175 -0.06885911 -0.05343242 -0.09096483 -0.03561293
  0.03311663 -0.03948881  0.08098761 -0.13364086  0.03594096  0.09847736
  0.04926443  0.0297284 ]",4
MDL-16474,"[ 3.02490480e-02 -4.00311425e-02 -3.10144648e-02  1.06747216e-02
 -4.53303754e-02  4.59395628e-03 -1.08631868e-02 -2.59834658e-02
 -2.98673380e-02  9.25419293e-03 -4.15420607e-02  3.45256738e-02
 -1.88356023e-02 -5.81861511e-02 -2.57795528e-02 -9.82761849e-03
  2.03642566e-02  3.41033982e-03 -2.66986876e-03 -1.04601681e-02
  6.21811207e-03 -1.41559532e-02 -3.14241573e-02  8.79471714e-04
  1.81753263e-02 -1.52767624e-03 -3.96740809e-03  2.26923684e-03
 -1.98320914e-02 -8.40207841e-03 -3.58393118e-02 -7.94793665e-03
  1.13043031e-02 -5.52514917e-04 -3.43011506e-02  2.34735012e-02
 -2.45718751e-03  2.48142262e-03  1.64244864e-02 -1.16465418e-02
 -9.92147066e-03 -1.26732979e-02  2.79062223e-02  2.61641741e-02
 -5.55096369e-04  1.23763243e-02 -8.93396884e-03 -1.30143669e-02
 -2.85455529e-02 -3.38962115e-02  3.82331759e-02  1.80335063e-02
  3.19594331e-02 -4.28663194e-03  5.81614301e-03 -1.54405832e-02
  3.21824737e-02  2.27741096e-02  1.58602130e-02  1.76560692e-02
  1.00106443e-03 -6.90155802e-03 -7.78044667e-03  2.49880105e-02
  2.25605834e-02 -1.22138187e-02  1.71315074e-02 -9.29044560e-03
  7.76668312e-03 -1.34731336e-02 -2.43053632e-03 -1.09144514e-02
 -3.15683894e-02  3.31088118e-02 -9.95193236e-03 -1.29531547e-02
 -3.56510584e-03 -2.13669357e-03 -1.55903026e-02  3.05018649e-02
 -3.65374051e-02  3.24145742e-02 -9.09366552e-03  3.81344333e-02
 -1.31338742e-03  1.23847667e-02  1.01363370e-02  1.43595254e-02
  2.47655381e-02 -2.39106771e-02 -2.94908695e-03 -2.20612567e-02
 -4.89736069e-03  4.72237403e-03  3.79702970e-02  1.64786223e-02
 -1.83781702e-02 -2.01724898e-02  8.34303536e-03 -1.32720899e-02
  8.36503692e-03 -4.74315556e-03 -4.88199480e-03  3.15538868e-02
 -1.89653579e-02 -2.14833971e-02 -2.27251053e-02 -3.49995680e-03
  1.32498369e-02  2.73921303e-02  1.50025599e-02 -2.26557944e-02
  5.26678609e-03 -1.20701445e-02 -1.84740517e-02  1.87289007e-02
 -1.13957953e-02 -8.05165898e-03 -3.54750976e-02  4.88543091e-03
  1.35855861e-02 -1.82598326e-02  3.27717736e-02 -3.98093425e-02
  1.11639975e-02  2.24258229e-02 -9.57541051e-05  2.05617258e-03]",8
MDL-16982,"[-2.03456134e-02 -2.86540110e-02 -1.72611102e-02  1.10287708e-03
 -9.70867637e-04 -7.79277273e-03 -3.07766255e-02  1.37199340e-02
  4.24721930e-03 -1.77448671e-02  5.65842027e-03  2.79697832e-02
 -1.42704099e-02  1.54048260e-02 -3.26603511e-03 -1.47805512e-02
 -1.71229839e-02  1.46533605e-02  9.00852028e-03  7.06617720e-03
 -6.03664527e-03  5.02236187e-03 -4.26361449e-02  1.51347984e-02
  1.63546596e-02 -9.02811345e-03  4.54920286e-04 -4.78433212e-03
 -7.66341900e-03  2.28205547e-02 -2.73031387e-02 -1.02748526e-02
 -1.04315691e-02 -1.50897121e-03  3.87764797e-02 -2.20711790e-02
  3.00312508e-02  8.20706319e-03  8.90248548e-03  1.77466385e-02
 -2.60875467e-02  1.65423024e-02 -3.20682698e-03 -1.87166985e-02
 -1.02677401e-02  3.27850990e-02 -5.03806630e-03  4.92679141e-02
  3.93586755e-02  1.73782313e-03  1.22990180e-02 -9.68861976e-04
  3.69819766e-03 -1.53626408e-02 -1.16907693e-02 -1.70170944e-02
  1.00331074e-02 -3.06768212e-02 -1.67756677e-02  1.07400250e-02
 -1.42059487e-03  2.55909711e-02  1.39990002e-02  2.55006179e-02
  1.25748301e-02 -2.74036322e-02  2.22294405e-02  2.79962481e-03
  7.58191818e-05  3.61661334e-03  3.00937420e-04 -3.44882831e-02
 -4.50783595e-03 -2.19954848e-02  1.01030478e-02 -4.93255851e-04
  5.82701387e-03  4.39563207e-03  1.50346197e-04  3.34996283e-02
  5.04334830e-03  1.60608068e-02 -2.32857745e-02  4.21105586e-02
 -4.50394955e-03  1.03605120e-02 -2.84473989e-02  1.06880954e-03
  2.46855486e-02 -3.67646804e-03 -1.17539978e-02  2.94452049e-02
 -7.98134075e-04  5.49101783e-03  2.17009373e-02 -1.91774517e-02
 -2.79141627e-02  6.65993104e-03  1.31494813e-02 -7.06335669e-03
 -7.46775093e-03 -5.95545024e-03  9.25292633e-03 -1.28712459e-02
  2.68933289e-02  2.45031249e-02 -1.38796996e-02  8.67972057e-03
 -5.34288678e-03  6.72334386e-03 -7.28759635e-03  1.50589505e-02
  4.30626748e-03 -1.49774635e-02 -1.45299956e-02  4.24142834e-03
 -2.16041096e-02 -3.36614363e-02  4.21074638e-03 -3.80191766e-02
  1.42036593e-02  2.42121462e-02  5.60613349e-03 -1.99544802e-02
 -8.98205303e-03  1.68504082e-02  3.26421708e-02  1.48463612e-02]",40
