issuekey,doc2vec,storypoint
MULE-6432,"[ 0.07594898 -0.14559747 -0.10193238  0.03781655 -0.12420584  0.04452769
 -0.07504772 -0.02649255 -0.08363079  0.05264659 -0.08862896  0.12095384
 -0.00781929 -0.08559797 -0.07049517 -0.04115937  0.0322838   0.12323501
 -0.06691692  0.02692679  0.03178824  0.00953073 -0.16033176 -0.0100421
  0.04038177  0.01695017 -0.05963704 -0.08422706 -0.04990071  0.04129092
 -0.06058168 -0.08413647  0.03286725 -0.02357932  0.01333502  0.04082551
  0.01363603 -0.06171326 -0.0096078  -0.02608691 -0.06094589 -0.04960252
  0.07566869  0.01925202 -0.02755588  0.11404314 -0.06360314 -0.04831813
 -0.03208818 -0.10566005  0.08501063  0.04081585  0.07724702 -0.07146699
 -0.05627961 -0.00575676  0.12251783 -0.02761802  0.00957651 -0.00206802
 -0.04037781  0.0197867  -0.05967492  0.1970468   0.15552941 -0.10192547
  0.10539927 -0.02241277  0.07793466 -0.0193272  -0.04302694  0.00657747
 -0.12385423  0.06925253 -0.00243734 -0.08867884 -0.0455565   0.00545516
  0.00305512  0.12590346 -0.05796434  0.05600131  0.0016914   0.18065475
 -0.05632612  0.01866118  0.02946958 -0.00629981  0.15928926 -0.03772473
 -0.01374137 -0.02894688  0.00829508  0.0169201   0.09933429  0.00831666
 -0.07859625  0.00101394  0.07730657 -0.05199469  0.0693372  -0.06138081
 -0.0185732   0.06727524 -0.03017252  0.01048778 -0.09219876 -0.04813207
  0.07961306  0.1339636   0.04332032 -0.07605857  0.02422527 -0.02791444
 -0.03220114  0.09962051 -0.11141431 -0.15080108 -0.13147455 -0.00129223
  0.04739714  0.06504508  0.08507211 -0.16021264 -0.04547618  0.06228527
  0.04448417 -0.00507486]",8
MULE-5990,"[ 0.26406023 -0.52342045 -0.4011361   0.17649272 -0.41739058  0.1186322
 -0.19584745 -0.07501694 -0.2145124   0.24855238 -0.3032474   0.4914748
 -0.01487874 -0.31677878 -0.32287022 -0.14758071  0.16050495  0.47110134
 -0.24029225  0.11278886  0.12407586  0.05185395 -0.5659109   0.01530678
  0.12521914  0.00680743 -0.17902301 -0.29981855 -0.11904032  0.11258826
 -0.16360542 -0.22566092  0.09775601 -0.09872822  0.00768051  0.16589111
  0.02504429 -0.23546587  0.07794651 -0.05710386 -0.23044659 -0.21693975
  0.25333238 -0.02188311 -0.12797466  0.42423058 -0.15572223 -0.14253733
 -0.11125072 -0.43217614  0.24268961  0.13412148  0.31440902 -0.20699885
 -0.32536742 -0.01585594  0.44140488 -0.20407377 -0.0061325   0.06057676
 -0.12540956 -0.03435702 -0.21931696  0.7716186   0.50408745 -0.2911099
  0.28961506 -0.06585991  0.28993472  0.00655143 -0.10903345  0.06183563
 -0.437894    0.31871113 -0.00210668 -0.25741532 -0.15525486 -0.00256516
 -0.02054651  0.37236112 -0.11038196  0.15129985 -0.01159936  0.6196481
 -0.12973122  0.01052165  0.09332673 -0.00372519  0.59613276 -0.22489643
 -0.07668186  0.00086612  0.04623056 -0.01569974  0.3686864   0.03546811
 -0.23109686  0.05158871  0.26906648 -0.15925606  0.26007038 -0.14402178
 -0.04720075  0.11429603 -0.08907229  0.03994039 -0.2868839  -0.15067248
  0.2475804   0.47153977  0.22570348 -0.20027566  0.13925487 -0.1785745
 -0.17150241  0.31208313 -0.40767816 -0.49322176 -0.44472712  0.03392218
  0.11509798  0.14821342  0.35133475 -0.54344726 -0.20864403  0.19015263
  0.13995627 -0.06959104]",8
MULE-6087,"[ 2.67280769e-02 -5.41190170e-02 -4.51016054e-02  2.23624725e-02
 -3.95354331e-02  1.46327214e-02 -2.06310451e-02 -2.45387177e-03
 -1.14528351e-02  2.27037556e-02 -3.74037027e-02  4.69838232e-02
  2.04198016e-03 -3.01972423e-02 -3.40380482e-02 -1.88526958e-02
  1.89888366e-02  5.05991094e-02 -2.55615078e-02  1.12386001e-02
  1.22757973e-02 -2.23441143e-03 -5.18952608e-02  2.84037949e-03
  6.26247609e-03 -5.82988607e-03 -1.48593737e-02 -2.86701918e-02
 -1.19296852e-02  1.49041107e-02 -2.02023555e-02 -2.74107680e-02
  6.20999979e-03 -1.21207945e-02 -4.61552432e-03  1.92993358e-02
  1.22554433e-02 -2.74953302e-02  6.82158442e-03 -5.60215116e-03
 -2.15212684e-02 -2.08763070e-02  1.98551957e-02 -5.55199455e-04
 -1.33530851e-02  4.52963971e-02 -1.27957249e-02 -1.64823309e-02
 -7.77639868e-03 -3.28596123e-02  2.00805515e-02  1.11782486e-02
  3.33893932e-02 -1.48340249e-02 -3.53555083e-02 -7.23759877e-03
  4.88953888e-02 -2.04152409e-02 -3.05811525e-03  8.39048903e-03
 -1.95901543e-02 -1.32020162e-02 -2.25168578e-02  7.34669939e-02
  5.51369190e-02 -2.37200521e-02  1.89766902e-02  1.43194012e-03
  3.36388536e-02  1.88639632e-03 -9.19813663e-03 -3.61685030e-04
 -5.00145815e-02  3.18055674e-02 -4.78314841e-03 -1.65490210e-02
 -1.84945315e-02 -5.60420813e-06 -6.01213332e-03  3.75808552e-02
 -1.02625815e-02  2.02839449e-02 -8.95992480e-03  5.85508049e-02
 -1.57992076e-02  1.35625340e-03  7.84599315e-03 -2.75960751e-03
  5.80689237e-02 -2.06385683e-02 -5.90141304e-03  4.91053681e-04
  6.10140385e-03 -5.40026510e-03  3.66274454e-02  1.03278030e-02
 -2.13466268e-02  1.38764801e-02  2.43919119e-02 -1.30047407e-02
  2.66979095e-02 -2.07922962e-02 -4.83429944e-03  1.07730161e-02
 -1.83194336e-02 -4.17371327e-03 -2.15376467e-02 -1.35804396e-02
  2.43754424e-02  4.13711891e-02  2.66553462e-02 -9.56039131e-03
  1.25669837e-02 -1.66260488e-02 -1.79742854e-02  3.33797410e-02
 -4.82086949e-02 -4.74909879e-02 -4.79389988e-02 -2.04428891e-03
  1.08637000e-02  1.65756755e-02  3.15429233e-02 -5.08636981e-02
 -2.74338145e-02  1.95988938e-02  1.40756993e-02  1.05489817e-04]",8
MULE-6118,"[ 4.91533317e-02 -9.11910534e-02 -6.55870065e-02  2.58092154e-02
 -8.05046931e-02  3.36761586e-02 -4.90965657e-02 -1.33838123e-02
 -4.42471504e-02  2.96790507e-02 -5.78868426e-02  7.92479143e-02
 -9.73289739e-03 -5.51057756e-02 -5.29720597e-02 -2.24668458e-02
  2.24425606e-02  7.59785101e-02 -4.14208099e-02  1.38821881e-02
  1.49180237e-02  1.06448296e-03 -9.52760503e-02 -1.79137976e-03
  1.96775720e-02  9.56742465e-03 -3.06579974e-02 -5.17050140e-02
 -2.49001458e-02  2.09640246e-02 -3.80578339e-02 -4.89766262e-02
  2.03015357e-02 -1.44955534e-02  4.23117867e-03  2.81552058e-02
  1.72373038e-02 -4.21095118e-02  2.91616819e-03 -1.33292219e-02
 -3.57600823e-02 -3.71818431e-02  4.80360873e-02  1.13013834e-02
 -2.20498759e-02  6.99441954e-02 -4.08363901e-02 -2.42074504e-02
 -1.86890829e-02 -6.42896369e-02  4.60883938e-02  2.45289728e-02
  5.21170683e-02 -4.03523557e-02 -4.26551923e-02 -4.53708461e-03
  7.73876384e-02 -2.37424392e-02  9.42490413e-04  9.71836271e-05
 -2.84724850e-02  7.93668628e-03 -3.82482260e-02  1.24312736e-01
  9.30082202e-02 -5.98604530e-02  5.76030947e-02 -1.18650524e-02
  4.92756218e-02 -1.38802473e-02 -2.02362258e-02  7.89503474e-03
 -7.32477978e-02  4.92586978e-02 -3.95830162e-03 -5.60305044e-02
 -2.91036721e-02  3.56697664e-03 -3.91298532e-03  7.45041594e-02
 -3.01832464e-02  3.09809521e-02 -1.76643499e-03  1.12931035e-01
 -3.66568007e-02  1.17609827e-02  1.86199658e-02 -1.48850703e-03
  1.07135504e-01 -2.50218753e-02 -9.29453783e-03 -1.48092937e-02
  5.54811629e-03  1.03375195e-02  5.92127107e-02  2.27866811e-03
 -4.59059216e-02  2.95075821e-03  4.90421094e-02 -2.86198016e-02
  4.35635485e-02 -3.21540274e-02 -1.11701908e-02  3.57144140e-02
 -2.18749903e-02  7.74342846e-03 -5.75960353e-02 -2.60903537e-02
  4.97904830e-02  8.54118615e-02  2.95385309e-02 -4.37467508e-02
  1.95360780e-02 -1.53868785e-02 -2.40290482e-02  5.78010902e-02
 -7.00715706e-02 -8.92289504e-02 -8.06515068e-02  2.81314435e-03
  2.67805904e-02  3.99193354e-02  5.38037084e-02 -1.00713320e-01
 -3.17373462e-02  3.30199413e-02  3.18758823e-02 -7.89582729e-03]",5
MULE-6145,"[ 2.33935937e-02 -4.37161438e-02 -3.84000093e-02  1.74435340e-02
 -2.45994609e-02  1.11993831e-02 -9.69791412e-03  6.20078528e-03
  1.61186617e-03  1.75091363e-02 -1.53357107e-02  4.38272171e-02
 -7.26256461e-04 -2.05666386e-02 -2.74053253e-02 -8.13533925e-03
  1.68274809e-02  4.13864926e-02 -1.68788321e-02  1.04471976e-02
  6.87310426e-03  1.47858961e-03 -3.06079928e-02  3.51020135e-03
 -9.20567400e-05 -1.15963379e-02 -3.32372729e-03 -1.74694322e-02
 -6.49656495e-03  8.21239781e-03 -4.65913163e-03 -8.22640490e-03
  1.39054901e-03 -9.10796225e-03 -7.84478709e-03  1.56804994e-02
  9.39893071e-03 -2.04176288e-02  1.18815815e-02 -1.40645215e-03
 -1.91184934e-02 -2.38845125e-02  1.75733473e-02 -1.00078303e-02
 -1.33087356e-02  2.83880197e-02 -1.42054132e-03 -5.64365508e-03
 -4.19929950e-03 -2.98482608e-02  6.68947818e-03  7.25626992e-03
  2.89538372e-02 -1.94981496e-03 -3.74101773e-02  4.06227133e-04
  3.37587781e-02 -2.88515165e-02 -7.86308944e-03  7.42581394e-03
 -1.12285102e-02 -1.85767226e-02 -1.83422137e-02  5.82279935e-02
  3.60591188e-02 -1.09589584e-02  1.87319319e-03  3.45663656e-03
  2.14844663e-02  9.57845896e-03 -6.87833177e-03  5.44809224e-03
 -3.51766199e-02  3.21019776e-02 -3.73194064e-03 -7.26289907e-03
 -8.47059954e-03  4.67788940e-03 -8.46298691e-03  1.88823547e-02
  1.53756805e-03  9.52376612e-03 -1.43500557e-02  3.32785696e-02
 -9.89175029e-03 -3.87178443e-05  1.72691140e-03 -1.29984668e-03
  4.49660756e-02 -1.97497271e-02 -5.54578798e-03  2.98384088e-03
  5.36223082e-03 -6.31296076e-03  2.72112973e-02  1.32714852e-03
 -1.10636735e-02  1.57132819e-02  1.56724621e-02 -2.72387196e-03
  1.92873050e-02 -7.31630763e-03 -8.04315787e-03 -3.41926422e-03
 -9.39069130e-03  2.25628191e-03 -1.05600404e-02 -9.48980264e-03
  1.36416098e-02  2.92463023e-02  2.80883946e-02  1.25555636e-03
  7.30327656e-03 -1.82947703e-02 -2.08659507e-02  1.45865455e-02
 -3.96598876e-02 -2.66359728e-02 -2.66473014e-02  8.49868543e-03
  6.08357182e-03  9.87344515e-03  2.16108374e-02 -3.30347084e-02
 -2.12127846e-02  9.40788537e-03  8.78455956e-03 -2.31646374e-03]",8
MULE-6172,"[-7.25714164e-03  3.83998849e-03 -2.85055721e-04 -1.65876560e-03
  1.04478430e-02  1.70183461e-03  7.81683344e-03  6.20045373e-03
  8.81506130e-03  2.78988341e-03  3.32160457e-03 -9.82119143e-03
 -3.24666587e-04  2.49237404e-03  1.13452645e-03 -5.68301324e-03
  5.44649269e-03 -1.24439895e-02  2.05368781e-03  5.63672394e-04
 -4.79950896e-03  2.59758974e-03  1.15380157e-02  1.49168517e-03
 -5.79458941e-03 -1.19060026e-02  3.65403551e-03 -9.83545440e-04
  7.97922071e-03 -3.42538836e-03  3.42618441e-03  2.22326815e-03
 -7.67071359e-03 -7.43422983e-03 -1.03287993e-03 -5.27156238e-03
  2.02571671e-03  3.86600569e-03  5.82827115e-03  2.48428155e-03
  5.33595448e-03  3.95126734e-03 -9.52206831e-03  1.77501104e-04
  1.34900256e-04 -2.71228398e-03  5.39044617e-03 -8.52795434e-04
  5.71563840e-03  4.34702681e-03 -9.22373123e-03  1.71180069e-03
 -5.45855984e-03  9.59432032e-03 -7.07740756e-03  4.00041434e-04
  1.05433702e-03 -3.88426008e-03  2.87343934e-03  2.34048138e-03
  5.36196632e-03 -5.90348057e-03 -3.74387309e-05 -4.93747788e-03
 -6.84102625e-03  5.32647269e-03 -1.23659018e-02  7.30237784e-03
 -2.39388115e-04  1.34094525e-03  8.73579818e-04  3.39208171e-03
  1.02387927e-02 -2.32089940e-03 -1.08537322e-03  1.30250137e-02
 -1.53408688e-03  4.80680785e-04 -6.43287413e-03 -1.10802492e-02
  7.77847460e-03  1.42904778e-03 -4.21204744e-03 -8.95968080e-03
 -3.37746530e-03 -1.69148250e-03  6.80355588e-04  4.40312200e-04
 -7.93339964e-03 -3.49697075e-03  2.93863215e-03  2.04910222e-03
  2.30257006e-04 -6.04686746e-03 -1.25471596e-03  2.30064918e-03
  1.29963690e-02 -6.08870760e-04 -6.88477932e-03  1.94450328e-03
 -4.08894196e-03 -8.46605399e-05  5.75988367e-03 -5.93886571e-03
 -3.76228383e-03  2.30111764e-03  6.51588757e-03  4.99427319e-03
 -1.07573690e-02 -1.33814542e-02  4.08232957e-03  3.58227594e-03
  9.95372771e-04 -3.17343045e-03 -7.93017622e-04 -2.60176556e-03
 -1.00074534e-03  1.16633167e-02  7.43634126e-04 -1.36684964e-03
 -3.28396121e-03 -1.77258160e-03  1.68774929e-03  9.46947187e-03
 -1.72051101e-03 -2.60748388e-03 -1.22951821e-03  4.25087754e-03]",3
MULE-6251,"[-4.7244391e-04 -6.9174925e-03 -1.3077387e-02 -3.2884935e-03
 -9.8631484e-03  2.4216033e-03 -7.9369470e-03  4.7639613e-03
  2.1200546e-03  1.3424859e-02 -5.3594890e-03  2.3043357e-02
  5.0787902e-03 -1.7695916e-03 -6.3609527e-03  6.1883540e-03
  7.9248752e-03  9.8113315e-03 -1.5145984e-03 -2.7457427e-03
  8.6127371e-03 -5.4577069e-04 -2.0938613e-02 -1.9214809e-03
  4.5301855e-04 -3.7362487e-03 -3.3469917e-04 -9.7281300e-03
 -4.2728460e-03  4.6538319e-03 -4.6635438e-03 -4.2361356e-03
 -1.3650800e-03 -1.5358846e-03  6.5814019e-03  9.8905005e-03
 -1.1836066e-05 -6.3977544e-03  1.6202715e-03 -4.6705753e-03
 -2.3154181e-03 -6.5714116e-03  6.6371248e-03  9.6568913e-04
 -5.6780776e-04  1.3884580e-02 -1.3127144e-02 -5.2846400e-03
  3.6661467e-03 -1.3996780e-02  1.1066729e-03  4.9167885e-03
  4.7956043e-04 -1.3208063e-02 -3.0600778e-03  9.0998525e-05
  1.3792800e-02 -1.3431528e-03 -3.3454904e-03 -1.6832870e-03
 -2.9462515e-03  6.8343794e-03 -1.0929098e-02  1.4432394e-02
  1.1454715e-02 -8.6619155e-03  1.0792793e-02  2.8084472e-03
  3.8432521e-03 -8.9126517e-04 -1.0095297e-02 -3.4088083e-03
 -5.5225603e-03  9.7612422e-03  2.7662353e-03 -6.5413583e-03
  2.3856652e-03 -3.3396820e-04 -6.9354987e-04  1.1016130e-02
 -4.7732107e-04  6.6007734e-03 -6.0012080e-03  8.0177635e-03
 -2.4528441e-03 -1.3756395e-03 -1.7656194e-04  2.2866871e-04
  2.3624700e-02  9.1408156e-03  4.2248573e-03 -4.0326859e-03
 -1.1379794e-03 -3.1669317e-03  1.3670189e-02  5.3791981e-03
 -1.3728786e-02 -4.5918250e-03  8.3508240e-03 -2.7555593e-03
  9.2809079e-03 -9.7881081e-03 -2.5158349e-04  8.5390182e-03
 -7.2432342e-03  1.5620184e-03 -4.8883525e-03 -8.9768283e-03
  5.4042069e-03  7.6231714e-03 -8.4462279e-04  3.1132025e-03
  7.1725179e-03 -4.8443414e-03  2.5610453e-03  1.2717242e-02
 -2.0162320e-02 -1.6545631e-02 -1.1934250e-02 -1.6159295e-04
  1.5240069e-03  8.4589701e-03  6.3530919e-03 -1.2627575e-02
 -6.4802699e-04  1.2166189e-03  3.3996496e-03  2.3624690e-03]",3
MULE-6355,"[ 9.58574414e-02 -1.78360581e-01 -1.31252244e-01  5.85796833e-02
 -1.52809545e-01  5.67716099e-02 -8.95181671e-02 -2.49734651e-02
 -8.58266652e-02  6.14040308e-02 -1.14296876e-01  1.52947545e-01
 -7.47098355e-03 -1.09206669e-01 -1.00888304e-01 -4.63487878e-02
  5.16930595e-02  1.53984368e-01 -7.51978159e-02  3.35825942e-02
  3.45341414e-02  8.79169349e-03 -1.92088723e-01 -1.33549765e-04
  4.55236323e-02  1.91293433e-02 -6.99071884e-02 -1.02571167e-01
 -5.78791946e-02  5.08901291e-02 -7.66942427e-02 -9.93607566e-02
  3.19002420e-02 -3.13734114e-02  3.29236663e-03  6.11659251e-02
  2.53684409e-02 -8.05974975e-02  1.59832911e-04 -1.86896361e-02
 -7.08930045e-02 -6.82633147e-02  9.08296853e-02  9.52872541e-03
 -3.84506136e-02  1.43405631e-01 -6.90341443e-02 -5.52282743e-02
 -3.66582908e-02 -1.30875006e-01  9.36488360e-02  5.42674214e-02
  1.04476064e-01 -8.13512877e-02 -8.55167285e-02 -1.35427099e-02
  1.59394279e-01 -4.82592471e-02  2.68472591e-03 -2.20246753e-03
 -5.81372082e-02  1.76093855e-03 -6.91177398e-02  2.55518675e-01
  1.84561521e-01 -1.11036673e-01  1.14527404e-01 -2.94050872e-02
  9.65643004e-02 -2.05561072e-02 -4.45236936e-02  1.41759068e-02
 -1.53747335e-01  9.40375328e-02 -1.02341790e-02 -9.77603495e-02
 -5.30913845e-02  7.12956162e-03 -2.96802702e-03  1.44981146e-01
 -6.15475252e-02  6.21457659e-02 -4.38984949e-03  2.18284532e-01
 -6.13490976e-02  1.68907475e-02  3.11675891e-02 -3.26382834e-03
  2.10122734e-01 -5.22060655e-02 -1.82358641e-02 -2.40292456e-02
  9.38120484e-03  1.22255133e-02  1.22398280e-01  1.51930200e-02
 -9.34153572e-02  1.23336650e-02  9.52745304e-02 -5.62034026e-02
  8.73924941e-02 -6.88192993e-02 -2.21955497e-02  6.50507659e-02
 -4.08702344e-02  1.33284265e-02 -1.09197021e-01 -5.31736687e-02
  9.13225710e-02  1.75181091e-01  6.96491674e-02 -7.64132366e-02
  3.07812393e-02 -3.69932838e-02 -5.24724498e-02  1.09674633e-01
 -1.50193512e-01 -1.77710935e-01 -1.58643275e-01 -2.45556497e-04
  5.40881529e-02  6.80375695e-02  1.10733576e-01 -1.94269300e-01
 -5.99013418e-02  6.95927516e-02  4.73059304e-02 -1.53403981e-02]",8
MULE-6367,"[ 2.15561427e-02 -3.86999287e-02 -2.68804021e-02  1.24480771e-02
 -2.58539524e-02  8.48574191e-03 -1.71165280e-02  4.04459238e-03
 -1.05063301e-02  1.01947030e-02 -1.65207218e-02  3.49474363e-02
 -3.23545048e-03 -2.50485912e-02 -2.50671897e-02 -1.23861674e-02
  1.19131971e-02  3.60436849e-02 -1.14279222e-02  1.30728409e-02
  1.02149257e-02  1.83120964e-03 -3.60677391e-02  5.17721754e-03
  3.15106474e-03 -7.79548020e-04 -1.25377364e-02 -1.91799663e-02
 -3.90567584e-03  7.73213385e-03 -1.09122721e-02 -1.08652739e-02
  3.19923600e-03 -9.85762477e-03 -7.24006770e-03  1.45737492e-02
  2.73821643e-03 -1.47359129e-02  5.65355830e-03 -1.66504120e-03
 -1.57851912e-02 -1.70459710e-02  1.36686368e-02 -8.59033433e-04
 -8.11947975e-03  2.44339965e-02 -7.23750377e-03 -7.34964665e-03
 -1.15352022e-02 -2.48705857e-02  1.15239313e-02  1.17804948e-02
  2.25684103e-02 -1.08876359e-02 -2.34582145e-02 -6.86723797e-04
  2.91523039e-02 -2.14090459e-02 -4.17121733e-03  6.33514952e-03
 -9.60893184e-03 -1.17077604e-02 -1.79895945e-02  5.04550152e-02
  3.41609940e-02 -1.18509792e-02  1.43817775e-02 -2.23692926e-03
  1.99084058e-02  5.81531879e-03 -5.65707963e-03  7.77153810e-03
 -2.97935549e-02  2.60885805e-02 -2.58199638e-03 -5.20857424e-03
 -8.51485785e-03  7.74277374e-04 -7.16194091e-03  1.80007555e-02
 -3.47569725e-03  4.68824944e-03 -1.84985844e-03  3.26875523e-02
 -8.81426409e-03  1.41379656e-03  3.19643039e-03  2.49187986e-04
  4.14147265e-02 -1.90236587e-02 -5.26899658e-03  6.44834654e-04
 -7.71472041e-05 -7.34614441e-03  1.80052686e-02  2.36488320e-03
 -1.36202881e-02  7.17548607e-03  1.96356568e-02 -8.29042122e-03
  1.72196887e-02 -1.13940071e-02 -1.34564366e-03  2.71081924e-03
 -5.88282989e-03 -1.26078189e-03 -1.16458368e-02 -8.51258077e-03
  1.65499449e-02  3.19429003e-02  1.99966207e-02 -6.36825804e-03
  5.03316475e-03 -1.17098680e-02 -1.81132127e-02  1.70504693e-02
 -2.92696767e-02 -3.35776955e-02 -3.10171917e-02  4.67151450e-03
  6.33741636e-03  7.53736030e-03  2.23668404e-02 -3.61280181e-02
 -1.33692818e-02  1.07121905e-02  1.00241080e-02 -1.55691430e-03]",5
MULE-6386,"[ 6.15799688e-02 -1.14463873e-01 -8.14888701e-02  3.38087864e-02
 -9.44841206e-02  3.28876488e-02 -5.59473149e-02 -1.17010465e-02
 -5.29439449e-02  4.36238050e-02 -6.75850809e-02  9.88000259e-02
 -6.43378310e-03 -6.65103868e-02 -6.02945350e-02 -3.24449390e-02
  3.30619365e-02  9.40696672e-02 -4.66152020e-02  1.94687154e-02
  2.56866887e-02  5.37475292e-03 -1.17987618e-01  1.04451108e-04
  2.68282462e-02  1.15295695e-02 -4.20576707e-02 -6.57275394e-02
 -3.60332280e-02  2.60911770e-02 -4.73340414e-02 -6.16487190e-02
  1.76579896e-02 -1.92311294e-02  5.21514285e-03  3.31168734e-02
  1.18349874e-02 -5.15360050e-02  5.35873976e-03 -2.11807322e-02
 -4.56659868e-02 -4.54695784e-02  5.88709190e-02  6.96229097e-03
 -2.21237410e-02  8.65224004e-02 -4.21371162e-02 -3.29153650e-02
 -2.55602747e-02 -8.10111985e-02  6.18922971e-02  2.62697004e-02
  6.64010197e-02 -5.28152175e-02 -5.50714843e-02 -2.76692305e-03
  9.54006910e-02 -3.60365435e-02  2.61147623e-03  3.93776130e-03
 -3.55295613e-02  3.10307578e-03 -5.02577834e-02  1.58233881e-01
  1.17023692e-01 -6.87252507e-02  6.88269138e-02 -1.50276041e-02
  6.27751946e-02 -6.97674137e-03 -3.02743819e-02  1.04009481e-02
 -9.61453989e-02  6.06650822e-02 -4.41733748e-03 -6.19722642e-02
 -3.73678878e-02 -2.33065197e-03 -5.90591459e-03  9.14886072e-02
 -3.86575013e-02  3.77459116e-02 -2.14117346e-03  1.39890522e-01
 -3.69493142e-02  1.28778284e-02  2.19763089e-02 -7.06548279e-04
  1.29882172e-01 -3.96867394e-02 -1.14409914e-02 -1.69966053e-02
  5.53694135e-03  1.03121102e-02  7.81190321e-02  8.89730360e-03
 -5.39820865e-02  7.46828830e-03  5.32405712e-02 -3.55944708e-02
  5.33610061e-02 -4.49623615e-02 -1.52253686e-02  4.19538207e-02
 -2.88930368e-02  4.89159999e-03 -6.68492019e-02 -3.77961509e-02
  6.08208664e-02  1.05547749e-01  4.23416570e-02 -4.87014279e-02
  2.41415128e-02 -2.09159441e-02 -3.43359821e-02  7.02766553e-02
 -8.72312561e-02 -1.12844668e-01 -9.91363749e-02  4.56167432e-03
  3.40830646e-02  3.95544022e-02  6.72604144e-02 -1.21449016e-01
 -4.01629247e-02  4.71920706e-02  3.60351056e-02 -5.07239625e-03]",5
