issuekey,doc2vec,storypoint
STUDIO-95,"[ 0.02387084 -0.0616641  -0.05732694 -0.00170411 -0.01014115  0.00877752
  0.00779778 -0.01719657 -0.04261043 -0.00734316 -0.04867537  0.01187784
  0.00619989 -0.02683533 -0.02993135  0.00732949  0.03556248  0.00177648
  0.0200854  -0.02134632 -0.01936037  0.02875532 -0.02715271  0.01147877
  0.04307204  0.01540728 -0.02184572 -0.04511277 -0.05274767  0.00976725
 -0.00721145 -0.02123065 -0.00695799 -0.02684491  0.01180672  0.01264342
  0.00261153  0.03029134  0.02810587 -0.02296085 -0.01888272 -0.04293061
  0.01137858  0.013836    0.01247555  0.03118412 -0.0127021  -0.00507252
  0.00297679 -0.05439954  0.03796685  0.00599484  0.02531275 -0.01467329
 -0.00985962 -0.00764751  0.04139911  0.01034365  0.04157712  0.01030294
 -0.03716734 -0.00041892 -0.03873141  0.06394628  0.03768865 -0.01523373
  0.05787458 -0.00027532  0.01323178  0.00310745  0.01355321 -0.03776171
 -0.03447764  0.02223612 -0.00864949 -0.00127027 -0.0270177   0.00899411
 -0.01604196  0.05013768 -0.02997498  0.03742528 -0.00440907  0.05736855
 -0.01071989  0.00357789 -0.00124525 -0.00601914  0.02557892 -0.01992639
 -0.03605237 -0.02216978 -0.02093791  0.00144763  0.06316838  0.0293886
 -0.0028276   0.00036639  0.03303289 -0.02596668  0.02513384 -0.03088215
 -0.02443029  0.01486733 -0.03206758  0.01062877  0.00061792 -0.04198366
  0.02771959  0.0483235   0.01028647 -0.05610725  0.02601884 -0.00018135
  0.00805373 -0.00346502 -0.02372595 -0.03333717 -0.05204074 -0.01822241
 -0.00651253 -0.00676224  0.02508835 -0.02715282 -0.02700301  0.022726
  0.01204875  0.00011839]",13
STUDIO-280,"[ 0.11476637 -0.2793687  -0.2729211  -0.00788633 -0.06923217  0.02959936
  0.01435243 -0.10283505 -0.19130594 -0.02470671 -0.22481677  0.07323509
  0.02083237 -0.1619889  -0.16736199  0.03119056  0.15357897  0.02680367
  0.06796482 -0.11592119 -0.0725558   0.11764222 -0.13693509  0.02889357
  0.19325022  0.04993719 -0.11527179 -0.19831805 -0.2550522   0.07133943
 -0.04708424 -0.0899519  -0.02297277 -0.1239328   0.04376845  0.05088866
  0.00052217  0.13383165  0.11158498 -0.12405279 -0.09197636 -0.19090928
  0.04668877  0.0725219   0.04870769  0.15298496 -0.05711071 -0.03142848
  0.0313677  -0.26567394  0.19005162  0.03661869  0.11043309 -0.06813444
 -0.05401384 -0.02412767  0.19322424  0.01720082  0.18804267  0.03919042
 -0.17538095  0.01872239 -0.15434135  0.30398643  0.17232767 -0.08987109
  0.27538452  0.00206497  0.07942354  0.02981732  0.04867321 -0.17125306
 -0.17310366  0.11863726 -0.04870834 -0.02707694 -0.10784579  0.05309967
 -0.09530403  0.23553464 -0.11364322  0.1710645  -0.02625722  0.28516778
 -0.0346057   0.023441   -0.01551123 -0.01659014  0.13118033 -0.10691814
 -0.16215277 -0.09273388 -0.09181697  0.01834487  0.30659923  0.14251122
 -0.02637915  0.02405965  0.18132612 -0.11370073  0.1336819  -0.13804622
 -0.12253566  0.07346485 -0.13787805  0.03678019 -0.01571854 -0.17177618
  0.14490914  0.22837041  0.02652003 -0.2751565   0.12470349 -0.026113
  0.0196212  -0.01926498 -0.09891576 -0.18484664 -0.23475736 -0.08908027
 -0.0214447  -0.02219528  0.12710744 -0.12281715 -0.11271244  0.1182064
  0.07054391  0.01437288]",3
STUDIO-382,"[ 0.00818383 -0.02853947 -0.03830974  0.00197765 -0.00430636  0.00376291
 -0.00083265 -0.00262308 -0.02086053 -0.00497831 -0.01784854  0.00583767
  0.00453199 -0.01148275 -0.01475814 -0.00114232  0.01824064  0.00445141
  0.01283867 -0.01689474 -0.00248942  0.01833748 -0.01936852  0.0031414
  0.02227306  0.00998212 -0.01075604 -0.02430642 -0.02912058  0.00231177
  0.0028319  -0.00203688  0.0026644  -0.00497986  0.00385668  0.00504755
 -0.00166096  0.01869346  0.01506925 -0.01630357  0.00134905 -0.0232453
  0.00284774  0.01772405  0.0097185   0.01204083 -0.00037954 -0.00029747
  0.00835382 -0.01370008  0.01996098  0.00439424  0.00850937  0.00463786
 -0.00420887 -0.00931618  0.01853225  0.01507481  0.01818285 -0.00330947
 -0.02591576 -0.00207554 -0.01286986  0.02948267  0.01925082  0.00251066
  0.02106516  0.0062253   0.0130584   0.00805707  0.01152584 -0.02047941
 -0.02778523  0.00708623 -0.01059686  0.00395478 -0.01659735  0.00914306
 -0.0131015   0.01322844 -0.01890764  0.01305459 -0.01067914  0.03643158
  0.00320541  0.00142109 -0.00229369  0.00190708  0.01855227 -0.01229319
 -0.02141273 -0.01253166 -0.0013305  -0.00652163  0.02685675  0.01568172
  0.00292222  0.00097518  0.01218235 -0.01609512  0.00851613 -0.01857853
 -0.01996045  0.00747001 -0.00814796  0.00196628 -0.00629022 -0.01869724
  0.02475318  0.01869817 -0.00055164 -0.0323826   0.00800999 -0.00497344
  0.00021992 -0.00117134 -0.01064521 -0.01206482 -0.03178618 -0.01716748
 -0.00386781  0.00029297  0.00146921 -0.02360936 -0.00237401  0.0109279
  0.00595533  0.00040429]",5
STUDIO-459,"[ 0.01956537 -0.08510847 -0.07096326 -0.0028088  -0.02804364  0.00626458
 -0.00650352 -0.02805684 -0.04194446 -0.01064954 -0.05857548  0.02966213
  0.00199678 -0.05128781 -0.05508638  0.00098621  0.03323747  0.01099846
  0.01313262 -0.02518611 -0.0111028   0.02813037 -0.04763118  0.010264
  0.05333463  0.00317267 -0.02684861 -0.05345015 -0.07336276  0.02388516
 -0.02270509 -0.02042506  0.00263201 -0.02511496  0.00849683  0.01384189
 -0.00303133  0.03691515  0.03540897 -0.03746724 -0.02569476 -0.04979185
  0.02067756  0.03666015  0.01311548  0.03024962 -0.02038286 -0.01180505
  0.00797251 -0.08011369  0.05792333  0.0104972   0.03563197 -0.01492991
 -0.03384415 -0.00609642  0.06106479 -0.0062117   0.04027368  0.00712521
 -0.03212212 -0.00023644 -0.03080431  0.07181388  0.03783723 -0.02379943
  0.07653163 -0.00675661  0.02792231 -0.00116686  0.00583526 -0.04952158
 -0.04847793  0.04919726 -0.00705258 -0.02110822 -0.03003171  0.00631669
 -0.03019899  0.06020713 -0.02857201  0.04023818 -0.01128506  0.07594729
 -0.00918534  0.00896489  0.00243223  0.00444488  0.04177734 -0.029629
 -0.02381445 -0.01216455 -0.02548816  0.01332377  0.09002194  0.02701923
 -0.00694868  0.00212579  0.05071637 -0.02984483  0.04290496 -0.02800983
 -0.0318769   0.01792381 -0.02410401  0.00388271 -0.00847449 -0.03680747
  0.0400035   0.06790368  0.01765332 -0.08627279  0.02221437  0.00142383
  0.00158018 -0.00588991 -0.03419457 -0.06214188 -0.06703775 -0.02348584
  0.00243856 -0.00663485  0.03235332 -0.03679044 -0.03922785  0.04192181
  0.01528596  0.00055794]",8
STUDIO-618,"[ 0.0018266  -0.04679881 -0.02693416  0.00574818 -0.02909049 -0.01288872
 -0.00625264 -0.00147343  0.00269949 -0.01081826 -0.03885279  0.03116057
  0.00028601 -0.04594482 -0.0107799  -0.00483755  0.01869484  0.01908547
  0.00189039 -0.01356351 -0.00874693  0.0202411  -0.03842669 -0.00594257
  0.01535014 -0.00300123 -0.01935156 -0.02018907 -0.01917965  0.02187373
 -0.00996373 -0.0006331   0.00651885 -0.00108637 -0.00786778  0.01703743
 -0.01265963  0.01943968  0.01339084 -0.00791251 -0.02499763 -0.02347078
  0.0286655   0.02146134 -0.00803103  0.00120018 -0.0110668  -0.00993958
 -0.01656974 -0.0467858   0.03018805 -0.01341746  0.02731966  0.00431687
 -0.04163357  0.00575638  0.04201732 -0.00641537  0.00788071  0.00219358
 -0.01602753 -0.0051572  -0.00148513  0.04309735 -0.00466315 -0.01166026
  0.02814018 -0.03146978  0.02871622 -0.01408827 -0.00178938 -0.03243449
 -0.02562883  0.03186683 -0.01255046 -0.01845705 -0.01222544  0.00436108
 -0.02535631  0.02446038 -0.01721077  0.01899671 -0.0010772   0.01482308
  0.00046554  0.03201704 -0.00765753  0.00126209  0.02922134 -0.02079698
 -0.01945973  0.0121545  -0.01755557  0.01664476  0.04395517  0.01052887
 -0.03044145 -0.01204666  0.02610133 -0.02431107  0.03965767 -0.00460087
 -0.00182751  0.01209422 -0.02659332  0.00685182 -0.02144917 -0.01431989
  0.02135632  0.03317038  0.02424002 -0.04825155  0.01408517 -0.0139127
 -0.02309137  0.00152325 -0.0272553  -0.02507621 -0.01978076 -0.00301572
  0.00175728 -0.01216237  0.01639917 -0.01678004 -0.01834993  0.01674868
 -0.00727225  0.00881405]",8
STUDIO-781,"[ 1.86820943e-02 -4.37996313e-02 -4.68112044e-02 -5.75337932e-03
 -7.90152606e-03  7.34118978e-03  5.78331947e-03 -1.85606629e-02
 -2.77699884e-02 -5.54740895e-03 -3.78392078e-02  1.15657756e-02
  5.65577066e-04 -2.31117848e-02 -2.66203135e-02  2.27154186e-03
  2.21075714e-02 -1.10839901e-03  1.03642503e-02 -1.87970474e-02
 -1.34910559e-02  1.42007675e-02 -1.84307918e-02  8.44448619e-03
  2.92285774e-02  7.20375543e-03 -1.83307696e-02 -3.39622721e-02
 -4.00080681e-02  1.24303903e-02 -8.78728554e-03 -1.10221691e-02
 -2.92791007e-03 -1.76037792e-02  4.51291911e-03  7.75288837e-03
  2.06042943e-03  2.30081454e-02  1.52171394e-02 -2.17400100e-02
 -1.65366586e-02 -2.86165904e-02  8.68651457e-03  1.13770710e-02
  1.05972933e-02  2.63828244e-02 -1.05440458e-02 -6.06458494e-03
  7.39004556e-03 -4.18262072e-02  3.06713600e-02  3.01661179e-03
  1.79930702e-02 -5.74148772e-03 -7.78221153e-03 -7.95618538e-03
  2.85019297e-02  5.35693625e-03  2.63478048e-02  9.79600125e-04
 -2.69644819e-02 -4.18332522e-04 -2.41065323e-02  4.46394384e-02
  2.79012453e-02 -1.43763302e-02  4.13482599e-02 -1.17593538e-03
  1.24215167e-02  6.35772059e-03  9.38257948e-03 -2.97179502e-02
 -2.63035391e-02  1.84555557e-02 -3.73039022e-03 -1.52193662e-03
 -2.21352726e-02  8.25430732e-03 -1.52787361e-02  3.97249982e-02
 -1.74243096e-02  2.71029845e-02  6.90297747e-05  4.02684584e-02
 -1.46107795e-03  4.63300385e-03 -3.33275576e-03  2.86525988e-04
  2.34186277e-02 -1.55938277e-02 -2.45860890e-02 -1.43451048e-02
 -1.04588903e-02  6.44001784e-03  5.23897558e-02  2.11743545e-02
 -6.52454887e-03 -1.62328637e-04  2.80277170e-02 -1.75161343e-02
  2.35140752e-02 -2.09858753e-02 -1.79921798e-02  8.10087845e-03
 -2.49967203e-02  2.98166997e-03  2.20006471e-03 -2.97328532e-02
  1.82399116e-02  3.90355736e-02  6.68565650e-03 -4.86924537e-02
  1.80163085e-02 -4.01246920e-03  6.29504956e-03  1.46053720e-03
 -1.55246230e-02 -3.11418138e-02 -3.56522612e-02 -1.63130797e-02
 -2.97913747e-03 -8.66077933e-03  2.07047556e-02 -2.32915357e-02
 -1.69207305e-02  1.69122573e-02  9.70077142e-03  3.74801946e-03]",5
STUDIO-782,"[ 0.03067959 -0.08371906 -0.07422472 -0.00292237 -0.02325956  0.00480425
  0.00638961 -0.02895201 -0.05378998 -0.00533059 -0.06389588  0.01962943
  0.00413383 -0.04236148 -0.04384464  0.00681216  0.0402808   0.00731067
  0.0251035  -0.02803233 -0.02452827  0.03395646 -0.03788556  0.01151332
  0.05351231  0.01660766 -0.03303798 -0.05375392 -0.06525791  0.02140766
 -0.01607775 -0.02698467  0.00067224 -0.03175704  0.00785421  0.01338818
 -0.0009952   0.03108234  0.02926333 -0.0251809  -0.02496117 -0.05109729
  0.01862011  0.02209006  0.00743521  0.0395775  -0.01906675 -0.00966998
  0.00691545 -0.06401675  0.05061198  0.00681031  0.02292371 -0.01561151
 -0.01681414 -0.00386319  0.05801614  0.00488202  0.04448184  0.00780241
 -0.04330112  0.0009641  -0.05070787  0.08549665  0.05344884 -0.01628627
  0.06891237 -0.00257397  0.02193706  0.00665133  0.01477388 -0.04969886
 -0.04500369  0.03337187 -0.01401149 -0.00384844 -0.02782448  0.01447711
 -0.02800296  0.06377814 -0.0244762   0.04714435 -0.00633868  0.072947
 -0.01135082  0.00627686 -0.0051229  -0.00270988  0.03360131 -0.02613956
 -0.04273877 -0.02123702 -0.02387206  0.012895    0.08616281  0.04162978
 -0.00554908  0.0025228   0.04276416 -0.02986536  0.03961588 -0.03125408
 -0.03629343  0.0131239  -0.03945918  0.01656706 -0.00070968 -0.04867681
  0.03010317  0.06208112  0.00958654 -0.07568118  0.02857851 -0.00175995
  0.00663529 -0.00117334 -0.03039436 -0.0468897  -0.06572752 -0.02078822
 -0.00900563 -0.0153883   0.03314992 -0.03079643 -0.02819201  0.03287734
  0.01565758  0.00257246]",5
STUDIO-837,"[ 0.04685878 -0.13403523 -0.11588823 -0.01157071 -0.03370155  0.00610685
  0.00242924 -0.04881535 -0.07257057 -0.01130934 -0.09982919  0.02571149
  0.01429127 -0.07208942 -0.07553113  0.0131046   0.06049052  0.01179105
  0.03081847 -0.04794552 -0.03266323  0.05639482 -0.05689066  0.02060795
  0.08228724  0.01850285 -0.0488642  -0.08067015 -0.11109392  0.03665392
 -0.02047383 -0.040703   -0.00900877 -0.05080141  0.01838146  0.02214799
  0.00080456  0.06081945  0.05592938 -0.06177059 -0.03953126 -0.08848154
  0.02607812  0.03884215  0.01891104  0.06520643 -0.02729963 -0.0190953
  0.01568158 -0.1198568   0.07724265  0.01011353  0.04887711 -0.02851944
 -0.02753459 -0.01418532  0.09323271  0.0092945   0.07937234  0.01326571
 -0.07655641  0.00514747 -0.06538235  0.13328122  0.07607485 -0.0298457
  0.1189528  -0.00264417  0.03411999  0.0110929   0.01809364 -0.07742381
 -0.0689682   0.05940344 -0.02308865 -0.01648067 -0.04706333  0.02008224
 -0.04308089  0.09820551 -0.04107003  0.07704517 -0.01354594  0.12018006
 -0.01659316  0.015033   -0.00037326  0.00036505  0.05958487 -0.04568073
 -0.06779957 -0.033714   -0.03668651  0.01216738  0.14098448  0.05681949
 -0.0190357   0.009571    0.07815348 -0.04562242  0.05690917 -0.05182841
 -0.05936145  0.0332036  -0.06018212  0.01643674 -0.00503821 -0.07472281
  0.06140658  0.09540331  0.01875524 -0.12245119  0.05111115 -0.00751955
  0.00863533 -0.00629544 -0.04246758 -0.08219662 -0.09993751 -0.03485301
 -0.00612379 -0.01327559  0.05490318 -0.05370638 -0.05619578  0.05103774
  0.03114038  0.00442988]",8
STUDIO-853,"[ 0.07474659 -0.17689069 -0.17739327 -0.01022581 -0.04041712  0.02805826
  0.01799066 -0.06415775 -0.12382389 -0.02051553 -0.14152955  0.03598417
  0.00995752 -0.08996311 -0.09639508  0.0261289   0.09490154  0.01097857
  0.04938056 -0.07014405 -0.04387148  0.07262672 -0.08382446  0.02450868
  0.12022002  0.03470077 -0.07523445 -0.12183631 -0.15579653  0.0357549
 -0.0193138  -0.05393801 -0.0152735  -0.06957229  0.02640537  0.02422853
 -0.004646    0.077627    0.0763235  -0.07389853 -0.05500788 -0.11706638
  0.02413445  0.04765018  0.02209169  0.09368242 -0.0320685  -0.02229099
  0.01706542 -0.16077906  0.12372226  0.0213425   0.06826201 -0.03313795
 -0.02693651 -0.02380662  0.12076652  0.02264228  0.12071508  0.02153456
 -0.11117096  0.00430701 -0.10142529  0.19003382  0.10897785 -0.05201272
  0.16878586  0.00489914  0.05235527  0.02316413  0.03643895 -0.10742961
 -0.10148754  0.06874362 -0.03608103 -0.00752522 -0.06820165  0.03897896
 -0.0576646   0.1409625  -0.0726236   0.10367897 -0.00715062  0.1778467
 -0.02153489  0.00992079 -0.00394699 -0.00505577  0.0787676  -0.05862383
 -0.10496178 -0.06164551 -0.05587523  0.01700238  0.18781096  0.0920006
 -0.00610974  0.01229603  0.10635857 -0.06848722  0.08530338 -0.07431836
 -0.07725649  0.04393497 -0.08307504  0.02178471 -0.00083731 -0.1129116
  0.08360613  0.13663433  0.02324245 -0.17608203  0.08119815 -0.01418434
  0.01993689 -0.01470297 -0.06336394 -0.10611303 -0.15041718 -0.06034532
 -0.02169707 -0.01674343  0.07817353 -0.07801252 -0.07038537  0.07490311
  0.03913316  0.00811153]",34
STUDIO-1212,"[ 0.08873519 -0.210307   -0.20720151 -0.01419996 -0.04596889  0.02426919
  0.02226406 -0.0717089  -0.1401588  -0.01902085 -0.16139545  0.04768916
  0.0120184  -0.10529397 -0.12162023  0.02721931  0.10871138  0.01447233
  0.05887393 -0.08435991 -0.05722403  0.09008789 -0.10237162  0.02609883
  0.14878872  0.03785837 -0.08651198 -0.14926147 -0.18350701  0.04125143
 -0.03119908 -0.06661946 -0.01938026 -0.09298948  0.0311927   0.03407918
 -0.00109311  0.09916936  0.09083822 -0.09425706 -0.05556343 -0.14105514
  0.03529353  0.05585235  0.0322121   0.11218825 -0.03652051 -0.02264543
  0.01623361 -0.1887647   0.14353663  0.02059527  0.08609572 -0.04420017
 -0.03964489 -0.02640074  0.14720261  0.03028937  0.13503696  0.02571301
 -0.12958002  0.00200196 -0.12549229  0.22261594  0.12702703 -0.05961841
  0.20763773  0.00704544  0.05965662  0.02138443  0.04647108 -0.12628536
 -0.11771444  0.08602012 -0.03958682 -0.0186266  -0.08477138  0.03545693
 -0.06963248  0.16599561 -0.09181454  0.13046987 -0.01344265  0.20795178
 -0.02978099  0.01911029 -0.00905938 -0.00999235  0.09212295 -0.07872582
 -0.12695871 -0.07009315 -0.06198305  0.01613356  0.2261487   0.10714512
 -0.01645128  0.00926396  0.12481513 -0.0817226   0.10037611 -0.10172672
 -0.09801456  0.04738607 -0.10181778  0.02754367  0.00180826 -0.13764012
  0.09654832  0.17058901  0.02640419 -0.20414826  0.09794893 -0.01208826
  0.02040228 -0.0145752  -0.07048089 -0.13377047 -0.17547882 -0.06908473
 -0.02598347 -0.01923397  0.0914482  -0.09030452 -0.07710396  0.09207214
  0.05011738  0.01579531]",5
