issuekey,doc2vec,storypoint
XD-1,"[-2.41781422e-03  1.89299583e-02 -6.70405664e-03  8.23116861e-03
 -4.16770019e-02  8.09782557e-03  2.60345675e-02 -2.49446779e-02
  1.65397022e-02 -7.14487731e-02 -3.26130842e-03 -8.41328967e-03
  1.00790116e-03 -9.06686205e-03 -1.15154115e-02  2.02371064e-03
  3.88732366e-02  1.83755085e-02 -1.13654267e-02 -3.34665813e-02
  1.09144617e-02 -5.86699275e-03 -2.91723330e-02  1.46289254e-02
  1.51976645e-02  2.48676445e-02  1.07304184e-02  1.02460133e-02
 -4.19674776e-02  1.56249879e-02 -1.16516137e-02 -1.33213541e-02
  2.72225235e-02 -1.47322030e-03 -2.86635719e-02  7.46132666e-03
  2.89946888e-02  9.29869432e-03 -1.16542606e-02 -3.72035243e-02
 -6.82122249e-04 -1.93766374e-02  1.97246019e-02  2.06125770e-02
  3.44133331e-03 -2.48494130e-02  1.64872631e-02 -5.25370017e-02
 -2.77064065e-03 -4.42399783e-03  1.54229142e-02 -2.34763324e-02
  1.78477727e-02 -2.39899587e-02  5.10781945e-04  4.98468094e-02
 -1.87234171e-02 -7.59582641e-03  2.25474238e-02 -8.40281602e-03
  4.93222708e-03  1.24994628e-02  7.72775616e-03 -8.44894629e-03
  8.44079128e-04 -3.90591868e-03  3.88499759e-02  4.02203426e-02
 -8.43305606e-03  1.49483522e-02 -2.44339462e-02  5.39502613e-02
 -6.73131421e-02 -1.41928671e-02  2.25232150e-02 -2.90366691e-02
 -2.43182257e-02  7.86952674e-03  2.34620962e-02  1.56136591e-03
 -5.44613600e-03  3.42443064e-02 -2.46800873e-02  3.01127434e-02
  1.96678303e-02 -3.39945480e-02 -8.06692243e-03  1.20207283e-03
  2.41769385e-02 -1.26772141e-03 -2.23226678e-02 -3.14870328e-02
  1.58990957e-02 -1.37647251e-02  4.08220524e-03 -3.65478499e-03
 -3.04958038e-02 -1.38987107e-02  8.03868920e-02 -4.68968414e-03
  1.95985306e-02 -2.63373777e-02  2.90434994e-02  2.05867663e-02
 -9.93025023e-03 -3.69193330e-02 -7.72799477e-02 -1.99245904e-02
  4.32501882e-02  1.84422210e-02  4.13241703e-03 -4.23352718e-02
  1.86045356e-02  5.21008251e-03  1.20719085e-02  3.12295488e-05
 -2.42128614e-02 -5.05783297e-02 -6.75166324e-02  3.98195162e-03
  5.67095019e-02  3.43168387e-03  1.24664120e-02 -4.13362011e-02
 -2.09976956e-02  1.03883585e-02  2.60490738e-02 -8.28703493e-03]",1
XD-2,"[ 0.01905334 -0.00119819 -0.03043846  0.0483259  -0.05283538  0.02290172
 -0.01748544 -0.00388876 -0.06552332 -0.00762569 -0.04169415  0.03169626
 -0.01836189 -0.02223281 -0.02073212 -0.04275474  0.03745932  0.03517255
 -0.0112969  -0.00907909  0.01284723 -0.00551169 -0.02448348  0.00571429
  0.03327361  0.01735858 -0.02590368 -0.00869877  0.0080102   0.03952241
 -0.06554355  0.00975179 -0.0038268  -0.07064807 -0.00062639  0.00517443
  0.02124136  0.0212431   0.03142697 -0.02027854 -0.04365905 -0.04844944
  0.01055388  0.04360876  0.01045914 -0.0013902   0.01100072 -0.03224048
 -0.01469094 -0.04408694  0.02731023  0.01540869 -0.01013379 -0.00751122
 -0.00938689  0.01489379  0.03405212 -0.04253973  0.02883029  0.00448106
 -0.02968926 -0.0213072  -0.03298257  0.06394842  0.02803288 -0.05418212
  0.05895071  0.00486403  0.04146836  0.00798065 -0.01129501 -0.00497885
 -0.06500062  0.03473202 -0.05687521 -0.04925086 -0.01845175 -0.03377501
 -0.0410695   0.00397446 -0.04977588  0.05760134 -0.00836914  0.05341759
 -0.04342389 -0.00299281 -0.02205137 -0.01211728  0.06893965 -0.04141954
  0.00510468 -0.02584855 -0.01321502  0.01089778  0.08123562 -0.0056233
 -0.02871414  0.02963149  0.0368021  -0.07899947  0.029643   -0.07041693
  0.00571906  0.03377675 -0.01701356 -0.01270426 -0.05786799  0.00117861
  0.04480517  0.06518129  0.03363877 -0.04592416  0.04090193 -0.02142889
 -0.02439391  0.06262141 -0.04420382 -0.03138098 -0.07505907 -0.02326352
  0.03190389 -0.01187639  0.06916509 -0.0892906   0.00210098  0.01975797
  0.02207375  0.02235382]",1
XD-7,"[ 0.00216526  0.0275258  -0.02711713  0.03331095 -0.08356839 -0.01950209
  0.01014536 -0.02837176 -0.03977109 -0.07728919  0.02339443  0.02182532
 -0.03276293 -0.04016827 -0.0267703  -0.03061779  0.03622445  0.05953842
  0.00963726 -0.05512988  0.03505722 -0.02467787 -0.03212672 -0.0097163
 -0.02290723  0.05486164  0.010832   -0.00477187 -0.040867   -0.00621349
 -0.07064534 -0.01170135 -0.00249038 -0.08688055 -0.04896487 -0.02975764
  0.01521336  0.06769252 -0.02899443 -0.08823895 -0.051029    0.0005164
  0.03759004  0.05986012  0.03731329 -0.02860184  0.06445175 -0.06497126
 -0.02600412 -0.0195072  -0.006246   -0.02942649 -0.04755838 -0.01535523
 -0.00515044  0.05287378 -0.03386517 -0.00628028  0.04386846  0.0064063
 -0.04115533 -0.02534198  0.0006515   0.01794706  0.04462567 -0.00420723
  0.0159284   0.01057477  0.02131033  0.02807683 -0.02956144  0.024273
 -0.11057922  0.01961712 -0.04545598 -0.0016305  -0.05944426  0.02009326
 -0.00025152  0.0210542  -0.05645743  0.06843596 -0.02910222 -0.00826019
  0.00513153 -0.04350792 -0.03585608 -0.01738981  0.02383233 -0.00195056
  0.01566034 -0.00149016 -0.02178525 -0.04546722  0.02166199 -0.01003156
 -0.03443741  0.0093101   0.10356828 -0.01308172  0.02253626 -0.06955095
  0.01994215  0.03547113 -0.09956861 -0.0160734  -0.09434415 -0.07412788
  0.07401615  0.02370328  0.02587113 -0.04018689  0.02549607  0.01089466
 -0.00169152  0.03249923 -0.01625264 -0.07937936 -0.0721878   0.00364541
  0.06369688 -0.04678193  0.07448068 -0.03881119 -0.01783268  0.00423271
 -0.03970518 -0.04011965]",1
XD-8,"[-0.00205957  0.01196086  0.01030108  0.01431719 -0.00894109  0.04711783
  0.03554351  0.01133246 -0.02011748  0.03048679 -0.03298938  0.04602836
  0.01406769  0.03978216  0.01961252 -0.00401874  0.01320614 -0.01493668
 -0.0067829  -0.01913442 -0.00045976  0.02379517 -0.06663045 -0.00354129
  0.00685304  0.01708894  0.03747457 -0.03005951  0.02036639  0.02559305
 -0.04498676  0.02835831  0.00302708 -0.02131669  0.00099501  0.002858
  0.01605546 -0.01952485  0.01378638  0.02371228 -0.03477845 -0.03242285
  0.02461787  0.03549364  0.00277135  0.00724229  0.01711866 -0.03161624
  0.01300624 -0.03035362  0.00683387  0.021812    0.01437586  0.02539453
 -0.00360854  0.00149192  0.02553083 -0.00921445  0.00612997 -0.01015849
 -0.02676695  0.01717417 -0.01878589  0.01681652 -0.00272599 -0.02683155
  0.05786444  0.00389251  0.02092753 -0.00368813  0.03404035  0.01034356
 -0.018175   -0.02231081 -0.0120707  -0.02803387  0.02149409 -0.03360328
 -0.00023327 -0.01905357  0.00152774  0.0246747  -0.00503842  0.04529369
  0.0008306  -0.00369657  0.00233913 -0.01333337  0.02056344  0.00827411
 -0.03350922 -0.01406497  0.0592151   0.02113004  0.03606053 -0.02738165
  0.01229743  0.03148211  0.01901767 -0.04007777  0.01876108 -0.03708367
  0.00072637 -0.00386992 -0.00254323 -0.03553876 -0.03163014  0.00413197
  0.01003714  0.00194115 -0.00944311 -0.00442317  0.03630323 -0.02149921
 -0.04640939  0.02872354 -0.02737082 -0.02373751 -0.03930959 -0.00513472
  0.02966009  0.01401709  0.01668334 -0.06684984  0.02140291 -0.00110647
  0.0237282   0.00382094]",1
XD-10,"[-0.01393057  0.09274385  0.0370685  -0.00449111  0.05134936  0.00468221
  0.0675104   0.02687116  0.05914385 -0.02827543 -0.01234339  0.01105078
  0.02018517  0.08017223  0.11112484  0.09376399  0.00290028 -0.06015312
 -0.03392912 -0.0176788  -0.00162618  0.0587929  -0.05642221 -0.0206883
 -0.09726975  0.05424601  0.10840073 -0.02773641  0.02732533  0.04542562
 -0.03790574  0.01166493  0.05051038 -0.02136277 -0.00500594 -0.00908157
  0.01934811 -0.05222708  0.01223465 -0.00212073  0.0541853  -0.01678782
  0.03320713  0.07374327 -0.02246415 -0.01312158  0.0416866   0.01639633
 -0.00632466  0.04508527 -0.02324389 -0.03237402  0.01361616  0.02418319
  0.02884619  0.04117066 -0.02777208  0.02530135  0.06565197 -0.03476179
  0.0631877   0.03548662 -0.01895548 -0.05831109 -0.06407008  0.05553754
  0.02603601  0.08516294 -0.0414132   0.03395794  0.1140902   0.0051266
 -0.03132736 -0.02488839  0.10433261 -0.06474016 -0.00385454 -0.01258406
  0.04582675  0.00277884  0.02408123  0.05258422 -0.0260426  -0.00581604
  0.07963058 -0.04428241 -0.02845979 -0.0520687   0.01986605  0.06287642
 -0.05196483 -0.01820936  0.1103663  -0.09161674 -0.02427091 -0.00201609
  0.01443048 -0.00249838  0.08022546  0.03023767 -0.0062126   0.01873289
 -0.05806676 -0.06336662  0.00525063 -0.08520258 -0.06469777  0.03215574
  0.03978522 -0.0211654  -0.05508878  0.08334268  0.0138424   0.0034377
 -0.00546786 -0.01170618 -0.01195432  0.00808959 -0.03044805  0.08035249
  0.08131849 -0.01790017 -0.07628559  0.01555925 -0.01234321 -0.10364943
  0.00175983  0.00377195]",5
XD-14,"[ 0.03045497 -0.02927465 -0.03883809  0.02178707 -0.0372044   0.01081613
 -0.01563663 -0.00529286 -0.00477836  0.00681436 -0.02434557  0.00493226
  0.00348527 -0.04546975 -0.03473981 -0.02597446  0.03546057  0.03862423
  0.01360383  0.00560255  0.00928009 -0.01921866 -0.02159098 -0.01062147
  0.04102658  0.0019948  -0.01732515 -0.00615631 -0.02543321 -0.00263435
 -0.01845488 -0.01511226 -0.01223739 -0.01212343 -0.01403781  0.0095859
  0.02352793 -0.00150799  0.00253255 -0.00636757 -0.01522022 -0.02932402
  0.0144225   0.01449549  0.01170681  0.01412323 -0.01367255 -0.00500228
  0.01089504 -0.02624683  0.01895239 -0.00350827  0.01765681 -0.01427178
 -0.01514538  0.00459762  0.02539527 -0.02363525  0.01399954 -0.00131233
 -0.00599495 -0.00551933 -0.02366165  0.03072719  0.03904982 -0.02747757
  0.03626598 -0.01667653  0.02287971 -0.02530153 -0.00703157  0.01010613
 -0.05425705  0.03218995 -0.01888545 -0.02763311 -0.00187316 -0.00101855
  0.01135661  0.01924393 -0.04990581  0.03912318 -0.00903193  0.0296359
 -0.01026607 -0.00320321 -0.02151597 -0.00674152  0.03172354 -0.02250825
 -0.00210341 -0.00426577 -0.00579435  0.01889472  0.03303617 -0.00985912
 -0.03868818 -0.01442135  0.03169421 -0.01795074  0.02333873 -0.01900762
  0.01648558  0.02820665 -0.01558181  0.00608709 -0.03711896  0.00024984
  0.04759096  0.02086847  0.01761832 -0.02647374 -0.00242424 -0.01590993
  0.02612282  0.0181691  -0.02968658 -0.02485185 -0.0367521  -0.0076205
  0.02008059  0.00335594  0.02887222 -0.03858384 -0.00072503  0.02862077
  0.00975854 -0.00069349]",3
XD-24,"[ 0.04663035  0.00791873 -0.04811059  0.05376234 -0.06104048  0.02055597
 -0.03477667 -0.00168196 -0.02534867  0.00564566 -0.04272196  0.02676024
 -0.04570321 -0.02900762 -0.0184682  -0.03515824  0.06094917  0.03920987
 -0.03452089 -0.00252024  0.00987309 -0.01068322 -0.02596209 -0.0103092
  0.01596098  0.0006323  -0.01464924  0.0377591   0.02679962  0.02103055
 -0.06030579 -0.00517679  0.00208467 -0.02744356 -0.01186221 -0.0322836
  0.07387429 -0.02979594  0.02303119 -0.01489454 -0.01049331 -0.06869865
  0.01561014  0.03589187 -0.00437431  0.01610243  0.01309025  0.0146922
 -0.00772951 -0.05000403  0.0007643  -0.00016801 -0.00198608 -0.02083245
 -0.00453344 -0.0083468   0.02449577 -0.02098623  0.02118331 -0.02329162
  0.00931596  0.01766002 -0.05979679  0.04922028  0.05978486 -0.03745584
  0.04408364  0.01422199  0.02083894  0.00667746 -0.01701498  0.01437267
 -0.04987492  0.0581872   0.00626623 -0.04171189 -0.01091171  0.00274884
  0.01586423  0.00661287 -0.08714469  0.08001661  0.00167387  0.0461735
  0.00467839 -0.01114369 -0.04800863 -0.01717429  0.06904525 -0.02065737
 -0.01337903 -0.02444669  0.01814392 -0.00431254  0.06245591  0.00955577
 -0.02715897  0.03311193  0.05577344 -0.02483178  0.0457439  -0.01552792
 -0.02286054  0.02877758 -0.01789261 -0.035595   -0.0660921  -0.00454247
  0.06058709  0.04216775 -0.00155004 -0.04060281  0.0262903  -0.01835872
 -0.00275516  0.04719977 -0.0859791  -0.00516701 -0.08255164 -0.00931284
  0.06451911 -0.01403309  0.0230519  -0.06248518 -0.00848807 -0.00103578
  0.0135153   0.02866078]",2
XD-28,"[ 0.01677505 -0.00150945  0.00531732  0.01936051 -0.00794867 -0.0004556
 -0.01300645  0.00883312  0.02750344  0.00745312 -0.01816603  0.0590132
 -0.01127165  0.00027138 -0.01923722 -0.01137692  0.01132104 -0.00094121
  0.04497743 -0.00758106  0.01761393  0.01619359 -0.02983859 -0.01127209
  0.00279808  0.01196239  0.02822928 -0.00366916  0.00749802  0.00900491
 -0.03791501 -0.00521346  0.00113512 -0.02654305 -0.00334503  0.00432092
  0.01622462 -0.01124728 -0.01177955 -0.01140672 -0.00319369  0.00534973
  0.04714337  0.022417    0.02618709 -0.02410224  0.01172816 -0.00928703
 -0.01160547 -0.00420613 -0.02244564 -0.01973224  0.00676938 -0.01246163
  0.00091094  0.01195403 -0.00418954 -0.02999205  0.03189229  0.00997431
 -0.0087416   0.00865776  0.01065178  0.00692321  0.00687868  0.00485218
  0.02292942  0.02445599 -0.00791727  0.02309069  0.01735584  0.00229356
 -0.04674782 -0.00827493  0.0005     -0.01011572 -0.00724529 -0.02380282
 -0.00344471 -0.01125627 -0.02676168  0.02519149 -0.00278217 -0.01921127
  0.00628426 -0.02401787 -0.03526274 -0.00781452 -0.00268273  0.02830027
 -0.02362667 -0.00579729  0.00595093 -0.02250046 -0.0004338   0.00725702
 -0.01389449 -0.00645523  0.04930937 -0.01280321  0.03142879 -0.01861144
 -0.00133508 -0.0221856  -0.03221319 -0.01313149 -0.04904756 -0.01730373
  0.04555891 -0.00432681  0.00173225 -0.00194329  0.01831731 -0.01868108
 -0.00434143 -0.01005377 -0.04341362 -0.02590665 -0.030933    0.02052087
  0.0596409  -0.00235322  0.02965622 -0.01538814 -0.00287444 -0.00852285
 -0.03021593 -0.00596483]",1
XD-29,"[ 5.0063476e-02 -2.8299380e-02 -3.5208382e-02  5.1743958e-02
 -4.4506371e-02  8.6567169e-03 -5.5609588e-02  2.7520400e-03
 -1.3713417e-02  2.1296667e-02 -5.2453894e-02  7.8601703e-02
 -2.6350463e-02 -3.9411347e-02 -4.7514178e-02 -5.3668689e-02
  3.2978263e-02  3.4365375e-02  4.6301536e-02 -5.4116817e-03
  2.6616473e-02 -6.7912922e-03 -2.5330570e-02 -5.6433729e-03
  2.5083665e-02 -7.6751155e-04 -1.1640742e-02  6.5708128e-03
  2.7155136e-03  1.9742498e-02 -6.7991294e-02 -7.9975445e-03
 -1.5376120e-02 -4.7391698e-02 -7.1753617e-03 -1.4771550e-03
  3.3908438e-02 -6.0944720e-03  1.1954894e-02 -2.3280473e-02
 -2.4315104e-02 -2.7970374e-02  3.9250478e-02  4.7623854e-02
  3.8612012e-02 -1.6820587e-02  3.8411224e-03 -1.0598191e-02
 -2.1262387e-02 -3.7374221e-02  5.6545541e-05 -1.4268739e-02
 -2.5351406e-03 -2.5593085e-02 -2.4173195e-03 -1.1421010e-02
  2.3560248e-02 -5.8146935e-02  4.3515850e-02  1.3324826e-02
 -2.6125805e-02 -4.4506416e-03 -1.8112129e-02  6.4740941e-02
  3.8943045e-02 -2.9272458e-02  4.6650440e-02  1.3336708e-02
  2.5036896e-02  1.7191619e-02 -1.3029245e-03 -4.4031264e-03
 -8.7959208e-02  3.5089016e-02 -4.4283003e-02 -2.8325420e-02
 -1.6007636e-02 -2.7693927e-02 -2.1453327e-02 -5.1801694e-03
 -8.3425589e-02  5.8129694e-02 -2.8214126e-03  7.5121056e-03
 -2.3771733e-02 -1.9404791e-02 -5.5145621e-02 -1.5841050e-02
  3.9161518e-02 -4.6103643e-03 -1.7973837e-02 -1.7011400e-02
 -3.0559180e-02  1.4176653e-03  4.5202293e-02  1.2077047e-02
 -4.5350786e-02 -1.6087350e-03  5.8304723e-02 -5.1187288e-02
  6.1518941e-02 -5.0923891e-02  1.6057671e-03  3.5433292e-03
 -4.9768340e-02 -9.5764408e-04 -6.4513117e-02 -1.7895419e-02
  8.0490693e-02  2.9934667e-02  2.3771970e-02 -3.3528026e-02
  3.6265664e-02 -3.4182101e-02  2.4120819e-03  1.8639427e-02
 -8.1125930e-02 -3.2622468e-02 -6.5692723e-02  1.8465699e-03
  6.5790392e-02  2.1438783e-03  7.4775115e-02 -5.3414598e-02
 -8.2672602e-03  1.3406601e-02 -3.2171197e-02  6.7705084e-03]",5
XD-30,"[ 0.02703591  0.00455446 -0.00551274  0.00883686  0.00090212  0.00357748
 -0.0123181   0.00096952  0.05288001 -0.00672628 -0.02520614  0.03050886
 -0.01352654  0.0030869  -0.01419866  0.01066949  0.02749416 -0.00103842
  0.02603656 -0.00206822  0.01838624  0.02310072 -0.03558765 -0.01480098
 -0.00590016 -0.00093988  0.03044551  0.02366545 -0.00681309  0.00679307
 -0.02956427 -0.01539754  0.00922178 -0.0088953  -0.01693508 -0.00085792
  0.02896168 -0.03225027 -0.00723835 -0.0140046   0.03278867 -0.00183747
  0.03875424  0.01404607  0.00482827 -0.02177687  0.00492319 -0.00224802
 -0.01207928 -0.00180508 -0.01901387 -0.03537775  0.00962996 -0.03451436
  0.00707971  0.01621167 -0.00814078 -0.01291153  0.05032352 -0.0096294
  0.03059383  0.01704766  0.00721354 -0.00045883 -0.00390692  0.01944821
  0.01776308  0.0446878  -0.01983742  0.02865877  0.01451961  0.01630565
 -0.05934436 -0.00943761  0.03681368 -0.02915086 -0.0025519  -0.00494511
  0.02708543  0.00927933 -0.02999447  0.02664375 -0.00148514 -0.00101821
  0.03516231 -0.02596171 -0.03047922 -0.01371239  0.01021066  0.02288919
 -0.02685565 -0.013375    0.01932609 -0.03666129 -0.00966417  0.01784132
 -0.02418084 -0.01714769  0.07161085  0.02244433  0.03061106  0.00376755
 -0.01454521 -0.01513282 -0.0108917  -0.01534515 -0.06311928 -0.02061467
  0.05924375 -0.00827063 -0.01091705  0.00469141  0.00527438 -0.01588222
  0.01835547 -0.02092145 -0.05632705 -0.02039924 -0.04541602  0.03149788
  0.07000744 -0.00050037  0.00365922  0.00402296 -0.02342044 -0.01487132
 -0.02383558 -0.00457869]",1
