issuekey,doc2vec,storypoint
TDQ-249,"[ 0.10743528 -0.08359151  0.01068655 -0.05556823 -0.05754887  0.13502169
  0.00929643  0.03549325 -0.09454979 -0.07264745 -0.12332918  0.09268698
 -0.01035819 -0.07430238 -0.07256521  0.00472674 -0.02906129  0.10704425
 -0.03535684 -0.02606742  0.03903847  0.00230553 -0.07131086  0.14592412
 -0.01905286  0.05190824 -0.02701465  0.08500076 -0.06803754  0.00404885
  0.00614391 -0.08345059  0.02041013  0.15318735  0.06981332 -0.0344922
  0.04027489  0.00442012  0.10333301 -0.03541709 -0.03912914 -0.04723434
  0.061014   -0.02838997  0.02050614  0.02925424 -0.05448111 -0.10567841
  0.08732991 -0.11957858 -0.01132213  0.04402165 -0.01172861 -0.07311663
  0.02720398  0.00249563  0.03344428  0.00534418  0.04704615  0.02201367
  0.00735814 -0.10813697 -0.13520494  0.10389968 -0.00336426 -0.0560476
  0.06118453 -0.03581213  0.07878018 -0.00191548  0.04064309 -0.03241402
 -0.048774    0.10019206 -0.01779997 -0.03442449  0.06605341  0.06774168
 -0.06825392  0.16197155 -0.03755009  0.0433814  -0.09889247  0.07917745
 -0.04125978  0.01445642 -0.01281234 -0.02170892  0.15472487  0.02818112
 -0.01477605 -0.04748024 -0.06837204  0.03490443  0.08425336  0.14961658
 -0.01345496  0.01548329  0.02593633 -0.05836007  0.10114792  0.0299841
 -0.0852564   0.10564269  0.01248166 -0.02303459 -0.05311181  0.07633293
  0.05501598  0.09718467  0.00173876 -0.03079218  0.03804426 -0.04360367
 -0.06080443  0.09079566 -0.04430983 -0.08405568 -0.00926226 -0.06339564
  0.0323756  -0.08379563 -0.05631829 -0.1946655  -0.09511274 -0.01603007
  0.10310867  0.05612737]",3
TDQ-309,"[ 0.00634811 -0.04118073 -0.0402046   0.05164664  0.01486107  0.03908167
 -0.0538042  -0.03531032  0.00632366  0.0531458   0.01124781 -0.01219998
  0.04289016 -0.0324846   0.00517336 -0.013051    0.02931626 -0.02503665
  0.01716106  0.00693122 -0.00529557  0.0167307  -0.006609   -0.04423218
  0.01337262 -0.0287948   0.0052106  -0.02464738 -0.01930817  0.00522008
 -0.05920723  0.009614   -0.01563929 -0.02906749 -0.00339394  0.02352398
  0.03231459  0.01658759 -0.00827354  0.04638822  0.02525692  0.015472
 -0.01571194  0.05142876  0.00324752  0.01158288 -0.01677201  0.05679374
 -0.01576129 -0.01130809  0.03698448  0.0036253   0.01692077  0.00728104
 -0.01918587 -0.02988155  0.02574814  0.01965096 -0.02111505  0.00678999
  0.00687666  0.08061299  0.05642885  0.03324931  0.06586344  0.01422101
  0.01486054 -0.04218361  0.01644199  0.00455212 -0.03586358 -0.02130492
 -0.05384152  0.00063102  0.01371949 -0.03141933 -0.02099248 -0.0326835
  0.00137321  0.00175994  0.01942417  0.01422467 -0.01515057  0.05401608
  0.00430764  0.0333766  -0.01944667  0.01024648 -0.01223044 -0.05104649
 -0.02964593  0.00528847 -0.00463912  0.00810732 -0.0035365  -0.02967472
 -0.02956317 -0.01326838  0.0213431   0.00642142 -0.00912435 -0.00633469
  0.02470564 -0.02923691 -0.0035517   0.04856718 -0.02139959  0.01573367
  0.02814955  0.00039467  0.02925358 -0.00942802 -0.02867042  0.01232797
  0.02587676 -0.01380107 -0.02475849  0.00217969 -0.04379509  0.05505514
  0.01392013  0.05047643  0.03208928  0.02360872  0.05040725  0.04448178
  0.01223737 -0.03339633]",8
TDQ-2018,"[ 0.07258306 -0.08417218 -0.02841162 -0.01712666 -0.04024943  0.08018745
 -0.03551385 -0.01308404 -0.0602993  -0.02760581 -0.07125181  0.06673296
  0.01784313 -0.06637905 -0.04474712 -0.01604343  0.00371475  0.0664975
 -0.00566544 -0.0229125   0.01201656  0.00217154 -0.06092487  0.0519303
  0.01875407  0.00777513 -0.00710998  0.03403774 -0.05999075  0.01223191
 -0.03701288 -0.0497481   0.01490231  0.05637692  0.0301581  -0.00615008
  0.03884878  0.00432358  0.04258459 -0.00016326 -0.01036629 -0.02711224
  0.02152124  0.00693984  0.01379274  0.0392292  -0.032347   -0.02686055
  0.04028837 -0.10384993  0.03040895  0.02846732  0.01126534 -0.04317116
  0.00243135 -0.02724995  0.06660473 -0.00432963  0.0227201   0.02584836
 -0.0008551  -0.0179577  -0.05669193  0.08487453  0.03357463 -0.02027239
  0.04403385 -0.03387139  0.05696245  0.00076962 -0.00380758 -0.04953198
 -0.07133205  0.07053865  0.0023405  -0.04550301  0.0115028   0.02396542
 -0.0430149   0.10733112 -0.02867235  0.0455075  -0.06719565  0.09400709
 -0.0392076   0.03745428 -0.01788199 -0.00155345  0.0959222  -0.03218289
 -0.01815182 -0.02824957 -0.03310763  0.02693035  0.05177771  0.05036452
 -0.03820435 -0.0041212   0.04628125 -0.0433245   0.06663473 -0.00136272
 -0.03378903  0.06404375 -0.00294683  0.01258297 -0.04876378  0.04081528
  0.04117491  0.06236257  0.01006326 -0.03890073  0.01226271 -0.01766158
 -0.01648572  0.03179113 -0.03989943 -0.06805117 -0.02374657 -0.00581583
  0.04091716 -0.02709218 -0.00784392 -0.10705761 -0.03091466  0.0062044
  0.0692307   0.00260488]",5
TDQ-2699,"[ 0.03769764 -0.03353396 -0.02643255  0.00696618 -0.02156837  0.02343714
 -0.02594842 -0.01547652 -0.01234819  0.00610818 -0.03386211  0.01470363
  0.00621616 -0.04012612 -0.00046872 -0.01229752 -0.00398439  0.01607525
  0.00389957 -0.00802722  0.00100552  0.0103449  -0.02433682  0.00628288
  0.01655231  0.00734179  0.0027637  -0.00268451 -0.02776734  0.00406407
 -0.00077337 -0.01513867 -0.00668324  0.00707871  0.01976676  0.01553812
  0.01141497  0.00685152  0.00993322  0.00537972 -0.01006128 -0.00074117
 -0.00889858  0.01583629  0.01221689  0.01495263 -0.01778246 -0.00237112
  0.01770436 -0.0327912   0.0220126   0.00521321  0.01034995 -0.02379725
 -0.00683113 -0.02462127  0.02586783  0.00444819 -0.00593926  0.01008009
  0.00182466  0.00401571 -0.01253754  0.0210875   0.01688616  0.00081617
  0.01470688 -0.01719647  0.01691344 -0.00272883 -0.01184997 -0.00792696
 -0.03341805  0.02755059  0.00413174 -0.00799331 -0.01509846  0.00466607
  0.00084151  0.02317194  0.00182561  0.00873049 -0.02048343  0.04205586
 -0.00242327  0.01126185 -0.00253925  0.00932356  0.02645327 -0.01638656
 -0.00651849 -0.0018467  -0.00906169  0.00987892  0.01985152  0.0025497
 -0.02046278  0.00222508  0.02756333 -0.00383001  0.01165662 -0.00565087
  0.00487405  0.00878749 -0.00811717  0.00142514 -0.02069626  0.02178504
  0.00842402  0.03319056  0.01222566 -0.0144303   0.01296636  0.00373428
 -0.00982316  0.01419243 -0.02906767 -0.01312047 -0.01881351  0.01154189
  0.01228566  0.01230013 -0.00109396 -0.0341708   0.00588795  0.01350399
  0.01427884 -0.02030467]",3
TDQ-1816,"[ 0.03990604 -0.05365113 -0.04317562  0.00920998 -0.00079486  0.04689253
 -0.04320483 -0.01579768 -0.0176825   0.03930111 -0.00684946  0.00743852
  0.0198011  -0.02976266 -0.01200598 -0.00863245 -0.00044686  0.01018414
  0.03385898 -0.01666514  0.00033124  0.00656082 -0.01555217 -0.0255435
  0.01443691 -0.01227128  0.01503011 -0.00936796 -0.01195383 -0.00535664
 -0.05036101 -0.01144599 -0.00012553 -0.02100412  0.02047941  0.02154823
  0.00316549  0.00545898  0.00749373  0.03879751  0.00119607  0.01860074
 -0.01253971  0.05139519  0.00504427 -0.00359326 -0.01608368  0.02944418
  0.00912138 -0.03047303  0.02747308  0.00460916 -0.00075608  0.00118175
 -0.00819632 -0.0314422   0.04443859  0.00943098 -0.02018546  0.01219405
 -0.00690313  0.04352674  0.03474802  0.02765146  0.05754331  0.02173126
 -0.00360938 -0.01783383  0.02666203  0.00297591 -0.01950612 -0.04212628
 -0.03983363  0.01427826 -0.00931609 -0.02668628 -0.0034711  -0.01686332
 -0.01956635  0.03064962 -0.0096398   0.01926301 -0.01957798  0.05323916
 -0.02313079  0.03975579 -0.01416707  0.00342492  0.01754913 -0.05212126
 -0.01976168 -0.00717273 -0.00632028  0.01634536  0.01847303 -0.02399834
 -0.02954135  0.00090676  0.02000602 -0.01110901  0.02701363 -0.00307193
  0.01309038 -0.01069036 -0.01309216  0.03181681 -0.02551445  0.00721533
  0.02606617  0.01370537  0.03023007 -0.02412707  0.00106157 -0.0074029
  0.02993607 -0.00826347 -0.01253609 -0.00225111 -0.03235997  0.02996249
  0.00336413  0.03820007  0.02446559 -0.00955967  0.03708464  0.02848638
  0.02271674 -0.03436473]",8
TDQ-2350,"[ 0.0279161  -0.02231915 -0.07276253  0.00735764 -0.03153839 -0.02304804
 -0.05467862 -0.02711855 -0.01501906  0.0355255   0.00176872 -0.0238958
 -0.00808747 -0.0508441   0.03524377 -0.00929625  0.01210109 -0.03835882
  0.05604895  0.00529013 -0.04994775  0.03479396 -0.00781478 -0.08092027
  0.02942066  0.00394499 -0.00750752 -0.03789564 -0.00013296  0.0169683
 -0.06631178  0.00629493  0.03110107 -0.07805699  0.00565409 -0.00086514
 -0.02340318 -0.02325084 -0.01051924  0.04665238 -0.00746304 -0.04556416
 -0.02398003  0.01450525 -0.01772217  0.03617505 -0.00068949  0.03623745
  0.01211888 -0.02310001  0.0295419  -0.04122918  0.06233434  0.00938184
 -0.04100516 -0.02517243  0.06374694 -0.03800951 -0.03400302  0.03764969
 -0.06328177  0.04871797  0.05208262  0.0184794   0.10702192  0.060264
 -0.05182948  0.00338571 -0.04411123  0.0164011  -0.02464674 -0.09530339
 -0.06230963  0.01669188 -0.00637525 -0.01606108 -0.04011618 -0.01410086
 -0.00483884  0.00393638 -0.02774169  0.04918818 -0.02886025  0.04298947
 -0.04010741  0.06674764 -0.01739758  0.00778048 -0.00960121 -0.086823
 -0.01293669 -0.01759231  0.00157831  0.00239962 -0.02813186 -0.04766481
 -0.03060132 -0.02721258  0.06039932 -0.06239712  0.01181122 -0.02602687
  0.06222127 -0.00932297 -0.0416677   0.04488809 -0.02177756 -0.02442285
 -0.02656743 -0.04603473  0.02968516 -0.03151155  0.00024533 -0.03052296
  0.0497809  -0.01347256 -0.00044316 -0.01248469 -0.00356766  0.01161351
  0.01828525  0.02151262  0.03918856  0.00811202  0.04111282 -0.02235555
  0.01020609 -0.01402085]",3
TDQ-2045,"[ 2.8315291e-02 -2.5890635e-02 -4.9193267e-02  1.9755987e-02
 -3.6721826e-03 -2.1300994e-02 -1.7921625e-02 -2.8794317e-02
  8.0874916e-03  3.5828352e-02  2.3897976e-02 -7.7449530e-03
  1.8704876e-03 -1.7423153e-02  1.5242820e-02 -4.3904614e-03
  2.7332611e-02 -5.4535354e-03  2.4079630e-02  8.8272151e-03
 -2.2708906e-02  8.2915062e-03 -2.7297589e-03 -6.2798217e-02
  1.5448559e-02 -1.3533853e-03  1.2576062e-02 -2.6018174e-02
 -6.3786033e-04  1.0048433e-02 -4.6425205e-02  1.2886869e-04
  1.2686627e-02 -4.4057913e-02 -1.1797828e-02  1.7602757e-02
  2.9068508e-03 -7.8211194e-03 -9.1954740e-03  2.8526274e-02
  1.9595348e-03 -1.3704202e-02 -5.4854560e-03  1.5307741e-02
 -7.4501531e-03  1.6661718e-02  6.1122705e-03  4.2833403e-02
 -1.4071058e-03 -1.5126964e-02  3.1774107e-02 -2.9346982e-02
  4.2302880e-02  1.3819392e-02 -3.3466812e-02 -1.9611923e-02
  2.8103722e-02 -1.4773441e-02 -1.9862073e-02  2.3000423e-02
 -3.6703669e-02  4.5212649e-02  4.2749699e-02 -1.6454550e-03
  6.5259077e-02  3.3503350e-02 -2.3809504e-02 -6.0518174e-03
 -3.5325997e-02  9.0559293e-03 -2.9954983e-02 -4.9675480e-02
 -4.7393169e-02  8.6813262e-03  9.4587058e-03 -1.3747788e-02
 -3.0995423e-02 -1.7565072e-02 -2.1126678e-03 -5.9964886e-04
 -8.5531939e-03  2.9640470e-02 -7.8580977e-04  2.0418385e-02
 -1.8473621e-02  3.2772481e-02 -1.9734897e-02  3.2820727e-03
 -5.5298489e-03 -6.3059829e-02 -1.3717156e-02 -7.7376841e-03
 -3.0563973e-04  9.8376647e-03 -2.1583911e-02 -2.5077624e-02
 -2.9266955e-02 -7.3356363e-03  2.2838362e-02 -2.1878829e-02
 -1.1203519e-02 -1.3468937e-02  3.2234285e-02 -3.0959411e-02
 -3.2023076e-02  3.3622406e-02 -2.0620930e-03 -6.4364215e-03
 -6.2089981e-05 -3.6846209e-02  1.6595576e-02 -1.5860936e-02
 -1.6633011e-02 -2.0403147e-02  4.2864338e-02 -2.3537705e-02
 -6.1942660e-03 -1.5775803e-02  4.1901311e-03  3.9088801e-03
  2.6989349e-03  1.3981428e-02  1.7726984e-02  1.5388499e-02
  3.0143613e-02 -1.3492691e-02  3.8095328e-04 -1.4113995e-02]",20
TDQ-616,"[ 0.02612973 -0.03187795 -0.00692693 -0.00430026 -0.01577959  0.04249303
 -0.00304005 -0.00066734 -0.02243096 -0.0044232  -0.02829407  0.03075811
  0.00543722 -0.01940943 -0.02141718 -0.0071483   0.00291899  0.02872394
 -0.00911652 -0.01043065  0.01727792 -0.00428601 -0.02534624  0.02559882
  0.00737032  0.00967831 -0.00568079  0.01171255 -0.02170498  0.00521326
 -0.00696663 -0.02383597  0.01072247  0.03380598  0.01352014  0.00515926
  0.01723523  0.00150292  0.01818582 -0.0053866  -0.0045472  -0.01030269
  0.00874874  0.01115915  0.00775709  0.00829859 -0.0116454  -0.02052194
  0.00512202 -0.03784198  0.01166862  0.01693134  0.00128887 -0.0223669
  0.00427192 -0.00430939  0.02343343  0.00793854  0.0127712   0.00896623
  0.00128169 -0.00640759 -0.02299918  0.02587434  0.00547925 -0.01495962
  0.01789696 -0.01085474  0.03184723  0.00237338 -0.00267635 -0.00498349
 -0.01891451  0.02472261  0.00039734 -0.01702197  0.00410236  0.00209879
 -0.02358255  0.04010884 -0.01298214  0.01301818 -0.02250584  0.02761809
 -0.00587483  0.00820674 -0.00714556 -0.00780806  0.04424773  0.00102969
 -0.00565786 -0.00941062 -0.01184606  0.01059793  0.02539667  0.03397188
 -0.01105429  0.00019361  0.01663168 -0.01094479  0.02515332  0.00614639
 -0.01655053  0.02471776  0.00235285 -0.00298126 -0.01192421  0.01404409
  0.01983199  0.03137428  0.00365908 -0.02001414  0.00852048 -0.01142087
 -0.01129206  0.01426781 -0.01747909 -0.02376982 -0.01966932 -0.00827925
  0.01527082 -0.00630775  0.00491211 -0.05531517 -0.01147761  0.00986119
  0.02472897  0.00338884]",3
TDQ-655,"[ 0.06862395 -0.07406656 -0.00308101 -0.02130829 -0.07412354  0.09255607
 -0.02148413  0.01659369 -0.06415675 -0.05523419 -0.09284177  0.10950664
 -0.00800348 -0.07214802 -0.05040107 -0.02347754  0.00154785  0.08999886
 -0.02919645 -0.0233793   0.03075361 -0.00648247 -0.09419443  0.09885796
  0.02627367  0.02105499 -0.01191862  0.03366018 -0.0678321   0.01491817
  0.00089849 -0.05953595  0.04580994  0.10558855  0.02047241  0.00850577
  0.0527214  -0.00972895  0.03479744 -0.04804579 -0.02179331 -0.04816512
  0.05012694  0.01351866  0.02305857  0.0512097  -0.04567237 -0.10866509
  0.01689838 -0.09831117  0.04944123  0.04560175  0.01296538 -0.07514949
  0.02066838 -0.01328166  0.07324705  0.01919346  0.0583959   0.03938297
 -0.00244459 -0.04948217 -0.07981546  0.07378577 -0.00051901 -0.05929798
  0.03850017  0.00326448  0.09319136 -0.0081438   0.00492713 -0.00299832
 -0.03352305  0.08406746 -0.00314847 -0.03977715  0.01676841  0.03750877
 -0.05767411  0.10257964 -0.05746057  0.03364047 -0.05149425  0.08258194
 -0.00865892 -0.01713562 -0.0181279  -0.00885987  0.12563393  0.03979414
 -0.00433886 -0.01725972 -0.04207809  0.0286048   0.07926092  0.10754687
 -0.000375    0.01242374  0.05074966 -0.04513042  0.11102214  0.02191
 -0.07555014  0.09886801  0.01422077 -0.03305583 -0.04357336  0.04511729
  0.04724583  0.09732393 -0.001557   -0.0744331   0.03704412 -0.00806091
 -0.05704802  0.0387059  -0.05429625 -0.09879754 -0.06890477 -0.02080383
  0.03950724 -0.03029116  0.00504268 -0.17353313 -0.05858649  0.03495862
  0.09253062  0.01355545]",5
TDQ-1901,"[ 0.10177857 -0.09120294 -0.04611535 -0.02710652 -0.06386428  0.07656705
 -0.02446574 -0.00096832 -0.05566388 -0.03408588 -0.07747722  0.0920107
 -0.00344772 -0.0620405  -0.05798639 -0.0259969   0.00615021  0.09389377
 -0.02026699 -0.02621742  0.02606969 -0.00714825 -0.07437716  0.0561709
  0.02521929  0.02951539 -0.0146455   0.04018809 -0.06805177  0.01675272
 -0.02552401 -0.07754138  0.03547252  0.06912819  0.02779293  0.00852227
  0.04047088 -0.00135457  0.04703698 -0.01524328 -0.0371103  -0.0544214
  0.04506642  0.00806027  0.02742003  0.05235272 -0.01083333 -0.05156307
  0.03402412 -0.13167123  0.02717085  0.02738396  0.02404806 -0.05877052
 -0.0006212  -0.01904565  0.0556431  -0.01734596  0.03173396  0.02421913
 -0.01216197 -0.03245666 -0.07066196  0.08014752  0.01670557 -0.01993389
  0.04440015 -0.01071388  0.04293545  0.00908615 -0.00559344 -0.03307967
 -0.07526455  0.0729644   0.00865377 -0.0449825   0.0043544   0.02545927
 -0.04434314  0.11368421 -0.04758118  0.05250311 -0.05009175  0.09573291
 -0.03116173  0.01691451 -0.02682288 -0.00827699  0.11634562 -0.02142254
 -0.01498352 -0.03469738 -0.03143252  0.0390384   0.04752007  0.08075062
 -0.04041233  0.00525657  0.05241776 -0.04651814  0.0861767  -0.00185691
 -0.04233146  0.07050845 -0.01115626 -0.00531631 -0.04261088  0.04492546
  0.02824776  0.0653839   0.01496784 -0.06066194  0.02213303 -0.0394007
 -0.02060633  0.03508722 -0.04458054 -0.08124334 -0.0332503  -0.03206958
  0.04335679 -0.04736705  0.00511341 -0.14728527 -0.03960128 -0.00881344
  0.07236709  0.00796022]",40
