issuekey,doc2vec,storypoint
TESB-33,"[ 0.08091499 -0.08836241 -0.07343494  0.01284671 -0.05673505 -0.00180004
 -0.04207245  0.01120368 -0.05853606 -0.00127207 -0.03349596  0.01719056
  0.0307476  -0.09626228 -0.02257704  0.01519758  0.01512933  0.05022657
 -0.01513184  0.01296679  0.04364298 -0.00538301 -0.0985436   0.02095781
  0.05356482 -0.0139554  -0.02870486 -0.03171354 -0.0348714   0.03389639
 -0.05836526  0.01272749  0.00601007 -0.00657314 -0.04127559  0.03156272
  0.04791763 -0.00737842  0.02137292  0.00388812 -0.01863315  0.01801992
  0.03823689  0.01075866  0.01037156  0.03377596 -0.01048606 -0.05152485
 -0.02999662 -0.01498102  0.05498776  0.02099234 -0.0012455  -0.02681611
  0.0013224  -0.00661505  0.05904558 -0.02146907  0.03273493  0.00178707
 -0.01070059 -0.01082639  0.0083064   0.09459013  0.02291431 -0.03915391
  0.02526124  0.00182354  0.02353113 -0.01361677 -0.04086813 -0.01980862
 -0.06439403  0.04372881 -0.01886641 -0.01571208 -0.01608235 -0.00176728
  0.00318261  0.05098496 -0.08136231  0.0624612  -0.03583437  0.10084321
  0.01957694  0.04327933 -0.03034158 -0.02162284  0.04400535 -0.04391886
 -0.01630974 -0.01029822  0.01942973  0.05243138  0.03696243  0.04688627
 -0.07993866 -0.01194163  0.03877669 -0.05879019  0.0304113  -0.00166581
  0.00374582 -0.02681343 -0.03376656  0.03218598 -0.02192194  0.00128711
  0.02406055  0.06783982  0.02084284 -0.06626414 -0.01747421 -0.00658622
  0.00137511  0.02595242 -0.05048151 -0.01947346 -0.07904938 -0.02042721
 -0.00443874  0.00223439  0.08291899 -0.09622817  0.00750743  0.0356918
  0.02385251  0.00355084]",3
TESB-34,"[ 0.16730122 -0.18813281 -0.1852156   0.02080767 -0.12621494  0.00068797
 -0.09340111  0.02833454 -0.13084054  0.02713825 -0.04963304  0.02521821
  0.03111382 -0.18750568 -0.0583479   0.02078892  0.02303137  0.09860722
 -0.01277348  0.03140875  0.0955294   0.02647629 -0.22245929  0.02635407
  0.11126572  0.00176697 -0.07225893 -0.0801295  -0.10216694  0.03860018
 -0.10733685  0.03153032 -0.00815842 -0.02411305 -0.08557856  0.08459137
  0.08704139 -0.03193707  0.05641594  0.0188265  -0.03341785  0.01021481
  0.08712334  0.04341771  0.01165655  0.07462063 -0.04661025 -0.13050613
 -0.04610786 -0.03213846  0.10302094  0.06299002  0.00644025 -0.06064659
  0.0075063  -0.02672363  0.14446296 -0.05435431  0.05526125  0.00676345
 -0.0241396  -0.03630083  0.0271301   0.22433856  0.06031287 -0.0552743
  0.06940115 -0.02178436  0.06972073 -0.00341424 -0.08079809 -0.02830711
 -0.14072667  0.092253   -0.03454978 -0.04421572 -0.02234502  0.01788923
  0.00906671  0.1315187  -0.1603696   0.14296639 -0.0729509   0.22216478
  0.03189532  0.10543363 -0.0824635  -0.03785585  0.11274902 -0.08423261
 -0.01976972 -0.02856017  0.01855571  0.10523587  0.10893922  0.07419639
 -0.18006088 -0.04863133  0.09741761 -0.15630445  0.06847093  0.00223273
 -0.03158529 -0.03975381 -0.05726769  0.0591072  -0.03686338  0.00071595
  0.04565472  0.14400731  0.07045562 -0.14239722 -0.02849069 -0.01000415
 -0.01268478  0.09099068 -0.15531695 -0.03517885 -0.17095666 -0.04954565
 -0.00316379  0.02434283  0.20045786 -0.23671871  0.04568388  0.08562095
  0.04353791  0.01353835]",3
TESB-35,"[ 7.91663155e-02 -1.13440320e-01 -9.33688879e-02  9.16519947e-03
 -7.45656788e-02 -1.83136738e-03 -4.78326827e-02  1.55596044e-02
 -6.88841492e-02  1.45040536e-02 -4.17799130e-02  2.77866237e-02
  3.85291763e-02 -1.07685648e-01 -3.97377536e-02  2.48467084e-02
  1.87098980e-02  5.89320436e-02 -2.09601671e-02  1.84913427e-02
  4.95779552e-02 -4.12743213e-03 -1.28115430e-01  1.85417570e-02
  4.69361655e-02 -7.98403227e-04 -3.62931229e-02 -4.04727757e-02
 -4.68120575e-02  1.95338354e-02 -5.84548973e-02  1.65192001e-02
 -5.09298639e-04 -8.32905900e-03 -4.89156097e-02  4.01817374e-02
  6.11794181e-02 -8.77509639e-03  2.54461579e-02  7.25795934e-03
 -2.27838885e-02  1.84271708e-02  4.01515365e-02  1.50924092e-02
  8.37671943e-03  3.95072289e-02 -1.23760682e-02 -5.66608347e-02
 -4.16120067e-02 -2.03272980e-02  5.68621196e-02  2.92507131e-02
 -8.23516119e-03 -3.30337174e-02  8.41151923e-03 -1.18712466e-02
  7.40769580e-02 -1.51904346e-02  3.60043384e-02  5.13593433e-03
 -1.21448720e-02 -1.99813992e-02  8.40283278e-03  1.06272891e-01
  3.07253711e-02 -4.99442816e-02  2.46606693e-02 -2.30095593e-05
  1.87174547e-02 -7.79342547e-04 -5.40340282e-02 -2.67019346e-02
 -7.65082017e-02  4.21467088e-02 -1.66929178e-02 -1.46852313e-02
 -1.67964082e-02  8.37648869e-04  4.66243736e-03  5.57191968e-02
 -9.40326452e-02  7.57589340e-02 -3.12263519e-02  1.12524793e-01
  1.60244368e-02  3.17522325e-02 -5.08924387e-02 -3.49287763e-02
  7.07549304e-02 -4.31415103e-02 -1.70821510e-02 -1.61328893e-02
  1.02154110e-02  6.67051151e-02  4.37989086e-02  5.34703471e-02
 -9.46995318e-02 -1.33424019e-02  5.45229614e-02 -7.53424317e-02
  3.34157050e-02 -1.54041648e-02 -6.53974107e-03 -2.49567125e-02
 -4.38495539e-02  4.30870429e-02 -1.16188880e-02 -7.63031468e-03
  2.06015613e-02  6.62127063e-02  3.73931788e-02 -7.11770430e-02
 -2.71877199e-02  2.23747193e-04 -2.84517952e-03  3.03110797e-02
 -6.72241077e-02 -2.45352928e-02 -9.26485509e-02 -3.22841667e-02
 -6.80566300e-03  1.78718322e-03  9.96243581e-02 -1.15421452e-01
  1.72695797e-02  3.77901904e-02  2.79503912e-02  1.40262125e-02]",8
TESB-36,"[ 0.03599684 -0.0522644  -0.03928612  0.00337473 -0.03418871  0.005109
 -0.01901313  0.00974026 -0.02982225 -0.00074825 -0.0175761   0.01279291
  0.00675137 -0.04623361 -0.02120838  0.00522206  0.0112702   0.02405283
 -0.00582143  0.01350881  0.03059201  0.00444339 -0.0581415   0.01037366
  0.0212654  -0.00094643 -0.01631428 -0.01129119 -0.0261712   0.01003553
 -0.0276849   0.00455968 -0.00395863 -0.00544836 -0.02026254  0.01649885
  0.02306232 -0.00362122  0.00836661  0.00996771 -0.00471545  0.00943524
  0.02318285  0.00830261 -0.00016425  0.02332426 -0.01017184 -0.02992278
 -0.0156271  -0.01084592  0.02096735  0.01286082 -0.0015028  -0.01830359
  0.00299099 -0.00330602  0.03577075 -0.01316254  0.01283949  0.00315974
 -0.00202556 -0.01018113  0.00640088  0.05577125  0.01448145 -0.01904072
  0.01400955 -0.00187052  0.00716518 -0.00212514 -0.01611081 -0.01317485
 -0.03505072  0.01973557 -0.00744633 -0.0141266  -0.01121377 -0.00392045
  0.00417358  0.02998701 -0.04299351  0.03114223 -0.01455996  0.05501145
  0.00939282  0.0175697  -0.01884913 -0.01097997  0.03321134 -0.02152958
 -0.01080707 -0.01095449  0.0097789   0.02480333  0.02500373  0.02375231
 -0.04642812 -0.00788616  0.02971323 -0.03505557  0.01634335 -0.00440652
 -0.00322603 -0.00821117 -0.01070481  0.02172543 -0.00926666 -0.00282782
  0.01295733  0.03035058  0.01772022 -0.03942648 -0.0124059  -0.00122138
  0.00443604  0.01507433 -0.02991618 -0.01534471 -0.04464387 -0.01593342
 -0.00127393  0.0038969   0.04880369 -0.05136608  0.01121882  0.01512619
  0.01017753  0.00779751]",2
TESB-37,"[ 2.84688696e-02 -4.11553979e-02 -2.82610878e-02 -2.52717198e-03
 -1.95859410e-02  7.72119127e-03 -1.74211673e-02  3.57201509e-03
 -2.58350801e-02  5.12140710e-03 -1.71060022e-02  6.38469821e-03
 -1.55696308e-03 -2.47779731e-02 -2.62596197e-02  4.57960833e-03
  6.01194147e-03  1.50680318e-02 -2.50611082e-03  1.07357157e-02
  2.19484437e-02  6.43478986e-03 -5.14419191e-02  1.11594109e-03
  1.25666698e-02 -4.32344712e-03 -2.02985182e-02 -1.40557112e-02
 -2.08108518e-02  1.93005824e-03 -2.18605325e-02  1.46725785e-03
 -1.00216866e-02 -1.13077927e-03 -1.48663968e-02  1.71728097e-02
  2.45478228e-02  2.38731457e-03  6.67484198e-03  7.37957284e-03
  3.90987936e-03  8.23885668e-03  1.69196073e-02  6.03476772e-03
  3.51161085e-04  1.84066892e-02 -1.09236389e-02 -1.87844578e-02
 -1.18904291e-02 -4.83107613e-03  1.35198729e-02  1.59687847e-02
  6.88361330e-03 -9.03823134e-03 -2.30031856e-03 -8.59515369e-03
  3.20312530e-02 -4.31914628e-03  1.77099295e-02  5.77835646e-03
  1.64427713e-03 -2.72912555e-03  3.30882659e-03  4.31940965e-02
  1.00139035e-02 -5.15855616e-03  1.64050534e-02 -6.65218988e-03
  6.46551978e-03 -1.35043479e-06 -1.48885958e-02 -1.06810471e-02
 -3.33235040e-02  6.49623806e-03 -1.99180166e-03 -2.25243159e-02
 -1.34394495e-02  1.43706868e-03  3.24469671e-04  1.63633097e-02
 -2.84781326e-02  2.77358927e-02 -1.34107554e-02  3.93120199e-02
  5.69067663e-03  1.88960955e-02 -1.79423038e-02 -7.81318918e-03
  2.13086661e-02 -1.10302605e-02 -1.26559297e-02 -1.25025352e-02
 -3.51214223e-03  2.03182045e-02  2.11716928e-02  8.52790009e-03
 -4.05030809e-02 -1.59721542e-02  2.61813793e-02 -3.74104641e-02
  1.41939903e-02 -3.55077093e-03 -5.44943567e-03 -1.18693849e-02
 -1.31727559e-02  9.79733095e-03 -1.09029571e-02 -4.21988359e-03
  6.94914022e-03  2.24740766e-02  1.27785169e-02 -2.64305845e-02
 -6.02227775e-03  6.49144500e-03 -1.95012370e-03  1.76186860e-02
 -3.15877907e-02 -1.50214173e-02 -2.91388910e-02 -1.48817021e-02
  4.57328185e-03  7.59286107e-03  4.47251275e-02 -4.55925167e-02
  6.87108003e-03  1.22239059e-02  1.09143602e-02  2.47846777e-03]",3
TESB-39,"[ 0.10170461 -0.11782319 -0.11620996  0.00182716 -0.08727729 -0.00066319
 -0.06847572  0.01648074 -0.08832113  0.01445952 -0.0377096   0.02852421
  0.01616136 -0.11994587 -0.0404367   0.01146956  0.00826366  0.06550144
 -0.00961973  0.02189915  0.05527964  0.0213847  -0.15808056  0.01854301
  0.07029843  0.00122901 -0.04809323 -0.05858388 -0.06832842  0.02671147
 -0.07797814  0.01764836 -0.00976345 -0.01727194 -0.04552384  0.0548025
  0.06172203 -0.02202553  0.03285922  0.01011421 -0.02099449  0.00888547
  0.05876401  0.03065872  0.00658201  0.05497355 -0.03303003 -0.09153134
 -0.03213444 -0.02211972  0.06584239  0.03813813  0.00279635 -0.04285442
 -0.00434598 -0.02501505  0.09621768 -0.031854    0.03925138  0.00722183
 -0.01801299 -0.02137665  0.01304844  0.14437294  0.03448493 -0.03404381
  0.04782241 -0.01790622  0.048837    0.0059571  -0.05593092 -0.02339429
 -0.09618301  0.05538132 -0.02220874 -0.0393669  -0.018016    0.01324312
  0.01243207  0.08905125 -0.10212378  0.09452239 -0.0524329   0.14739457
  0.024478    0.06391928 -0.05095934 -0.02690672  0.07640179 -0.05183949
 -0.01441368 -0.02347987 -0.00203065  0.07157137  0.07306045  0.04528164
 -0.1220579  -0.04180605  0.06131376 -0.10931296  0.0435048  -0.00213732
 -0.01904705 -0.02548671 -0.03827346  0.033442   -0.02169855 -0.00565891
  0.02787163  0.09396974  0.05510173 -0.08731982 -0.01735615 -0.00447508
 -0.0107704   0.06444091 -0.10478286 -0.03870059 -0.11353222 -0.02971492
 -0.00504886  0.00974525  0.13526143 -0.157501    0.02716328  0.05220645
  0.02944959  0.00868915]",5
TESB-40,"[ 0.05199461 -0.04876323 -0.04472204 -0.00351522 -0.04182525  0.00783242
 -0.0269854   0.0064996  -0.04273985  0.00554799 -0.0100065   0.01527551
  0.00121092 -0.05796272 -0.0257418   0.00027281  0.00538889  0.03176445
  0.00323072  0.00809157  0.02632228  0.00899401 -0.07834776  0.00939897
  0.02930065 -0.0008785  -0.01812797 -0.02577565 -0.04110054  0.00884133
 -0.03550269 -0.00243171 -0.00103409 -0.00050669 -0.0229281   0.02821426
  0.03085566 -0.00224345  0.00807102  0.00898552  0.00099441  0.00215911
  0.03348324  0.01821534  0.00978591  0.0296631  -0.01824962 -0.04436542
 -0.01051214 -0.01018778  0.02829091  0.01396944  0.01214112 -0.02464716
 -0.00279654 -0.01211116  0.04402184 -0.02108948  0.01637376  0.01100059
 -0.01049706 -0.00545372  0.00727082  0.06565718  0.0211898  -0.00883231
  0.03472279 -0.01417704  0.02245728  0.00222328 -0.02185764 -0.01379665
 -0.04873486  0.02393322 -0.01343211 -0.01892357 -0.0084628   0.01220422
  0.00888071  0.0409333  -0.04539307  0.0405038  -0.0274031   0.07045376
  0.00624483  0.03103957 -0.01912779 -0.00895947  0.03683989 -0.01824839
 -0.01400285 -0.01174287  0.00557317  0.02872963  0.04097424  0.01339831
 -0.06361324 -0.0206927   0.03070537 -0.04455136  0.02068565 -0.00038184
 -0.0108089  -0.01549025 -0.0124458   0.02085405 -0.02192815 -0.00149483
  0.01391292  0.04583299  0.02180661 -0.0398782  -0.00357264 -0.00020752
 -0.00731125  0.03107367 -0.04377057 -0.03058851 -0.05499445 -0.00938619
  0.00492675  0.01717234  0.05682942 -0.06969708  0.00989045  0.02419962
  0.01533387  0.00711985]",2
TESB-53,"[ 0.07335476 -0.08357255 -0.08144664  0.00097097 -0.05451508  0.00439773
 -0.04211515  0.0102285  -0.05530072  0.0147894  -0.03256782  0.02019851
  0.00229574 -0.07392452 -0.03976539  0.00915617  0.01042095  0.04190071
 -0.00647046  0.01409416  0.05074852  0.01772504 -0.11346281  0.01305418
  0.05169897 -0.00141761 -0.03394864 -0.0360589  -0.0515269   0.0179792
 -0.05360378  0.00308605 -0.00986701 -0.0102003  -0.0319177   0.04259399
  0.04770544 -0.00995718  0.0219638   0.00627535 -0.00247836  0.00920159
  0.04522335  0.02689604  0.00679217  0.0486429  -0.02148251 -0.06043216
 -0.01710081 -0.0124998   0.04258271  0.03368353  0.00564416 -0.03408656
 -0.00399516 -0.02100883  0.07300621 -0.02924914  0.03070308  0.00860129
 -0.0068568  -0.01594453  0.00813443  0.09613544  0.03010142 -0.01586824
  0.04502892 -0.01068264  0.03299745 -0.00078302 -0.03700157 -0.01925499
 -0.0658467   0.033676   -0.00868505 -0.03345858 -0.00842115  0.01124402
  0.00546868  0.06344741 -0.07671718  0.06793664 -0.0268352   0.10090561
  0.01535064  0.04957883 -0.04033183 -0.01341309  0.05293709 -0.03125402
 -0.01240484 -0.01937741 -0.00084021  0.04930405  0.05008202  0.02894128
 -0.09286511 -0.02991984  0.04171789 -0.07058456  0.02761583 -0.00195677
 -0.01747006 -0.02274455 -0.02250625  0.02657493 -0.01669211  0.00264378
  0.02159216  0.06722716  0.03524353 -0.06242592 -0.01130784 -0.00153856
 -0.00324139  0.04774155 -0.0700369  -0.03064605 -0.07362088 -0.02463703
  0.00521746  0.01080113  0.09384185 -0.10243857  0.0228821   0.03406319
  0.01317654  0.00605074]",1
TESB-54,"[ 2.68587083e-01 -3.08106303e-01 -3.51915330e-01  2.28749849e-02
 -1.94302082e-01 -2.39085872e-02 -1.63450435e-01  4.68803905e-02
 -1.92367509e-01  6.38389513e-02 -1.20539926e-01  3.49203199e-02
  4.23874781e-02 -2.75286943e-01 -8.97595137e-02  5.80026768e-02
 -1.27444416e-02  1.33307129e-01 -1.84313096e-02  7.81434998e-02
  1.67605996e-01  6.60199448e-02 -3.65848035e-01  4.20891717e-02
  1.96852505e-01  3.89982313e-02 -1.12157620e-01 -1.49584576e-01
 -1.44666225e-01  8.69197026e-02 -1.69836193e-01  2.80644335e-02
 -2.89043263e-02 -5.93526363e-02 -1.16917469e-01  1.12288676e-01
  1.49808258e-01 -6.46810085e-02  1.12620726e-01  4.52314392e-02
 -6.41100407e-02  3.41175310e-02  1.21516123e-01  6.98771998e-02
 -1.44596118e-03  1.20475188e-01 -4.62920666e-02 -2.22974375e-01
 -5.72829209e-02 -3.12831663e-02  1.77038640e-01  1.27219141e-01
  6.84294559e-04 -8.96578729e-02  1.27347838e-02 -4.30119000e-02
  2.49139324e-01 -8.59889686e-02  8.15167576e-02 -2.17193924e-02
 -2.38272771e-02 -6.31072968e-02  3.57409902e-02  3.72497618e-01
  8.25077370e-02 -9.84615162e-02  1.02243192e-01 -3.09695397e-02
  1.25634879e-01  1.01804826e-03 -1.38515487e-01 -2.99139861e-02
 -2.30618224e-01  1.75639346e-01 -3.93169187e-02 -9.32977572e-02
  4.29887883e-03  5.03607318e-02  1.08450167e-02  2.25848868e-01
 -2.51879007e-01  2.43929848e-01 -8.95333290e-02  3.31281722e-01
  6.90138713e-02  1.79998189e-01 -1.69311672e-01 -4.38887291e-02
  1.92899019e-01 -1.49552256e-01 -4.19952674e-03 -6.40127137e-02
  1.30857872e-02  1.89405054e-01  1.45469725e-01  1.35769889e-01
 -2.83752084e-01 -8.92087519e-02  1.46407008e-01 -2.58162886e-01
  1.06100231e-01 -6.57764671e-04 -3.18225883e-02 -7.15500563e-02
 -8.38009417e-02  7.10983798e-02 -4.86312173e-02 -3.21565662e-04
  5.26774079e-02  2.34643012e-01  1.15487695e-01 -2.43394688e-01
 -3.81031632e-02 -1.53086558e-02  9.93765076e-04  1.68672308e-01
 -2.93359637e-01 -5.41060939e-02 -2.74389923e-01 -8.78678635e-02
 -2.02813242e-02  5.16907778e-03  3.26324582e-01 -3.73971581e-01
  7.70152137e-02  1.58552647e-01  4.19868715e-02  1.94048532e-03]",1
TESB-55,"[ 0.18370862 -0.2020694  -0.23746364  0.01082871 -0.12896259 -0.02805073
 -0.11331173  0.03210665 -0.12891367  0.04617898 -0.08142076  0.01648442
  0.02275839 -0.18334755 -0.05160591  0.03903102 -0.01050204  0.08806743
 -0.0051291   0.04528043  0.10904683  0.05281077 -0.23601347  0.0259427
  0.1363065   0.0317042  -0.07095834 -0.09895699 -0.09598611  0.0586369
 -0.1095116   0.01859685 -0.022102   -0.0397671  -0.07945009  0.07517155
  0.08734451 -0.0531417   0.07784069  0.03084526 -0.04820973  0.0127385
  0.07714061  0.04436774 -0.00245345  0.07776168 -0.03261152 -0.15496343
 -0.02433567 -0.01799982  0.11932766  0.08925642  0.00110348 -0.06023889
  0.01455971 -0.02751599  0.17587444 -0.07284711  0.0396392  -0.02512302
 -0.01918643 -0.03820126  0.02445401  0.25799885  0.04866461 -0.06249594
  0.06976411 -0.02899455  0.09583064  0.00094058 -0.07977812 -0.01474035
 -0.15109003  0.1267148  -0.02224842 -0.06390782  0.0055193   0.04452952
  0.00331482  0.16161014 -0.16464397  0.15401416 -0.06344362  0.21517071
  0.04259026  0.12490871 -0.11100833 -0.02133282  0.12536389 -0.09769563
  0.00498297 -0.04369134  0.0055148   0.12258072  0.1057088   0.08555952
 -0.18620105 -0.06858972  0.08680169 -0.18193795  0.06667916  0.00623464
 -0.02679429 -0.04342791 -0.05283982  0.03975426 -0.03087023 -0.00312443
  0.0330298   0.15476315  0.07817261 -0.16443118 -0.0157711  -0.01385392
 -0.00802785  0.122017   -0.20747313 -0.03012411 -0.18644159 -0.05521986
 -0.01613698 -0.00026227  0.2190002  -0.25351706  0.0572967   0.10710481
  0.02467482 -0.00220651]",1
