issuekey,doc2vec,storypoint
TIMOB-8075,"[-0.11367382 -0.05527224 -0.09134191  0.07307298 -0.06302416  0.05028736
 -0.01076698  0.03071971  0.03313842  0.09455754 -0.10728113  0.09114356
 -0.0411918   0.03665595 -0.06616984  0.01755382 -0.02386369  0.10449372
  0.00332172  0.00444621  0.06362717  0.01522802  0.02725651  0.04284815
  0.01654594 -0.0270466  -0.00608972  0.00193816 -0.09059966 -0.12770607
 -0.00898952 -0.04290117  0.03561583 -0.05874857  0.05025507  0.03237435
  0.05411275  0.02563621 -0.0108892   0.05753206 -0.08954597  0.03476974
  0.00355923 -0.00882138  0.01884296  0.03088124  0.02109546  0.12051435
 -0.09911125 -0.03506615  0.08081803  0.03886154 -0.05416621  0.10524537
  0.08543739 -0.04814561  0.03333112 -0.0700848   0.03182017  0.0213582
  0.01958196 -0.12030614 -0.06911281  0.08465753 -0.04790617 -0.0426558
 -0.03242819  0.04567281  0.04578238 -0.10296892 -0.0048852   0.06845385
  0.00489309  0.01928783  0.139576   -0.06895965  0.06817476 -0.1039528
 -0.11182422 -0.12343983  0.01929809  0.01415985 -0.13473351  0.12799968
  0.09325501  0.06330995 -0.00917501  0.08078109  0.0380926  -0.01182296
 -0.01364551  0.00945895  0.08369742 -0.04015405 -0.01154778  0.03916708
  0.06370776 -0.01274628  0.00279761  0.04803993  0.07600533 -0.04610045
 -0.07352508 -0.02111319  0.05217406 -0.06933285  0.01188649  0.07020508
 -0.0850935  -0.05127375  0.03914865 -0.03084387  0.01514241  0.05086485
  0.14684126 -0.08764071 -0.12307364  0.10282051 -0.03377125  0.10332942
 -0.03280971 -0.00816437  0.08445574 -0.09136935  0.00741274 -0.01828648
  0.02621597 -0.03683506]",2
TIMOB-559,"[ 0.09381928 -0.04205337 -0.01254318 -0.04368007 -0.09955083  0.09247909
  0.03106865  0.08336768 -0.0496757   0.07631906 -0.05841909  0.06982432
 -0.04893024  0.01703355 -0.06668768 -0.00595934 -0.00944856 -0.06272258
 -0.05940887  0.00479571  0.12354677 -0.01033131  0.00531247 -0.07290969
 -0.04432016 -0.08753724  0.04306562 -0.0057028  -0.04289713 -0.04917195
 -0.09901787 -0.11921185  0.07905507 -0.04961596 -0.00283856 -0.02134553
  0.06911467 -0.03471233 -0.02940323 -0.05264505 -0.07139462 -0.0374202
 -0.00032113 -0.03095602  0.00639021  0.06443699 -0.00965033  0.04925846
 -0.0665475  -0.05056203 -0.0552391   0.03193629  0.01296859 -0.01658415
 -0.02623572  0.05390783  0.06018833  0.08401986  0.0173932   0.05409781
 -0.00505389 -0.04431459  0.02809265  0.02070377  0.00840189 -0.00749418
 -0.01863193  0.02954021  0.08237419 -0.07755215  0.01090135  0.01571534
 -0.00130066 -0.0146003   0.07179259 -0.08153059 -0.00221042 -0.04126623
  0.01105136 -0.02408246 -0.05349981  0.09787899 -0.02592054  0.06538554
  0.0226423   0.07180233  0.08548132  0.08911002  0.05343816  0.01007567
  0.01501695 -0.05142019  0.00067536  0.00963384  0.09305736  0.00633454
  0.00173494 -0.00790051  0.10492432  0.03792391  0.06272444  0.02908392
 -0.06475639 -0.01818502 -0.06272863 -0.06639845 -0.08914525 -0.08111919
  0.04245905  0.03360626  0.00338442 -0.02673562  0.10520592  0.02488878
  0.01448991  0.08640961 -0.04262061 -0.01997088 -0.08983073 -0.11983228
 -0.01509905 -0.05279679  0.02547269 -0.16591255 -0.04598967  0.12561314
  0.00847246 -0.04737433]",3
TIMOB-684,"[ 0.24783607 -0.02754682  0.03534979 -0.07119102 -0.07816995  0.01898637
  0.0725392  -0.0217143  -0.04798321  0.08499356 -0.1532354   0.05456782
 -0.10730598 -0.04749065 -0.07839367  0.02736612  0.0598556  -0.10479376
 -0.09655096 -0.06897145  0.13673224  0.06277781  0.08558864  0.00271822
 -0.09414189 -0.13524379  0.01494715 -0.10353389 -0.10805352 -0.05882626
 -0.2735826  -0.13431942  0.13246903 -0.07102421 -0.01215258  0.03656264
  0.10054454 -0.22871844 -0.13426296  0.00289022 -0.01797457 -0.184888
  0.03093482  0.01469486  0.14835745  0.0773033  -0.04631893 -0.01413818
 -0.18015131 -0.10889277  0.02324615  0.00883422  0.16576277  0.06386171
 -0.07138438  0.13844006  0.04623836  0.15770645 -0.00419169  0.08535276
 -0.0325505  -0.02919315 -0.05857134 -0.06883862  0.06355249  0.140147
 -0.05989247  0.09460481  0.16709924  0.01138432 -0.01878838  0.00035746
 -0.04296912  0.07347541  0.1455847  -0.257822   -0.02996133 -0.01919222
  0.07705164 -0.093214   -0.10073959  0.09519619 -0.09751274 -0.06438346
  0.11299714  0.07170901  0.17715608  0.00852163  0.09851946  0.07038148
 -0.02254338 -0.2094461  -0.02915128  0.05118822  0.22147399 -0.0026035
 -0.04286673 -0.01509157  0.15255861 -0.03042214  0.14802553  0.17594947
 -0.0406472   0.05995462 -0.10332636 -0.18409966 -0.07429668 -0.2248285
 -0.00427197  0.0055702   0.05920864 -0.11365212  0.01135555  0.10663435
 -0.00323667  0.10781381  0.02235527 -0.14793898 -0.18489756  0.03853482
  0.16442637 -0.07472105  0.0659759  -0.11418141 -0.18304077  0.19064379
 -0.02698461 -0.0442167 ]",2
TIMOB-1097,"[ 0.14952308 -0.13000935 -0.16607355  0.12380333 -0.10062122 -0.05215979
  0.06411752  0.13511768  0.0201358   0.13668156 -0.04647615 -0.04018449
  0.09291434 -0.12444831 -0.07109696  0.19007125  0.02282016 -0.0747928
 -0.11534486 -0.08202616  0.14799032  0.10318716  0.16467118 -0.15403208
 -0.03050747 -0.2472533   0.01012335 -0.04497593 -0.03896987 -0.10881984
 -0.06507472 -0.00555114  0.08199747 -0.05177595 -0.11707918 -0.23750623
  0.20079447 -0.1058263  -0.08758061  0.01614182 -0.02778146 -0.22354835
 -0.10643145  0.11258825 -0.07186797 -0.0750731  -0.13020226  0.05911122
 -0.10051567 -0.1977003  -0.02016571  0.08348421  0.06551238  0.00683923
  0.00989299  0.10808294  0.01309877  0.10388488 -0.08953541  0.0601381
 -0.00141099 -0.14202833  0.09598369  0.03026433 -0.1636244   0.01348833
 -0.05431016 -0.12156758  0.11045898 -0.2600877   0.0200249  -0.0142009
  0.00044803 -0.06022114  0.12805176 -0.20597008  0.03727495 -0.05781542
  0.0379472  -0.04719091 -0.10795569  0.08669031 -0.05942595 -0.01334545
  0.06919248  0.07490791  0.04916349  0.08481324  0.02460587  0.01600153
 -0.04460029  0.01475209 -0.11927601 -0.11189088  0.0232268  -0.07937569
  0.09074122 -0.0240938   0.00545564  0.06477805 -0.05581437  0.19636154
 -0.05649848 -0.07530013  0.07277828 -0.00497195 -0.177469   -0.05955402
  0.02541802 -0.02635754  0.10332278 -0.10339603  0.04126033  0.09760595
  0.05101587  0.03882721 -0.07230491  0.09130404 -0.07037143 -0.15061551
 -0.05047998 -0.00037153  0.03586044 -0.19498077 -0.09395099  0.15835334
  0.02385099  0.00869366]",2
TIMOB-1242,"[ 1.33023381e-01 -9.77657735e-02  4.82162088e-02 -1.29555970e-01
 -9.27291065e-02  9.23753679e-02 -1.63285378e-02  5.04179560e-02
 -1.12121301e-02  1.16986662e-01 -8.27165246e-02  5.69551401e-02
 -1.16918340e-01  3.61397862e-02 -5.90509884e-02 -9.34434310e-02
 -3.07421312e-02 -3.58278044e-02 -3.87910940e-02  5.35933338e-02
  1.17293946e-01 -3.00338864e-02  2.63276957e-02 -5.88978790e-02
 -6.03222325e-02 -2.17081737e-02  1.95712615e-02  1.58030372e-02
 -9.50683430e-02 -3.75340432e-02 -1.40826970e-01 -1.34528622e-01
  4.14547808e-02 -7.98256397e-02  7.42004514e-02  9.64734107e-02
  3.94476391e-02 -8.82459953e-02  4.48211282e-02 -3.69171984e-02
 -1.09529354e-01  2.34164037e-02 -3.94036472e-02 -1.08305484e-01
  5.67579940e-02  8.03859755e-02  1.25937082e-03  2.56647877e-02
 -1.75128430e-01  1.32968911e-04 -9.58806649e-02 -1.17739500e-03
 -1.01068364e-02 -1.16246991e-01 -2.84978598e-02 -1.26404641e-02
  5.23860976e-02  1.20954499e-01 -3.48951179e-03  1.96381323e-02
  8.27431381e-02 -4.98851426e-02  4.23812941e-02 -3.41710984e-03
 -3.05597926e-03  5.46896085e-02 -5.45109622e-02  8.65229443e-02
  8.49459469e-02 -6.93252012e-02  1.32946782e-02  2.60677598e-02
 -3.13788839e-02 -7.06951926e-03  1.37868360e-01 -1.07503936e-01
  5.04545942e-02  8.16188455e-02 -3.33910584e-02 -3.43415178e-02
 -1.87833607e-02  1.10999122e-01  5.16031869e-03  7.80456066e-02
 -2.77364776e-02  1.23397507e-01  6.26842156e-02  9.49957147e-02
  6.06951751e-02  1.17372470e-02  4.21045795e-02 -7.64428154e-02
  2.71049868e-02  4.73912843e-02  9.70050618e-02  6.23351410e-02
 -4.31841128e-02 -6.71908492e-03  1.81885689e-01  8.66533443e-02
  5.18239103e-02  1.32545771e-04 -2.54168175e-02  3.39911878e-03
 -6.62604347e-02 -6.03669211e-02 -1.32974371e-01 -8.58164728e-02
 -2.23042853e-02  1.80696417e-02 -6.02210164e-02 -1.23634905e-01
  9.14978534e-02  1.07305259e-01  6.98129162e-02  1.40655890e-01
 -7.73258954e-02 -4.74076010e-02 -1.25477519e-02 -7.07140267e-02
  3.90377641e-02 -4.63885851e-02  5.57298772e-02 -1.60066426e-01
 -5.27586415e-02  6.57893792e-02  1.96640547e-02 -5.41298874e-02]",5
TIMOB-1800,"[ 0.0491063  -0.04986556 -0.05249108  0.00675826 -0.00431317 -0.04223709
 -0.01743665  0.00614913  0.00088307  0.09043642 -0.11010018  0.09831257
 -0.0437302  -0.01053439 -0.09177603  0.01530542  0.02579977  0.05528748
 -0.00528579  0.02139401  0.01933969 -0.01459797 -0.00023039 -0.00882414
 -0.00915239 -0.03444894 -0.04882675  0.01842105 -0.08336119 -0.07573956
 -0.08996804 -0.0366671   0.01948885 -0.05632927  0.00739916 -0.00070287
  0.05259265 -0.07651339 -0.0482136   0.06148572 -0.08199015 -0.02322688
  0.03205632 -0.01517049  0.01519238  0.06165849 -0.01989134  0.06821228
 -0.07572922 -0.04830465  0.05557602  0.04286176  0.04910705  0.06829797
  0.02669975 -0.01025952  0.03967672  0.00487896  0.02853766 -0.00372811
 -0.02053002 -0.06388183 -0.07396626  0.04861824 -0.03226598 -0.01634002
 -0.08579155  0.02924285  0.04705419 -0.07013489  0.03430286  0.00315681
 -0.04392273  0.04095688  0.10994001 -0.04942285  0.07002257 -0.0396317
 -0.02865515 -0.11621258 -0.01479265  0.04313121 -0.08295313  0.09817182
  0.02015693  0.08889185  0.01082836  0.00930009  0.08573007 -0.04449849
 -0.02584641 -0.05494892  0.02064851  0.02490533  0.06436384  0.01949158
  0.01265253  0.02258492  0.01240946 -0.00123928  0.07614108 -0.02075115
 -0.02559447  0.00378443  0.03291974 -0.03276337  0.00818943 -0.00915143
 -0.01362621 -0.01442941  0.00674632 -0.0332712  -0.0263513  -0.02148633
  0.02789908 -0.02187143 -0.07432412  0.00957719 -0.04431156  0.03890933
  0.00642476  0.02834003  0.07747939 -0.04837862 -0.04074114 -0.03590792
  0.01656149  0.01495923]",2
TIMOB-1872,"[ 2.16483459e-01  8.13035443e-02 -8.90251398e-02 -4.44195308e-02
 -6.53342456e-02 -6.23224489e-02 -4.33166744e-03  2.70164218e-02
 -8.90097618e-02  1.10748120e-01  5.67234540e-03  1.15475170e-01
 -3.26505862e-02 -2.25023791e-01 -1.49771214e-01  8.49479809e-03
  2.66770273e-01  1.23711176e-01 -3.28692049e-02 -2.74111647e-02
 -1.11893015e-02 -8.40082951e-03 -9.04302225e-02 -1.05674371e-01
  2.00183839e-02 -1.62818551e-01 -5.12233423e-03 -1.27516761e-01
  6.69571087e-02  5.17902225e-02 -3.68521139e-02  7.93325603e-02
 -7.53583536e-02  3.06877797e-03 -1.09336019e-01 -9.90024768e-03
  3.32643241e-02 -9.86321941e-02 -1.88525528e-01 -4.04091924e-02
  6.21130392e-02 -1.22107364e-01 -4.25455421e-02  1.57787725e-01
 -1.07113123e-01 -1.91563405e-02  4.35305963e-04 -4.05096598e-02
  1.46115050e-01 -1.61947519e-01  6.71180263e-02  3.02286893e-02
  1.87498942e-01 -1.54093551e-02  9.61196795e-02  1.61726505e-01
 -4.06904668e-02  1.29798055e-01  8.81901309e-02 -3.71944271e-02
 -9.53766182e-02 -4.74208221e-03 -1.34266412e-03 -1.93305686e-02
 -5.11167645e-02 -2.01056059e-02  6.20029047e-02 -3.46457288e-02
  1.92081518e-02 -6.28107116e-02  1.15930937e-01 -4.76994999e-02
  5.59970550e-02  9.66670364e-02 -7.05311149e-02 -6.77389503e-02
  9.76182893e-02 -7.11730793e-02  4.16948721e-02 -2.02641990e-02
 -8.19926187e-02  4.02606167e-02 -1.45496622e-01  8.43464211e-02
  1.20737986e-05  3.32219712e-02  1.76922113e-01 -7.52866045e-02
  1.58976302e-01  1.56167090e-01  3.47771905e-02 -5.57804853e-02
 -6.32400289e-02 -1.62759293e-02  1.29130080e-01 -6.11628070e-02
 -4.59239222e-02  1.37056366e-01 -7.13193864e-02  5.47339059e-02
 -3.81756052e-02  1.11702725e-01 -3.09717879e-02  4.80250269e-02
  3.02567128e-02 -6.03607483e-02 -1.11281827e-01 -5.26138246e-02
  8.23481381e-02  2.27587745e-02  2.53390893e-02 -8.56045820e-03
  9.47624072e-02 -1.71627477e-02 -4.04545441e-02 -3.48121710e-02
 -4.50941771e-02  2.91078328e-03 -1.08656771e-02 -7.13407397e-02
  1.30134225e-01  6.52243569e-02 -1.26282439e-01 -8.90228450e-02
 -3.16674933e-02 -9.46049392e-02  6.88710362e-02  1.37140840e-01]",2
TIMOB-1902,"[ 3.38332690e-02 -1.94530226e-02  2.00593859e-05 -2.80604418e-02
 -8.17971397e-03 -1.88380089e-02 -2.25725882e-02 -1.26622766e-02
  1.26610622e-02  3.48515920e-02 -1.72948465e-02  3.78729287e-03
 -1.85194146e-02  9.41199716e-03 -3.70703600e-02 -3.17389448e-03
 -1.84816662e-02  1.99717600e-02 -1.03849564e-02  2.01151259e-02
  5.74498391e-03 -8.30160826e-03  3.01668756e-02 -4.68095392e-03
 -4.27805958e-03  3.23322974e-02  7.92556675e-04  8.76626698e-04
 -3.35490331e-02  7.35149905e-03 -4.15986888e-02 -2.29621641e-02
  1.07101854e-02 -1.61606111e-02  1.27589358e-02  3.38275842e-02
  8.34960863e-03 -3.53709422e-02  1.02933671e-03  3.39085534e-02
 -4.73824737e-04 -2.37465370e-02 -2.71024439e-03 -2.09193025e-02
  5.10127991e-02  1.60618331e-02 -4.10067663e-02  1.05574951e-02
 -6.89022541e-02  3.37963022e-04 -3.81315988e-03  3.20254005e-02
 -1.18603196e-03  1.51258856e-02 -1.51560092e-02 -3.35833505e-02
 -2.01247167e-02  2.67695021e-02 -3.31435241e-02 -2.01089382e-02
  1.62195079e-02 -3.37727554e-02 -2.79792212e-02 -7.12369941e-03
  8.16390384e-03  8.93583708e-03 -8.91459495e-05  1.84062012e-02
  5.85965638e-04  1.16203558e-02  7.52672611e-04 -3.37346308e-02
 -3.22601944e-02  1.30562559e-02  2.71266215e-02 -2.80834194e-02
  1.95820513e-03  3.54772061e-02 -1.68561712e-02 -1.13026670e-03
 -1.85031630e-02  3.56024457e-03 -1.57159995e-02 -1.28301671e-02
  4.48693475e-03  9.74829774e-03 -1.66425072e-02 -2.86109559e-02
 -1.29538905e-02 -1.87102817e-02 -3.73983919e-03 -8.77545681e-03
  2.40565347e-03  1.23401405e-02 -8.39607976e-03  1.93732399e-02
 -6.44582184e-03 -9.97454487e-03  3.32041122e-02  3.26054133e-02
  3.86248855e-03  1.62789244e-02  1.04111498e-02  1.27957100e-02
  7.29502644e-03 -2.45969626e-03 -1.53079508e-02 -5.02594467e-03
 -5.95802534e-03 -1.17829544e-02 -1.47969527e-02 -9.51016694e-03
 -2.35158317e-02  4.24052253e-02  2.24938951e-02  4.78511909e-03
 -7.51394127e-03  4.98475647e-03  3.67378704e-02  2.62402948e-02
 -3.86887998e-03  1.35636777e-02 -1.22854607e-02 -1.08124118e-03
 -8.27368349e-03 -3.09651289e-02  1.48274209e-02  3.20076500e-03]",1
TIMOB-2017,"[ 2.78644115e-01 -4.01983410e-02 -1.68812945e-02 -1.55751124e-01
 -3.78406942e-02  5.78442849e-02 -3.29080820e-02  3.96443196e-02
  1.50217973e-02  1.08791292e-01  8.31827056e-03  1.06699161e-01
 -1.35969996e-01 -2.89239306e-02 -1.02910116e-01 -7.37570599e-02
  4.85328250e-02 -3.11769620e-02  5.84605746e-02 -1.44872330e-02
  1.28795058e-01  2.07528733e-02  7.05148140e-03 -7.16372654e-02
 -1.11871779e-01 -3.55902947e-02  5.17243259e-02  2.78997067e-02
 -1.56686783e-01  3.83702293e-02 -1.48109540e-01 -1.55702010e-01
  2.06205323e-02 -5.54463193e-02  7.95915723e-03 -4.43972135e-03
  6.43301234e-02 -1.26894981e-01 -6.56425208e-02 -2.53827982e-02
 -8.58945101e-02 -5.31429686e-02  1.62262432e-02 -2.86958888e-02
  5.93376644e-02  1.60163626e-01 -7.16405287e-02  2.92454734e-02
 -6.48507476e-02 -3.21428776e-02 -2.05037557e-02  2.74103507e-02
  9.06519145e-02 -1.38321640e-02  5.17007597e-02  4.32151593e-02
 -7.29454383e-02  7.12625012e-02  1.42060649e-02 -8.58537853e-02
  2.40996829e-03 -2.34616473e-02  2.72614397e-02  5.24692871e-02
  7.67652914e-02 -4.50098217e-02 -4.93310355e-02  4.43762168e-02
  9.70982388e-02 -1.74635202e-02  2.81965658e-02 -8.68113264e-02
 -6.19738400e-02  2.57714354e-02  1.28410012e-01  1.46855554e-03
  4.39016968e-02  3.82423103e-02  1.29179517e-02 -2.82838679e-04
 -9.86222550e-02  1.18949585e-01 -1.63898289e-01  1.25186563e-01
 -5.31974435e-02  1.58702910e-01  9.05887708e-02 -1.18198590e-02
  1.96380824e-01  6.40535504e-02 -1.08652934e-02 -7.04474449e-02
 -2.94153392e-02  2.93170866e-02  2.32000574e-01  6.10452108e-02
 -6.81293756e-02  2.98328027e-02  1.84953690e-01  1.49275670e-02
  8.09347555e-02  2.53791277e-05 -1.13871008e-01  2.33367905e-02
 -3.82114649e-02 -6.67329803e-02 -1.05126761e-01 -1.08649634e-01
  5.63884936e-02  6.47552609e-02 -2.53305100e-02 -6.51903525e-02
  1.65770099e-01  2.15804130e-02  3.30034457e-02  1.06688373e-01
 -9.99301597e-02 -6.56216368e-02 -7.18062446e-02 -1.34674504e-01
  1.13115154e-01  3.35061438e-02  7.86728691e-03 -2.40806341e-01
 -2.59809326e-02 -2.81918664e-02 -1.76433455e-02 -2.14965036e-03]",1
TIMOB-2099,"[ 9.91584733e-02  2.75864620e-02  5.09657674e-02 -7.44232163e-02
  5.78523986e-03 -4.77070324e-02 -3.03589739e-04 -2.05488894e-02
  5.91000356e-03  4.70659994e-02 -3.67433988e-02  2.22971309e-02
 -7.52408504e-02  6.25921553e-03  5.51533047e-03 -3.51164341e-02
  2.95846015e-02  7.88617693e-03 -2.81324005e-03  1.72577426e-02
  5.03979586e-02  2.57800762e-02  3.81278023e-02  1.97891518e-02
 -3.71735431e-02  2.01715477e-04  3.65170948e-02 -5.73972054e-02
 -5.46344630e-02  3.86837055e-03 -8.21586549e-02 -1.17828101e-02
  7.04674497e-02 -5.86384535e-02  2.68723164e-02  8.23290348e-02
 -6.31252080e-02 -9.35485810e-02 -1.51129272e-02  2.08237767e-02
 -7.79267648e-05 -6.13847822e-02  5.74407876e-02 -8.08309838e-02
  8.27300772e-02  1.70030128e-02 -6.31101802e-02  1.28729688e-02
 -1.05849966e-01  8.34162906e-03  8.70027952e-03 -4.29044664e-03
  4.14907821e-02  8.85363016e-03 -3.08097657e-02 -3.34895886e-02
 -3.04471725e-03  7.36546963e-02 -8.96738842e-03  2.21804455e-02
  6.53759716e-03  1.23834331e-02 -2.85586063e-02  1.91051029e-02
  1.56638976e-02  6.87379390e-02  1.27721503e-02  1.51855955e-02
  2.14453656e-02  5.84541596e-02  2.34550722e-02 -1.22283036e-02
 -5.37635721e-02  2.86511462e-02  1.91147979e-02 -6.44935071e-02
  4.60411841e-03  6.56877533e-02 -2.68023126e-02  5.81009537e-02
 -3.32000330e-02  1.37648862e-02 -3.57612148e-02 -5.73244877e-02
 -3.31318937e-02  5.25520556e-02  6.97014704e-02 -3.34986486e-02
  2.71109659e-02  1.16469786e-02  4.25291732e-02 -5.48526719e-02
  2.73459265e-03 -2.90321093e-02  6.51779398e-02 -9.38876532e-03
 -7.29826242e-02  1.69884339e-02  2.59537008e-02  2.91567110e-02
  3.55198979e-02  1.12981364e-01 -3.57183092e-03  6.96070865e-02
 -4.71375287e-02 -2.58038267e-02 -8.53630081e-02 -6.41548038e-02
 -3.35542299e-02  3.17726806e-02 -5.12545444e-02 -8.27498958e-02
 -8.35749600e-03  6.19691201e-02  3.32186855e-02  3.97538245e-02
  2.34294422e-02 -3.37863453e-02  4.65234555e-02  6.40575290e-02
  4.21775542e-02 -3.69990207e-02  1.43877137e-02  3.20838690e-02
 -5.03350049e-02  4.65733893e-02  4.38979967e-03 -2.49984842e-02]",1
