issuekey,doc2vec,storypoint
USERGRID-16,"[ 0.43866116 -0.4183153  -0.27661416  0.04429844 -0.18223561 -0.07481191
 -0.07775615 -0.02922502 -0.15045887 -0.02505896 -0.28797913  0.49927318
 -0.21463051 -0.22020745 -0.18130219  0.11135529 -0.15489198  0.06323616
  0.02998654  0.1716063   0.1099229   0.05614224 -0.43271068  0.02335177
  0.23598549  0.02226068 -0.05418821 -0.2981337  -0.18999374  0.27541658
 -0.27820426 -0.07733548 -0.05379517 -0.18712418 -0.11789048  0.36248523
  0.14624661 -0.02111023  0.1530147  -0.12620646 -0.071683   -0.28651103
  0.1061221   0.00269357 -0.03186078  0.14255251 -0.2570641   0.01780013
 -0.20486337 -0.3582283   0.36817533  0.3342171   0.2609778  -0.18747011
  0.06019745 -0.13751397  0.26774582 -0.0544509  -0.14810903  0.04788413
 -0.16937287  0.11616025 -0.01033397  0.39078575  0.11447024 -0.09771458
  0.35486603 -0.21122196  0.1668528  -0.17129464  0.23789893 -0.17826235
 -0.3334124   0.21020487 -0.12006083 -0.24051572  0.04644582  0.09620962
 -0.19151142  0.4995132  -0.27631807  0.25652295 -0.18265104  0.43649518
 -0.06965701  0.3097497  -0.04689931  0.06425119  0.41783464 -0.16399541
 -0.14233905 -0.06820776  0.02514311  0.31773826  0.27721882  0.18996704
 -0.12104765 -0.17613365  0.24065553 -0.17403692  0.24339505 -0.05619605
 -0.00353471 -0.0233222   0.12571432 -0.14894198 -0.276047   -0.11428767
  0.2975794   0.29254597  0.27948004 -0.3934739   0.06115225 -0.05675241
 -0.14100325  0.22832124 -0.23725834 -0.13713583 -0.40783837 -0.08560875
  0.04823574 -0.05131079  0.20553498 -0.3443602  -0.10115288  0.3393778
  0.13106814  0.04526724]",3
USERGRID-17,"[ 0.18967329 -0.17964843 -0.11382968  0.02501828 -0.08104227 -0.03267115
 -0.03453577 -0.01215554 -0.06345963 -0.01164984 -0.12124976  0.20892991
 -0.08957867 -0.09284162 -0.07819171  0.04154054 -0.0614179   0.03050503
  0.0163551   0.07066244  0.04865098  0.02022987 -0.1831505   0.00950115
  0.1037333   0.01198725 -0.02381008 -0.12639052 -0.08145761  0.12005328
 -0.11507571 -0.03452232 -0.01983431 -0.07948957 -0.04839871  0.14579092
  0.06021459 -0.01101565  0.06521951 -0.05520926 -0.0314408  -0.11564184
  0.04304457 -0.00142835 -0.0149358   0.06019285 -0.10603691  0.00699682
 -0.08059837 -0.15233023  0.1568431   0.13884676  0.10951755 -0.07778388
  0.02838242 -0.05098112  0.1133861  -0.01853088 -0.06056516  0.01749969
 -0.07544739  0.04796895 -0.00525377  0.16246036  0.05087911 -0.0420525
  0.15119387 -0.09027476  0.0686968  -0.07434589  0.09995527 -0.06910369
 -0.14523453  0.09349962 -0.04768424 -0.09850735  0.02204542  0.03880278
 -0.08277901  0.20955646 -0.11840949  0.10859761 -0.0783527   0.18573064
 -0.02702348  0.13068734 -0.02205154  0.03070262  0.175475   -0.06942035
 -0.05852954 -0.02452402  0.00927657  0.13656585  0.11920637  0.07932457
 -0.0475399  -0.07365315  0.10258225 -0.07690683  0.10445808 -0.02091884
 -0.00051119 -0.01266317  0.05072635 -0.06895481 -0.11904734 -0.0501543
  0.12732871  0.12693466  0.12029211 -0.16686448  0.03040793 -0.02761636
 -0.05671487  0.09927373 -0.09955778 -0.05519728 -0.17024124 -0.03258284
  0.01777667 -0.02270648  0.08985519 -0.14268465 -0.04443609  0.14110895
  0.05646526  0.01442213]",3
USERGRID-19,"[ 0.21626027 -0.20334786 -0.13359313  0.01948353 -0.09144215 -0.04171094
 -0.04019908 -0.00998084 -0.08422738 -0.01459385 -0.13646513  0.25317696
 -0.10087156 -0.10534579 -0.08893047  0.06048626 -0.07745315  0.02836196
  0.01953135  0.07893973  0.05659895  0.0288298  -0.2182142   0.00395673
  0.12623179  0.01070437 -0.03147674 -0.14931618 -0.09172209  0.14269859
 -0.13684843 -0.04513263 -0.02002007 -0.09208782 -0.06501462  0.17186597
  0.0701856  -0.01630741  0.07014982 -0.06528853 -0.03367397 -0.14754826
  0.05534374  0.00796742 -0.00895786  0.07520895 -0.12540708  0.0142336
 -0.10140883 -0.17694667  0.18645374  0.17181629  0.1390619  -0.08734412
  0.03049044 -0.06321425  0.1339934  -0.02253309 -0.06823609  0.02516272
 -0.08516807  0.0555266  -0.00519509  0.19295998  0.05670978 -0.0527077
  0.17746277 -0.1037566   0.07731125 -0.08387341  0.11725631 -0.09088448
 -0.16270104  0.10795476 -0.05830566 -0.11822402  0.02107637  0.04066285
 -0.0921851   0.24662282 -0.13581248  0.12753855 -0.09276672  0.21534127
 -0.03992311  0.14214309 -0.0238904   0.02862951  0.20437232 -0.08383274
 -0.07282603 -0.03378591  0.02074827  0.15791912  0.14116293  0.08966321
 -0.06130812 -0.08414014  0.11098307 -0.09146311  0.11922257 -0.02076274
 -0.00044934 -0.01332923  0.05832844 -0.07160347 -0.14187019 -0.04743578
  0.1464563   0.1527111   0.13525763 -0.18874405  0.03330715 -0.02297875
 -0.07520004  0.10886209 -0.10842727 -0.06823941 -0.19437629 -0.0429047
  0.02499217 -0.02629353  0.09882379 -0.16803645 -0.05271422  0.1620252
  0.06482781  0.0288519 ]",3
USERGRID-21,"[ 0.23456857 -0.2337866  -0.15141957  0.0274033  -0.09871835 -0.03988497
 -0.04288916 -0.01525767 -0.08316106 -0.01374789 -0.15216494  0.2808852
 -0.11826913 -0.11596771 -0.10336836  0.06675578 -0.08942098  0.03208458
  0.02446763  0.100155    0.05378589  0.0358592  -0.23698287  0.0173893
  0.12877488  0.01294002 -0.02211935 -0.16176584 -0.10045436  0.15608272
 -0.1489482  -0.04317447 -0.03239939 -0.10299311 -0.06463169  0.201227
  0.08688038 -0.00926797  0.09134292 -0.06746008 -0.03726522 -0.15423276
  0.05751174  0.00430729 -0.01351365  0.07272799 -0.14700085  0.01826468
 -0.12204365 -0.1952584   0.20439094  0.19194067  0.14869538 -0.10628299
  0.0278281  -0.07848832  0.15287775 -0.02836408 -0.08315784  0.02196649
 -0.09010736  0.06894971 -0.00160488  0.20889845  0.05685726 -0.05999338
  0.18291406 -0.12318707  0.09589426 -0.0936995   0.13477762 -0.10140548
 -0.17968553  0.11195652 -0.05877876 -0.13586895  0.03086476  0.05419997
 -0.10904795  0.27535546 -0.15138337  0.14373864 -0.10575205  0.23984727
 -0.04201684  0.17720708 -0.02160532  0.04640253  0.23518148 -0.08497865
 -0.07758552 -0.03392299  0.00928359  0.17813763  0.14667119  0.10739224
 -0.07439498 -0.10535824  0.13320638 -0.09315226  0.13348082 -0.02000539
 -0.00204331 -0.0179366   0.0706531  -0.08984653 -0.15326433 -0.05185018
  0.1663214   0.15410537  0.15349825 -0.2135609   0.03015867 -0.01795807
 -0.08058984  0.1225075  -0.12876475 -0.07695924 -0.22592394 -0.0400448
  0.02530132 -0.02687853  0.11318941 -0.18439157 -0.05656213  0.18721965
  0.07328749  0.02679778]",3
USERGRID-23,"[ 0.13523707 -0.13653554 -0.08563064  0.0186989  -0.05922002 -0.02180503
 -0.02455399 -0.00699129 -0.04910412 -0.00591428 -0.09260265  0.16206308
 -0.06512596 -0.06746508 -0.06290365  0.03134928 -0.04815365  0.01861237
  0.00946815  0.06145241  0.0343805   0.02277983 -0.13651808  0.01117968
  0.0773994   0.0058058  -0.01831312 -0.08963824 -0.05939523  0.08907458
 -0.09244248 -0.02434936 -0.02106841 -0.06174001 -0.03713498  0.12111347
  0.05081235 -0.00773993  0.04627379 -0.03236843 -0.02090644 -0.09446575
  0.03228162 -0.00151187 -0.00996603  0.04643999 -0.08323193  0.00342742
 -0.06879654 -0.11580636  0.12253267  0.10439528  0.08121801 -0.0628081
  0.01442103 -0.04297859  0.08186861 -0.01459107 -0.04739641  0.01379701
 -0.05525012  0.04027784 -0.00019884  0.12513374  0.03311338 -0.03652165
  0.11077221 -0.07156989  0.04824685 -0.05706422  0.07808018 -0.05779564
 -0.10849793  0.06840022 -0.03682482 -0.07854839  0.02122747  0.03263622
 -0.06148911  0.16250741 -0.0925336   0.08402511 -0.05907237  0.143283
 -0.01957002  0.09895302 -0.0133196   0.0223      0.13119805 -0.04806786
 -0.04718938 -0.02058527  0.00356451  0.09977663  0.08580108  0.05718515
 -0.03778744 -0.06035935  0.07851493 -0.0529551   0.08222692 -0.01207012
 -0.00030338 -0.00675042  0.03991175 -0.05386058 -0.09042809 -0.03573518
  0.09373571  0.08648785  0.09053799 -0.1239165   0.01488904 -0.01879107
 -0.04381705  0.07569256 -0.07732586 -0.0414929  -0.12311043 -0.02772607
  0.01315282 -0.01380226  0.07083591 -0.11154239 -0.03429062  0.11065371
  0.03838201  0.01517725]",3
USERGRID-24,"[ 2.99942136e-01 -2.71968395e-01 -1.84016109e-01  3.78514603e-02
 -1.19907923e-01 -4.91161682e-02 -4.69392501e-02 -1.75488684e-02
 -1.01884097e-01 -2.02608313e-02 -1.85622022e-01  3.24400365e-01
 -1.37920856e-01 -1.41465366e-01 -1.24282539e-01  7.14091808e-02
 -1.03657022e-01  4.48009260e-02  2.77110469e-02  1.12537965e-01
  7.35871717e-02  2.88057104e-02 -2.86517352e-01  1.71838012e-02
  1.53786004e-01  1.82327963e-02 -3.51576172e-02 -1.99987590e-01
 -1.26493216e-01  1.83644727e-01 -1.83441505e-01 -5.20473570e-02
 -3.49855088e-02 -1.28715336e-01 -8.27857405e-02  2.38244548e-01
  9.23701525e-02 -1.97110083e-02  1.01751968e-01 -9.05411392e-02
 -5.07339947e-02 -1.80055797e-01  7.28582367e-02  4.52366751e-03
 -2.03821342e-02  1.00829467e-01 -1.70918748e-01  1.69186164e-02
 -1.25355735e-01 -2.31667012e-01  2.45479539e-01  2.20584631e-01
  1.68209136e-01 -1.17887162e-01  4.28287312e-02 -8.26203376e-02
  1.71517357e-01 -3.53723168e-02 -8.98534507e-02  3.27831171e-02
 -1.11305259e-01  8.15843567e-02 -3.49726505e-03  2.52339572e-01
  7.77900815e-02 -6.44588619e-02  2.35015988e-01 -1.39846399e-01
  1.07984968e-01 -1.15637571e-01  1.61180928e-01 -1.15284525e-01
 -2.23117188e-01  1.44236475e-01 -7.65210986e-02 -1.50585905e-01
  2.56465767e-02  5.73115833e-02 -1.23126768e-01  3.32864493e-01
 -1.83210567e-01  1.68115690e-01 -1.19120918e-01  2.89743662e-01
 -4.49278094e-02  2.00690746e-01 -3.13797966e-02  4.33022045e-02
  2.73429185e-01 -1.13402061e-01 -9.55119282e-02 -4.59324121e-02
  2.30261069e-02  2.09472880e-01  1.85348496e-01  1.24563940e-01
 -7.53024593e-02 -1.11323982e-01  1.55672371e-01 -1.19855121e-01
  1.54070690e-01 -3.48162204e-02 -1.96800131e-04 -2.40246598e-02
  7.68510997e-02 -1.02976270e-01 -1.83021218e-01 -8.07925835e-02
  1.93337232e-01  1.98146164e-01  1.87254563e-01 -2.55655587e-01
  4.60035987e-02 -4.40983064e-02 -9.01564285e-02  1.50335312e-01
 -1.53143242e-01 -9.16319564e-02 -2.67244577e-01 -5.58788441e-02
  3.30393724e-02 -3.84335704e-02  1.36600465e-01 -2.23991588e-01
 -6.53253198e-02  2.19778389e-01  8.69903564e-02  2.93012038e-02]",3
USERGRID-26,"[ 0.24089797 -0.23322286 -0.15673573  0.02747298 -0.09926284 -0.04551776
 -0.04135562 -0.0173874  -0.08200641 -0.01078197 -0.157278    0.27882776
 -0.12261249 -0.11945955 -0.10639564  0.05700767 -0.08578566  0.03690572
  0.02314166  0.09697922  0.05669243  0.03160647 -0.23814869  0.01605521
  0.13026568  0.01604353 -0.02638179 -0.16329953 -0.10685207  0.14968218
 -0.1508237  -0.04144976 -0.02864455 -0.09915011 -0.06390952  0.19797134
  0.08799998 -0.01252644  0.08235835 -0.07080074 -0.03812794 -0.15867825
  0.05256126  0.00306449 -0.01780638  0.07900532 -0.1506866   0.01085428
 -0.11592116 -0.1991807   0.20310113  0.18426427  0.14826718 -0.10506494
  0.03233699 -0.07242788  0.14500433 -0.02473521 -0.07661761  0.02436044
 -0.09774967  0.06626464 -0.00365321  0.21514641  0.05961306 -0.05299972
  0.19702072 -0.11704275  0.09290036 -0.09815986  0.13022617 -0.10066373
 -0.18526523  0.11767408 -0.06595402 -0.13523963  0.02838621  0.05285925
 -0.10308161  0.2801403  -0.15557437  0.1399586  -0.10050572  0.24224211
 -0.03402346  0.16635688 -0.02748404  0.03638293  0.2282181  -0.08532885
 -0.07945303 -0.03465749  0.01082192  0.1801908   0.14734647  0.10577247
 -0.06945264 -0.10134927  0.127064   -0.09741428  0.13015935 -0.0275181
 -0.0059405  -0.01414206  0.07252368 -0.08374804 -0.14810598 -0.05759084
  0.15784596  0.16095923  0.15609282 -0.21431737  0.02936438 -0.02662712
 -0.07388981  0.12652612 -0.13220453 -0.0731305  -0.21622106 -0.04767267
  0.02762401 -0.02967557  0.11839652 -0.19211876 -0.05625687  0.1860243
  0.0766971   0.02529058]",3
USERGRID-27,"[ 0.06447316 -0.06566121 -0.04634547  0.00795745 -0.03503464 -0.01003814
 -0.01779501 -0.0057892  -0.02402059  0.00018804 -0.04523851  0.08127525
 -0.03545046 -0.03103519 -0.02818166  0.01952465 -0.02565281  0.00818953
  0.00774698  0.0291092   0.01332708  0.01529458 -0.06967242  0.00176194
  0.04112953  0.00897647 -0.00831363 -0.04727704 -0.03033363  0.0436314
 -0.04287332 -0.00981983 -0.00920784 -0.0304575  -0.01688408  0.05175894
  0.02142284 -0.00422264  0.02154416 -0.02053047 -0.01630912 -0.05391692
  0.01339887  0.00305912 -0.00192562  0.02243049 -0.03946843  0.00220086
 -0.03137869 -0.05661955  0.06577896  0.05429733  0.04407068 -0.02565847
  0.00950988 -0.01704907  0.0413466  -0.00611011 -0.02484152  0.01119245
 -0.02836847  0.01558998 -0.00709705  0.06059245  0.01884387 -0.0166658
  0.06244824 -0.03717845  0.02358235 -0.03115873  0.03849976 -0.03053832
 -0.04862393  0.02889851 -0.01989119 -0.04571036  0.00495033  0.00909965
 -0.02960157  0.07629768 -0.0448349   0.04185605 -0.02609006  0.06845499
 -0.00759741  0.04161429 -0.00751394  0.00330405  0.06338637 -0.02198159
 -0.02049766 -0.01031219  0.01149445  0.05527467  0.05035394  0.03012052
 -0.02206942 -0.03515137  0.03297336 -0.02979966  0.03961281 -0.01071963
 -0.00457504 -0.00197675  0.01898237 -0.02546974 -0.04669886 -0.01641586
  0.04578946  0.04221304  0.0475312  -0.06130152  0.00832766 -0.00651852
 -0.01801528  0.04104017 -0.03855535 -0.0250679  -0.05768287 -0.01337786
  0.00667517 -0.01428571  0.03334809 -0.05659015 -0.01480641  0.05404982
  0.02468615  0.01042274]",3
USERGRID-29,"[ 0.40377113 -0.37660143 -0.25009957  0.04296673 -0.16976114 -0.06417733
 -0.06584847 -0.02856519 -0.13997647 -0.02376066 -0.26021162  0.45146412
 -0.19146688 -0.19001836 -0.16844982  0.09272146 -0.1383784   0.05770267
  0.03121232  0.16172288  0.10511177  0.05023364 -0.39506516  0.02784096
  0.20992273  0.02728666 -0.04721477 -0.28045473 -0.1717941   0.24942295
 -0.25375134 -0.06080642 -0.04845117 -0.16938347 -0.1076301   0.328349
  0.13555908 -0.02105719  0.13860585 -0.12256277 -0.0676319  -0.2604514
  0.09320582 -0.0011761  -0.02848765  0.1349567  -0.24376665  0.01833575
 -0.18600258 -0.3246509   0.3376904   0.30492842  0.23517758 -0.17113392
  0.05845294 -0.11651678  0.23425065 -0.0462001  -0.133364    0.04434782
 -0.15992129  0.10838658 -0.01318157  0.35637745  0.10363886 -0.09115981
  0.3226163  -0.2019684   0.15014729 -0.16414241  0.2229133  -0.16350453
 -0.30509174  0.18762536 -0.1044914  -0.2151632   0.04355386  0.0904243
 -0.17132251  0.46085972 -0.25172597  0.22787343 -0.17024282  0.4053902
 -0.05790074  0.27841517 -0.03895562  0.06335299  0.37762126 -0.15077186
 -0.13213108 -0.06202149  0.02263882  0.29460546  0.2527922   0.17727274
 -0.11094574 -0.16895366  0.21467093 -0.17003718  0.21623875 -0.05148712
 -0.00383021 -0.02488052  0.11831096 -0.1414723  -0.2529429  -0.10583152
  0.2628358   0.26337793  0.25701487 -0.35389125  0.06044663 -0.05420038
 -0.11560886  0.2099551  -0.21902087 -0.12214485 -0.36467475 -0.08046163
  0.03760402 -0.05108613  0.1975824  -0.31269506 -0.08984344  0.31014782
  0.1190109   0.03712746]",3
USERGRID-30,"[ 0.30890808 -0.2996337  -0.19718882  0.021765   -0.11845432 -0.04822769
 -0.06247469 -0.01747804 -0.11239032 -0.02280025 -0.20226355  0.36348692
 -0.1557026  -0.1467798  -0.13889736  0.0889727  -0.11420505  0.0467479
  0.0315234   0.12286473  0.07872675  0.0497033  -0.31385657  0.01804732
  0.1746549   0.01357617 -0.03669953 -0.20868    -0.13227409  0.20147556
 -0.19834271 -0.06495787 -0.03550693 -0.13150042 -0.09401405  0.26361552
  0.11974584 -0.01936374  0.11014341 -0.08787125 -0.04919838 -0.2071628
  0.08025942  0.00750466 -0.01496656  0.10025697 -0.1981583   0.02369806
 -0.16042314 -0.25783607  0.26570988  0.24691987  0.19497497 -0.13441591
  0.03912535 -0.10364132  0.1960113  -0.03769099 -0.10112485  0.03370916
 -0.11731951  0.08357152 -0.0012932   0.27869213  0.07878418 -0.07201902
  0.24512804 -0.15484144  0.11516736 -0.11972119  0.1659444  -0.13907152
 -0.23430909  0.14977026 -0.08229783 -0.17792673  0.03537989  0.06262626
 -0.13694742  0.36047295 -0.1982477   0.18873632 -0.1325657   0.3091078
 -0.05221786  0.22647065 -0.03569621  0.04802814  0.30159447 -0.11554635
 -0.10918688 -0.0451698   0.02451401  0.23391394  0.19750932  0.13521945
 -0.09395431 -0.13133515  0.17588761 -0.12537485  0.1723175  -0.03317643
 -0.00353464 -0.02436694  0.09367706 -0.10684055 -0.19836569 -0.06753522
  0.21668752  0.20612122  0.19745557 -0.27474764  0.04601388 -0.02420326
 -0.11218198  0.15263744 -0.15762159 -0.09390907 -0.28355977 -0.058203
  0.03252528 -0.03937345  0.14991371 -0.24256262 -0.07784792  0.23541361
  0.09520984  0.03081167]",3
